ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpDeEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;BeginvoorraadGrondEnHulpstoffen_14;InkopenGrondEnHulpstoffen_15;EindvoorraadGrondEnHulpstoffen_16;TotaleInkoopwaardeHandelsgoederen_17;BeginvoorraadHandelsgoederen_18;InkopenHandelsgoederen_19;EindvoorraadHandelsgoederen_20;TotaleOverigeInkoopwaarde_21;KostenUitbesteedWerk_22;NietEerderGenoemdeInkoopwaarde_23;TotaleArbeidskosten_24;BrutoLonenEnSalarissen_25;SocialeVerzekeringspremiesWerkgever_26;PremiesPensioenVUTInkoopsommen_27;OverigeSocialeLasten_28;TotaleOverigeBedrijfslasten_29;OverigePersoneelskosten_30;KostenVervoermiddelen_31;KostenEnergieverbruik_32;Huisvestingskosten_33;KostenMachinesEnInstallaties_34;Verkoopkosten_35;Communicatiekosten_36;KostenVanDienstverleningDoorDerden_37;NietEerderGenoemdeBedrijfslasten_38;AfschrijvingenOpVasteActiva_39;Bedrijfsresultaat_40;SaldoFinancieleBatenEnLasten_41;FinancieleBaten_42;FinancieleLasten_43;SaldoVoorzieningen_44;OnttrekkingenVrijvalVanVoorzieningen_45;ToevoegingenAanVoorzieningen_46;SaldoBuitengewoneBatenEnLasten_47;BuitengewoneBaten_48;BuitengewoneLasten_49;ResultaatVoorBelastingen_50
0;E Openbare voorzieningsbedrijven;2001;340;35.18;33.6;31.3;30.06;25794;24210;22370;1839;1584.0;23515;15828;15344;41;15345;41;34;1;34;1;451;311.0;140.0;1610;1302;137;128.0;43.0;4304;360;37;60;131;689.0;78.0;50;699;2200;1774;2279;-550;464;1014;43;454;411;10;477;467;1782
1;E Openbare voorzieningsbedrijven;2002;395;32.55;31.02;29.26;28.13;27761;26119;24529;1589;1642.0;25723;17903;17179;52;17183;57;6;1;6;1;718;547.0;171.0;1724;1401;136;148.0;39.0;4600;374;44;49;139;582.0;120.0;59;654;2579;1495;2038;-316;995;1310;-11;465;476;174;257;83;1884
2;E Openbare voorzieningsbedrijven;2003;445;32.7;30.98;27.76;26.7;28386;27408;25298;2110;;26582;20489;19480;57;19478;55;6;0;6;0;1003;627.0;376.0;1538;1264;127;;;3310;535;46;55;162;336.0;111.0;65;611;1389;1245;1804;-308;626;934;-154;454;608;-35;38;73;1307
3;E Openbare voorzieningsbedrijven;2004;470;32.65;31.06;27.3;26.08;29925;28531;25992;2539;1394.0;27996;21487;20046;55;20054;62;0;0;0;0;1441;;;1602;1289;126;141.0;47.0;3604;465;47;50;196;;;52;728;1076;1302;1929;-22;857;879;-21;332;353;-180;82;262;1706
4;E Openbare voorzieningsbedrijven;2005;515;31.7;30.6;24.9;24.1;31153;29499;27755;1743;1655.0;28414;21609;20262;55;20330;122;0;0;0;0;1347;1059.0;288.0;1510;1222;115;137.0;36.0;3919;587;54;62;201;366.0;157.0;58;813;1622;1375;2740;-174;996;1170;-66;276;342;668;712;43;3168
5;40 Openbare energievoorzieningsbedr.;2001;315;28.01;26.81;24.73;23.81;24166;22695;20910;1785;1471.0;22199;15644;15227;38;15227;39;33;1;33;1;385;246.0;139.0;1301;1050;112;104.0;34.0;3794;293;25;24;98;658.0;67.0;34;604;1991;1459;1968;-366;451;817;50;446;396;12;462;450;1664
6;40 Openbare energievoorzieningsbedr.;2002;370;25.68;24.53;22.85;22.06;26096;24586;23031;1554;1511.0;24322;17716;17060;45;17063;48;5;1;5;1;651;482.0;169.0;1395;1136;112;118.0;28.0;4044;311;31;14;104;560.0;110.0;43;533;2338;1167;1775;-188;984;1171;39;448;409;175;250;75;1801
7;40 Openbare energievoorzieningsbedr.;2003;415;26.07;24.82;21.58;20.92;26676;25812;23738;2074;;25176;20271;19360;48;19360;48;6;0;6;0;906;534.0;372.0;1214;1000;98;;;2768;474;32;17;121;313.0;96.0;49;509;1157;924;1500;-158;603;760;-125;448;573;-49;19;69;1168
8;40 Openbare energievoorzieningsbedr.;2004;445;26.27;25.09;21.35;20.5;28260;26975;24481;2494;1285.0;26640;21298;19927;48;19935;56;0;0;0;0;1370;;;1283;1029;94;118.0;42.0;3068;399;33;14;152;;;36;601;885;992;1620;105;833;728;-16;312;328;-184;77;261;1526
9;40 Openbare energievoorzieningsbedr.;2005;490;25.5;24.8;19.3;18.8;29459;27919;26215;1704;1540.0;26991;21426;20149;48;20217;116;0;0;0;0;1276;991.0;285.0;1189;967;86;110.0;26.0;3334;522;39;16;155;330.0;143.0;41;655;1433;1042;2468;-56;967;1023;-81;244;325;665;707;41;2996
10;41 Waterleidingbedrijven;2001;25;7.17;6.79;6.57;6.24;1627;1514;1460;54;113.0;1316;184;117;2;117;2;1;0;1;0;66;65.0;1.0;310;252;25;24.0;9.0;508;67;12;35;33;30.0;11.0;16;95;209;315;311;-184;13;196;-8;8;16;-2;15;16;118
11;41 Waterleidingbedrijven;2002;25;6.87;6.48;6.41;6.07;1664;1533;1498;35;131.0;1401;187;118;7;120;9;1;0;1;0;67;66.0;2.0;330;265;23;30.0;12.0;556;63;14;34;35;21.0;10.0;16;121;242;328;263;-128;11;139;-50;17;67;-2;6;8;83
12;41 Waterleidingbedrijven;2003;30;6.63;6.16;6.18;5.77;1710;1596;1560;36;114.0;1406;218;120;9;118;6;0;0;0;0;97;93.0;4.0;324;264;29;22.0;9.0;545;61;14;38;42;23.0;15.0;16;103;233;321;304;-150;24;174;-29;5;34;15;19;4;139
13;41 Waterleidingbedrijven;2004;25;6.39;5.97;5.95;5.57;1665;1556;1511;45;109.0;1356;190;118;6;119;7;0;0;0;0;71;69.0;2.0;320;260;32;23.0;5.0;536;65;14;36;44;26.0;17.0;17;126;191;311;309;-127;24;151;-5;20;25;4;5;1;180
