ID;RegioS;Perioden;PersonenMetUitgesprokenSchuldsanering_1
0;Nederland;1999;6190.0
1;Nederland;2000;13910.0
2;Nederland;2001;20450.0
3;Nederland;2002;25555.0
4;Nederland;2003;28150.0
5;Nederland;2004;33135.0
6;Nederland;2005;37150.0
7;Nederland;2006;40880.0
8;Nederland;2007;43180.0
9;Nederland;2008;38260.0
10;Nederland;2009;33315.0
11;Nederland;2010;31155.0
12;Nederland;2011;34890.0
13;Nederland;2012;38700.0
14;Nederland;2013;39760.0
15;Nederland;2014;38560.0
16;Nederland;2015;36245.0
17;Nederland;2016;33340.0
18;Nederland;2017;29440.0
19;Nederland;2018;24120.0
20;Nederland;2019;18855.0
21;Nederland;2020;13805.0
22;Nederland;2021;10245.0
23;Nederland;2022;7235.0
24;Nederland;2023;6010.0
25;Noord-Nederland (LD);1999;505.0
26;Noord-Nederland (LD);2000;1235.0
27;Noord-Nederland (LD);2001;1900.0
28;Noord-Nederland (LD);2002;2380.0
29;Noord-Nederland (LD);2003;2600.0
30;Noord-Nederland (LD);2004;3150.0
31;Noord-Nederland (LD);2005;3685.0
32;Noord-Nederland (LD);2006;3990.0
33;Noord-Nederland (LD);2007;3990.0
34;Noord-Nederland (LD);2008;3390.0
35;Noord-Nederland (LD);2009;3195.0
36;Noord-Nederland (LD);2010;3300.0
37;Noord-Nederland (LD);2011;4130.0
38;Noord-Nederland (LD);2012;5070.0
39;Noord-Nederland (LD);2013;5635.0
40;Noord-Nederland (LD);2014;6090.0
41;Noord-Nederland (LD);2015;6045.0
42;Noord-Nederland (LD);2016;5620.0
43;Noord-Nederland (LD);2017;4750.0
44;Noord-Nederland (LD);2018;3670.0
45;Noord-Nederland (LD);2019;2855.0
46;Noord-Nederland (LD);2020;2135.0
47;Noord-Nederland (LD);2021;1630.0
48;Noord-Nederland (LD);2022;1210.0
49;Noord-Nederland (LD);2023;1095.0
50;Oost-Nederland (LD);1999;1740.0
51;Oost-Nederland (LD);2000;3710.0
52;Oost-Nederland (LD);2001;5215.0
53;Oost-Nederland (LD);2002;6070.0
54;Oost-Nederland (LD);2003;6405.0
55;Oost-Nederland (LD);2004;7070.0
56;Oost-Nederland (LD);2005;7720.0
57;Oost-Nederland (LD);2006;8235.0
58;Oost-Nederland (LD);2007;8710.0
59;Oost-Nederland (LD);2008;7720.0
60;Oost-Nederland (LD);2009;6710.0
61;Oost-Nederland (LD);2010;6410.0
62;Oost-Nederland (LD);2011;7490.0
63;Oost-Nederland (LD);2012;8450.0
64;Oost-Nederland (LD);2013;8135.0
65;Oost-Nederland (LD);2014;7355.0
66;Oost-Nederland (LD);2015;7100.0
67;Oost-Nederland (LD);2016;6950.0
68;Oost-Nederland (LD);2017;6690.0
69;Oost-Nederland (LD);2018;5605.0
70;Oost-Nederland (LD);2019;4430.0
71;Oost-Nederland (LD);2020;3185.0
72;Oost-Nederland (LD);2021;2320.0
73;Oost-Nederland (LD);2022;1680.0
74;Oost-Nederland (LD);2023;1465.0
75;West-Nederland (LD);1999;2165.0
76;West-Nederland (LD);2000;4945.0
77;West-Nederland (LD);2001;7350.0
78;West-Nederland (LD);2002;9580.0
79;West-Nederland (LD);2003;10880.0
80;West-Nederland (LD);2004;13415.0
81;West-Nederland (LD);2005;15430.0
82;West-Nederland (LD);2006;17380.0
83;West-Nederland (LD);2007;18680.0
84;West-Nederland (LD);2008;16410.0
85;West-Nederland (LD);2009;14190.0
86;West-Nederland (LD);2010;12840.0
87;West-Nederland (LD);2011;14595.0
88;West-Nederland (LD);2012;15935.0
89;West-Nederland (LD);2013;16380.0
90;West-Nederland (LD);2014;16005.0
91;West-Nederland (LD);2015;14925.0
92;West-Nederland (LD);2016;13665.0
93;West-Nederland (LD);2017;12225.0
94;West-Nederland (LD);2018;10080.0
95;West-Nederland (LD);2019;7865.0
96;West-Nederland (LD);2020;5835.0
97;West-Nederland (LD);2021;4380.0
98;West-Nederland (LD);2022;3005.0
99;West-Nederland (LD);2023;2370.0
100;Zuid-Nederland (LD);1999;1240.0
101;Zuid-Nederland (LD);2000;2825.0
102;Zuid-Nederland (LD);2001;4175.0
103;Zuid-Nederland (LD);2002;5240.0
104;Zuid-Nederland (LD);2003;5780.0
105;Zuid-Nederland (LD);2004;6550.0
106;Zuid-Nederland (LD);2005;7125.0
107;Zuid-Nederland (LD);2006;8110.0
108;Zuid-Nederland (LD);2007;8825.0
109;Zuid-Nederland (LD);2008;8375.0
110;Zuid-Nederland (LD);2009;7425.0
111;Zuid-Nederland (LD);2010;7080.0
112;Zuid-Nederland (LD);2011;7260.0
113;Zuid-Nederland (LD);2012;7890.0
114;Zuid-Nederland (LD);2013;8315.0
115;Zuid-Nederland (LD);2014;7895.0
116;Zuid-Nederland (LD);2015;7200.0
117;Zuid-Nederland (LD);2016;6420.0
118;Zuid-Nederland (LD);2017;5390.0
119;Zuid-Nederland (LD);2018;4540.0
120;Zuid-Nederland (LD);2019;3540.0
121;Zuid-Nederland (LD);2020;2525.0
122;Zuid-Nederland (LD);2021;1820.0
123;Zuid-Nederland (LD);2022;1265.0
124;Zuid-Nederland (LD);2023;1005.0
125;Niet in te delen (LD);1999;545.0
126;Niet in te delen (LD);2000;1195.0
127;Niet in te delen (LD);2001;1810.0
128;Niet in te delen (LD);2002;2285.0
129;Niet in te delen (LD);2003;2490.0
130;Niet in te delen (LD);2004;2945.0
131;Niet in te delen (LD);2005;3190.0
132;Niet in te delen (LD);2006;3165.0
133;Niet in te delen (LD);2007;2970.0
134;Niet in te delen (LD);2008;2365.0
135;Niet in te delen (LD);2009;1790.0
136;Niet in te delen (LD);2010;1525.0
137;Niet in te delen (LD);2011;1420.0
138;Niet in te delen (LD);2012;1355.0
139;Niet in te delen (LD);2013;1295.0
140;Niet in te delen (LD);2014;1210.0
141;Niet in te delen (LD);2015;970.0
142;Niet in te delen (LD);2016;690.0
143;Niet in te delen (LD);2017;385.0
144;Niet in te delen (LD);2018;225.0
145;Niet in te delen (LD);2019;165.0
146;Niet in te delen (LD);2020;125.0
147;Niet in te delen (LD);2021;90.0
148;Niet in te delen (LD);2022;75.0
149;Niet in te delen (LD);2023;70.0
150;Groningen (PV);1999;210.0
151;Groningen (PV);2000;555.0
152;Groningen (PV);2001;785.0
153;Groningen (PV);2002;965.0
154;Groningen (PV);2003;1025.0
155;Groningen (PV);2004;1350.0
156;Groningen (PV);2005;1695.0
157;Groningen (PV);2006;1850.0
158;Groningen (PV);2007;1850.0
159;Groningen (PV);2008;1510.0
160;Groningen (PV);2009;1410.0
161;Groningen (PV);2010;1445.0
162;Groningen (PV);2011;1740.0
163;Groningen (PV);2012;2035.0
164;Groningen (PV);2013;2080.0
165;Groningen (PV);2014;2255.0
166;Groningen (PV);2015;2375.0
167;Groningen (PV);2016;2300.0
168;Groningen (PV);2017;2030.0
169;Groningen (PV);2018;1640.0
170;Groningen (PV);2019;1315.0
171;Groningen (PV);2020;970.0
172;Groningen (PV);2021;710.0
173;Groningen (PV);2022;480.0
174;Groningen (PV);2023;400.0
175;Fryslân (PV);1999;150.0
176;Fryslân (PV);2000;315.0
177;Fryslân (PV);2001;490.0
178;Fryslân (PV);2002;605.0
179;Fryslân (PV);2003;645.0
180;Fryslân (PV);2004;675.0
181;Fryslân (PV);2005;740.0
182;Fryslân (PV);2006;780.0
183;Fryslân (PV);2007;755.0
184;Fryslân (PV);2008;710.0
185;Fryslân (PV);2009;795.0
186;Fryslân (PV);2010;940.0
187;Fryslân (PV);2011;1325.0
188;Fryslân (PV);2012;1695.0
189;Fryslân (PV);2013;2025.0
190;Fryslân (PV);2014;2285.0
191;Fryslân (PV);2015;2210.0
192;Fryslân (PV);2016;1920.0
193;Fryslân (PV);2017;1495.0
194;Fryslân (PV);2018;1055.0
195;Fryslân (PV);2019;825.0
196;Fryslân (PV);2020;670.0
197;Fryslân (PV);2021;565.0
198;Fryslân (PV);2022;470.0
199;Fryslân (PV);2023;460.0
200;Drenthe (PV);1999;140.0
201;Drenthe (PV);2000;365.0
202;Drenthe (PV);2001;625.0
203;Drenthe (PV);2002;810.0
204;Drenthe (PV);2003;925.0
205;Drenthe (PV);2004;1125.0
206;Drenthe (PV);2005;1250.0
207;Drenthe (PV);2006;1360.0
208;Drenthe (PV);2007;1385.0
209;Drenthe (PV);2008;1165.0
210;Drenthe (PV);2009;995.0
211;Drenthe (PV);2010;915.0
212;Drenthe (PV);2011;1065.0
213;Drenthe (PV);2012;1340.0
214;Drenthe (PV);2013;1525.0
215;Drenthe (PV);2014;1555.0
216;Drenthe (PV);2015;1465.0
217;Drenthe (PV);2016;1400.0
218;Drenthe (PV);2017;1225.0
219;Drenthe (PV);2018;975.0
220;Drenthe (PV);2019;715.0
221;Drenthe (PV);2020;495.0
222;Drenthe (PV);2021;355.0
223;Drenthe (PV);2022;260.0
224;Drenthe (PV);2023;235.0
225;Overijssel (PV);1999;580.0
226;Overijssel (PV);2000;1210.0
227;Overijssel (PV);2001;1555.0
228;Overijssel (PV);2002;1810.0
229;Overijssel (PV);2003;1780.0
230;Overijssel (PV);2004;1895.0
231;Overijssel (PV);2005;2275.0
232;Overijssel (PV);2006;2700.0
233;Overijssel (PV);2007;3080.0
