ID;Perioden;TotaalBrutoKosten_1;VerwervingNatuurterreinen_2;InrichtingEnBeheer_3;OverigeActiviteiten_4;Apparaatskosten_5;Personeelskosten_6;GoederenEnDiensten_7;Kapitaallasten_8;Onverdeeld_9;Opbrengsten_10;NettoKosten_11;TotaalBrutoKosten_12;VerwervingNatuurterreinen_13;InrichtingEnBeheer_14;Apparaatskosten_15;Personeelskosten_16;GoederenEnDiensten_17;Kapitaallasten_18;Onverdeeld_19;Opbrengsten_20;NettoKosten_21;TotaalBrutoKosten_22;VerwervingNatuurterreinen_23;InrichtingEnBeheer_24;Apparaatskosten_25;Personeelskosten_26;GoederenEnDiensten_27;Kapitaallasten_28;Opbrengsten_29;NettoKosten_30;TotaalNettoKosten_31;KwantitatiefBeheerGrondwater_32;Ontgronding_33;NatuurEnLandschap_34;OverigeTaken_35;NettoKostenGemeenten_36;NettoKostenWaterschappen_37;TotaalBrutoKosten_38;VerwervingNatuurterreinen_39;InrichtingEnBeheer_40;OverigeActiviteiten_41;Apparaatskosten_42;Personeelskosten_43;GoederenEnDiensten_44;Kapitaallasten_45;Onverdeeld_46;Opbrengsten_47;NettoKosten_48;TotaalNettoKosten_49;NettoKostenLandbouw_50;TotaalNettoKosten_51;NettoKostenDelfstoffenwinning_52;NettoKostenIndustrie_53;NettoKostenNutsbedrijvenExclusief_54;NettoKostenWaterwinningsbedrijven_55;NettoKostenParticuliereBosbouw_56;TotaalNettoKosten_57;TotaalNettoKosten_58;VerwervingNatuurterreinen_59;InrichtingEnBeheer_60;Apparaatskosten_61;TotaalNettoKosten_62;TotaalNettoKosten_63;Beheer_64;Apparaatskosten_65;TotaalNettoKosten_66;TotaalBetaald_67;TotaalOntvangen_68;Betaald_69;Ontvangen_70;Betaald_71;Ontvangen_72;Betaald_73;Ontvangen_74;Betaald_75;Ontvangen_76;Betaald_77;Ontvangen_78;Betaald_79;Ontvangen_80;Betaald_81;Ontvangen_82;Betaald_83;Ontvangen_84;Betaald_85;Ontvangen_86;Betaald_87;Ontvangen_88;Betaald_89;Ontvangen_90;Betaald_91;Ontvangen_92;TotaalNettoLasten_93;TotaalLasten_94;Rijk_95;Provincies_96;Waterschappen_97;Gemeenten_98;TotaalLasten_99;Landbouw_100;NijverheidExclusiefBouwnijverheid_101;Bosbouw_102;TotaalLasten_103;MetNatuurterreinInEigendom_104;StichtingenProvinciaalLandschapsbeheer_105;OverigeNatuurbeschermingsorganisaties_106;Huishoudens_107;Onverdeeld_108
0;1999;749;123;299;127;201;192.0;361.0;36.0;161.0;44;705;387;51;160;177;134.0;205.0;9.0;39.0;27;360;290;51;113;126;105.0;180.0;5.0;27;263;58;13.0;10.0;31.0;3.0;25;14.0;362;72;139;127;24;58.0;155.0;27.0;122.0;17;345;93;30;60;16.0;15.0;14.0;15;3;253;152;72;65;15;101;13;11.0;2;88;321;321;158;0;22;40;0;8.0;1;3;0.0;30;14;1;;;1;139;;13;2;88;120;;2;;705;492;422;40;7;23;92;0;74;3;16;14;0;2;120;2
1;2000;915;234;320;136;224;208.0;491.0;38.0;177.0;47;868;462;102;163;197;145.0;265.0;11.0;40.0;30;432;356;102;114;139;113.0;237.0;6.0;30;325;66;15.0;8.0;37.0;6.0;25;15.0;453;132;158;136;27;63.0;226.0;27.0;137.0;17;436;99;35;60;16.0;17.0;14.0;14;4;337;226;132;78;16;112;14;11.0;2;98;339;339;171;0;27;23;0;8.0;2;3;0.0;35;17;0;;;1;158;;14;2;98;116;;4;;868;597;496;70;7;23;152;0;77;4;71;69;0;2;116;4
2;2001;1000;228;375;142;255;232.0;536.0;38.0;193.0;49;951;543;145;172;226;159.0;327.0;11.0;46.0;29;515;429;145;118;166;128.0;295.0;6.0;29;401;68;16.0;8.0;34.0;9.0;27;18.0;456;83;203;142;28;73.0;209.0;27.0;148.0;20;436;101;39;59;14.0;18.0;14.0;13;3;335;216;83;116;17;119;15;12.0;2;105;359;359;181;1;35;36;0;9.0;2;3;0.0;39;18;0;;;1;152;;15;2;105;117;;3;;951;685;582;67;9;27;146;0;77;3;66;64;0;2;117;3
3;2003;974;135;369;171;299;;;;;57;917;555;84;210;261;;;;;33;522;448;84;166;197;;;;32;415;71;14.0;7.0;47.0;3.0;35;;419;51;159;171;38;;;;;23;395;116;55;56;15.0;15.0;15.0;11;4;279;149;51;60;26;131;17;16.0;1;113;375;375;167;5;60;29;1;;3;6;7.0;55;15;1;;;0;149;;16;4;113;117;;1;;917;713;577;102;1;32;87;7;69;4;5;0;2;4;117;1
4;2005;955;142;428;95;291;;;;;74;881;574;59;249;267;;;;;37;537;437;59;186;192;;;;37;399;85;11.0;4.0;61.0;10.0;39;;395;83;193;95;25;;;;;37;358;107;53;51;15.0;15.0;15.0;12;3;251;197;83;81;18;54;22;;4;32;765;420;494;40;58;27;0;;5;3;;53;24;2;;;0;207;;21;35;67;135;;14;;1227;1024;854;116;0;40;68;0;74;3;-9;-9;1;0;135;14
5;2007;938;129;485;93;232;;;;;80;858;562;59;297;206;;;;;46;516;367;59;230;78;;;;46;321;146;;;;;36;;390;70;202;93;26;;;;;34;356;100;51;49;15.0;15.0;15.0;12;-1;256;207;70;99;23;49;26;;3;23;1200;820;787;163;206;301;0;;5;0;;51;9;0;;;0;206;;27;42;72;136;;15;;1239;1050;945;50;0;40;51;0;59;-1;-7;1;-1;-7;136;15
6;2009;1122;150;513;138;320;;;;;85;1037;657;59;311;287;;;;;47;610;389;59;211;119;;;;46;343;190;;;;;60;;482;92;219;138;33;;;;;38;444;135;50;82;12.0;9.0;11.0;13;2;309;237;92;104;24;73;24;;3;48;1426;861;963;148;244;316;0;;5;0;;50;8;0;;;0;229;;25;46;92;149;;9;;1602;1358;1158;119;0;65;102;0;91;2;9;8;0;2;149;9
7;2011;1085;97;547;142;299;;;;;104;980;643;61;318;265;;;;;63;581;403;61;218;123;;;;48;355;146;;;;;62;;459;36;247;142;34;;;;;42;417;141;52;91;12.0;9.0;12.0;19;-3;277;205;36;127;27;72;24;;3;48;1431;847;983;154;220;328;0;;5;0;;50;7;0;;;0;200;;23;46;93;154;;14;;1564;1308;1185;39;0;67;105;2;98;-3;7;5;1;2;154;14
8;2013;901;57;460;87;297;;;;;127;774;487;39;190;258;;;;;81;406;248;39;129;79;;;;59;189;186;;;;;31;;414;18;270;87;39;;;;;46;368;96;64;33;;;;18;-2;271;194;18;134;31;76;23;;2;54;540;441;257;1;51;60;1;;5;9;;64;7;0;;;0;195;;22;45;90;155;;19;;872;650;445;177;1;27;48;0;40;-2;10;0;2;8;155;19
9;2014;936;65;470;83;318;;;;;129;807;514;39;194;280;;;;;81;433;249;39;130;80;;;;61;188;215;;;;;29;;423;26;276;83;37;;;;;48;374;90;61;31;;;;16;-2;283;212;26;146;29;71;19;;1;51;468;379;176;0;58;0;0;;4;6;;61;6;0;;;0;205;;18;43;89;155;;25;;896;665;365;273;0;27;50;0;38;-2;15;8;2;5;155;25
10;2015;983;76;475;85;347;;;;;180;802;578;47;223;309;;;;;129;450;294;47;154;94;;;;108;187;228;;;;;35;;404;30;252;85;38;;;;;52;352;90;59;31;;;;16;-1;261;186;30;117;30;76;19;;1;57;466;380;175;0;45;9;0;;3;0;;59;7;0;;;0;191;0.0;17;41;104;180;;13;;888;665;362;264;0;38;29;0;38;-1;-9;-5;3;-6;180;13
11;2016;1102;86;532;91;393;;;;;247;854;681;59;268;353;;;;;195;486;376;59;196;120;;;;170;206;246;;;;;34;;421;26;264;91;40;;;;;52;368;90;57;32;;;;16;1;277;204;26;130;32;73;16;;1;57;464;374;195;0;46;5;1;;3;0;;57;7;0;;;0;197;0.0;15;35;99;164;;14;;944;726;401;287;1;37;41;0;39;1;2;7;1;-7;164;14
12;2017;1199;101;570;95;432;;;;;290;908;763;69;305;388;;;;;235;528;439;69;229;141;;;;212;227;265;;;;;36;;436;32;265;95;44;;;;;55;380;93;68;28;;;;12;-3;286;204;32;121;34;82;19;;1;64;479;386;202;0;39;4;1;;4;0;;68;9;0;;;0;189;0.0;20;43;105;169;;12;;1001;768;428;299;1;40;51;0;37;-3;17;15;0;2;169;12
13;2018;1264;104;594;87;479;;;;;314;951;833;74;327;433;;;;;251;582;465;74;243;149;;;;224;241;302;;;;;39;;431;30;268;87;46;;;;;63;369;87;61;28;;;;12;-3;281;206;30;127;35;74;19;;2;55;470;371;199;0;45;0;1;;4;0;;61;6;0;;;0;194;0.0;18;41;97;160;;14;;1050;831;440;347;1;43;44;0;34;-3;13;12;2;-1;160;14
14;2019;1284;96;616;88;484;;;;;324;960;847;74;336;438;;;;;259;588;467;74;244;150;;;;232;235;303;0.0;0.0;0.0;0.0;49;1.0;437;22;281;88;46;;;;;65;372;96;71;29;;;;12;-4;275;196;22;130;36;79;22;0.0;2;58;487;395;147;2;68;0;1;1.0;4;0;0.0;71;8;0;0.0;0.0;0;202;0.0;23;38;94;161;0.0;60;0.0;1052;805;379;371;1;53;27;0;37;-4;-6;-6;-1;1;161;60
15;2020;1368;105;669;98;496;;;;;346;1023;892;79;368;445;;;;;264;628;497;79;259;159;;;;231;266;305;0.0;0.0;0.0;0.0;57;0.0;476;27;301;98;50;;;;;82;394;101;80;29;;;;12;-8;293;197;27;132;37;96;17;0.0;2;79;623;527;265;4;67;107;0;0.0;3;0;0.0;80;7;0;0.0;0.0;0;198;0.0;16;42;122;188;0.0;50;0.0;1118;853;527;265;0;60;27;0;36;-8;-2;-2;1;-1;188;50
16;2021;1423;109;702;91;521;;;;;324;1098;938;81;385;472;;;;;252;686;510;81;266;163;;;;219;291;331;0.0;0.0;0.0;0.0;64;0.0;484;28;317;91;48;;;;;72;412;124;100;28;;;;12;-4;288;209;28;137;37;79;17;0.0;2;62;980;874;608;6;74;260;0;0.0;3;165;0.0;100;8;0;0.0;0.0;0;216;0.0;16;60;110;170;0.0;58;0.0;1205;940;893;145;0;-98;38;0;36;-4;6;-7;2;12;170;58
