ID;ArableCrops;Regions;Periods;AreaUnderCultivation_1;HarvestedArea_2;GrossYieldPerHa_3;GrossYieldTotal_4
0;Wheat (total);Nederland;1994;121587.0;121532.0;8.1;981003.0
1;Wheat (total);Nederland;1995;135412.0;134686.0;8.7;1166671.0
2;Wheat (total);Nederland;1996;141607.0;141594.0;9.0;1268938.0
3;Wheat (total);Nederland;1997;137510.0;137494.0;7.7;1062624.0
4;Wheat (total);Nederland;1998;139314.0;139153.0;7.7;1070378.0
5;Wheat (total);Nederland;1999;102779.0;102195.0;8.3;851357.0
6;Wheat (total);Nederland;2000;136686.0;136072.0;8.4;1142695.0
7;Wheat (total);Nederland;2001;124722.0;123405.0;8.0;990688.0
8;Wheat (total);Nederland;2002;135849.0;134901.0;7.8;1056640.0
9;Wheat (total);Nederland;2003;129945.0;128793.0;8.8;1130061.0
10;Wheat (total);Nederland;2004;138088.0;136904.0;8.9;1223861.0
11;Wheat (total);Nederland;2005;136710.0;135591.0;8.7;1174686.0
12;Wheat (total);Nederland;2006;141123.0;140038.0;8.5;1184454.0
13;Wheat (total);Nederland;2007;141321.0;141274.0;7.2;1018409.0
14;Wheat (total);Nederland;2008;156510.0;156510.0;8.7;1366162.0
15;Wheat (total);Nederland;2009;150981.0;150888.0;9.3;1402040.0
16;Wheat (total);Nederland;2010;154013.0;153723.0;8.9;1361964.0
17;Wheat (total);Nederland;2011;151524.0;151041.0;7.8;1175275.0
18;Wheat (total);Nederland;2012;151625.0;151625.0;8.6;1302001.0
19;Wheat (total);Nederland;2013;152754.0;152737.0;8.7;1335105.0
20;Wheat (total);Nederland;2014;142212.0;142212.0;9.2;1304054.0
21;Wheat (total);Nederland;2015;142468.0;142468.0;9.1;1300085.0
22;Wheat (total);Nederland;2016;128065.0;127328.0;8.0;1016479.0
23;Wheat (total);Nederland;2017;116429.0;115923.0;9.1;1054151.0
24;Wheat (total);Nederland;2018;112044.0;111660.0;8.8;984874.0
25;Wheat (total);Nederland;2019;121064.0;120546.0;9.6;1157429.0
26;Wheat (total);Nederland;2020;109628.0;108908.0;8.8;953863.0
27;Wheat (total);Nederland;2021;119383.0;118139.0;8.2;970501.0
28;Wheat (total);Nederland;2022;124348.0;123788.0;9.6;1190494.0
29;Wheat (total);Nederland;2023;130458.0;;;
30;Wheat (total);Noord-Nederland (LD);1994;33180.0;33133.0;7.1;234340.0
31;Wheat (total);Noord-Nederland (LD);1995;38387.0;37667.0;8.1;305583.0
32;Wheat (total);Noord-Nederland (LD);1996;41310.0;41309.0;8.2;337369.0
33;Wheat (total);Noord-Nederland (LD);1997;40736.0;40735.0;7.9;322914.0
34;Wheat (total);Noord-Nederland (LD);1998;42671.0;42564.0;7.0;296715.0
35;Wheat (total);Noord-Nederland (LD);1999;27549.0;27137.0;7.6;206678.0
36;Wheat (total);Noord-Nederland (LD);2000;41183.0;41101.0;8.0;329336.0
37;Wheat (total);Noord-Nederland (LD);2001;36929.0;36367.0;8.4;303740.0
38;Wheat (total);Noord-Nederland (LD);2002;36372.0;36067.0;7.4;265694.0
39;Wheat (total);Noord-Nederland (LD);2003;39043.0;38795.0;8.3;323250.0
40;Wheat (total);Noord-Nederland (LD);2004;41034.0;40710.0;8.4;340036.0
41;Wheat (total);Noord-Nederland (LD);2005;39489.0;39175.0;8.2;321106.0
42;Wheat (total);Noord-Nederland (LD);2006;43949.0;43577.0;7.9;345870.0
43;Wheat (total);Noord-Nederland (LD);2007;43835.0;43835.0;7.1;311542.0
44;Wheat (total);Noord-Nederland (LD);2008;47495.0;47495.0;8.4;400194.0
45;Wheat (total);Noord-Nederland (LD);2009;46201.0;46185.0;9.0;417782.0
46;Wheat (total);Noord-Nederland (LD);2010;48668.0;48535.0;8.7;422307.0
