ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
0;Total municipal tax;The Netherlands;2017;9921.0;581.0
1;Total municipal tax;The Netherlands;2018;10153.0;591.0
2;Total municipal tax;The Netherlands;2019;10508.0;608.0
3;Total municipal tax;The Netherlands;2020;10687.0;614.0
4;Total municipal tax;The Netherlands;2021;11375.0;651.0
5;Total municipal tax;The Netherlands;2022;11840.0;673.0
6;Total municipal tax;The Netherlands;2023;12781.0;717.0
7;Total municipal tax;Noord-Nederland (LD);2017;947.0;550.0
8;Total municipal tax;Noord-Nederland (LD);2018;979.0;568.0
9;Total municipal tax;Noord-Nederland (LD);2019;992.0;575.0
10;Total municipal tax;Noord-Nederland (LD);2020;1024.0;592.0
11;Total municipal tax;Noord-Nederland (LD);2021;1090.0;629.0
12;Total municipal tax;Noord-Nederland (LD);2022;1112.0;638.0
13;Total municipal tax;Noord-Nederland (LD);2023;1164.0;662.0
14;Total municipal tax;Oost-Nederland (LD);2017;1923.0;534.0
15;Total municipal tax;Oost-Nederland (LD);2018;1947.0;537.0
16;Total municipal tax;Oost-Nederland (LD);2019;1985.0;545.0
17;Total municipal tax;Oost-Nederland (LD);2020;2053.0;559.0
18;Total municipal tax;Oost-Nederland (LD);2021;2175.0;589.0
19;Total municipal tax;Oost-Nederland (LD);2022;2200.0;592.0
20;Total municipal tax;Oost-Nederland (LD);2023;2311.0;614.0
21;Total municipal tax;West-Nederland (LD);2017;5185.0;638.0
22;Total municipal tax;West-Nederland (LD);2018;5306.0;648.0
23;Total municipal tax;West-Nederland (LD);2019;5538.0;671.0
24;Total municipal tax;West-Nederland (LD);2020;5573.0;669.0
25;Total municipal tax;West-Nederland (LD);2021;5959.0;713.0
26;Total municipal tax;West-Nederland (LD);2022;6276.0;745.0
27;Total municipal tax;West-Nederland (LD);2023;6965.0;816.0
28;Total municipal tax;Zuid-Nederland (LD);2017;1867.0;514.0
29;Total municipal tax;Zuid-Nederland (LD);2018;1920.0;527.0
30;Total municipal tax;Zuid-Nederland (LD);2019;1993.0;544.0
31;Total municipal tax;Zuid-Nederland (LD);2020;2036.0;553.0
32;Total municipal tax;Zuid-Nederland (LD);2021;2151.0;583.0
33;Total municipal tax;Zuid-Nederland (LD);2022;2252.0;607.0
34;Total municipal tax;Zuid-Nederland (LD);2023;2340.0;623.0
35;Total municipal tax;Groningen (PV);2017;346.0;592.0
36;Total municipal tax;Groningen (PV);2018;358.0;614.0
37;Total municipal tax;Groningen (PV);2019;367.0;629.0
38;Total municipal tax;Groningen (PV);2020;394.0;673.0
39;Total municipal tax;Groningen (PV);2021;415.0;708.0
40;Total municipal tax;Groningen (PV);2022;437.0;740.0
41;Total municipal tax;Groningen (PV);2023;467.0;783.0
42;Total municipal tax;Fryslân (PV);2017;357.0;551.0
43;Total municipal tax;Fryslân (PV);2018;373.0;576.0
44;Total municipal tax;Fryslân (PV);2019;375.0;578.0
