ID;Geslacht;Leeftijd;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;TotaalJeugdhulpInNatura_2;TotaalJeugdhulpZonderVerblijf_3;UitgevoerdDoorHetWijkOfBuurtteam_4;TotaalNietUitgevoerd_5;AmbulanteJeugdhulpOpLocatieAanbieder_6;DaghulpOpLocatieVanDeAanbieder_7;JeugdhulpInHetNetwerkVanDeJongere_8;TotaalJeugdhulpMetVerblijf_9;Pleegzorg_10;Gezinsgericht_11;GeslotenPlaatsing_12;AnderVerblijfBijJeugdhulpaanbieder_13;TotaalJeugdbescherming_14;TotaalOndertoezichtstelling_15;Ondertoezichtstelling_16;VoorlopigeOndertoezichtstelling_17;TotaalVoogdij_18;ReguliereVoogdij_19;VoorlopigeVoogdij_20;TijdelijkeVoogdij_21;TotaalJeugdreclassering_22;ToezichtEnBegeleidingGedwongenKader_23;ToezichtEnBegeleidingVrijwillig_24;IndividueleTrajectbegeleidingHardeKern_25;IndividueleTrajectbegeleidingCriem_26;ScholingsEnTrainingsprogramma_27;GedragsbeinvloedendeMaatregel_28;VoorbereidGedragsbeinvloedMaatregel_29
0;Totaal mannen en vrouwen;Totaal;31 maart 2015;244570;228675;211540;14650;200695;172085;15845.0;31660;30645;17600;2915.0;1200.0;9915.0;33505.0;24595.0;24340.0;250.0;8935.0;8825.0;115.0;10.0;7675.0;6745.0;865.0;100.0;55.0;;140.0;145.0
1;Totaal mannen en vrouwen;Totaal;30 juni 2015;258915;244175;227505;18905;213875;184045;17230.0;33335;31060;17640;3050.0;1270.0;10160.0;32650.0;23675.0;23375.0;315.0;9025.0;8925.0;105.0;10.0;7685.0;6715.0;895.0;120.0;80.0;;140.0;145.0
2;Totaal mannen en vrouwen;Totaal;31 december 2015;264075;250215;233925;24690;215820;184550;17990.0;34795;30835;17540;3185.0;1220.0;9990.0;30875.0;21670.0;21395.0;285.0;9320.0;9205.0;115.0;;7590.0;6540.0;980.0;125.0;55.0;;135.0;140.0
3;Totaal mannen en vrouwen;Totaal;30 juni 2016;276590;264190;242430;37300;214270;181290;17570.0;33780;33770;18005;3375.0;1215.0;12580.0;30570.0;20760.0;20420.0;345.0;9825.0;9725.0;105.0;40.0;7265.0;6275.0;740.0;115.0;65.0;;15.0;225.0
4;Totaal mannen en vrouwen;Totaal;31 december 2016;279620;267580;245940;40615;215190;180175;18390.0;35945;33940;17985;3480.0;1170.0;12740.0;30295.0;20410.0;20085.0;325.0;9895.0;9755.0;110.0;25.0;6735.0;5925.0;590.0;95.0;60.0;;15.0;135.0
5;Totaal mannen en vrouwen;Totaal;30 juni 2017;291255;279935;258390;52045;220360;188215;18545.0;33660;35715;18415;3555.0;1255.0;13980.0;30780.0;20640.0;20345.0;300.0;10145.0;9990.0;125.0;45.0;6650.0;5780.0;770.0;115.0;50.0;;10.0;
6;Totaal mannen en vrouwen;Totaal;31 december 2017;283125;271565;249510;48445;214180;180060;18725.0;34915;35670;18255;3635.0;1280.0;14060.0;30780.0;20705.0;20380.0;325.0;10080.0;9935.0;105.0;40.0;6420.0;5595.0;720.0;115.0;50.0;;10.0;
7;Totaal mannen en vrouwen;Totaal;30 juni 2018;300715;289340;269245;49560;234250;191300;19520.0;45175;33135;17570;4300.0;1185.0;11200.0;31250.0;21070.0;20710.0;360.0;10195.0;10020.0;120.0;80.0;6215.0;5445.0;665.0;90.0;50.0;;10.0;
8;Totaal mannen en vrouwen;Totaal;31 december 2018;309340;297880;277880;48910;243810;199815;19785.0;46795;33060;17460;4305.0;1065.0;11405.0;31240.0;21120.0;20770.0;350.0;10130.0;9940.0;120.0;70.0;5925.0;5125.0;650.0;105.0;50.0;;15.0;
9;Totaal mannen en vrouwen;Totaal;30 juni 2019;307110;295680;275145;53305;238465;191295;20320.0;50205;33940;18700;3785.0;1075.0;11425.0;31850.0;21700.0;21360.0;345.0;10160.0;9900.0;150.0;120.0;5960.0;5195.0;680.0;130.0;35.0;;15.0;
