ID;KolenEnKoolproducten;Perioden;TotaalAanbod_1;Productie_2;HerwonnenProducten_3;InvoerTotaal_4;WaaronderUitNietEULanden_5;Uitvoer_6;Beginvoorraad_7;Eindvoorraad_8;Voorraadmutatie_9;StatistischeVerschillen_10;TotaalVerbruik_11;TotaalEnergiebedrijven_12;Cokesfabrieken_13;IndustrieTotaal_14;WaaronderIjzerEnStaalindustrie_15;TotaalOverigeVerbruikers_16
0;Steenkool;2015 januari;1601;;;1141;1134.0;;1538.0;1078.0;460.0;;1601;1220.0;251.0;130.0;128.0;0.0
1;Steenkool;2015 februari;1412;;;1444;1435.0;;1078.0;1110.0;-32.0;;1412;1078.0;213.0;121.0;119.0;0.0
2;Steenkool;2015 maart;1505;;;1624;1615.0;;1110.0;1229.0;-119.0;;1505;1128.0;241.0;137.0;135.0;0.0
3;Steenkool;2015 1e kwartaal;4518;;;4209;4184.0;;1538.0;1229.0;309.0;;4518;3426.0;704.0;388.0;382.0;0.0
4;Steenkool;2015 april;1630;;;1745;1736.0;;1229.0;1344.0;-116.0;;1630;1264.0;240.0;126.0;123.0;0.0
5;Steenkool;2015 mei;1482;;;1497;1488.0;;1344.0;1359.0;-15.0;;1482;1104.0;254.0;124.0;121.0;0.0
6;Steenkool;2015 juni;1371;;;1398;1390.0;;1359.0;1386.0;-27.0;;1371;991.0;249.0;131.0;129.0;0.0
7;Steenkool;2015 2e kwartaal;4483;;;4640;4614.0;;1229.0;1386.0;-157.0;;4483;3359.0;743.0;381.0;373.0;0.0
8;Steenkool;2015 juli;1441;;;1435;1427.0;;1386.0;1380.0;7.0;;1441;1059.0;259.0;122.0;119.0;0.0
9;Steenkool;2015 augustus;1389;;;1188;1181.0;;1380.0;1178.0;201.0;;1389;1007.0;255.0;128.0;125.0;0.0
10;Steenkool;2015 september;1717;;;1466;1458.0;;1178.0;927.0;251.0;;1717;1332.0;251.0;134.0;131.0;0.0
11;Steenkool;2015 3e kwartaal;4548;;;4089;4066.0;;1386.0;927.0;459.0;;4548;3398.0;765.0;385.0;375.0;0.0
12;Steenkool;2015 oktober;1605;;;1903;1893.0;;927.0;1225.0;-298.0;;1605;1213.0;253.0;139.0;135.0;0.0
13;Steenkool;2015 november;1314;;;1155;1148.0;;1225.0;1066.0;159.0;;1314;947.0;241.0;125.0;121.0;0.0
14;Steenkool;2015 december;1509;;;1387;1379.0;;1066.0;944.0;122.0;;1509;1133.0;262.0;115.0;111.0;0.0
15;Steenkool;2015 4e kwartaal;4428;;;4445;4420.0;;927.0;944.0;-17.0;;4428;3294.0;756.0;379.0;368.0;0.0
16;Steenkool;2015;17977;;;17383;17284.0;;1538.0;944.0;594.0;;17977;13476.0;2968.0;1533.0;1498.0;0.0
17;Steenkool;2016 januari;1356;;;1353;1352.0;;944.0;941.0;3.0;;1356;982.0;249.0;125.0;125.0;0.0
18;Steenkool;2016 februari;1359;;;1198;1197.0;;941.0;779.0;162.0;;1359;997.0;242.0;120.0;119.0;0.0
19;Steenkool;2016 maart;1486;;;1401;1401.0;;779.0;695.0;84.0;;1486;1111.0;248.0;127.0;127.0;0.0
20;Steenkool;2016 1e kwartaal;4201;;;3952;3950.0;;944.0;695.0;249.0;;4201;3090.0;739.0;372.0;371.0;0.0
21;Steenkool;2016 april;1384;;;1709;1708.0;;695.0;1020.0;-325.0;;1384;1022.0;255.0;107.0;104.0;0.0
22;Steenkool;2016 mei;1390;;;1330;1330.0;;1020.0;960.0;60.0;;1390;1030.0;231.0;130.0;126.0;0.0
23;Steenkool;2016 juni;1288;;;1674;1674.0;;960.0;1346.0;-387.0;;1288;953.0;214.0;121.0;117.0;0.0
24;Steenkool;2016 2e kwartaal;4062;;;4713;4711.0;;695.0;1346.0;-651.0;;4062;3004.0;700.0;357.0;347.0;0.0
25;Steenkool;2016 juli;1179;;;841;841.0;;1346.0;1009.0;337.0;;1179;806.0;241.0;132.0;127.0;0.0
26;Steenkool;2016 augustus;1148;;;1245;1244.0;;1009.0;1106.0;-97.0;;1148;768.0;236.0;144.0;139.0;0.0
27;Steenkool;2016 september;1414;;;1296;1295.0;;1106.0;988.0;118.0;;1414;1050.0;243.0;121.0;117.0;0.0
28;Steenkool;2016 3e kwartaal;3740;;;3382;3380.0;;1346.0;988.0;359.0;;3740;2623.0;721.0;396.0;384.0;0.0
29;Steenkool;2016 oktober;1566;;;1602;1602.0;;988.0;1024.0;-36.0;;1566;1184.0;255.0;127.0;123.0;0.0
30;Steenkool;2016 november;1490;;;1233;1232.0;;1024.0;767.0;257.0;;1490;1127.0;242.0;122.0;117.0;0.0
31;Steenkool;2016 december;1420;;;1469;1467.0;;767.0;816.0;-49.0;;1420;1056.0;239.0;124.0;119.0;0.0
32;Steenkool;2016 4e kwartaal;4476;;;4305;4301.0;;988.0;816.0;172.0;;4476;3367.0;736.0;373.0;360.0;0.0
33;Steenkool;2016;16479;;;16351;16342.0;;944.0;816.0;128.0;;16479;12085.0;2895.0;1499.0;1461.0;0.0
