ID;Leeftijd;TweedeNationaliteit;Perioden;PersonenMetNederlandseNationaliteit_1;MannenMetNederlandseNationaliteit_2;VrouwenMetNederlandseNationaliteit_3
0;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;1998;607925.0;300927.0;306998.0
1;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;1999;675812.0;336339.0;339473.0
2;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2000;735675.0;367789.0;367886.0
3;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2001;790510.0;396202.0;394308.0
4;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2002;841003.0;422057.0;418946.0
5;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2003;893484.0;448308.0;445176.0
6;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2004;938449.0;470509.0;467940.0
7;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2005;977137.0;489230.0;487907.0
8;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2006;1013489.0;506165.0;507324.0
9;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2007;1047331.0;521937.0;525394.0
10;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2008;1083856.0;538977.0;544879.0
11;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2009;1121645.0;557212.0;564433.0
12;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2010;1155387.0;573067.0;582320.0
13;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2011;1195090.0;591413.0;603677.0
14;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2012;1234642.0;609905.0;624737.0
15;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2013;1273166.0;627355.0;645811.0
16;Totaal alle leeftijden;Totaal niet-Nederlandse nationaliteiten;2014;1306274.0;643617.0;662657.0
17;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;1998;133002.0;73238.0;59764.0
18;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;1999;153591.0;84303.0;69288.0
19;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2000;175255.0;96154.0;79101.0
20;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2001;196114.0;107161.0;88953.0
21;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2002;216384.0;117833.0;98551.0
22;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2003;236038.0;127664.0;108374.0
23;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2004;251510.0;135384.0;116126.0
24;Totaal alle leeftijden;Totaal Afrikaanse nationaliteiten;2005;264599.0;141721.0;122878.0
