ID;Perioden;Hoeveelheid_1;Vetgehalte_2;Eiwitgehalte_3;Boter_4;Fabriekskaas_5;MelkpoederTotaal_6;NietMagerMelkpoeder_7;MagerMelkpoeder_8;GecondenseerdeMelk_9;Weipoeder_10
0;1995 januari;911676;4.58;3.54;14380;58071;13205;9250;3955;29397;
1;1995 februari;837617;4.52;3.48;12263;53419;10960;8349;2611;28294;
2;1995 maart;940083;4.51;3.46;12699;59799;13828;11085;2743;31102;
3;1995 april;935337;4.5;3.44;12702;57396;14758;12194;2564;30827;
4;1995 mei;985108;4.34;3.45;11979;59326;17883;13531;4352;31917;
5;1995 juni;922883;4.26;3.45;10975;54075;16668;13021;3647;31014;
6;1995 juli;936758;4.17;3.39;11343;54376;13783;10269;3514;29876;
7;1995 augustus;910404;4.14;3.37;9479;55857;11980;9553;2427;29164;
8;1995 september;848166;4.3;3.46;8811;55537;8994;6833;2161;30014;
9;1995 oktober;869100;4.39;3.55;8753;59209;9650;8361;1289;27015;
10;1995 november;839265;4.49;3.59;8610;57990;9297;7986;1311;26884;
11;1995 december;874605;4.62;3.58;10306;57842;12994;11460;1534;27594;
12;1995;10811000;4.4;3.48;132300;682900;154000;121900;32100;353100;126700.0
13;1996 januari;869458;4.64;3.55;11525;58176;11475;9062;2413;27044;
14;1996 februari;807070;4.63;3.52;10806;55043;10269;9136;1133;28139;
15;1996 maart;855588;4.58;3.47;11641;58730;10804;9313;1491;28047;
16;1996 april;909093;4.53;3.41;13313;56472;13946;10960;2986;25782;
17;1996 mei;967831;4.42;3.4;14062;58503;17714;13129;4585;28825;
18;1996 juni;924381;4.25;3.42;11242;54673;15345;12001;3344;29727;
19;1996 juli;952838;4.19;3.42;12698;55852;17897;12836;5061;26707;
20;1996 augustus;895069;4.19;3.4;9472;57550;11753;9568;2185;25326;
21;1996 september;833714;4.3;3.5;6173;58148;9343;8480;863;26214;
22;1996 oktober;854969;4.42;3.59;7685;61490;10332;9051;1281;27037;
23;1996 november;804639;4.55;3.57;7881;57263;9304;8554;750;26380;
24;1996 december;860551;4.63;3.55;11002;56200;14219;11455;2764;27873;
25;1996;10535200;4.44;3.48;127500;688100;152400;123500;28900;327100;145300.0
26;1997 januari;885014;4.65;3.54;13069;59848;12896;10589;2307;28973;
27;1997 februari;809713;4.54;3.47;10860;54369;10108;8612;1496;28359;
28;1997 maart;891462;4.46;3.41;11206;60610;11814;10011;1803;26250;
29;1997 april;906444;4.47;3.41;12447;59642;13612;10988;2624;26627;
30;1997 mei;945959;4.38;3.43;12920;60993;17148;12602;4546;29874;
31;1997 juni;904808;4.22;3.4;11700;55671;15714;9994;5720;28620;
32;1997 juli;893747;4.17;3.4;12116;56877;15172;8769;6403;27485;
33;1997 augustus;846786;4.14;3.36;10316;58009;10269;7191;3078;24652;
34;1997 september;818479;4.24;3.44;8177;58939;8846;6595;2251;26875;
35;1997 oktober;844190;4.43;3.56;9002;63175;10169;8074;2095;26737;
36;1997 november;819281;4.6;3.61;9984;58917;10491;8176;2315;27572;
37;1997 december;892618;4.62;3.56;12704;57051;15062;10169;4893;26877;
38;1997;10458500;4.41;3.46;134500;704100;151300;112300;39000;328900;127300.0
39;1998 januari;914900;4.54;3.49;14175;59031;15209;10130;5079;26581;
40;1998 februari;829400;4.53;3.46;12154;53474;11368;8350;3018;25703;
41;1998 maart;935000;4.5;3.41;13464;57734;14062;9700;4362;29894;
42;1998 april;933600;4.48;3.39;13807;56481;15165;10372;4793;24359;
43;1998 mei;982600;4.37;3.38;14422;57095;16953;11732;5221;25605;
44;1998 juni;932400;4.24;3.39;13157;52275;16530;10163;6367;21261;
45;1998 juli;906900;4.18;3.41;12769;52794;16531;10203;6328;20839;
46;1998 augustus;879400;4.17;3.44;11566;53160;14868;9440;5428;25117;
47;1998 september;816100;4.31;3.51;10325;51841;13555;8756;4799;22375;
48;1998 oktober;822500;4.46;3.55;10866;54377;12954;8536;4418;23429;
49;1998 november;798600;4.56;3.56;10519;51289;13736;8675;5061;23557;
50;1998 december;789800;4.56;3.57;11776;50050;15069;9435;5634;21380;
51;1998;10541200;4.4;3.46;149000;649600;176000;115200;60800;290100;112800.0
52;1999 januari;917179;4.44;3.47;13950;54963;15461;8162;7299;22520;
53;1999 februari;825904;4.47;3.46;12671;48630;13979;7017;6962;21323;
54;1999 maart;913657;4.45;3.43;13031;54446;15151;8460;6691;24361;
55;1999 april;921808;4.4;3.38;13253;52747;15660;9043;6617;22158;
56;1999 mei;982390;4.27;3.4;13585;55246;17789;8682;9107;23878;
57;1999 juni;952904;4.15;3.42;12983;51044;16559;8502;8057;23184;
58;1999 juli;937809;4.09;3.39;11997;54482;15911;8374;7537;23114;
59;1999 augustus;894737;4.12;3.41;10665;55283;14144;8614;5530;22041;
60;1999 september;837376;4.22;3.46;7415;55961;11581;7899;3682;21699;
61;1999 oktober;858207;4.44;3.56;9042;59188;9053;5727;3326;26921;
62;1999 november;838181;4.54;3.59;9703;57481;10385;5902;4483;25155;
63;1999 december;896649;4.57;3.57;11605;59229;13027;6897;6130;25047;
64;1999;10776800;4.32;3.44;139900;658700;168700;110100;58600;281400;111800.0
65;2000 januari;920180;4.55;3.52;12291;59295;17973;10525;7448;19651;
66;2000 februari;860157;4.49;3.46;11213;55732;13440;8938;4502;22340;
67;2000 maart;887320;4.51;3.46;12051;59466;13996;8052;5944;23693;
68;2000 april;912957;4.47;3.42;12159;56067;13960;7640;6320;22542;
69;2000 mei;955278;4.27;3.38;12160;57190;15058;9374;5684;25224;
70;2000 juni;916721;4.21;3.41;11264;55035;15408;9635;5773;23038;
71;2000 juli;913160;4.19;3.42;10486;54520;14510;8054;6456;22513;
72;2000 augustus;889049;4.18;3.42;8275;57503;13599;8716;4883;20763;
73;2000 september;862395;4.29;3.49;7065;56331;11373;6629;4744;22173;
74;2000 oktober;867685;4.44;3.61;8325;58417;11138;7237;3901;24278;
75;2000 november;839607;4.57;3.55;9589;56737;10202;6174;4028;23070;
76;2000 december;909091;4.44;3.52;11321;57307;15342;9075;6267;24215;
77;2000;10733600;4.38;3.47;126200;683600;166000;96700;69300;273500;129700.0
78;2001 januari;914682;4.61;3.51;12623;57262;14078;8410;5668;24501;
79;2001 februari;849811;4.57;3.47;11114;52207;13101;8252;4849;26714;
80;2001 maart;876672;4.57;3.48;10796;53217;13777;10245;3532;26789;
81;2001 april;917723;4.54;3.43;12206;53786;15512;8507;7005;25649;
82;2001 mei;971039;4.42;3.4;12398;55872;17203;9317;7886;25653;
83;2001 juni;951882;4.27;3.42;11885;52860;17109;10615;6494;24036;
84;2001 juli;932724;4.17;3.38;11082;56051;14159;8785;5374;23169;
85;2001 augustus;903634;4.18;3.38;9136;56910;13467;8948;4519;24614;
86;2001 september;847682;4.31;3.46;7691;53958;11593;7693;3900;24322;
87;2001 oktober;875759;4.42;3.5;10148;54474;13459;7596;5863;26246;
88;2001 november;872212;4.56;3.55;9823;52811;14679;9090;5589;27454;
89;2001 december;914581;4.65;3.57;11496;52392;17765;9355;8410;25353;
90;2001;10828400;4.44;3.46;130400;651800;175900;107900;68000;304500;105000.0
91;2002 januari;888927;4.64;3.53;11910;54338;15659;8429;7230;21941;
92;2002 februari;775809;4.54;3.48;10281;46135;14253;7835;6418;23133;
93;2002 maart;843880;4.57;3.48;10561;50341;14473;8899;5574;25321;
94;2002 april;882720;4.53;3.46;12020;53173;14848;8329;6519;22464;
95;2002 mei;915955;4.39;3.4;12157;54429;14994;8654;6340;22948;
96;2002 juni;879017;4.25;3.39;10078;50553;13221;7838;5383;21885;
97;2002 juli;885023;4.16;3.4;10793;53086;15248;9006;6242;22529;
98;2002 augustus;873311;4.15;3.35;8121;53051;12746;8514;4232;22726;
99;2002 september;822358;4.27;3.46;6416;53836;10773;6854;3919;21130;
100;2002 oktober;858195;4.46;3.57;8504;58930;11606;7375;4231;23713;
101;2002 november;836973;4.56;3.48;7496;55351;11244;7512;3732;23868;
102;2002 december;894933;4.62;3.56;11063;55776;16236;9921;6315;24142;
103;2002;10357100;4.43;3.46;119400;639000;165300;98952;66348;275800;120800.0
104;2003 januari;923581;4.58;3.52;12180;57495;16611;10210;6401;24385;
105;2003 februari;831663;4.58;3.51;10472;51642;15665;9654;6011;20968;
106;2003 maart;914580;4.51;3.48;11274;55670;16172;9683;6489;22904;
107;2003 april;902377;4.47;3.45;11184;54041;16833;10033;6800;22378;
108;2003 mei;957988;4.33;3.43;11678;55529;18056;10898;7158;24663;
109;2003 juni;886974;4.17;3.37;8941;52105;13626;8707;4919;23384;
110;2003 juli;909078;4.13;3.39;9121;54487;15551;10177;5374;22700;
111;2003 augustus;882573;4.12;3.35;7091;54426;13186;9787;3399;25555;
112;2003 september;877872;4.3;3.47;7665;55156;13073;9126;3947;21047;
113;2003 oktober;891775;4.5;3.61;7870;58276;14071;9022;5049;23981;
114;2003 november;834164;4.6;3.59;8530;54296;13551;9084;4467;22025;
115;2003 december;883774;4.56;3.53;10394;54778;15805;9714;6091;23710;
116;2003;10696400;4.43;3.47;116400;657900;182200;116861;65339;277700;104200.0
117;2004 januari;898295;4.56;3.48;9016;57011;15497;9476;6021;22578;
118;2004 februari;820157;4.52;3.45;7415;51404;13233;8710;4523;20890;
119;2004 maart;853169;4.57;3.48;9280;55869;12151;8894;3257;23925;
120;2004 april;907755;4.46;3.46;9324;55855;13146;9100;4046;23211;
121;2004 mei;933123;4.35;3.46;9229;57154;15630;10330;5300;20636;
122;2004 juni;888247;4.27;3.46;7381;53608;14139;9901;4238;25417;
123;2004 juli;896818;4.23;3.44;7722;56342;13129;9526;3603;24009;
124;2004 augustus;881526;4.19;3.38;7321;53418;11857;8736;3121;23206;
125;2004 september;852279;4.32;3.48;7487;52666;10746;7355;3391;24854;
126;2004 oktober;885904;4.46;3.58;7773;56492;12041;8000;4041;26553;
127;2004 november;850159;4.54;3.57;9306;54020;13788;9348;4440;25119;
128;2004 december;893568;4.58;3.57;9746;55462;16642;11623;5019;19703;
129;2004;10561000;4.42;3.48;101000;659300;162000;111000;51000;280100;94757.0
130;2005 januari;903748;4.56;3.52;12343;57176;15950;10857;5093;21350;
131;2005 februari;814364;4.56;3.51;10105;52076;11765;6899;4866;21206;
132;2005 maart;867684;4.56;3.51;11302;55400;15294;9980;5314;19472;
133;2005 april;897959;4.43;3.45;10407;54506;14506;9518;4988;24358;
134;2005 mei;916551;4.34;3.43;10218;55617;16306;10075;6231;24468;
135;2005 juni;879730;4.21;3.44;9880;53008;13491;8998;4493;25929;
136;2005 juli;886707;4.16;3.41;9332;55270;12431;8357;4074;26673;
137;2005 augustus;873200;4.21;3.47;9362;57370;11955;7715;4240;25319;
138;2005 september;844583;4.25;3.48;6480;55900;10821;7833;2988;25724;
139;2005 oktober;865368;4.39;3.55;8692;58626;12664;8840;3824;24775;
140;2005 november;831770;4.47;3.56;8559;56515;10307;7729;2578;28458;
141;2005 december;897236;4.56;3.57;12120;60736;14910;10401;4509;24068;
142;2005;10478900;4.39;3.49;118800;672200;160400;107200;53200;291800;68316.0
143;2006 januari;917593;4.59;3.55;13211;60737;15519;9983;5536;25502;
144;2006 februari;838236;4.57;3.53;12762;53676;13415;8183;5232;23312;
145;2006 maart;915834;4.58;3.53;13422;58430;15600;10322;5278;25161;
146;2006 april;893601;4.51;3.46;13371;60033;14492;9725;4767;25754;
147;2006 mei;938341;4.33;3.43;12828;57692;14529;9810;4719;27142;
148;2006 juni;894141;4.21;3.42;10665;58367;13880;9366;4514;24846;
149;2006 juli;884641;4.12;3.35;8805;59830;11484;7998;3486;26038;
150;2006 augustus;878191;4.2;3.41;8148;60916;9915;6775;3140;24337;
151;2006 september;841919;4.28;3.47;6138;58821;9658;7584;2074;25030;
152;2006 oktober;880013;4.35;3.53;6929;61645;10052;7738;2314;27987;
153;2006 november;851159;4.46;3.57;7530;60676;10623;7608;3015;26068;
154;2006 december;922931;4.48;3.55;11291;63177;15333;10508;4825;27723;
155;2006;10656600;4.39;3.48;125100;714000;154500;105600;48900;308900;63742.0
156;2007 januari;941646;4.47;3.51;11458;63747;14471;9017;5454;27071;
157;2007 februari;850368;4.48;3.5;11198;56640;14684;10731;3953;23456;
158;2007 maart;933867;4.46;3.49;12035;63648;14621;10328;4293;27721;
159;2007 april;916428;4.37;3.47;11726;61132;14693;10115;4578;25176;
160;2007 mei;937149;4.26;3.46;11341;62304;15256;11766;3490;32120;
161;2007 juni;876821;4.18;3.42;9972;56385;12420;9132;3288;29529;
162;2007 juli;874295;4.18;3.41;9317;59789;10177;7578;2599;27198;
163;2007 augustus;873407;4.2;3.45;9075;60202;10551;8054;2497;27216;
164;2007 september;842751;4.32;3.53;8069;59932;9084;6571;2513;22680;
165;2007 oktober;888288;4.41;3.58;10350;63067;10186;8157;2029;28034;
