ID;Perioden;ZomerhuisjesBungalowsED_1;VolkstuinhuisjesOvernachtenKan_2;Stacaravans_3;TourcaravansEnVouwwagensVasteStandpl_4;TourcaravansZonderVasteStandplaats_5;VouwwagensZonderVasteStandplaats_6;KampeerautoS_7;TenthuisjesTentenMetVasteStandpl_8;TentenZonderVasteStandplaats_9;Zeilboten_10;Motorboten_11;RoeibotenVisboten_12;KanoS_13;Surfplanken_14;Funboards_15;Jumpplanken_16;AlpineskiS_17;LanglaufskiS_18
0;1995;110;32;137;86;367;135;32;15;1823;150;100;69;113;425;61;20;751;331
1;1996;117;41;132;80;412;137;38;6;1855;152;115;98;130;406;66;7;672;352
2;1997;109;38;130;77;386;136;41;20;1800;132;117;78;140;436;55;25;707;366
3;1998;135;31;118;85;408;138;47;17;1891;115;129;86;134;356;99;10;709;394
4;1999;133;31;116;87;418;143;47;23;1884;132;133;103;132;357;105;15;689;387
