ID;Nationaliteit;Perioden;DerdelandersVerplichtingTotVertrek_1
0;Totaal;2015;19015.0
1;Totaal;2016;25310.0
2;Totaal;2017;20750.0
3;Totaal;2018;17935.0
4;Totaal;2019;25440.0
5;Totaal;2020;21100.0
6;Totaal;2021;17300.0
7;Totaal;2022;15740.0
8;Totaal;2023;21265.0
9;Afghaans;2015;470.0
10;Afghaans;2016;1200.0
11;Afghaans;2017;1130.0
12;Afghaans;2018;325.0
13;Afghaans;2019;185.0
14;Afghaans;2020;170.0
15;Afghaans;2021;110.0
16;Afghaans;2022;95.0
17;Afghaans;2023;120.0
18;Albanees;2015;640.0
19;Albanees;2016;1565.0
20;Albanees;2017;1110.0
21;Albanees;2018;1620.0
22;Albanees;2019;935.0
23;Albanees;2020;740.0
24;Albanees;2021;865.0
25;Albanees;2022;470.0
26;Albanees;2023;420.0
27;Algerijns;2015;110.0
28;Algerijns;2016;270.0
29;Algerijns;2017;355.0
30;Algerijns;2018;445.0
31;Algerijns;2019;590.0
32;Algerijns;2020;560.0
33;Algerijns;2021;415.0
34;Algerijns;2022;535.0
35;Algerijns;2023;1325.0
36;Amerikaans;2015;895.0
37;Amerikaans;2016;1265.0
38;Amerikaans;2017;1135.0
39;Amerikaans;2018;865.0
40;Amerikaans;2019;1880.0
41;Amerikaans;2020;1665.0
42;Amerikaans;2021;975.0
43;Amerikaans;2022;1065.0
44;Amerikaans;2023;920.0
45;Angolees;2015;60.0
46;Angolees;2016;65.0
47;Angolees;2017;45.0
48;Angolees;2018;35.0
49;Angolees;2019;45.0
50;Angolees;2020;30.0
51;Angolees;2021;40.0
52;Angolees;2022;15.0
53;Angolees;2023;30.0
54;Argentijns;2015;45.0
55;Argentijns;2016;60.0
56;Argentijns;2017;35.0
57;Argentijns;2018;40.0
58;Argentijns;2019;65.0
59;Argentijns;2020;75.0
60;Argentijns;2021;50.0
61;Argentijns;2022;90.0
62;Argentijns;2023;70.0
63;Armeens;2015;355.0
64;Armeens;2016;195.0
65;Armeens;2017;110.0
66;Armeens;2018;65.0
67;Armeens;2019;70.0
68;Armeens;2020;70.0
69;Armeens;2021;45.0
70;Armeens;2022;30.0
71;Armeens;2023;55.0
72;Australisch;2015;140.0
73;Australisch;2016;220.0
74;Australisch;2017;465.0
75;Australisch;2018;200.0
76;Australisch;2019;320.0
77;Australisch;2020;415.0
78;Australisch;2021;175.0
79;Australisch;2022;145.0
80;Australisch;2023;155.0
81;Azerbeidzjaans;2015;110.0
82;Azerbeidzjaans;2016;80.0
83;Azerbeidzjaans;2017;70.0
84;Azerbeidzjaans;2018;75.0
85;Azerbeidzjaans;2019;70.0
86;Azerbeidzjaans;2020;75.0
87;Azerbeidzjaans;2021;90.0
88;Azerbeidzjaans;2022;50.0
89;Azerbeidzjaans;2023;75.0
90;Bengalees;2015;50.0
91;Bengalees;2016;90.0
92;Bengalees;2017;140.0
93;Bengalees;2018;110.0
94;Bengalees;2019;70.0
95;Bengalees;2020;120.0
96;Bengalees;2021;175.0
97;Bengalees;2022;160.0
98;Bengalees;2023;440.0
99;Burger van Bosnië-Herzegovina;2015;140.0
100;Burger van Bosnië-Herzegovina;2016;290.0
101;Burger van Bosnië-Herzegovina;2017;135.0
102;Burger van Bosnië-Herzegovina;2018;105.0
103;Burger van Bosnië-Herzegovina;2019;130.0
104;Burger van Bosnië-Herzegovina;2020;50.0
105;Burger van Bosnië-Herzegovina;2021;40.0
106;Burger van Bosnië-Herzegovina;2022;40.0
107;Burger van Bosnië-Herzegovina;2023;30.0
108;Braziliaans;2015;380.0
109;Braziliaans;2016;525.0
110;Braziliaans;2017;290.0
111;Braziliaans;2018;370.0
112;Braziliaans;2019;575.0
113;Braziliaans;2020;805.0
114;Braziliaans;2021;505.0
115;Braziliaans;2022;715.0
116;Braziliaans;2023;685.0
117;Brits;2015;
118;Brits;2016;
119;Brits;2017;
120;Brits;2018;
121;Brits;2019;
122;Brits;2020;85.0
123;Brits;2021;360.0
124;Brits;2022;355.0
125;Brits;2023;380.0
126;Burundees;2015;55.0
127;Burundees;2016;35.0
128;Burundees;2017;45.0
129;Burundees;2018;25.0
130;Burundees;2019;15.0
131;Burundees;2020;15.0
132;Burundees;2021;5.0
133;Burundees;2022;0.0
134;Burundees;2023;10.0
135;Canadees;2015;165.0
136;Canadees;2016;285.0
137;Canadees;2017;400.0
138;Canadees;2018;200.0
139;Canadees;2019;355.0
140;Canadees;2020;365.0
141;Canadees;2021;200.0
142;Canadees;2022;160.0
143;Canadees;2023;145.0
144;Chileens;2015;75.0
145;Chileens;2016;60.0
146;Chileens;2017;40.0
147;Chileens;2018;55.0
148;Chileens;2019;75.0
149;Chileens;2020;70.0
150;Chileens;2021;35.0
151;Chileens;2022;75.0
152;Chileens;2023;45.0
153;Chinees;2015;1600.0
154;Chinees;2016;1715.0
155;Chinees;2017;1155.0
156;Chinees;2018;1070.0
157;Chinees;2019;1605.0
158;Chinees;2020;1530.0
159;Chinees;2021;940.0
160;Chinees;2022;765.0
161;Chinees;2023;815.0
162;Colombiaans;2015;125.0
163;Colombiaans;2016;180.0
164;Colombiaans;2017;150.0
165;Colombiaans;2018;185.0
166;Colombiaans;2019;250.0
167;Colombiaans;2020;320.0
168;Colombiaans;2021;380.0
169;Colombiaans;2022;460.0
170;Colombiaans;2023;610.0
171;Burger van Congo;2015;70.0
172;Burger van Congo;2016;70.0
173;Burger van Congo;2017;65.0
174;Burger van Congo;2018;45.0
175;Burger van Congo;2019;50.0
176;Burger van Congo;2020;25.0
177;Burger van Congo;2021;15.0
178;Burger van Congo;2022;10.0
179;Burger van Congo;2023;10.0
180;Cubaans;2015;35.0
181;Cubaans;2016;35.0
182;Cubaans;2017;90.0
183;Cubaans;2018;300.0
184;Cubaans;2019;45.0
185;Cubaans;2020;20.0
186;Cubaans;2021;15.0
187;Cubaans;2022;30.0
188;Cubaans;2023;15.0
189;Ecuadoraans;2015;65.0
190;Ecuadoraans;2016;60.0
191;Ecuadoraans;2017;25.0
192;Ecuadoraans;2018;20.0
193;Ecuadoraans;2019;35.0
194;Ecuadoraans;2020;50.0
195;Ecuadoraans;2021;35.0
196;Ecuadoraans;2022;35.0
197;Ecuadoraans;2023;40.0
198;Egyptisch;2015;245.0
199;Egyptisch;2016;260.0
200;Egyptisch;2017;235.0
201;Egyptisch;2018;215.0
202;Egyptisch;2019;220.0
203;Egyptisch;2020;205.0
204;Egyptisch;2021;205.0
205;Egyptisch;2022;150.0
206;Egyptisch;2023;225.0
207;Eritrees;2015;120.0
208;Eritrees;2016;155.0
209;Eritrees;2017;130.0
210;Eritrees;2018;230.0
211;Eritrees;2019;215.0
212;Eritrees;2020;145.0
213;Eritrees;2021;140.0
214;Eritrees;2022;55.0
215;Eritrees;2023;105.0
216;Ethiopisch;2015;125.0
217;Ethiopisch;2016;105.0
218;Ethiopisch;2017;110.0
219;Ethiopisch;2018;70.0
220;Ethiopisch;2019;50.0
221;Ethiopisch;2020;55.0
222;Ethiopisch;2021;55.0
223;Ethiopisch;2022;30.0
224;Ethiopisch;2023;100.0
225;Filippijns;2015;240.0
226;Filippijns;2016;225.0
227;Filippijns;2017;145.0
228;Filippijns;2018;125.0
229;Filippijns;2019;210.0
230;Filippijns;2020;230.0
231;Filippijns;2021;190.0
232;Filippijns;2022;185.0
233;Filippijns;2023;165.0
234;Gambiaans;2015;40.0
235;Gambiaans;2016;40.0
236;Gambiaans;2017;65.0
237;Gambiaans;2018;50.0
238;Gambiaans;2019;70.0
239;Gambiaans;2020;70.0
240;Gambiaans;2021;185.0
241;Gambiaans;2022;125.0
242;Gambiaans;2023;110.0
243;Georgisch;2015;130.0
244;Georgisch;2016;220.0
245;Georgisch;2017;345.0
246;Georgisch;2018;440.0
247;Georgisch;2019;505.0
248;Georgisch;2020;410.0
249;Georgisch;2021;305.0
250;Georgisch;2022;440.0
251;Georgisch;2023;400.0
252;Ghanees;2015;275.0
253;Ghanees;2016;265.0
254;Ghanees;2017;200.0
255;Ghanees;2018;170.0
256;Ghanees;2019;230.0
257;Ghanees;2020;200.0
258;Ghanees;2021;180.0
259;Ghanees;2022;150.0
260;Ghanees;2023;245.0
261;Guinees;2015;100.0
262;Guinees;2016;135.0
263;Guinees;2017;120.0
264;Guinees;2018;90.0
265;Guinees;2019;110.0
266;Guinees;2020;85.0
267;Guinees;2021;115.0
268;Guinees;2022;45.0
269;Guinees;2023;60.0
270;Hondurees;2015;115.0
271;Hondurees;2016;120.0
272;Hondurees;2017;20.0
273;Hondurees;2018;60.0
274;Hondurees;2019;40.0
275;Hondurees;2020;55.0
276;Hondurees;2021;105.0
277;Hondurees;2022;60.0
278;Hondurees;2023;20.0
279;Indiaas;2015;1370.0
280;Indiaas;2016;2060.0
281;Indiaas;2017;1590.0
282;Indiaas;2018;1665.0
283;Indiaas;2019;4185.0
284;Indiaas;2020;1880.0
285;Indiaas;2021;1105.0
286;Indiaas;2022;1155.0
287;Indiaas;2023;3075.0
288;Indonesisch;2015;365.0
289;Indonesisch;2016;385.0
290;Indonesisch;2017;275.0
291;Indonesisch;2018;300.0
292;Indonesisch;2019;470.0
293;Indonesisch;2020;460.0
294;Indonesisch;2021;260.0
295;Indonesisch;2022;235.0
296;Indonesisch;2023;270.0
297;Iraaks;2015;360.0
298;Iraaks;2016;1165.0
299;Iraaks;2017;1065.0
300;Iraaks;2018;370.0
301;Iraaks;2019;390.0
302;Iraaks;2020;280.0
303;Iraaks;2021;255.0
304;Iraaks;2022;165.0
305;Iraaks;2023;165.0
306;Iraans;2015;270.0
307;Iraans;2016;560.0
308;Iraans;2017;925.0
309;Iraans;2018;405.0
310;Iraans;2019;585.0
311;Iraans;2020;560.0
312;Iraans;2021;725.0
313;Iraans;2022;175.0
314;Iraans;2023;215.0
315;Israëlisch;2015;50.0
316;Israëlisch;2016;95.0
317;Israëlisch;2017;70.0
318;Israëlisch;2018;75.0
319;Israëlisch;2019;110.0
320;Israëlisch;2020;95.0
321;Israëlisch;2021;50.0
322;Israëlisch;2022;50.0
323;Israëlisch;2023;55.0
324;Ivoriaans;2015;65.0
325;Ivoriaans;2016;60.0
326;Ivoriaans;2017;40.0
327;Ivoriaans;2018;35.0
328;Ivoriaans;2019;30.0
329;Ivoriaans;2020;20.0
330;Ivoriaans;2021;25.0
331;Ivoriaans;2022;10.0
332;Ivoriaans;2023;15.0
333;Japans;2015;275.0
334;Japans;2016;525.0
335;Japans;2017;460.0
336;Japans;2018;360.0
337;Japans;2019;705.0
338;Japans;2020;635.0
339;Japans;2021;310.0
340;Japans;2022;340.0
341;Japans;2023;360.0
342;Jordaans;2015;15.0
343;Jordaans;2016;25.0
344;Jordaans;2017;40.0
345;Jordaans;2018;35.0
346;Jordaans;2019;60.0
347;Jordaans;2020;50.0
348;Jordaans;2021;80.0
349;Jordaans;2022;35.0
350;Jordaans;2023;55.0
351;Kaapverdisch;2015;55.0
352;Kaapverdisch;2016;45.0
353;Kaapverdisch;2017;30.0
354;Kaapverdisch;2018;25.0
355;Kaapverdisch;2019;25.0
356;Kaapverdisch;2020;30.0
357;Kaapverdisch;2021;15.0
358;Kaapverdisch;2022;10.0
359;Kaapverdisch;2023;10.0
360;Kameroens;2015;70.0
361;Kameroens;2016;65.0
362;Kameroens;2017;45.0
363;Kameroens;2018;55.0
364;Kameroens;2019;45.0
365;Kameroens;2020;40.0
366;Kameroens;2021;45.0
367;Kameroens;2022;30.0
368;Kameroens;2023;60.0
369;Kazachs;2015;25.0
370;Kazachs;2016;35.0
371;Kazachs;2017;35.0
372;Kazachs;2018;35.0
373;Kazachs;2019;40.0
374;Kazachs;2020;60.0
375;Kazachs;2021;40.0
376;Kazachs;2022;65.0
377;Kazachs;2023;65.0
378;Kosovaars;2015;90.0
379;Kosovaars;2016;260.0
380;Kosovaars;2017;100.0
381;Kosovaars;2018;60.0
382;Kosovaars;2019;70.0
383;Kosovaars;2020;65.0
384;Kosovaars;2021;35.0
385;Kosovaars;2022;25.0
386;Kosovaars;2023;15.0
387;Libanees;2015;45.0
388;Libanees;2016;55.0
389;Libanees;2017;60.0
390;Libanees;2018;35.0
391;Libanees;2019;45.0
392;Libanees;2020;40.0
393;Libanees;2021;80.0
394;Libanees;2022;55.0
395;Libanees;2023;50.0
396;Libisch;2015;100.0
397;Libisch;2016;105.0
398;Libisch;2017;140.0
399;Libisch;2018;105.0
400;Libisch;2019;120.0
401;Libisch;2020;100.0
402;Libisch;2021;80.0
403;Libisch;2022;60.0
404;Libisch;2023;110.0
405;Macedonisch;2015;85.0
406;Macedonisch;2016;315.0
407;Macedonisch;2017;170.0
408;Macedonisch;2018;130.0
409;Macedonisch;2019;210.0
410;Macedonisch;2020;130.0
411;Macedonisch;2021;55.0
412;Macedonisch;2022;40.0
413;Macedonisch;2023;60.0
414;Maleisisch;2015;50.0
415;Maleisisch;2016;90.0
416;Maleisisch;2017;60.0
417;Maleisisch;2018;35.0
418;Maleisisch;2019;95.0
419;Maleisisch;2020;75.0
420;Maleisisch;2021;45.0
421;Maleisisch;2022;50.0
422;Maleisisch;2023;35.0
423;Marokkaans;2015;825.0
424;Marokkaans;2016;1010.0
425;Marokkaans;2017;855.0
426;Marokkaans;2018;870.0
427;Marokkaans;2019;1235.0
428;Marokkaans;2020;1095.0
429;Marokkaans;2021;960.0
430;Marokkaans;2022;900.0
431;Marokkaans;2023;1320.0
432;Mexicaans;2015;115.0
433;Mexicaans;2016;110.0
434;Mexicaans;2017;90.0
435;Mexicaans;2018;80.0
436;Mexicaans;2019;150.0
437;Mexicaans;2020;165.0
438;Mexicaans;2021;95.0
439;Mexicaans;2022;105.0
440;Mexicaans;2023;110.0
441;Moldavisch;2015;25.0
442;Moldavisch;2016;30.0
443;Moldavisch;2017;175.0
444;Moldavisch;2018;245.0
445;Moldavisch;2019;570.0
446;Moldavisch;2020;145.0
447;Moldavisch;2021;120.0
448;Moldavisch;2022;115.0
449;Moldavisch;2023;205.0
450;Mongools;2015;330.0
451;Mongools;2016;455.0
452;Mongools;2017;45.0
453;Mongools;2018;30.0
454;Mongools;2019;40.0
455;Mongools;2020;20.0
456;Mongools;2021;20.0
457;Mongools;2022;25.0
458;Mongools;2023;45.0
459;Nepalees;2015;145.0
460;Nepalees;2016;150.0
461;Nepalees;2017;50.0
462;Nepalees;2018;50.0
463;Nepalees;2019;40.0
464;Nepalees;2020;40.0
465;Nepalees;2021;30.0
466;Nepalees;2022;25.0
467;Nepalees;2023;30.0
468;Nicaraguaans;2015;85.0
469;Nicaraguaans;2016;95.0
470;Nicaraguaans;2017;5.0
471;Nicaraguaans;2018;30.0
472;Nicaraguaans;2019;75.0
473;Nicaraguaans;2020;40.0
474;Nicaraguaans;2021;180.0
475;Nicaraguaans;2022;60.0
476;Nicaraguaans;2023;40.0
477;Nieuw-Zeelands;2015;30.0
478;Nieuw-Zeelands;2016;85.0
479;Nieuw-Zeelands;2017;105.0
480;Nieuw-Zeelands;2018;80.0
481;Nieuw-Zeelands;2019;115.0
482;Nieuw-Zeelands;2020;110.0
483;Nieuw-Zeelands;2021;75.0
484;Nieuw-Zeelands;2022;60.0
485;Nieuw-Zeelands;2023;70.0
486;Nigeriaans;2015;465.0
487;Nigeriaans;2016;525.0
488;Nigeriaans;2017;325.0
489;Nigeriaans;2018;230.0
490;Nigeriaans;2019;390.0
491;Nigeriaans;2020;360.0
492;Nigeriaans;2021;730.0
493;Nigeriaans;2022;460.0
494;Nigeriaans;2023;985.0
495;Oekraïens;2015;680.0
496;Oekraïens;2016;570.0
497;Oekraïens;2017;315.0
498;Oekraïens;2018;495.0
499;Oekraïens;2019;445.0
500;Oekraïens;2020;380.0
501;Oekraïens;2021;345.0
502;Oekraïens;2022;100.0
503;Oekraïens;2023;55.0
504;Oezbeeks;2015;20.0
505;Oezbeeks;2016;20.0
506;Oezbeeks;2017;25.0
507;Oezbeeks;2018;20.0
508;Oezbeeks;2019;35.0
509;Oezbeeks;2020;65.0
510;Oezbeeks;2021;50.0
511;Oezbeeks;2022;120.0
512;Oezbeeks;2023;180.0
513;Pakistaans;2015;255.0
514;Pakistaans;2016;240.0
515;Pakistaans;2017;205.0
516;Pakistaans;2018;150.0
517;Pakistaans;2019;215.0
518;Pakistaans;2020;200.0
519;Pakistaans;2021;210.0
520;Pakistaans;2022;150.0
521;Pakistaans;2023;230.0
522;Paraguayaans;2015;5.0
523;Paraguayaans;2016;10.0
524;Paraguayaans;2017;15.0
525;Paraguayaans;2018;5.0
526;Paraguayaans;2019;10.0
527;Paraguayaans;2020;5.0
528;Paraguayaans;2021;0.0
529;Paraguayaans;2022;5.0
530;Paraguayaans;2023;10.0
