ID;RegioS;BevolkingUltimo2006_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16358.0;11404.4;70;13.3;0;18.6;0
1;Noord-Nederland (LD);1702.0;1184.7;70;12.3;4;17.2;4
2;Oost-Nederland (LD);3469.9;2391.4;69;12.6;3;17.9;3
3;West-Nederland (LD);7639.3;5313.1;70;13.8;1;19.5;1
4;Zuid-Nederland (LD);3546.8;2515.2;71;13.1;2;18.0;2
5;Groningen (PV);573.6;399.7;70;12.1;12;16.9;12
6;Friesland (PV);642.2;443.2;69;12.2;11;17.2;11
7;Drenthe (PV);486.2;341.8;70;12.5;8;17.5;8
8;Overijssel (PV);1116.4;771.7;69;12.2;9;17.4;9
9;Flevoland (PV);374.4;245.5;66;12.2;10;18.2;5
10;Gelderland (PV);1979.1;1374.2;69;12.9;5;18.2;6
11;Utrecht (PV);1190.6;827.6;70;14.2;1;20.1;1
12;Noord-Holland (PV);2613.1;1834.0;70;14.2;2;19.8;2
13;Zuid-Holland (PV);3455.1;2386.1;69;13.6;3;19.2;3
14;Zeeland (PV);380.5;265.5;70;12.9;6;18.0;7
15;Noord-Brabant (PV);2419.0;1710.8;71;13.3;4;18.4;4
16;Limburg (PV);1127.8;804.5;71;12.7;7;17.3;10
17;Oost-Groningen (CR);153.8;107.8;70;11.6;40;16.2;40
18;Delfzijl en omgeving (CR);50.6;35.0;69;12.1;37;17.1;37
19;Overig Groningen (CR);369.2;256.9;70;12.4;31;17.2;34
20;Noord-Friesland (CR);330.8;228.0;69;12.0;39;17.0;38
21;Zuidwest-Friesland (CR);105.3;71.9;68;12.3;34;17.7;26
22;Zuidoost-Friesland (CR);206.1;143.3;70;12.3;32;17.4;32
23;Noord-Drenthe (CR);186.7;130.6;70;13.0;18;18.3;19
24;Zuidoost-Drenthe (CR);171.2;120.8;71;12.0;38;16.7;39
25;Zuidwest-Drenthe (CR);128.4;90.4;70;12.5;30;17.4;31
26;Noord-Overijssel (CR);346.9;238.4;69;12.3;33;17.6;28
27;Zuidwest-Overijssel (CR);151.3;105.6;70;12.5;29;17.6;30
28;Twente (CR);618.2;427.8;69;12.1;36;17.1;35
29;Veluwe (CR);646.7;441.2;68;12.9;23;18.6;14
30;Achterhoek (CR);401.7;282.8;70;12.7;27;17.6;29
31;Arnhem/Nijmegen (CR);697.4;493.7;71;13.0;20;18.0;23
32;Zuidwest-Gelderland (CR);233.2;156.5;67;13.0;21;19.0;10
33;Utrecht (CR);1190.6;827.6;70;14.2;3;20.1;3
34;Kop van Noord-Holland (CR);365.8;255.2;70;13.1;17;18.4;18
35;Alkmaar en omgeving (CR);228.4;162.1;71;13.8;9;19.1;9
36;IJmond (CR);189.4;133.9;71;13.9;7;19.3;8
37;Agglomeratie Haarlem (CR);216.8;155.8;72;15.5;2;21.1;2
38;Zaanstreek (CR);157.3;111.4;71;13.1;15;18.2;21
39;Groot-Amsterdam (CR);1213.5;845.3;70;14.2;4;19.8;6
40;Het Gooi en Vechtstreek (CR);241.9;170.3;70;16.1;1;22.5;1
