ID;TypeGefailleerde;RegioS;Perioden;UitgesprokenFaillissementen_1
0;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 januari;326
1;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 februari;228
2;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 maart;362
3;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 1e kwartaal;916
4;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 april;317
5;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 mei;262
6;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 juni;325
7;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 2e kwartaal;904
8;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 juli;282
9;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 augustus;261
10;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 september;285
11;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 3e kwartaal;828
12;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 oktober;309
13;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 november;283
14;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 december;289
15;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009 4e kwartaal;881
16;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2009;3529
17;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 januari;309
18;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 februari;263
19;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 maart;362
20;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 1e kwartaal;934
21;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 april;289
22;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 mei;204
23;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 juni;332
24;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 2e kwartaal;825
25;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 juli;238
26;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 augustus;305
27;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 september;261
28;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 3e kwartaal;804
29;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 oktober;241
30;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 november;305
31;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 december;220
32;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010 4e kwartaal;766
33;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2010;3329
34;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 januari;249
35;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 februari;273
36;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 maart;346
37;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 1e kwartaal;868
38;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 april;252
39;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 mei;334
40;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 juni;241
41;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 2e kwartaal;827
42;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 juli;244
43;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 augustus;307
44;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 september;267
45;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 3e kwartaal;818
46;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 oktober;276
47;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 november;386
48;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 december;239
49;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011 4e kwartaal;901
50;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2011;3414
51;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 januari;350
52;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 februari;345
53;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 maart;336
54;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 1e kwartaal;1031
55;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 april;271
56;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 mei;338
57;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 juni;292
58;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 2e kwartaal;901
59;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 juli;366
60;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 augustus;306
61;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 september;334
62;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 3e kwartaal;1006
63;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 oktober;392
64;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 november;388
65;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 december;281
66;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012 4e kwartaal;1061
67;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2012;3999
68;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 januari;370
69;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 februari;303
70;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 maart;389
71;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 1e kwartaal;1062
72;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 april;341
73;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 mei;385
74;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 juni;335
75;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 2e kwartaal;1061
76;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 juli;373
77;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 augustus;268
78;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 september;283
79;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 3e kwartaal;924
80;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 oktober;385
81;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 november;339
82;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 december;302
83;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013 4e kwartaal;1026
84;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2013;4073
85;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 januari;340
86;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 februari;291
87;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 maart;255
88;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 1e kwartaal;886
89;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 april;324
90;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 mei;240
91;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 juni;189
92;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 2e kwartaal;753
93;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 juli;235
94;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 augustus;214
95;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 september;260
96;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 3e kwartaal;709
97;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 oktober;223
98;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 november;211
99;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 december;242
100;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014 4e kwartaal;676
101;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2014;3024
102;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 januari;194
103;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 februari;199
104;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 maart;217
105;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 1e kwartaal;610
106;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 april;169
107;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 mei;137
108;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 juni;173
109;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 2e kwartaal;479
110;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 juli;159
111;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 augustus;128
112;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 september;181
113;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 3e kwartaal;468
114;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 oktober;164
115;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 november;135
116;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 december;211
117;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015 4e kwartaal;510
118;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2015;2067
119;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 januari;126
120;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 februari;134
121;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 maart;191
122;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 1e kwartaal;451
123;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 april;136
124;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 mei;148
125;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 juni;131
126;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 2e kwartaal;415
127;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 juli;117
128;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 augustus;135
129;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 september;112
130;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 3e kwartaal;364
131;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 oktober;108
132;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 november;117
133;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 december;98
134;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016 4e kwartaal;323
135;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2016;1553
136;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 januari;131
137;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 februari;110
138;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 maart;119
139;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 1e kwartaal;360
140;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 april;115
141;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 mei;138
142;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 juni;98
143;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 2e kwartaal;351
144;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 juli;95
145;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 augustus;122
146;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 september;112
147;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 3e kwartaal;329
148;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 oktober;115
149;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 november;102
150;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 december;72
151;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017 4e kwartaal;289
152;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2017;1329
153;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 januari;110
154;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 februari;81
155;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 maart;109
156;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 1e kwartaal;300
157;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 april;84
158;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 mei;92
159;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 juni;89
160;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 2e kwartaal;265
161;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 juli;84
162;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 augustus;84
163;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 september;97
164;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 3e kwartaal;265
165;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 oktober;94
166;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 november;87
167;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 december;70
168;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018 4e kwartaal;251
169;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2018;1081
170;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 januari;121
171;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 februari;108
172;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 maart;98
173;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 1e kwartaal;327
174;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 april;103
175;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 mei;77
176;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 juni;91
177;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 2e kwartaal;271
178;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 juli;98
179;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 augustus;86
180;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 september;102
181;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 3e kwartaal;286
182;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 oktober;104
183;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 november;96
184;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 december;85
185;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019 4e kwartaal;285
186;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2019;1169
187;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 januari;91
188;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 februari;116
189;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 maart;75
190;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 1e kwartaal;282
191;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 april;76
192;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 mei;102
193;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 juni;86
194;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 2e kwartaal;264
195;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 juli;59
196;Totaal natuurlijke personen;Nederland, buitenland, niet in te delen;2020 augustus;45
