ID;BedrijfstakkenBranchesSBI2008;GrootteklassenBedrijven;Perioden;TotaalMilieucompartimenten_1;Totaal_2;Totaal_3;CompartimentBodem_4;CompartimentAfval_5;CompartimentGeluid_6;CompartimentLandschap_7;TotaalKosten_8;TotaalKapitaallasten_9;Afschrijvingen_10;Rente_11;LopendeKosten_12;OverigeKosten_13;TotaalKosten_14;TotaalKapitaallasten_15;Afschrijvingen_16;Rente_17;LopendeKosten_18;AfvoerWaterzuiveringsslib_19;TotaalKosten_20;TotaalKapitaallasten_21;Afschrijvingen_22;Rente_23;LopendeKosten_24;AfvoerAfvalLuchtzuiveringsinstallaties_25;TotaalKosten_26;TotaalKapitaallasten_27;Afschrijvingen_28;Rente_29;LopendeKosten_30;Bodemsanering_31;TotaalKosten_32;TotaalKapitaallasten_33;Afschrijvingen_34;Rente_35;LopendeKosten_36;TotaalKosten_37;TotaalKapitaallasten_38;Afschrijvingen_39;Rente_40;LopendeKosten_41;TotaalKosten_42;TotaalKapitaallasten_43;Afschrijvingen_44;Rente_45;LopendeKosten_46;TotaalKosten_47;EigenMilieuonderzoek_48;Personeelskosten_49;ArbeidEigenPersoneel_50;TotaalBetaaldeOverdrachten_51;TotaalMilieuheffingenEnLeges_52;WVOHeffing_53;Rioolrecht_54;HeffingGrondwateronttrekking_55;LegesMilieuvergunningen_56;TotaalAfvoerVanAfvalstoffen_57;GevaarlijkAfval_58;OverigVastAfval_59;TotaalUitbestedeMilieuactiviteiten_60;WaterzuiveringDoorParticulieren_61;SchadebetalingenEnMilieuboeten_62;MilieuonderzoekDoorDerden_63;MilieucoordinatieDoorDerden_64;TotaalOntvangenOverdrachten_65;TotaalMilieucompartimenten_66;Totaal_67;Totaal_68;CompartimentBodem_69;CompartimentAfval_70;CompartimentGeluid_71;CompartimentLandschap_72;CompartimentAlgemeen_73
0;300002;10 en meer werknemers;2008;765.0;51.0;628.0;39.0;31.0;12.0;3.0;1461.0;733.0;531.0;201.0;505.0;223.0;347.0;155.0;115.0;40.0;152.0;40.0;651.0;390.0;287.0;103.0;247.0;13.0;154.0;81.0;53.0;28.0;41.0;32.0;87.0;50.0;37.0;13.0;37.0;48.0;38.0;27.0;11.0;10.0;36.0;18.0;12.0;6.0;17.0;138.0;57.0;80.0;1067.0;629.0;148.0;110.0;20.0;17.0;1.0;391.0;137.0;254.0;90.0;38.0;7.0;22.0;23.0;380.0;1709.0;511.0;281.0;153.0;474.0;47.0;53.0;190.0
1;300002;10 en meer werknemers;2009;493.0;42.0;397.0;35.0;8.0;10.0;1.0;1413.0;762.0;553.0;209.0;431.0;221.0;321.0;150.0;112.0;38.0;136.0;36.0;636.0;430.0;314.0;116.0;194.0;13.0;163.0;81.0;54.0;27.0;41.0;40.0;83.0;48.0;36.0;12.0;36.0;47.0;37.0;26.0;11.0;10.0;31.0;17.0;11.0;6.0;14.0;132.0;55.0;77.0;980.0;534.0;126.0;89.0;20.0;16.0;1.0;330.0;116.0;214.0;78.0;28.0;5.0;26.0;19.0;450.0;1496.0;456.0;195.0;161.0;409.0;46.0;47.0;182.0
2;300002;10 en meer werknemers;2010;573.0;59.0;424.0;49.0;21.0;;;1411.0;760.0;555.0;205.0;;;320.0;140.0;106.0;34.0;142.0;38.0;657.0;447.0;327.0;120.0;;;152.0;79.0;53.0;26.0;43.0;30.0;82.0;44.0;33.0;11.0;38.0;;;;;9.0;;;;;15.0;126.0;55.0;71.0;960.0;;;87.0;20.0;;0.0;333.0;124.0;210.0;78.0;38.0;2.0;22.0;16.0;;1428.0;463.0;148.0;151.0;411.0;43.0;46.0;167.0
3;300002;10 en meer werknemers;2011;512.0;;384.0;45.0;;15.0;6.0;1441.0;761.0;556.0;205.0;;;;;;;146.0;34.0;682.0;461.0;337.0;124.0;;;160.0;78.0;53.0;25.0;44.0;37.0;;;;;39.0;41.0;32.0;23.0;9.0;9.0;33.0;16.0;11.0;5.0;17.0;134.0;62.0;72.0;920.0;;;94.0;20.0;;0.0;349.0;135.0;214.0;77.0;35.0;2.0;22.0;17.0;;1408.0;459.0;101.0;159.0;425.0;41.0;47.0;176.0
4;300002;10 tot 50 werknemers;2008;18.0;2.0;10.0;4.0;2.0;1.0;0.0;202.0;100.0;74.0;27.0;74.0;27.0;49.0;23.0;17.0;6.0;24.0;2.0;82.0;48.0;36.0;12.0;34.0;1.0;21.0;12.0;8.0;4.0;6.0;3.0;14.0;8.0;6.0;2.0;6.0;9.0;7.0;5.0;2.0;2.0;4.0;2.0;1.0;1.0;2.0;22.0;11.0;11.0;201.0;100.0;18.0;12.0;4.0;1.0;0.0;74.0;7.0;66.0;8.0;3.0;0.0;2.0;3.0;24.0;277.0;68.0;60.0;21.0;87.0;9.0;5.0;27.0
5;300002;10 tot 50 werknemers;2009;161.0;4.0;151.0;3.0;2.0;1.0;0.0;151.0;81.0;59.0;21.0;49.0;21.0;36.0;17.0;13.0;4.0;16.0;2.0;61.0;40.0;30.0;10.0;20.0;1.0;16.0;9.0;6.0;3.0;5.0;1.0;11.0;6.0;5.0;1.0;4.0;7.0;6.0;4.0;2.0;1.0;3.0;2.0;1.0;1.0;2.0;17.0;8.0;9.0;149.0;70.0;14.0;10.0;4.0;0.0;0.0;48.0;6.0;42.0;8.0;3.0;0.0;2.0;2.0;30.0;190.0;52.0;33.0;16.0;58.0;7.0;4.0;22.0
6;300002;10 tot 50 werknemers;2010;46.0;4.0;37.0;;;;;168.0;89.0;66.0;23.0;;;40.0;18.0;14.0;4.0;19.0;2.0;69.0;45.0;33.0;11.0;;;;;;;6.0;0.0;;;;;6.0;;;;;2.0;;;;;2.0;18.0;9.0;9.0;153.0;;14.0;9.0;4.0;0.0;0.0;51.0;7.0;44.0;;3.0;0.0;2.0;;;211.0;56.0;41.0;17.0;62.0;7.0;4.0;23.0
7;300002;10 tot 50 werknemers;2011;38.0;;35.0;1.0;;;;159.0;81.0;60.0;21.0;;;;;;;19.0;2.0;64.0;41.0;31.0;10.0;;;17.0;10.0;7.0;3.0;6.0;1.0;;;;;6.0;;;;;1.0;;;;;2.0;18.0;11.0;8.0;130.0;;14.0;9.0;4.0;0.0;0.0;46.0;5.0;42.0;;4.0;;;2.0;;201.0;54.0;40.0;17.0;57.0;7.0;4.0;22.0
8;300002;50 tot 200 werknemers;2008;130.0;14.0;84.0;3.0;26.0;2.0;0.0;299.0;147.0;108.0;39.0;105.0;47.0;75.0;34.0;25.0;9.0;34.0;8.0;117.0;68.0;51.0;17.0;47.0;1.0;33.0;18.0;12.0;6.0;9.0;5.0;22.0;12.0;9.0;3.0;9.0;12.0;10.0;7.0;3.0;3.0;7.0;3.0;2.0;1.0;4.0;33.0;14.0;19.0;285.0;170.0;40.0;33.0;5.0;2.0;0.0;113.0;50.0;64.0;17.0;8.0;0.0;4.0;5.0;43.0;426.0;120.0;78.0;32.0;134.0;12.0;9.0;42.0
9;300002;50 tot 200 werknemers;2009;37.0;4.0;27.0;4.0;2.0;1.0;0.0;271.0;140.0;103.0;37.0;88.0;43.0;70.0;32.0;24.0;8.0;29.0;9.0;105.0;68.0;51.0;17.0;37.0;1.0;30.0;18.0;12.0;6.0;9.0;4.0;20.0;12.0;9.0;3.0;9.0;11.0;9.0;6.0;3.0;2.0;5.0;3.0;2.0;1.0;3.0;29.0;13.0;16.0;247.0;134.0;33.0;27.0;6.0;1.0;0.0;87.0;28.0;59.0;14.0;5.0;0.0;4.0;4.0;41.0;365.0;107.0;67.0;30.0;106.0;11.0;6.0;39.0
