ID;Perioden;InvoerprijsOpBasisVanGewicht_1;NettoVerbrandingswaarde_2;InvoerprijsOpBasisVerbrandingswaarde_3
0;1981 1e kwartaal;80.01;26.9;2.73
1;1981 2e kwartaal;89.11;26.0;3.04
2;1981 3e kwartaal;97.42;26.3;3.33
3;1981 4e kwartaal;97.23;27.1;3.32
4;1981;91.51;26.5;3.12
5;1982 1e kwartaal;100.11;26.2;3.42
6;1982 2e kwartaal;97.73;26.1;3.34
7;1982 3e kwartaal;100.8;26.8;3.44
8;1982 4e kwartaal;104.86;26.6;3.58
9;1982;101.11;26.5;3.45
10;1983 1e kwartaal;92.24;26.7;3.15
11;1983 2e kwartaal;85.34;27.0;2.91
12;1983 3e kwartaal;85.11;26.6;2.9
13;1983 4e kwartaal;85.75;27.1;2.93
14;1983;86.74;26.9;2.96
15;1984 1e kwartaal;87.81;27.0;2.99
16;1984 2e kwartaal;83.45;27.2;2.85
17;1984 3e kwartaal;83.15;27.0;2.84
18;1984 4e kwartaal;91.29;26.8;3.12
19;1984;86.58;27.0;2.95
20;1985 1e kwartaal;99.97;27.0;3.41
21;1985 2e kwartaal;96.04;27.1;3.28
22;1985 3e kwartaal;85.13;26.5;2.9
23;1985 4e kwartaal;76.25;27.3;2.6
24;1985;88.69;27.0;3.03
25;1986 1e kwartaal;68.67;27.1;2.34
26;1986 2e kwartaal;63.28;26.8;2.16
27;1986 3e kwartaal;55.81;26.9;1.91
28;1986 4e kwartaal;50.15;27.1;1.71
29;1986;59.39;27.0;2.03
30;1987 1e kwartaal;45.08;26.8;1.54
31;1987 2e kwartaal;40.21;26.8;1.37
32;1987 3e kwartaal;41.29;26.9;1.41
33;1987 4e kwartaal;38.67;26.8;1.32
34;1987;41.1;26.8;1.4
35;1988 1e kwartaal;37.62;26.7;1.28
36;1988 2e kwartaal;40.28;26.7;1.37
37;1988 3e kwartaal;42.9;27.0;1.47
38;1988 4e kwartaal;43.26;26.4;1.47
39;1988;40.76;26.7;1.39
40;1989 1e kwartaal;46.23;26.9;1.58
41;1989 2e kwartaal;51.06;27.1;1.74
42;1989 3e kwartaal;51.26;26.6;1.75
43;1989 4e kwartaal;48.62;26.5;1.66
44;1989;49.32;26.8;1.68
45;1990 1e kwartaal;45.38;26.6;1.55
46;1990 2e kwartaal;44.67;26.8;1.52
47;1990 3e kwartaal;46.66;26.6;1.59
48;1990 4e kwartaal;43.21;27.1;1.47
49;1990;44.9;26.8;1.53
50;1991 1e kwartaal;42.54;26.6;1.45
51;1991 2e kwartaal;46.65;26.8;1.59
52;1991 3e kwartaal;47.89;26.8;1.63
53;1991 4e kwartaal;45.1;27.2;1.54
54;1991;45.63;26.9;1.56
55;1992 1e kwartaal;43.2;26.5;1.47
56;1992 2e kwartaal;45.12;26.8;1.54
57;1992 3e kwartaal;42.56;26.6;1.45
58;1992 4e kwartaal;42.03;26.7;1.43
59;1992;43.08;26.7;1.47
60;1993 1e kwartaal;39.03;26.9;1.33
61;1993 2e kwartaal;37.57;26.8;1.28
62;1993 3e kwartaal;38.82;26.6;1.33
63;1993 4e kwartaal;39.66;27.1;1.35
64;1993;38.71;26.8;1.32
65;1994 1e kwartaal;38.24;26.6;1.31
