ID;BedrijfstakkenBranchesSBI93;Grootteklasse;Perioden;UitgavenTotaal_1;Totaal_2;BrutoLoonkosten_3;OverigeExploitatiekosten_4;Totaal_5;Gebouwen_6;OverigeInvesteringen_7;Totaal_8;Onderzoekers_9;Assistenten_10;OverigPersoneel_11;Totaal_12;Onderzoekers_13;Assistenten_14;OverigPersoneel_15;ArbeidsjarenTotaal_16;Onderzoekers_17;Assistenten_18;OverigPersoneel_19;BedrijvenEnInstellingenMetEigenRD_20
0;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2002;4543.0;4233.0;2553.0;1679.0;310.0;94.0;216.0;61514.0;26256.0;23886.0;11372.0;;;;;47034.0;20419.0;18754.0;7862.0;4169.0
1;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2003;4804.0;4444.0;2731.0;1713.0;361.0;90.0;271.0;57442.0;24529.0;22719.0;10194.0;6967.0;2125.0;2758.0;2083.0;44485.0;19399.0;18173.0;6912.0;3282.0
2;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2004;5071.0;;;;;;;68451.0;31278.0;23999.0;13174.0;;;;;50028.0;23247.0;19819.0;6962.0;3931.0
3;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2005;5169.0;4653.0;3017.0;1635.0;517.0;142.0;375.0;64571.0;29228.0;24652.0;10690.0;8335.0;2934.0;3160.0;2241.0;48587.0;22898.0;19681.0;6009.0;3698.0
4;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2006;5480.0;;;;;;;68699.0;36096.0;22597.0;10007.0;;;;;52841.0;28011.0;18345.0;6485.0;3433.0
5;Totaal bedrijfstakken;Totaal (10 en meer) werkzame personen;2007;5495.0;5025.0;3367.0;1658.0;470.0;169.0;301.0;61116.0;31039.0;20792.0;9285.0;10374.0;4111.0;3782.0;2482.0;49246.0;25951.0;17328.0;5967.0;2676.0
6;Totaal bedrijfstakken;10 tot 50 werkzame personen;2002;422.0;377.0;275.0;102.0;45.0;20.0;25.0;13850.0;6198.0;4879.0;2774.0;;;;;7948.0;3889.0;2701.0;1358.0;2276.0
7;Totaal bedrijfstakken;10 tot 50 werkzame personen;2003;387.0;345.0;260.0;85.0;42.0;14.0;28.0;10812.0;4966.0;3725.0;2121.0;1327.0;449.0;500.0;378.0;6306.0;3263.0;2099.0;944.0;1574.0
8;Totaal bedrijfstakken;10 tot 50 werkzame personen;2004;431.0;;;;;;;15135.0;7531.0;3699.0;3905.0;;;;;9074.0;5196.0;2544.0;1335.0;2209.0
9;Totaal bedrijfstakken;10 tot 50 werkzame personen;2005;466.0;414.0;330.0;83.0;52.0;16.0;36.0;13959.0;7358.0;3951.0;2650.0;1842.0;658.0;643.0;542.0;8755.0;5199.0;2573.0;984.0;2037.0
10;Totaal bedrijfstakken;10 tot 50 werkzame personen;2006;421.0;;;;;;;11593.0;6710.0;2968.0;1915.0;;;;;8694.0;5439.0;2223.0;1033.0;1841.0
11;Totaal bedrijfstakken;10 tot 50 werkzame personen;2007;380.0;351.0;279.0;72.0;29.0;8.0;21.0;9754.0;5755.0;2608.0;1391.0;1354.0;516.0;420.0;418.0;6628.0;4165.0;1759.0;703.0;1356.0
12;Totaal bedrijfstakken;50 tot 250 werkzame personen;2002;830.0;762.0;545.0;217.0;68.0;29.0;39.0;16049.0;6604.0;6257.0;3189.0;;;;;11222.0;4644.0;4644.0;1934.0;1393.0
13;Totaal bedrijfstakken;50 tot 250 werkzame personen;2003;898.0;821.0;575.0;246.0;77.0;24.0;53.0;15459.0;6648.0;5753.0;3058.0;2330.0;718.0;858.0;754.0;10737.0;4687.0;4216.0;1834.0;1243.0
14;Totaal bedrijfstakken;50 tot 250 werkzame personen;2004;934.0;;;;;;;17609.0;7720.0;6037.0;3852.0;;;;;11175.0;5288.0;4212.0;1675.0;1247.0
15;Totaal bedrijfstakken;50 tot 250 werkzame personen;2005;935.0;812.0;581.0;231.0;123.0;37.0;85.0;16479.0;7364.0;5990.0;3125.0;2668.0;895.0;1024.0;750.0;11079.0;5464.0;4218.0;1398.0;1217.0
