ID;Persoonskenmerken;Perioden;BangAlleenThuis_1;AngstBijHetOpenDoen_2;OnveiligePlekkenInDeBuurt_3;AanpassingUitgaansgedrag_4
0;40;1992;24.2;51.9;33.8;17.2
1;40;1993;24.6;54.4;35.1;19.0
2;40;1994;23.2;55.7;35.0;18.2
3;40;1995;22.6;55.7;34.3;17.4
4;40;1996;21.1;57.0;33.4;17.0
5;11;1992;5.7;32.9;15.3;8.1
6;11;1993;7.5;36.2;17.0;10.7
7;11;1994;5.5;36.3;16.2;9.0
8;11;1995;5.5;36.4;15.3;8.4
9;11;1996;5.3;38.5;15.8;8.5
10;12;1992;42.5;70.4;52.1;26.1
11;12;1993;41.5;72.2;52.8;27.1
12;12;1994;40.6;74.7;53.5;27.3
13;12;1995;39.5;74.5;53.1;26.1
14;12;1996;36.7;75.0;50.9;25.3
15;Lft. cat. 2: 15-24 jaar;1992;32.1;50.5;37.4;15.1
16;Lft. cat. 2: 15-24 jaar;1993;34.0;49.0;36.5;15.2
17;Lft. cat. 2: 15-24 jaar;1994;30.8;52.1;40.2;15.6
18;Lft. cat. 2: 15-24 jaar;1995;30.8;51.2;38.5;13.7
19;Lft. cat. 2: 15-24 jaar;1996;28.5;51.0;37.0;14.2
20;Lft. cat. 2: 25-44 jaar;1992;25.2;41.2;33.0;12.0
21;Lft. cat. 2: 25-44 jaar;1993;24.8;45.7;33.1;12.8
22;Lft. cat. 2: 25-44 jaar;1994;24.2;47.1;33.1;13.1
23;Lft. cat. 2: 25-44 jaar;1995;23.3;48.3;32.6;13.6
24;Lft. cat. 2: 25-44 jaar;1996;21.9;49.5;31.7;13.8
25;Lft. cat. 2: 45-64 jaar;1992;17.3;53.5;29.6;15.9
26;Lft. cat. 2: 45-64 jaar;1993;19.4;55.0;32.9;19.5
27;Lft. cat. 2: 45-64 jaar;1994;18.0;55.7;31.4;17.3
28;Lft. cat. 2: 45-64 jaar;1995;17.3;54.8;30.4;14.5
29;Lft. cat. 2: 45-64 jaar;1996;16.3;57.0;30.4;14.0
30;Lft. cat. 2: 65 jaar en ouder;1992;25.0;79.0;39.7;36.1
31;Lft. cat. 2: 65 jaar en ouder;1993;21.6;84.2;42.8;39.6
32;Lft. cat. 2: 65 jaar en ouder;1994;20.7;82.9;40.5;36.7
33;Lft. cat. 2: 65 jaar en ouder;1995;21.1;82.3;41.3;37.1
34;Lft. cat. 2: 65 jaar en ouder;1996;19.6;83.2;39.7;34.0
35;Lft. cat. 3: 15-19 jaar;1992;32.7;57.7;40.2;13.1
36;Lft. cat. 3: 15-19 jaar;1993;35.0;50.6;38.0;13.0
37;Lft. cat. 3: 15-19 jaar;1994;30.1;51.4;42.3;14.7
38;Lft. cat. 3: 15-19 jaar;1995;34.1;51.5;39.4;14.2
39;Lft. cat. 3: 15-19 jaar;1996;29.9;53.0;40.0;12.1
40;Lft. cat. 3: 20-24 jaar;1992;31.6;45.3;35.4;16.6
41;Lft. cat. 3: 20-24 jaar;1993;33.1;47.8;35.3;16.9
42;Lft. cat. 3: 20-24 jaar;1994;31.3;52.7;38.5;16.3
43;Lft. cat. 3: 20-24 jaar;1995;28.0;50.9;37.6;13.2
44;Lft. cat. 3: 20-24 jaar;1996;27.3;49.1;34.3;16.2
45;Lft. cat. 3: 25-34 jaar;1992;27.6;42.6;33.5;12.1
46;Lft. cat. 3: 25-34 jaar;1993;28.7;46.5;34.0;13.3
47;Lft. cat. 3: 25-34 jaar;1994;27.8;49.2;32.5;13.1
48;Lft. cat. 3: 25-34 jaar;1995;24.7;50.3;33.3;14.3
49;Lft. cat. 3: 25-34 jaar;1996;25.5;51.7;32.3;14.7
50;Lft. cat. 3: 35-44 jaar;1992;22.4;39.5;32.4;12.0
51;Lft. cat. 3: 35-44 jaar;1993;21.2;44.9;32.2;12.5
52;Lft. cat. 3: 35-44 jaar;1994;20.6;45.0;33.8;13.2
53;Lft. cat. 3: 35-44 jaar;1995;21.8;46.2;32.0;12.8
54;Lft. cat. 3: 35-44 jaar;1996;18.4;47.5;31.2;12.9
55;Lft. cat. 3: 45-54 jaar;1992;19.2;50.5;31.7;13.9
56;Lft. cat. 3: 45-54 jaar;1993;18.1;47.2;30.9;14.7
57;Lft. cat. 3: 45-54 jaar;1994;16.6;48.5;31.1;14.3
58;Lft. cat. 3: 45-54 jaar;1995;17.1;47.9;30.9;11.3
59;Lft. cat. 3: 45-54 jaar;1996;15.3;52.1;28.3;12.4
60;Lft. cat. 3: 55-64 jaar;1992;15.3;56.4;27.6;17.8
61;Lft. cat. 3: 55-64 jaar;1993;21.0;63.9;35.2;25.1
62;Lft. cat. 3: 55-64 jaar;1994;19.6;63.7;31.8;20.6
63;Lft. cat. 3: 55-64 jaar;1995;17.5;63.2;29.8;18.4
64;Lft. cat. 3: 55-64 jaar;1996;17.4;62.3;32.8;15.7
65;Lft. cat. 3: 65-74 jaar;1992;24.7;76.3;39.1;32.6
66;Lft. cat. 3: 65-74 jaar;1993;21.2;82.1;41.7;31.0
67;Lft. cat. 3: 65-74 jaar;1994;19.6;79.6;37.5;32.2
68;Lft. cat. 3: 65-74 jaar;1995;18.3;78.9;38.6;28.3
69;Lft. cat. 3: 65-74 jaar;1996;20.0;79.7;38.0;27.6
70;Lft. cat. 3: 75-84 jaar;1992;23.8;83.9;40.6;39.9
71;Lft. cat. 3: 75-84 jaar;1993;20.8;86.5;43.2;51.9
72;Lft. cat. 3: 75-84 jaar;1994;22.7;87.7;44.1;45.0
73;Lft. cat. 3: 75-84 jaar;1995;25.1;87.2;44.3;46.2
74;Lft. cat. 3: 75-84 jaar;1996;18.0;87.7;42.0;41.1
75;Lft. cat. 3: 85 jaar en ouder;1992;;;;
76;Lft. cat. 3: 85 jaar en ouder;1993;30.1;95.2;54.0;75.0
77;Lft. cat. 3: 85 jaar en ouder;1994;;94.2;;42.3
78;Lft. cat. 3: 85 jaar en ouder;1995;27.0;88.6;51.5;68.7
79;Lft. cat. 3: 85 jaar en ouder;1996;24.1;96.3;46.8;65.2
80;Lft. cat. 5 x gesl: man, 15-24 jaar;1992;8.1;29.5;16.6;6.5
81;Lft. cat. 5 x gesl: man, 15-24 jaar;1993;10.3;30.9;13.8;6.7
82;Lft. cat. 5 x gesl: man, 15-24 jaar;1994;11.4;33.0;18.9;6.0
83;Lft. cat. 5 x gesl: man, 15-24 jaar;1995;10.0;35.7;17.5;7.6
84;Lft. cat. 5 x gesl: man, 15-24 jaar;1996;8.7;32.7;15.5;7.4
85;Lft. cat. 5 x gesl: man, 25-44 jaar;1992;5.9;23.0;13.3;5.7
86;Lft. cat. 5 x gesl: man, 25-44 jaar;1993;6.5;27.3;16.5;6.6
87;Lft. cat. 5 x gesl: man, 25-44 jaar;1994;3.8;27.3;13.9;6.3
88;Lft. cat. 5 x gesl: man, 25-44 jaar;1995;4.2;27.6;12.9;6.7
89;Lft. cat. 5 x gesl: man, 25-44 jaar;1996;5.1;30.8;13.4;6.5
90;Lft. cat. 5 x gesl: man, 45-64 jaar;1992;2.8;36.1;13.7;7.9
91;Lft. cat. 5 x gesl: man, 45-64 jaar;1993;6.9;37.1;15.4;12.2
92;Lft. cat. 5 x gesl: man, 45-64 jaar;1994;4.0;36.9;16.4;9.8
93;Lft. cat. 5 x gesl: man, 45-64 jaar;1995;4.5;35.9;14.0;6.0
94;Lft. cat. 5 x gesl: man, 45-64 jaar;1996;3.3;38.3;15.1;6.6
95;Lft. cat. 5 x gesl: man, 65 jaar eo;1992;7.7;63.6;23.5;19.0
96;Lft. cat. 5 x gesl: man, 65 jaar eo;1993;7.7;72.5;27.5;27.2
97;Lft. cat. 5 x gesl: man, 65 jaar eo;1994;6.0;69.3;19.7;20.7
98;Lft. cat. 5 x gesl: man, 65 jaar eo;1995;5.4;67.7;23.1;20.7
99;Lft. cat. 5 x gesl: man, 65 jaar eo;1996;5.6;71.3;25.6;20.4
100;Lft. cat. 5 x gesl: vrouw, 15-24 jaar;1992;57.0;72.1;59.1;24.0
