ID;Geslacht;Leeftijd;Herkomstgroepering;Uitkeringsduur;Perioden;PersonenMetEenUitkering_1
0;1000;10000;1000;0;2005 september;1471280
1;1000;10000;1000;0;2006 september;1368450
2;1000;10000;1000;0;2007 september;1266630
3;1000;10000;1000;1;2005 september;117760
4;1000;10000;1000;1;2006 september;116780
5;1000;10000;1000;1;2007 september;96930
6;1000;10000;1000;2;2005 september;111190
7;1000;10000;1000;2;2006 september;86380
8;1000;10000;1000;2;2007 september;72620
9;1000;10000;1000;5;2005 september;155940
10;1000;10000;1000;5;2006 september;121300
11;1000;10000;1000;5;2007 september;104060
12;1000;10000;1000;6;2005 september;128060
13;1000;10000;1000;6;2006 september;106390
14;1000;10000;1000;6;2007 september;81080
15;1000;10000;1000;7;2005 september;106330
16;1000;10000;1000;7;2006 september;97300
17;1000;10000;1000;7;2007 september;82060
18;1000;10000;1000;9;2005 september;87740
19;1000;10000;1000;9;2006 september;85530
20;1000;10000;1000;9;2007 september;77630
21;1000;10000;1000;5 jaar of langer;2005 september;764260
22;1000;10000;1000;5 jaar of langer;2006 september;754780
23;1000;10000;1000;5 jaar of langer;2007 september;752250
24;1000;10000;6030;0;2005 september;1052110
25;1000;10000;6030;0;2006 september;978560
26;1000;10000;6030;0;2007 september;908060
27;1000;10000;6030;1;2005 september;76510
28;1000;10000;6030;1;2006 september;74990
29;1000;10000;6030;1;2007 september;61430
30;1000;10000;6030;2;2005 september;71950
31;1000;10000;6030;2;2006 september;55450
32;1000;10000;6030;2;2007 september;46460
33;1000;10000;6030;5;2005 september;102140
34;1000;10000;6030;5;2006 september;78110
35;1000;10000;6030;5;2007 september;66550
36;1000;10000;6030;6;2005 september;84140
37;1000;10000;6030;6;2006 september;70860
38;1000;10000;6030;6;2007 september;53020
39;1000;10000;6030;7;2005 september;72980
40;1000;10000;6030;7;2006 september;65520
41;1000;10000;6030;7;2007 september;55760
42;1000;10000;6030;9;2005 september;61500
43;1000;10000;6030;9;2006 september;59660
44;1000;10000;6030;9;2007 september;53350
45;1000;10000;6030;5 jaar of langer;2005 september;582890
46;1000;10000;6030;5 jaar of langer;2006 september;573980
47;1000;10000;6030;5 jaar of langer;2007 september;571490
48;1000;10000;1102;0;2005 september;147760
49;1000;10000;1102;0;2006 september;136470
50;1000;10000;1102;0;2007 september;124840
51;1000;10000;1102;1;2005 september;12530
52;1000;10000;1102;1;2006 september;12510
53;1000;10000;1102;1;2007 september;10720
54;1000;10000;1102;2;2005 september;11960
55;1000;10000;1102;2;2006 september;9170
56;1000;10000;1102;2;2007 september;7630
57;1000;10000;1102;5;2005 september;16880
58;1000;10000;1102;5;2006 september;12900
59;1000;10000;1102;5;2007 september;10990
60;1000;10000;1102;6;2005 september;13560
61;1000;10000;1102;6;2006 september;11350
62;1000;10000;1102;6;2007 september;8410
63;1000;10000;1102;7;2005 september;11010
64;1000;10000;1102;7;2006 september;10140
65;1000;10000;1102;7;2007 september;8590
66;1000;10000;1102;9;2005 september;8690
67;1000;10000;1102;9;2006 september;8710
68;1000;10000;1102;9;2007 september;7810
69;1000;10000;1102;5 jaar of langer;2005 september;73130
70;1000;10000;1102;5 jaar of langer;2006 september;71690
71;1000;10000;1102;5 jaar of langer;2007 september;70690
72;1000;10000;1101;0;2005 september;271410
73;1000;10000;1101;0;2006 september;253420
74;1000;10000;1101;0;2007 september;233710
75;1000;10000;1101;1;2005 september;28720
76;1000;10000;1101;1;2006 september;29280
77;1000;10000;1101;1;2007 september;24770
78;1000;10000;1101;2;2005 september;27280
79;1000;10000;1101;2;2006 september;21760
80;1000;10000;1101;2;2007 september;18520
81;1000;10000;1101;5;2005 september;36930
82;1000;10000;1101;5;2006 september;30290
83;1000;10000;1101;5;2007 september;26510
84;1000;10000;1101;6;2005 september;30360
85;1000;10000;1101;6;2006 september;24180
86;1000;10000;1101;6;2007 september;19660
87;1000;10000;1101;7;2005 september;22350
88;1000;10000;1101;7;2006 september;21640
89;1000;10000;1101;7;2007 september;17710
90;1000;10000;1101;9;2005 september;17550
91;1000;10000;1101;9;2006 september;17160
92;1000;10000;1101;9;2007 september;16460
93;1000;10000;1101;5 jaar of langer;2005 september;108240
94;1000;10000;1101;5 jaar of langer;2006 september;109110
95;1000;10000;1101;5 jaar of langer;2007 september;110070
96;1000;41500;1000;0;2005 september;73600
97;1000;41500;1000;0;2006 september;66250
98;1000;41500;1000;0;2007 september;62290
99;1000;41500;1000;1;2005 september;18470
100;1000;41500;1000;1;2006 september;15380
101;1000;41500;1000;1;2007 september;13000
102;1000;41500;1000;2;2005 september;13040
103;1000;41500;1000;2;2006 september;10700
104;1000;41500;1000;2;2007 september;8840
105;1000;41500;1000;5;2005 september;15390
106;1000;41500;1000;5;2006 september;13740
107;1000;41500;1000;5;2007 september;13360
108;1000;41500;1000;6;2005 september;10120
109;1000;41500;1000;6;2006 september;9470
110;1000;41500;1000;6;2007 september;9330
111;1000;41500;1000;7;2005 september;6750
112;1000;41500;1000;7;2006 september;6730
113;1000;41500;1000;7;2007 september;6940
114;1000;41500;1000;9;2005 september;4380
115;1000;41500;1000;9;2006 september;4740
116;1000;41500;1000;9;2007 september;5020
117;1000;41500;1000;5 jaar of langer;2005 september;5460
118;1000;41500;1000;5 jaar of langer;2006 september;5490
119;1000;41500;1000;5 jaar of langer;2007 september;5810
120;1000;41500;6030;0;2005 september;46930
121;1000;41500;6030;0;2006 september;43780
122;1000;41500;6030;0;2007 september;43200
123;1000;41500;6030;1;2005 september;11680
124;1000;41500;6030;1;2006 september;9420
125;1000;41500;6030;1;2007 september;8280
126;1000;41500;6030;2;2005 september;7750
127;1000;41500;6030;2;2006 september;6770
128;1000;41500;6030;2;2007 september;5720
129;1000;41500;6030;5;2005 september;9490
130;1000;41500;6030;5;2006 september;8900
131;1000;41500;6030;5;2007 september;9100
132;1000;41500;6030;6;2005 september;6360
133;1000;41500;6030;6;2006 september;6450
134;1000;41500;6030;6;2007 september;6710
135;1000;41500;6030;7;2005 september;4420
136;1000;41500;6030;7;2006 september;4680
137;1000;41500;6030;7;2007 september;5140
138;1000;41500;6030;9;2005 september;3090
139;1000;41500;6030;9;2006 september;3390
140;1000;41500;6030;9;2007 september;3760
141;1000;41500;6030;5 jaar of langer;2005 september;4140
142;1000;41500;6030;5 jaar of langer;2006 september;4170
143;1000;41500;6030;5 jaar of langer;2007 september;4480
144;1000;41500;1102;0;2005 september;5460
145;1000;41500;1102;0;2006 september;4890
146;1000;41500;1102;0;2007 september;4410
147;1000;41500;1102;1;2005 september;1370
148;1000;41500;1102;1;2006 september;1230
149;1000;41500;1102;1;2007 september;1010
150;1000;41500;1102;2;2005 september;1070
151;1000;41500;1102;2;2006 september;800
152;1000;41500;1102;2;2007 september;660
153;1000;41500;1102;5;2005 september;1140
154;1000;41500;1102;5;2006 september;1020
155;1000;41500;1102;5;2007 september;950
156;1000;41500;1102;6;2005 september;760
157;1000;41500;1102;6;2006 september;660
158;1000;41500;1102;6;2007 september;640
159;1000;41500;1102;7;2005 september;460
160;1000;41500;1102;7;2006 september;490
161;1000;41500;1102;7;2007 september;430
162;1000;41500;1102;9;2005 september;300
163;1000;41500;1102;9;2006 september;320
164;1000;41500;1102;9;2007 september;340
165;1000;41500;1102;5 jaar of langer;2005 september;370
166;1000;41500;1102;5 jaar of langer;2006 september;380
167;1000;41500;1102;5 jaar of langer;2007 september;370
168;1000;41500;1101;0;2005 september;21210
169;1000;41500;1101;0;2006 september;17580
170;1000;41500;1101;0;2007 september;14690
171;1000;41500;1101;1;2005 september;5420
172;1000;41500;1101;1;2006 september;4730
173;1000;41500;1101;1;2007 september;3700
174;1000;41500;1101;2;2005 september;4230
175;1000;41500;1101;2;2006 september;3140
176;1000;41500;1101;2;2007 september;2450
177;1000;41500;1101;5;2005 september;4760
178;1000;41500;1101;5;2006 september;3820
179;1000;41500;1101;5;2007 september;3310
180;1000;41500;1101;6;2005 september;2990
181;1000;41500;1101;6;2006 september;2360
182;1000;41500;1101;6;2007 september;1990
183;1000;41500;1101;7;2005 september;1870
184;1000;41500;1101;7;2006 september;1570
185;1000;41500;1101;7;2007 september;1360
186;1000;41500;1101;9;2005 september;990
187;1000;41500;1101;9;2006 september;1020
188;1000;41500;1101;9;2007 september;910
189;1000;41500;1101;5 jaar of langer;2005 september;950
190;1000;41500;1101;5 jaar of langer;2006 september;950
191;1000;41500;1101;5 jaar of langer;2007 september;970
192;1000;53500;1000;0;2005 september;193400
193;1000;53500;1000;0;2006 september;160550
194;1000;53500;1000;0;2007 september;136000
195;1000;53500;1000;1;2005 september;31830
196;1000;53500;1000;1;2006 september;27670
197;1000;53500;1000;1;2007 september;21180
198;1000;53500;1000;2;2005 september;25170
199;1000;53500;1000;2;2006 september;17900
200;1000;53500;1000;2;2007 september;12920
201;1000;53500;1000;5;2005 september;27320
202;1000;53500;1000;5;2006 september;19490
203;1000;53500;1000;5;2007 september;16130
204;1000;53500;1000;6;2005 september;22600
