ID;PrognoseInterval;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;Emigratie_4;Migratiesaldo_5
0;1;2004;194088;142261;92089;111151;-19062
1;1;2005;190547;143220;92687;109461;-16774
2;1;2006;187193;144358;94748;107962;-13214
3;1;2007;184399;145538;97843;106816;-8973
4;1;2008;182100;146853;101489;105983;-4494
5;1;2009;180326;148192;105266;105500;-234
6;1;2010;178989;149606;108655;105304;3352
7;1;2011;177913;151110;111512;105307;6205
8;1;2012;177389;152679;113732;105437;8295
9;1;2013;177408;154391;115061;105585;9476
10;1;2014;177730;156147;115646;105705;9941
11;1;2015;178361;158008;115906;105743;10163
12;1;2016;179201;159956;116045;105694;10351
13;1;2017;180217;162034;116162;105567;10595
14;1;2018;181376;164162;116230;105359;10871
15;1;2019;182611;166480;116284;105087;11197
16;1;2020;183691;168884;116312;104765;11547
17;1;2021;184759;171402;116265;104374;11891
18;1;2022;185702;174026;116217;103940;12277
19;1;2023;186507;176811;116185;103445;12740
20;1;2024;187227;179706;116134;102912;13222
21;1;2025;187805;182763;116102;102311;13791
22;1;2026;188255;185788;116050;101640;14410
23;1;2027;188615;189016;116011;100928;15083
24;1;2028;188814;192187;115968;100151;15817
25;1;2029;188961;195362;115919;99332;16587
26;1;2030;188891;198614;115878;98474;17404
27;1;2031;188715;201862;115832;97566;18266
28;1;2032;188352;204874;115789;96654;19135
29;1;2033;187793;207825;115735;95696;20039
30;1;2034;187100;210527;115704;94752;20952
31;1;2035;186307;213041;115665;93796;21869
32;1;2036;185391;215328;115612;92843;22769
33;1;2037;184505;217422;115569;91917;23652
34;1;2038;183613;219220;115519;90997;24522
35;1;2039;182832;220813;115483;90136;25347
36;1;2040;182160;222179;115442;89295;26147
37;1;2041;181620;223317;115397;88514;26883
38;1;2042;181290;224249;115354;87786;27569
39;1;2043;181139;224979;115309;87115;28194
40;1;2044;181151;225497;115258;86536;28722
41;1;2045;181385;225865;115213;86024;29189
42;1;2046;181712;226043;115179;85600;29579
43;1;2047;182217;226062;115138;85290;29848
44;1;2048;182805;225927;115093;85068;30025
45;1;2049;183486;225584;115048;84960;30088
46;1;2050;184178;225033;115012;84979;30033
47;2;2004;185438;128920;68440;87693;-54345
48;2;2005;178394;124897;60470;77525;-59718
49;2;2006;172711;122146;56943;73279;-61028
50;2;2007;168463;122144;56008;71361;-58606
51;2;2008;163908;121464;56644;66183;-55481
52;2;2009;160743;120900;58097;66685;-52288
53;2;2010;158344;121541;59689;67357;-48059
54;2;2011;154557;120664;61096;64077;-49170
55;2;2012;151980;119762;62220;60732;-44902
56;2;2013;150462;121425;62636;63170;-43184
57;2;2014;147394;123526;62491;64857;-43614
58;2;2015;147826;124671;62191;64007;-45589
59;2;2016;146633;124764;61861;62529;-42154
60;2;2017;147049;125395;61616;64282;-40434
61;2;2018;146712;126574;61366;62291;-40406
62;2;2019;146723;127592;61155;61454;-36235
63;2;2020;145122;131080;60991;60618;-36968
