ID;Leeftijdsklasse;LangeVakantiesInNederlandTotaal_1;KustgebiedenTR_2;WatersportgebiedenTR_3;BosEnHeidegebiedenNEnONedTR_4;BosEnHeidegebiedenMiddenNedTR_5;BosEnHeidegebiedenZuidNedTR_6;OverigeGebieden_7;LangeVakantiesInBuitenlandTotaal_8;Alleengaand_9;MetLedenUitEigenHuishouden_10;MetLedenUitMeerdereHuishoudens_11;Belgie_12;Duitsland_13;Frankrijk_14;Griekenland_15;Italie_16;Oostenrijk_17;Spanje_18;Turkije_19;OverigeLanden_20;VoorVakantiesInNederlEnBuitenland_21;VoorVakantiesInNederland_22;VoorVakantiesInHetBuitenland_23
0;Totaal, alle leeftijden;8055;1838;980;1630;1428;1846;331;11790;503;6404;4878;751;1232;2169;570;649;995;1610;522;3292;490;202;687
1;0-24 jaar;2397;529;266;537;373;607;86;3151;34;1815;1303;250;299;738;139;193;258;471;156;660;383;194;527
2;0-3 jaar;521;107;37;124;70;153;29;459;0;295;164;58;66;111;29;33;37;70;0;58;297;178;432
3;4-11 jaar;1116;219;120;318;174;244;41;1033;0;808;225;62;128;280;8;82;115;115;16;230;318;185;462
4;12-17 jaar;496;128;62;70;95;128;12;725;0;402;324;74;78;189;12;29;37;111;41;156;373;220;477
5;18-24 jaar;260;79;41;25;33;74;8;934;34;310;590;58;29;156;91;49;70;177;99;210;583;218;683
6;25 jaar en ouder;5663;1311;717;1094;1049;1246;246;8622;465;4583;3575;500;934;1430;430;455;734;1139;365;2635;531;205;745
