ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;Indelingswijziging_4;AantalInwoners_5;TotaalVermogenVernielingEnGeweld_6;TotaalVermogensmisdrijven_7;TotaalDiefstal_8;Fietsendiefstal_9;DiefstalOverigeVervoermiddelen_10;DiefstalUitVanafVervoermiddelen_11;ZakkenrollerijStraatroofEnBeroving_12;TotaalDiefstalUitWoningSchuurED_13;DiefstalUitNietResidentieleGebouwen_14;OverigeDiefstalInbraak_15;OverigeVermogensmisdrijven_16;TotaalVernielingTegenOpenbareOrde_17;TotaalVernieling_18;VernielingAanAuto_19;OverigeVernieling_20;OverigeVernielingTegenOpenbareOrde_21;TotaalGeweldsEnSeksueleMisdrijven_22;Mishandeling_23;BedreigingEnStalking_24;OverigeGeweldsEnSeksueleMisdrijven_25;TotaalVermogenVernielingEnGeweld_26;TotaalVermogensmisdrijven_27;TotaalDiefstalUitWoningSchuurED_28;VernielingMisdrijfTegenOpenbareOrde_29;GeweldsEnSeksueleMisdrijven_30
0;Aa en Hunze;Aa en Hunze                   ;Gemeente;GM1680    ;;25390;423.0;284.0;199.0;24.0;3.0;13.0;1.0;60.0;38.0;60.0;85.0;73.0;59.0;14.0;45.0;14.0;66.0;26.0;23.0;17.0;17.0;11.0;2.0;2.0;3.0
1;Wijk 00 Annen;Aa en Hunze                   ;Wijk    ;WK168000  ;1.0;3560;38.0;22.0;16.0;2.0;0.0;2.0;0.0;2.0;7.0;3.0;6.0;9.0;8.0;1.0;7.0;1.0;7.0;3.0;3.0;1.0;11.0;6.0;1.0;2.0;2.0
2;Annen;Aa en Hunze                   ;Buurt   ;BU16800000;1.0;3415;37.0;21.0;15.0;2.0;0.0;2.0;0.0;2.0;6.0;3.0;6.0;9.0;8.0;1.0;7.0;1.0;7.0;3.0;3.0;1.0;11.0;6.0;1.0;2.0;2.0
3;Verspreide huizen Annen;Aa en Hunze                   ;Buurt   ;BU16800009;1.0;145;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;0.0
4;Wijk 01 Eext;Aa en Hunze                   ;Wijk    ;WK168001  ;1.0;1430;19.0;16.0;12.0;0.0;1.0;0.0;0.0;3.0;4.0;4.0;4.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;13.0;11.0;2.0;1.0;1.0
5;Eext;Aa en Hunze                   ;Buurt   ;BU16800100;1.0;1260;13.0;12.0;8.0;0.0;1.0;0.0;0.0;3.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;10.0;10.0;2.0;0.0;1.0
6;Verspreide huizen Eext;Aa en Hunze                   ;Buurt   ;BU16800109;1.0;170;6.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;35.0;24.0;0.0;6.0;6.0
7;Wijk 02 Anloo;Aa en Hunze                   ;Wijk    ;WK168002  ;1.0;445;10.0;8.0;6.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;22.0;18.0;0.0;2.0;0.0
8;Anloo;Aa en Hunze                   ;Buurt   ;BU16800200;1.0;325;9.0;8.0;6.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;28.0;25.0;0.0;3.0;0.0
9;Verspreide huizen Anloo;Aa en Hunze                   ;Buurt   ;BU16800209;1.0;125;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0
