ID;CostComponents;Periods;InputPriceIndices_1;ChangesComparedToOneYearEarlier_2
0;Total building costs;2012 January;97.1;
1;Total building costs;2012 February;97.3;
2;Total building costs;2012 March;97.4;
3;Total building costs;2012 April;97.6;
4;Total building costs;2012 May;97.6;
5;Total building costs;2012 June;97.7;
6;Total building costs;2012 July;97.6;
7;Total building costs;2012 August;98.0;
8;Total building costs;2012 September;97.9;
9;Total building costs;2012 October;97.8;
10;Total building costs;2012 November;97.8;
11;Total building costs;2012 December;97.7;
12;Total building costs;2012;97.6;
13;Total building costs;2013 January;97.8;0.8
14;Total building costs;2013 February;98.0;0.8
15;Total building costs;2013 March;98.0;0.6
16;Total building costs;2013 April;97.9;0.3
17;Total building costs;2013 May;97.9;0.3
18;Total building costs;2013 June;97.8;0.1
19;Total building costs;2013 July;97.6;0.1
20;Total building costs;2013 August;97.7;-0.3
21;Total building costs;2013 September;97.6;-0.3
22;Total building costs;2013 October;97.6;-0.2
23;Total building costs;2013 November;97.7;-0.1
24;Total building costs;2013 December;97.7;-0.1
25;Total building costs;2013;97.8;0.2
26;Total building costs;2014 January;98.6;0.8
27;Total building costs;2014 February;98.5;0.5
28;Total building costs;2014 March;98.5;0.5
29;Total building costs;2014 April;98.5;0.6
30;Total building costs;2014 May;98.5;0.6
31;Total building costs;2014 June;98.5;0.7
32;Total building costs;2014 July;98.5;0.9
33;Total building costs;2014 August;98.6;0.9
34;Total building costs;2014 September;98.6;1.0
35;Total building costs;2014 October;99.1;1.5
36;Total building costs;2014 November;99.1;1.5
37;Total building costs;2014 December;99.3;1.6
38;Total building costs;2014;98.7;0.9
39;Total building costs;2015 January;99.2;0.6
40;Total building costs;2015 February;99.2;0.7
41;Total building costs;2015 March;99.4;0.9
42;Total building costs;2015 April;99.6;1.2
43;Total building costs;2015 May;99.6;1.1
44;Total building costs;2015 June;99.6;1.1
45;Total building costs;2015 July;100.2;1.7
46;Total building costs;2015 August;100.3;1.7
47;Total building costs;2015 September;100.3;1.7
48;Total building costs;2015 October;100.7;1.7
49;Total building costs;2015 November;100.8;1.7
50;Total building costs;2015 December;101.1;1.9
51;Total building costs;2015;100.0;1.3
52;Total building costs;2016 January;101.2;2.0
53;Total building costs;2016 February;101.2;2.0
54;Total building costs;2016 March;101.3;2.0
55;Total building costs;2016 April;100.9;1.2
56;Total building costs;2016 May;101.1;1.5
57;Total building costs;2016 June;101.2;1.6
58;Total building costs;2016 July;102.0;1.8
59;Total building costs;2016 August;102.1;1.8
60;Total building costs;2016 September;102.0;1.7
61;Total building costs;2016 October;102.1;1.4
62;Total building costs;2016 November;102.3;1.5
63;Total building costs;2016 December;102.3;1.2
64;Total building costs;2016;101.7;1.7
65;Total building costs;2017 January;102.9;1.7
66;Total building costs;2017 February;103.0;1.8
67;Total building costs;2017 March;103.2;1.8
68;Total building costs;2017 April;103.5;2.6
69;Total building costs;2017 May;103.4;2.3
70;Total building costs;2017 June;103.5;2.3
71;Total building costs;2017 July;103.6;1.6
72;Total building costs;2017 August;104.4;2.2
73;Total building costs;2017 September;104.4;2.3
74;Total building costs;2017 October;104.7;2.5
75;Total building costs;2017 November;105.0;2.6
76;Total building costs;2017 December;104.6;2.2
77;Total building costs;2017;103.9;2.2
78;Total building costs;2018 January;105.5;2.5
79;Total building costs;2018 February;105.6;2.5
80;Total building costs;2018 March;105.3;2.1
81;Total building costs;2018 April;105.6;2.0
82;Total building costs;2018 May;105.8;2.3
83;Total building costs;2018 June;106.0;2.4
84;Total building costs;2018 July;106.6;2.9
85;Total building costs;2018 August;107.3;2.8
86;Total building costs;2018 September;107.7;3.2
87;Total building costs;2018 October;107.5;2.7
88;Total building costs;2018 November;107.3;2.2
89;Total building costs;2018 December;107.6;2.9
90;Total building costs;2018;106.5;2.5
91;Total building costs;2019 January;108.6;3.0
92;Total building costs;2019 February;108.6;2.8
93;Total building costs;2019 March;108.7;3.2
94;Total building costs;2019 April;108.8;3.0
95;Total building costs;2019 May;108.9;3.0
96;Total building costs;2019 June;109.0;2.8
97;Total building costs;2019 July;110.3;3.4
98;Total building costs;2019 August;109.9;2.5
99;Total building costs;2019 September;110.1;2.2
100;Total building costs;2019 October;110.0;2.4
101;Total building costs;2019 November;110.0;2.5
102;Total building costs;2019 December;110.8;3.0
103;Total building costs;2019;109.5;2.8
104;Total building costs;2020 January;111.7;2.8
105;Total building costs;2020 February;111.7;2.8
106;Total building costs;2020 March;111.6;2.7
107;Total building costs;2020 April;111.1;2.1
108;Total building costs;2020 May;111.1;2.0
109;Total building costs;2020 June;111.1;2.0
110;Total building costs;2020 July;112.2;1.7
111;Total building costs;2020 August;112.5;2.3
112;Total building costs;2020 September;112.3;2.0
113;Total building costs;2020 October;112.1;1.9
114;Total building costs;2020 November;112.2;2.0
115;Total building costs;2020 December;113.2;2.1
116;Total building costs;2020;111.9;2.2
117;Total building costs;2021 January;114.0;2.1
118;Total building costs;2021 February;114.0;2.1
119;Total building costs;2021 March;114.3;2.4
120;Total building costs;2021 April;115.1;3.6
121;Total building costs;2021 May;115.9;4.4
122;Total building costs;2021 June;116.9;5.2
123;Total building costs;2021 July;118.2;5.4
124;Total building costs;2021 August;118.0;5.0
125;Total building costs;2021 September;118.3;5.4
126;Total building costs;2021 October;119.1;6.3
127;Total building costs;2021 November;119.3;6.3
128;Total building costs;2021 December;119.5;5.6
129;Total building costs;2021;116.9;4.5
130;Total building costs;2022 January;122.5;7.5
131;Total building costs;2022 February;123.1;8.0
132;Total building costs;2022 March;125.2;9.6
133;Total building costs;2022 April;127.4;10.6
134;Total building costs;2022 May;128.0;10.4
135;Total building costs;2022 June;127.5;9.1
136;Total building costs;2022 July;128.5;8.7
137;Total building costs;2022 August;128.7;9.0
138;Total building costs;2022 September;129.6;9.5
139;Total building costs;2022 October;130.0;9.1
140;Total building costs;2022 November;129.7;8.8
141;Total building costs;2022 December;129.7;8.5
