ID;WijkenEnBuurten1997;RegioAanduiding_1;StedelijkheidGemeenteWijkOfBuurt_2;Gemeentenaam_3;Gemeentecode_4;Wijkcode_5;Buurtcode_6;OmgevingsadressenDichtheid_7;MeestVoorkomendeNumeriekePostcode_8;AdressenMetDezelfdePostcode_9;Inwoners_10;Mannen_11;Vouwen_12;Personen014Jaar_13;Personen1524Jaar_14;Personen2544Jaar_15;Personen4564Jaar_16;Personen65JaarEnOuder_17;NietInGezinsverbandLevendePersonen_18;Gezinnen_19;GezinnenMetKinderen_20;GezinsgrootteGemiddelde_21;Allochtonen_22;GemiddeldInkomenPerInwoner_23;GemiddeldInkomenPerInkomensontvanger_24;HogeInkomens_25;LageInkomens_26;NietActieven_27;GemiddeldeWOZWaardeVanWoningen_28;Vestigingen_29;IndustrieEnNijverheid_30;TotaalCommercieleDienstverlening_31;Groothandel_32;Detailhandel_33;Horeca_34;ZakelijkeDienstverlening_35;OverigeCommercieleDienstverlening_36;OverigeNietCommDienstverlening_37
0;3;G   ;4.0;Appingedam                         ;3;   ;   ;940.0;;;12310;5940;6380;16.0;13.0;29.0;25.0;18.0;22.0;3310;57.0;2.9;2.0;8645.0;13228.0;15.0;47.0;23.0;52.0;6;14.0;66.0;3.0;34.0;7.0;6.0;16.0;21.0
1;300;W   ;4.0;Appingedam                         ;3;00 ;   ;940.0;;;12310;5940;6380;16.0;13.0;29.0;25.0;18.0;22.0;3310;57.0;2.9;2.0;8645.0;13228.0;15.0;47.0;23.0;52.0;6;14.0;66.0;3.0;34.0;7.0;6.0;16.0;21.0
2;30000;B   ;3.0;Appingedam                         ;3;00 ;00 ;1023.0;9901.0;1.0;2290;1030;1250;11.0;10.0;24.0;24.0;31.0;32.0;570;45.0;2.7;0.0;10029.0;13500.0;14.0;45.0;22.0;49.0;5;8.0;74.0;1.0;48.0;11.0;5.0;10.0;18.0
3;30001;B   ;4.0;Appingedam                         ;3;00 ;01 ;725.0;9903.0;5.0;2960;1480;1480;19.0;12.0;33.0;25.0;11.0;14.0;860;61.0;3.0;0.0;8962.0;15270.0;23.0;37.0;18.0;74.0;3;;;;;;;;
4;30002;B   ;3.0;Appingedam                         ;3;00 ;02 ;1035.0;9902.0;1.0;6650;3200;3450;16.0;14.0;29.0;25.0;17.0;22.0;1770;58.0;2.9;4.0;7987.0;12184.0;12.0;53.0;26.0;44.0;4;17.0;57.0;3.0;20.0;3.0;5.0;26.0;26.0
5;30007;B   ;5.0;Appingedam                         ;3;00 ;07 ;156.0;9902.0;5.0;160;90;70;18.0;13.0;37.0;24.0;8.0;20.0;40;;;;8191.0;12456.0;;49.0;;;1;;;;;;;;
6;30008;B   ;5.0;Appingedam                         ;3;00 ;08 ;56.0;9902.0;1.0;110;60;60;18.0;11.0;29.0;34.0;8.0;10.0;30;;;;;;;;;;1;;;;;;;;
7;30009;B   ;5.0;Appingedam                         ;3;00 ;09 ;122.0;9901.0;1.0;140;70;70;15.0;16.0;25.0;36.0;8.0;13.0;40;;;;9734.0;16450.0;33.0;;;;1;;;;;;;;
8;5;G   ;4.0;Bedum                              ;5;   ;   ;556.0;;;10490;5260;5220;21.0;13.0;30.0;24.0;11.0;15.0;2750;65.0;3.2;0.0;8372.0;13999.0;20.0;40.0;17.0;67.0;6;19.0;59.0;6.0;20.0;6.0;9.0;18.0;22.0
9;500;W   ;4.0;Bedum                              ;5;00 ;   ;556.0;;;10480;5270;5220;21.0;13.0;30.0;24.0;11.0;15.0;2750;65.0;3.2;0.0;8372.0;13999.0;20.0;40.0;17.0;67.0;6;19.0;59.0;6.0;20.0;6.0;9.0;18.0;22.0
10;50000;B   ;4.0;Bedum                              ;5;00 ;00 ;672.0;9781.0;1.0;7170;3570;3610;20.0;14.0;30.0;24.0;13.0;16.0;1890;63.0;3.2;;8486.0;13863.0;19.0;42.0;19.0;67.0;5;17.0;62.0;6.0;24.0;6.0;8.0;18.0;21.0
11;50001;B   ;5.0;Bedum                              ;5;00 ;01 ;414.0;9781.0;1.0;1040;530;510;29.0;13.0;35.0;19.0;4.0;9.0;260;76.0;3.6;;7669.0;15406.0;23.0;28.0;92.0;81.0;0;;;;;;;;
12;50002;B   ;5.0;Bedum                              ;5;00 ;02 ;402.0;9785.0;2.0;1020;510;500;19.0;11.0;30.0;28.0;13.0;18.0;280;61.0;3.0;;9212.0;14158.0;18.0;38.0;21.0;67.0;3;;;;;;;;
13;50003;B   ;5.0;Bedum                              ;5;00 ;03 ;230.0;9785.0;2.0;140;70;70;19.0;20.0;29.0;25.0;7.0;11.0;40;;;;;;;;;;1;;;;;;;;
14;50004;B   ;5.0;Bedum                              ;5;00 ;04 ;109.0;9959.0;1.0;680;340;340;23.0;10.0;31.0;23.0;12.0;17.0;180;62.0;3.2;;7374.0;13160.0;22.0;38.0;11.0;52.0;2;;;;;;;;
15;50005;B   ;5.0;Bedum                              ;5;00 ;05 ;44.0;9959.0;1.0;110;70;50;32.0;;27.0;23.0;;;20;;;;6308.0;13954.0;;;;;1;;;;;;;;
16;50006;B   ;5.0;Bedum                              ;5;00 ;06 ;94.0;9784.0;1.0;170;90;80;21.0;13.0;25.0;35.0;6.0;9.0;40;;;;8803.0;15769.0;;35.0;;75.0;1;;;;;;;;
17;50007;B   ;5.0;Bedum                              ;5;00 ;07 ;26.0;9784.0;1.0;150;90;70;28.0;11.0;30.0;25.0;7.0;12.0;40;;;;8032.0;13250.0;;35.0;;;1;;;;;;;;
18;7;G   ;5.0;Bellingwedde                       ;7;   ;   ;144.0;;;9490;4760;4730;17.0;9.0;28.0;29.0;17.0;17.0;2720;55.0;2.9;0.0;8486.0;12910.0;14.0;48.0;28.0;64.0;6;21.0;60.0;8.0;20.0;8.0;5.0;18.0;19.0
19;700;W   ;5.0;Bellingwedde                       ;7;00 ;   ;116.0;;;4060;2010;2050;16.0;10.0;28.0;29.0;17.0;19.0;1160;53.0;2.8;;8395.0;12887.0;14.0;47.0;30.0;60.0;5;19.0;60.0;7.0;20.0;9.0;4.0;20.0;21.0
20;70000;B   ;5.0;Bellingwedde                       ;7;00 ;00 ;153.0;9695.0;1.0;2290;1110;1180;15.0;10.0;27.0;29.0;19.0;21.0;640;53.0;2.8;;8463.0;13001.0;15.0;48.0;25.0;60.0;4;18.0;56.0;3.0;18.0;9.0;3.0;24.0;26.0
