ID;PeriodeBeginHuwelijkSamenwoning;TotaalOngehuwdSamenwonendeVrouwen_1;RelatieVerbrokenBinnen1JrSamenwonen_2;RelatieVerbrokenBinnen2JrSamenwonen_3;RelatieVerbrokenBinnen3JrSamenwonen_4;RelatieVerbrokenBinnen4JrSamenwonen_5;RelatieVerbrokenBinnen8JrSamenwonen_6;RelatieVerbrokenBinn13JrSamenwonen_7;RelatieVerbrokenBinn18JrSamenwonen_8;TotaalGehuwdeVrouwenRespondenten_9;GescheidenBinnen1JaarHuwelijk_10;GescheidenBinnen2JaarHuwelijk_11;GescheidenBinnen3JaarHuwelijk_12;GescheidenBinnen4JaarHuwelijk_13;GescheidenBinnen8JaarHuwelijk_14;GescheidenBinnen13JaarHuwelijk_15;GescheidenBinnen18JaarHuwelijk_16
0;1970-1974;98;4;7;10;10;20.0;20.0;23.0;446;0;1;1;1;5.0;11.0;15.0
1;1975-1979;153;4;8;12;14;22.0;25.0;27.0;413;0;1;2;3;8.0;11.0;17.0
2;1980-1984;268;4;7;11;13;19.0;21.0;;304;0;3;3;5;11.0;16.0;
3;1985-1989;282;3;6;11;15;20.0;;;269;0;2;4;4;14.0;;
4;1990-1994;344;6;12;15;18;;;;201;1;5;7;9;;;
