ID;Geslacht;Leeftijd;RegioS;Perioden;AO_1;WAO_2;Wajong_3;WAZ_4
0;Geslacht totaal;Leeftijd totaal;Regio totaal;1998 1e kwartaal;888170.0;716500.0;114090.0;57590.0
1;Geslacht totaal;Leeftijd totaal;Regio totaal;1998 2e kwartaal;892550.0;719280.0;115430.0;57850.0
2;Geslacht totaal;Leeftijd totaal;Regio totaal;1998 3e kwartaal;895160.0;721360.0;115990.0;57820.0
3;Geslacht totaal;Leeftijd totaal;Regio totaal;1998 4e kwartaal;906840.0;728700.0;119380.0;58760.0
4;Geslacht totaal;Leeftijd totaal;Regio totaal;1999 1e kwartaal;909960.0;733070.0;119450.0;57450.0
5;Geslacht totaal;Leeftijd totaal;Regio totaal;1999 2e kwartaal;914980.0;737490.0;120460.0;57030.0
6;Geslacht totaal;Leeftijd totaal;Regio totaal;1999 3e kwartaal;920120.0;740900.0;122530.0;56690.0
7;Geslacht totaal;Leeftijd totaal;Regio totaal;1999 4e kwartaal;925900.0;745650.0;123560.0;56680.0
8;Geslacht totaal;Leeftijd totaal;Regio totaal;2000 1e kwartaal;937540.0;755720.0;124660.0;57160.0
9;Geslacht totaal;Leeftijd totaal;Regio totaal;2000 2e kwartaal;943550.0;760540.0;125560.0;57450.0
10;Geslacht totaal;Leeftijd totaal;Regio totaal;2000 3e kwartaal;945800.0;762230.0;126290.0;57290.0
11;Geslacht totaal;Leeftijd totaal;Regio totaal;2000 4e kwartaal;956980.0;772000.0;127350.0;57630.0
12;Geslacht totaal;Leeftijd totaal;Regio totaal;2001 1e kwartaal;964710.0;779150.0;128140.0;57420.0
13;Geslacht totaal;Leeftijd totaal;Regio totaal;2001 2e kwartaal;972610.0;786600.0;128830.0;57190.0
14;Geslacht totaal;Leeftijd totaal;Regio totaal;2001 3e kwartaal;973490.0;787030.0;129610.0;56850.0
15;Geslacht totaal;Leeftijd totaal;Regio totaal;2001 4e kwartaal;981210.0;793660.0;130480.0;57080.0
16;Geslacht totaal;Leeftijd totaal;Regio totaal;2002 1e kwartaal;985080.0;797080.0;131300.0;56700.0
17;Geslacht totaal;Leeftijd totaal;Regio totaal;2002 2e kwartaal;987580.0;798820.0;131980.0;56790.0
18;Geslacht totaal;Leeftijd totaal;Regio totaal;2002 3e kwartaal;988200.0;798440.0;133030.0;56720.0
19;Geslacht totaal;Leeftijd totaal;Regio totaal;2002 4e kwartaal;992800.0;801520.0;134230.0;57050.0
20;Geslacht totaal;Leeftijd totaal;Regio totaal;2003 1e kwartaal;991820.0;799880.0;135100.0;56840.0
21;Geslacht totaal;Leeftijd totaal;Regio totaal;2003 2e kwartaal;989010.0;795890.0;135950.0;57160.0
22;Geslacht totaal;Leeftijd totaal;Regio totaal;2003 3e kwartaal;984620.0;790460.0;137010.0;57150.0
23;Geslacht totaal;Leeftijd totaal;Regio totaal;2003 4e kwartaal;981750.0;787100.0;138000.0;56650.0
24;Geslacht totaal;Leeftijd totaal;Regio totaal;2004 1e kwartaal;972010.0;777610.0;138850.0;55550.0
25;Geslacht totaal;Leeftijd totaal;Regio totaal;2004 2e kwartaal;968160.0;772780.0;139990.0;55400.0
26;Geslacht totaal;Leeftijd totaal;Regio totaal;2004 3e kwartaal;964310.0;767720.0;141470.0;55110.0
27;Geslacht totaal;Leeftijd totaal;Regio totaal;2004 4e kwartaal;960570.0;762650.0;142380.0;55530.0
28;Geslacht totaal;Leeftijd totaal;Regio totaal;2005 1e kwartaal;950360.0;751900.0;143550.0;54910.0
29;Geslacht totaal;Leeftijd totaal;Regio totaal;2005 2e kwartaal;934470.0;734840.0;144380.0;55250.0
30;Geslacht totaal;Leeftijd totaal;Regio totaal;2005 3e kwartaal;917910.0;718790.0;145730.0;53380.0
31;Geslacht totaal;Leeftijd totaal;Regio totaal;2005 4e kwartaal;899310.0;699990.0;147020.0;52300.0
32;Geslacht totaal;Leeftijd totaal;Regio totaal;2006 1e kwartaal;885190.0;685080.0;149040.0;51070.0
33;Geslacht totaal;Leeftijd totaal;Regio totaal;2006 2e kwartaal;869140.0;668740.0;150890.0;49510.0
