ID;Inkomenspositie;TotaalAlleVermogensklassen_1;VermogensklasseMinderDan0Euro_2;Vermogensklasse02500Euro_3;Vermogensklasse25005000Euro_4;Vermogensklasse500010000Euro_5;Vermogensklasse10000EuroEnMeer_6
0;1;100;;;;;
1;2;100;21.0;36.0;10.0;10.0;23.0
2;3;100;12.0;9.0;5.0;6.0;67.0
