ID;RegioS;BedrijfstakkenBranchesSBI93;Perioden;Investeringen_1;GrondEnTerreinen_2;Bedrijfsruimten_3;GrondWaterEnWegenbouwkundigeWerken_4;Vervoermiddelen_5;ComputersEnRandapparatuur_6;MachinesEnInstallaties_7;OverigeMaterieleVasteActiva_8
0;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2000;717.8;0.2;5.1;482.2;1.8;10.5;213.9;4.1
1;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2001;779.3;0.1;5.5;245.6;0.1;13.2;509.2;5.6
2;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2002;;;;;;;;
3;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2003;;;;;;;;
4;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2004;;;;;;;;
5;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2005;;;;;;;;
6;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2006;;;;;;;;
7;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2007;;;;;;;;
8;Nederland Totaal;CA Energiehoudende delfstoffenwinning;2008;;;;;;;;
9;Nederland Totaal;11 Aardolie- en aardgaswinning;2000;717.7;0.2;5.1;482.2;1.8;10.5;213.9;4.0
10;Nederland Totaal;11 Aardolie- en aardgaswinning;2001;779.1;0.1;5.5;245.6;0.1;13.2;509.1;5.6
11;Nederland Totaal;11 Aardolie- en aardgaswinning;2002;1212.2;0.6;2.5;536.3;0.1;41.2;622.8;8.8
12;Nederland Totaal;11 Aardolie- en aardgaswinning;2003;;;;;;;;
13;Nederland Totaal;11 Aardolie- en aardgaswinning;2004;;;;;;;;
14;Nederland Totaal;11 Aardolie- en aardgaswinning;2005;;;;;;;;
15;Nederland Totaal;11 Aardolie- en aardgaswinning;2006;;;;;;;;
16;Nederland Totaal;11 Aardolie- en aardgaswinning;2007;;;;;;;;
17;Nederland Totaal;11 Aardolie- en aardgaswinning;2008;;;;;;;;
18;Nederland Totaal;D Industrie;2000;8094.2;116.2;1301.2;80.5;318.5;472.9;5249.2;555.6
19;Nederland Totaal;D Industrie;2001;7368.6;84.5;1029.8;156.9;271.3;472.8;4778.1;575.3
20;Nederland Totaal;D Industrie;2002;7862.2;83.2;1244.8;93.6;237.7;382.4;5369.1;451.3
21;Nederland Totaal;D Industrie;2003;7237.6;59.3;974.3;73.7;248.8;344.0;5094.4;443.2
22;Nederland Totaal;D Industrie;2004;6532.9;100.4;1114.0;101.3;242.0;310.4;4113.3;551.5
23;Nederland Totaal;D Industrie;2005;6700.1;47.3;895.9;63.8;244.6;305.5;4579.5;563.6
24;Nederland Totaal;D Industrie;2006;7198.3;68.4;1149.8;70.9;274.5;274.6;4721.3;638.7
25;Nederland Totaal;D Industrie;2007;7916.3;92.3;1210.7;103.0;307.7;297.6;5244.4;660.6
26;Nederland Totaal;D Industrie;2008;8054.7;102.1;1128.8;89.6;359.7;241.9;5426.6;705.9
27;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2000;1487.6;25.7;260.3;10.9;53.2;52.2;920.3;165.0
28;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2001;1517.6;12.3;210.3;55.2;56.0;60.4;954.3;169.0
29;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2002;1571.6;20.7;279.0;12.2;54.9;53.4;1020.4;131.0
30;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2003;1479.1;9.8;231.7;13.7;51.9;50.7;1022.1;99.2
31;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2004;1581.8;36.5;326.8;11.1;38.8;46.7;983.6;138.4
32;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2005;1626.2;9.2;270.7;16.9;44.0;43.8;1119.6;122.1
33;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2006;1411.7;13.3;198.9;15.8;38.7;40.3;998.6;106.1
34;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2007;1641.8;14.0;226.7;12.0;45.4;30.9;1194.1;118.7
35;Nederland Totaal;DA Voedings- en genotmiddelenindustrie;2008;1538.2;17.9;237.0;7.8;52.4;31.9;1068.9;122.2
36;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2000;1422.2;25.7;250.8;10.6;51.6;48.1;873.4;162.1
37;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2001;1441.6;12.3;198.4;54.9;55.3;55.3;901.8;163.7
38;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2002;1490.7;20.7;270.8;12.0;54.4;49.7;959.0;124.1
39;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2003;1403.7;9.8;220.6;13.2;50.3;45.8;966.9;97.1
40;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2004;;;;;;;;
41;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2005;1596.2;9.2;268.0;16.8;43.8;40.5;1101.1;116.7
42;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2006;1346.1;13.3;197.5;15.7;38.2;36.6;943.1;101.7
43;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2007;1561.4;13.9;220.6;12.0;45.3;30.4;1128.9;110.4
44;Nederland Totaal;15 Voedingsmiddelen- en drankenindustrie;2008;1416.1;17.5;220.4;7.8;52.3;30.1;970.3;117.7
45;Nederland Totaal;16 Tabaksverwerkende industrie;2000;65.4;0.0;9.6;0.3;1.6;4.1;46.9;2.9
46;Nederland Totaal;16 Tabaksverwerkende industrie;2001;76.0;0.0;11.9;0.3;0.7;5.1;52.6;5.4
47;Nederland Totaal;16 Tabaksverwerkende industrie;2002;80.9;0.0;8.2;0.2;0.5;3.7;61.4;7.0
48;Nederland Totaal;16 Tabaksverwerkende industrie;2003;75.4;0.0;11.1;0.5;1.5;5.0;55.2;2.1
49;Nederland Totaal;16 Tabaksverwerkende industrie;2004;;;;;;;;
50;Nederland Totaal;16 Tabaksverwerkende industrie;2005;30.1;0.0;2.6;0.0;0.2;3.3;18.5;5.5
51;Nederland Totaal;16 Tabaksverwerkende industrie;2006;65.6;0.0;1.4;0.1;0.5;3.7;55.5;4.5
52;Nederland Totaal;16 Tabaksverwerkende industrie;2007;80.4;0.1;6.1;0.0;0.1;0.5;65.3;8.3
53;Nederland Totaal;16 Tabaksverwerkende industrie;2008;122.0;0.3;16.6;0.0;0.2;1.8;98.6;4.6
54;Nederland Totaal;DE Papier-, karton- en grafische ind.;2000;901.6;6.1;144.7;1.9;33.2;115.6;535.3;64.8
55;Nederland Totaal;DE Papier-, karton- en grafische ind.;2001;792.3;6.4;97.2;1.6;19.5;95.5;501.5;70.6
56;Nederland Totaal;DE Papier-, karton- en grafische ind.;2002;829.2;6.3;146.4;1.8;15.3;71.4;544.7;43.2
57;Nederland Totaal;DE Papier-, karton- en grafische ind.;2003;561.8;2.7;72.9;0.9;24.2;45.5;375.8;39.8
58;Nederland Totaal;DE Papier-, karton- en grafische ind.;2004;690.0;9.2;64.2;2.0;21.0;60.9;481.4;51.3
59;Nederland Totaal;DE Papier-, karton- en grafische ind.;2005;743.4;1.2;71.1;2.8;17.7;55.9;533.9;60.7
60;Nederland Totaal;DE Papier-, karton- en grafische ind.;2006;;;;;;;;
61;Nederland Totaal;DE Papier-, karton- en grafische ind.;2007;565.5;3.5;66.3;1.8;19.9;41.8;379.0;53.2
62;Nederland Totaal;DE Papier-, karton- en grafische ind.;2008;600.7;8.0;78.4;2.9;18.5;39.1;398.5;55.3
63;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2000;300.3;1.6;46.2;0.8;4.0;9.2;227.0;11.5
64;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2001;273.2;2.1;36.0;0.3;3.5;14.3;201.9;15.2
65;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2002;374.7;3.4;53.1;0.6;2.9;11.5;287.9;15.3
66;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2003;204.7;1.1;19.4;0.3;3.6;7.2;166.2;7.0
67;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2004;331.8;1.1;31.5;1.4;5.5;8.9;276.9;6.6
68;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2005;364.8;0.5;33.1;2.6;5.1;6.9;300.7;15.9
69;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2006;;;;;;;;
70;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2007;196.6;2.9;23.2;0.8;4.9;8.0;147.5;9.3
71;Nederland Totaal;21 Papier(waren)- en karton(waren)ind.;2008;187.6;0.5;13.9;1.1;4.4;5.3;150.0;12.3
72;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2000;216.4;3.5;29.0;4.3;1.2;14.3;159.3;4.9
73;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2001;130.4;4.0;9.6;3.6;0.9;6.2;97.5;8.7
74;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2002;351.2;0.2;12.7;1.2;0.9;6.1;326.7;3.4
75;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2003;286.0;0.0;12.6;5.4;1.9;3.2;258.6;4.2
76;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2004;310.3;0.1;18.1;13.0;1.3;2.4;261.3;14.2
77;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2005;434.4;0.7;26.1;1.6;0.6;7.1;354.1;44.2
78;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2006;;;;;;;;
79;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2007;582.6;0.1;9.8;5.6;3.5;3.8;546.3;13.5
80;Nederland Totaal;DF Aardolie-, steenkoolverwerkende ind.;2008;;;;;;;;
81;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2000;216.4;3.5;29.0;4.3;1.2;14.3;159.3;4.9
82;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2001;130.4;4.0;9.6;3.6;0.9;6.2;97.5;8.7
83;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2002;351.2;0.2;12.7;1.2;0.9;6.1;326.7;3.4
84;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2003;286.0;0.0;12.6;5.4;1.9;3.2;258.6;4.2
85;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2004;310.3;0.1;18.1;13.0;1.3;2.4;261.3;14.2
86;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2005;434.4;0.7;26.1;1.6;0.6;7.1;354.1;44.2
87;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2006;403.6;3.1;19.7;5.1;1.3;4.3;266.5;103.5
88;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2007;582.6;0.1;9.8;5.6;3.5;3.8;546.3;13.5
89;Nederland Totaal;23 Aardolie-, steenkoolverwerkende ind.;2008;;;;;;;;
90;Nederland Totaal;DG Chemische industrie;2000;1476.9;5.2;155.8;29.0;13.9;57.9;1141.4;73.6
91;Nederland Totaal;DG Chemische industrie;2001;1211.3;9.9;110.1;27.8;10.8;42.2;940.4;70.2
92;Nederland Totaal;DG Chemische industrie;2002;2003.7;0.6;225.9;31.5;8.9;39.4;1655.9;41.6
93;Nederland Totaal;DG Chemische industrie;2003;2088.6;2.7;135.2;19.0;9.2;44.6;1810.3;67.6
94;Nederland Totaal;DG Chemische industrie;2004;1349.0;0.8;217.4;38.4;10.4;41.4;972.2;68.4
95;Nederland Totaal;DG Chemische industrie;2005;1277.6;1.9;123.4;14.7;8.7;39.2;1048.4;41.3
96;Nederland Totaal;DG Chemische industrie;2006;1734.2;1.5;224.3;23.7;12.9;22.7;1362.4;86.6
97;Nederland Totaal;DG Chemische industrie;2007;1244.0;19.7;129.0;33.4;10.1;29.4;916.6;105.7
98;Nederland Totaal;DG Chemische industrie;2008;;;;;;;;
99;Nederland Totaal;24 Chemische industrie;2000;1476.9;5.2;155.8;29.0;13.9;57.9;1141.4;73.6
100;Nederland Totaal;24 Chemische industrie;2001;1211.3;9.9;110.1;27.8;10.8;42.2;940.4;70.2
101;Nederland Totaal;24 Chemische industrie;2002;2003.7;0.6;225.9;31.5;8.9;39.4;1655.9;41.6
102;Nederland Totaal;24 Chemische industrie;2003;2088.6;2.7;135.2;19.0;9.2;44.6;1810.3;67.6
103;Nederland Totaal;24 Chemische industrie;2004;1349.0;0.8;217.4;38.4;10.4;41.4;972.2;68.4
104;Nederland Totaal;24 Chemische industrie;2005;1277.6;1.9;123.4;14.7;8.7;39.2;1048.4;41.3
105;Nederland Totaal;24 Chemische industrie;2006;1734.2;1.5;224.3;23.7;12.9;22.7;1362.4;86.6
106;Nederland Totaal;24 Chemische industrie;2007;1244.0;19.7;129.0;33.4;10.1;29.4;916.6;105.7
107;Nederland Totaal;24 Chemische industrie;2008;;;;;;;;
108;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2000;325.5;2.6;51.6;2.5;9.5;12.8;213.6;33.0
109;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2001;330.9;2.7;43.4;2.2;7.7;12.3;248.7;14.0
110;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2002;305.8;1.5;31.4;1.4;7.5;13.2;229.5;21.3
111;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2003;307.8;3.7;41.4;1.4;9.3;11.4;214.2;26.5
112;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2004;291.2;1.5;38.8;0.7;11.7;13.9;201.0;23.5
113;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2005;285.0;1.7;37.0;1.2;9.2;11.3;200.8;23.7
114;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2006;253.9;3.1;27.4;1.0;8.3;7.6;186.1;20.3
115;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2007;356.2;1.7;49.6;0.6;9.7;9.2;257.6;27.7
116;Nederland Totaal;DH Rubber- en kunststofverwerkende ind.;2008;269.9;2.2;38.5;6.1;8.6;8.9;185.2;20.4
117;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2000;325.5;2.6;51.6;2.5;9.5;12.8;213.6;33.0
118;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2001;330.9;2.7;43.4;2.2;7.7;12.3;248.7;14.0
119;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2002;305.8;1.5;31.4;1.4;7.5;13.2;229.5;21.3
120;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2003;307.8;3.7;41.4;1.4;9.3;11.4;214.2;26.5
121;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2004;291.2;1.5;38.8;0.7;11.7;13.9;201.0;23.5
122;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2005;285.0;1.7;37.0;1.2;9.2;11.3;200.8;23.7
123;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2006;253.9;3.1;27.4;1.0;8.3;7.6;186.1;20.3
124;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2007;356.2;1.7;49.6;0.6;9.7;9.2;257.6;27.7
125;Nederland Totaal;25 Rubber- en kunststofverwerkende ind.;2008;269.9;2.2;38.5;6.1;8.6;8.9;185.2;20.4
126;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2000;370.9;6.7;59.2;4.7;33.0;12.4;235.0;19.8
127;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2001;407.8;2.8;57.3;15.0;22.7;12.4;276.2;21.4
128;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2002;336.3;9.7;53.9;5.5;17.0;12.7;217.9;19.6
129;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2003;234.6;4.7;26.9;6.1;17.0;9.5;155.9;14.4
130;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2004;241.5;8.5;32.3;7.6;12.1;6.4;162.6;12.1
131;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2005;193.4;3.0;24.4;3.8;17.0;6.5;122.6;16.0
132;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2006;271.9;10.6;30.5;5.1;21.6;6.8;179.8;17.6
133;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2007;300.3;6.5;43.4;6.1;19.7;7.6;193.7;23.3
134;Nederland Totaal;DI Glas-, aardewerk-, cement-, kalkind.;2008;315.7;5.1;31.2;5.8;26.5;5.3;228.2;13.6
135;Nederland Totaal;26 Glas-, aardewerk-, cement-, kalkind.;2000;370.9;6.7;59.2;4.7;33.0;12.4;235.0;19.8
136;Nederland Totaal;26 Glas-, aardewerk-, cement-, kalkind.;2001;407.8;2.8;57.3;15.0;22.7;12.4;276.2;21.4
137;Nederland Totaal;26 Glas-, aardewerk-, cement-, kalkind.;2002;336.3;9.7;53.9;5.5;17.0;12.7;217.9;19.6
