ID;Periods;OutputAtBasicPrices_1;IntermediateConsumption_2;Total_3;AAgricultureForestryAndFishing_4;Total_5;BMiningAndQuarrying_6;CManufacturing_7;DElectricityAndGasSupply_8;EWaterSupplyAndWasteManagement_9;FConstruction_10;GITradeTransportHotelsCatering_11;JInformationAndCommunication_12;KFinancialInstitutions_13;LRentingBuyingSellingRealEstate_14;MNBusinessServices_15;OQGovernmentAndCare_16;RUCultureRecreationOtherServices_17;TaxesLessSubsidiesOnProducts_18;TaxesOnProducts_19;SubsidiesOnProducts_20;GrossDomesticProduct_21;OutputAtBasicPrices_22;IntermediateConsumption_23;Total_24;AAgricultureForestryAndFishing_25;Total_26;BMiningAndQuarrying_27;CManufacturing_28;DElectricityAndGasSupply_29;EWaterSupplyAndWasteManagement_30;FConstruction_31;GITradeTransportHotelsCatering_32;JInformationAndCommunication_33;KFinancialInstitutions_34;LRentingBuyingSellingRealEstate_35;MNBusinessServices_36;OQGovernmentAndCare_37;RUCultureRecreationOtherServices_38;TaxesLessSubsidiesOnProducts_39;TaxesOnProducts_40;SubsidiesOnProducts_41;GrossDomesticProduct_42;OutputAtBasicPrices_43;IntermediateConsumption_44;Total_45;AAgricultureForestryAndFishing_46;Total_47;BMiningAndQuarrying_48;CManufacturing_49;DElectricityAndGasSupply_50;EWaterSupplyAndWasteManagement_51;FConstruction_52;GITradeTransportHotelsCatering_53;JInformationAndCommunication_54;KFinancialInstitutions_55;LRentingBuyingSellingRealEstate_56;MNBusinessServices_57;OQGovernmentAndCare_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;GrossDomesticProduct_63;OutputAtBasicPrices_64;IntermediateConsumption_65;Total_66;AAgricultureForestryAndFishing_67;Total_68;BMiningAndQuarrying_69;CManufacturing_70;DElectricityAndGasSupply_71;EWaterSupplyAndWasteManagement_72;FConstruction_73;GITradeTransportHotelsCatering_74;JInformationAndCommunication_75;KFinancialInstitutions_76;LRentingBuyingSellingRealEstate_77;MNBusinessServices_78;OQGovernmentAndCare_79;RUCultureRecreationOtherServices_80;TaxesLessSubsidiesOnProducts_81;TaxesOnProducts_82;SubsidiesOnProducts_83;GrossDomesticProduct_84;Total_85;WagesAndSalaries_86;EmployersSocialContributions_87;TaxesLessSubsidies_88;TaxesOnProductionAndImports_89;Subsidies_90;Total_91;ConsumptionOfFixedCapital_92;NetOperatingSurplusMixedIncome_93;GrossDomesticProduct_94;Total_95;WagesAndSalaries_96;EmployersSocialContributions_97;TaxesLessSubsidies_98;TaxesOnProductionAndImports_99;Subsidies_100;Total_101;ConsumptionOfFixedCapital_102;NetOperatingSurplusMixedIncome_103;GrossDomesticProduct_104;Total_105;WagesAndSalaries_106;EmployersSocialContributions_107;TaxesLessSubsidies_108;TaxesOnProductionAndImports_109;Subsidies_110;Total_111;ConsumptionOfFixedCapital_112;NetOperatingSurplusMixedIncome_113;GrossDomesticProduct_114;Total_115;WagesAndSalaries_116;EmployersSocialContributions_117;TaxesLessSubsidies_118;TaxesOnProductionAndImports_119;Subsidies_120;Total_121;ConsumptionOfFixedCapital_122;NetOperatingSurplusMixedIncome_123;GrossDomesticProduct_124;Total_125;Total_126;HouseholdsAndNPISHs_127;GeneralGovernment_128;Total_129;CorporationsAndHouseholds_130;GeneralGovernment_131;ChangesInInventoriesInclValuables_132;Total_133;ExportsOfGoods_134;ExportsOfServices_135;Total_136;ImportsOfGoods_137;ImportsOfServices_138;GrossDomesticProduct_139;Total_140;Total_141;HouseholdsAndNPISHs_142;GeneralGovernment_143;Total_144;CorporationsAndHouseholds_145;GeneralGovernment_146;ChangesInInventoriesInclValuables_147;Total_148;ExportsOfGoods_149;ExportsOfServices_150;Total_151;ImportsOfGoods_152;ImportsOfServices_153;GrossDomesticProduct_154;Total_155;Total_156;HouseholdsAndNPISHs_157;GeneralGovernment_158;Total_159;CorporationsAndHouseholds_160;GeneralGovernment_161;ChangesInInventoriesInclValuables_162;Total_163;ExportsOfGoods_164;ExportsOfServices_165;Total_166;ImportsOfGoods_167;ImportsOfServices_168;GrossDomesticProduct_169;Total_170;Total_171;HouseholdsAndNPISHs_172;GeneralGovernment_173;Total_174;CorporationsAndHouseholds_175;GeneralGovernment_176;ChangesInInventoriesInclValuables_177;Total_178;ExportsOfGoods_179;ExportsOfServices_180;Total_181;ImportsOfGoods_182;ImportsOfServices_183;GrossDomesticProduct_184
0;1995;592653;292906;299747;10260;61601;7206;48252;4382;1761;15435;58163;9414;22497;22726;32716;60035;6900;30285;32751;2466;330032;944182;476339;467976;10073;78852;32779;53211;5153;2655;30770;85799;8840;30420;37534;59296;116335;14299;68709;70454;503;535573;;;;;;;;;;;;;;;;;;;;;;62.8;61.5;64.1;101.9;78.1;22.0;90.7;85.0;66.3;50.2;67.8;106.5;74.0;60.5;55.2;51.6;48.3;44.1;46.5;489.9;61.6;165560;138950;26610;31135;35916;4781;133337;52832;80505;330032;;;;59945;78713;14490;;82473;;535573;;;;;;;;;;;;;;51.9;45.6;33.0;;64.1;;61.6;305388;234688;161105;73583;69001;56524;12477;1699;190402;149194;41208;165758;129357;36401;330032;498832;394911;265225;130205;104180;85267;18719;8;244028;182716;59674;207953;149438;55689;535573;;;;;;;;;;;;;;;;61.2;59.4;60.7;56.5;66.2;66.3;66.7;;78.0;81.7;69.1;79.7;86.6;65.4;61.6
1;1996;628103;316110;311993;9952;63500;8577;48263;4716;1944;15812;59891;10392;23345;24360;36729;60894;7118;33307;35093;1786;345300;987407;505260;482571;9617;81770;37269;54216;5455;2842;30204;89160;9413;32231;38304;64895;116445;14254;73113;73647;410;553893;4.6;6.1;3.1;-4.5;3.7;13.7;1.9;5.9;7.0;-1.8;3.9;6.5;6.0;2.1;9.4;0.1;-0.3;6.4;4.5;-18.5;3.4;63.6;62.6;64.7;103.5;77.7;23.0;89.0;86.5;68.4;52.4;67.2;110.4;72.4;63.6;56.6;52.3;49.9;45.6;47.7;435.5;62.3;171981;144255;27726;33367;38332;4965;139952;54638;85314;345300;;;;62536;82279;15341;;84247;;553893;;;;4.3;4.5;5.9;;2.2;;3.4;;;;53.4;46.6;32.4;;64.9;;62.3;321365;244591;171161;73430;74334;60528;13806;2440;199577;155227;44350;175642;136712;38930;345300;518946;406419;278214;128345;111152;90374;20569;1175;253928;188711;63772;218930;157105;58922;553893;4.0;2.9;4.9;-1.4;6.7;6.0;9.9;;4.1;3.3;6.9;5.3;5.1;5.8;3.4;61.9;60.2;61.5;57.2;66.9;67.0;67.1;;78.6;82.3;69.5;80.2;87.0;66.1;62.3
2;1997;677228;343699;333529;10995;65050;8287;50050;4554;2159;16420;65995;12289;24744;26380;40288;63532;7836;36131;37870;1739;369660;1042208;539139;503705;10313;82066;33358;55579;5229;3004;30408;95403;11103;34719;39612;69263;118461;15027;75321;75802;415;577425;5.6;6.7;4.4;7.2;0.4;-10.5;2.5;-4.1;5.7;0.7;7.0;18.0;7.7;3.4;6.7;1.7;5.4;3.0;2.9;1.2;4.2;65.0;63.7;66.2;106.6;79.3;24.8;90.1;87.1;71.9;54.0;69.2;110.7;71.3;66.6;58.2;53.6;52.1;48.0;50.0;419.2;64.0;181634;153571;28063;35549;41105;5556;152477;57023;95454;369660;;;;63202;84456;17378;;86657;;577425;;;;1.1;2.6;13.3;;2.9;;4.2;;;;56.2;48.7;32.0;;65.8;;64.0;342909;259536;182336;77200;80036;66307;13729;3337;224627;173463;51164;197876;152559;45317;369660;542325;421606;289743;131923;117901;97470;20212;2229;278390;205421;71653;242655;172412;67570;577425;4.5;3.7;4.1;2.8;6.1;7.9;-1.7;;9.6;8.9;12.4;10.8;9.7;14.7;4.2;63.2;61.6;62.9;58.5;67.9;68.0;67.9;;80.7;84.4;71.4;81.5;88.5;67.1;64.0
3;1998;721160;365278;355882;10130;68035;7537;53279;4991;2228;17581;72555;14347;25942;28415;44033;66459;8385;38957;40629;1672;394839;1101136;575106;526905;9841;84983;32159;58229;5511;2975;31499;102028;13222;37569;40448;73102;120251;15518;79113;79387;408;604262;5.7;6.7;4.6;-4.6;3.6;-3.6;4.8;5.4;-1.0;3.6;6.9;19.1;8.2;2.1;5.5;1.5;3.3;5.0;4.7;-1.6;4.6;65.5;63.5;67.5;102.9;80.1;23.4;91.5;90.6;74.9;55.8;71.1;108.5;69.1;70.3;60.2;55.3;54.0;49.2;51.2;409.6;65.3;194666;155070;39596;37725;44003;6278;162448;59843;102605;394839;;;;65305;88446;19752;;89893;;604262;;;;3.3;4.7;13.7;;3.7;;4.6;;;;57.8;49.8;31.8;;66.6;;65.3;367412;277615;195811;81804;86100;71943;14157;3697;235629;180843;54786;208202;158374;49828;394839;572253;443070;306236;136766;125794;104810;20749;2581;296691;219609;75555;262900;186219;73969;604262;5.5;5.1;5.7;3.7;6.7;7.5;2.7;;6.6;6.9;5.4;8.3;8.0;9.5;4.6;64.2;62.7;63.9;59.8;68.4;68.6;68.2;;79.4;82.3;72.5;79.2;85.0;67.4;65.3
4;1999;768810;392270;376540;9827;68411;6529;54504;4871;2507;19803;76443;16237;28164;30159;48612;69892;8992;43603;45196;1593;420143;1159772;608816;552062;10506;87470;30537;60851;5206;3306;33901;106926;15574;39891;41183;78660;122227;16221;85047;85493;458;634737;5.3;5.9;4.8;6.8;2.9;-5.0;4.5;-5.5;11.1;7.6;4.8;17.8;6.2;1.8;7.6;1.6;4.5;7.5;7.7;12.1;5.0;66.3;64.4;68.2;93.5;78.2;21.4;89.6;93.6;75.8;58.4;71.5;104.3;70.6;73.2;61.8;57.2;55.4;51.3;52.9;348.0;66.2;209646;166790;42856;41908;48986;7078;168589;63648;104941;420143;;;;70481;95360;21167;;93936;;634737;;;;7.9;7.8;7.2;;4.5;;5.0;;;;59.5;51.4;33.4;;67.8;;66.2;393825;297313;211203;86110;96071;80261;15810;441;253329;192325;61004;227011;169728;57283;420143;602123;464902;324500;140111;138334;115174;22902;-2002;323516;238812;83127;288873;202991;83329;634737;5.2;4.9;6.0;2.4;10.0;9.9;10.4;;9.0;8.7;10.0;9.9;9.0;12.7;5.0;65.4;64.0;65.1;61.5;69.4;69.7;69.0;;78.3;80.5;73.4;78.6;83.6;68.7;66.2
5;2000;844418;438445;405973;10449;73929;9253;57479;4483;2714;21482;82926;18133;29670;32538;53043;74184;9619;46218;47718;1500;452191;1215471;640163;576584;10619;91179;28573;64294;5271;3538;34680;114573;18147;41008;41803;82365;124493;16735;87003;87333;449;661521;4.8;5.1;4.4;1.1;4.2;-6.4;5.7;1.3;7.0;2.3;7.2;16.5;2.8;1.5;4.7;1.9;3.2;2.3;2.2;-1.9;4.2;69.5;68.5;70.4;98.4;81.1;32.4;89.4;85.0;76.7;61.9;72.4;99.9;72.4;77.8;64.4;59.6;57.5;53.1;54.6;334.0;68.4;226797;178788;48009;44732;51785;7053;180662;69098;111564;452191;;;;71939;97527;21903;;98402;;661521;;;;2.1;2.3;3.5;;4.8;;4.2;;;;62.2;53.1;32.2;;70.2;;68.4;419548;317991;225287;92704;101869;84751;17118;-312;300449;232858;67591;267806;204082;63724;452191;621664;481876;336403;145168;141681;117354;24070;-2745;362737;272139;88404;321658;228728;89503;661521;3.2;3.7;3.7;3.6;2.4;1.9;5.1;;12.1;14.0;6.3;11.3;12.7;7.4;4.2;67.5;66.0;67.0;63.9;71.9;72.2;71.1;;82.8;85.6;76.5;83.3;89.2;71.2;68.4
6;2001;894163;463688;430475;10796;79279;11614;60442;4292;2931;23523;88169;20294;32053;26756;58649;80654;10302;52466;53620;1154;482941;1242811;653933;590166;10093;93655;29493;65982;5464;3586;35216;115669;20130;41057;42133;86198;127950;16991;88780;88913;425;676892;2.2;2.2;2.4;-5.0;2.7;3.2;2.6;3.7;1.4;1.5;1.0;10.9;0.1;0.8;4.7;2.8;1.5;2.0;1.8;-5.4;2.3;71.9;70.9;72.9;107.0;84.6;39.4;91.6;78.5;81.7;66.8;76.2;100.8;78.1;63.5;68.0;63.0;60.6;59.1;60.3;271.6;71.3;239194;191543;47651;50853;58109;7256;192894;74565;118329;482941;;;;73139;99759;23266;;102636;;676892;;;;1.7;2.3;6.2;;4.3;;2.3;;;;69.5;58.2;31.2;;72.7;;71.3;447833;338667;237739;100928;106692;87747;18945;2474;306052;235111;70941;270944;203389;67555;482941;640634;495025;343572;151238;143475;117529;25705;1057;368007;274043;91982;329657;232132;94591;676892;3.1;2.7;2.1;4.2;1.3;0.1;6.8;;1.5;0.7;4.0;2.5;1.5;5.7;2.3;69.9;68.4;69.2;66.7;74.4;74.7;73.7;;83.2;85.8;77.1;82.2;87.6;71.4;71.3
7;2002;916457;467313;449144;10498;78381;10686;59889;4731;3075;24770;92219;21821;33803;28919;58989;88798;10946;53757;55076;1319;502901;1240742;650502;591460;10184;93704;29798;65580;5633;3777;34525;113552;21004;42289;42138;83270;132651;17098;89191;89051;366;678556;-0.2;-0.5;0.2;0.9;0.1;1.0;-0.6;3.1;5.3;-2.0;-1.8;4.3;3.0;0.0;-3.4;3.7;0.6;0.5;0.2;-13.9;0.2;73.9;71.8;75.9;103.1;83.6;35.9;91.3;84.0;81.4;71.7;81.2;103.9;79.9;68.6;70.8;66.9;64.0;60.3;61.8;360.4;74.1;251188;198956;52232;52280;59762;7482;199433;79464;119969;502901;;;;73707;100066;22574;;105934;;678556;;;;0.8;0.3;-3.0;;3.2;;0.2;;;;70.9;59.7;33.1;;75.0;;74.1;465386;359949;249214;110735;105682;84277;21405;-245;302268;228720;73548;264753;193472;71281;502901;641236;505714;347755;157858;137688;109200;28303;-2391;369979;275233;92785;330720;231057;97134;678556;0.1;2.2;1.2;4.4;-4.0;-7.1;10.1;;0.5;0.4;0.9;0.3;-0.5;2.7;0.2;72.6;71.2;71.7;70.1;76.8;77.2;75.6;;81.7;83.1;79.3;80.1;83.7;73.4;74.1
8;2003;930561;470985;459576;10647;78313;11189;58978;4900;3246;24837;90991;23083;35672;31680;58916;94211;11226;55325;56649;1324;514901;1237120;646398;591820;10452;92504;29449;64555;5648;3832;32933;114499;21796;43034;41850;80815;135818;16739;89555;89377;361;679220;-0.3;-0.6;0.1;2.6;-1.3;-1.2;-1.6;0.3;1.5;-4.6;0.8;3.8;1.8;-0.7;-2.9;2.4;-2.1;0.4;0.4;-1.3;0.1;75.2;72.9;77.7;101.9;84.7;38.0;91.4;86.8;84.7;75.4;79.5;105.9;82.9;75.7;72.9;69.4;67.1;61.8;63.4;366.5;75.8;257981;203146;54835;53882;61374;7492;203038;82835;120203;514901;;;;74024;100243;22215;;108460;;679220;;;;0.4;0.2;-1.6;;2.4;;0.1;;;;72.8;61.2;33.7;;76.4;;75.8;477961;372761;255198;117563;105638;83399;22239;-438;305024;230711;74313;268084;194753;73331;514901;642305;509784;347394;162357;135280;106279;28840;-2766;376662;282322;92241;337896;238108;96916;679220;0.2;0.8;-0.1;2.9;-1.7;-2.7;1.9;;1.8;2.6;-0.6;2.2;3.1;-0.2;0.1;74.4;73.1;73.5;72.4;78.1;78.5;77.1;;81.0;81.7;80.6;79.3;81.8;75.7;75.8
9;2004;964259;490687;473572;9965;80958;11847;61334;4551;3226;25118;94000;23458;36164;34306;60686;97381;11536;58001;59187;1186;531573;1262349;659170;604274;11032;96380;32047;67132;5711;3698;32440;118728;22027;44283;42445;80630;137571;16736;90706;90469;356;692915;2.0;2.0;2.1;5.6;4.2;8.8;4.0;1.1;-3.5;-1.5;3.7;1.1;2.9;1.4;-0.2;1.3;0.0;1.3;1.2;-1.4;2.0;76.4;74.4;78.4;90.3;84.0;37.0;91.4;79.7;87.2;77.4;79.2;106.5;81.7;80.8;75.3;70.8;68.9;63.9;65.4;333.1;76.7;261726;205183;56543;56121;64105;7984;213726;85821;127905;531573;;;;74403;101504;23685;;110553;;692915;;;;0.5;1.3;6.6;;1.9;;2.0;;;;75.4;63.2;33.7;;77.6;;76.7;487805;380239;260558;119681;107266;86221;21045;300;332743;255660;77083;288975;214102;74873;531573;645909;512213;350040;162125;135376;108100;27084;-1768;407531;311053;94126;359698;258566;97663;692915;0.6;0.5;0.8;-0.1;0.1;1.7;-6.1;;8.2;10.2;2.0;6.5;8.6;0.8;2.0;75.5;74.2;74.4;73.8;79.2;79.8;77.7;;81.6;82.2;81.9;80.3;82.8;76.7;76.7
