ID;Slibkenmerken;Perioden;TotaalHoeveelheidSlibAfgevoerd_1;LandbouwBodem_2;DiervoedersDestructiebedrijven_3;Composteren_4;Storten_5;Verbranden_6;Vergisten_7;InzetAlsBrandstof_8;OverigeBestemmingen_9;TotaalDrogeStofAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18
42;"Gehalte droge stof; 0 tot 5%";2011;247963;56750;1895;3951;244;17225;;;167896;7400;2084;83;138;7;635;;;4452
43;"Gehalte droge stof; 0 tot 5%";2012;244493;61371;0;9269;50547;22932;;;100374;7054;2141;0;258;507;807;;;3341
44;"Gehalte droge stof; 0 tot 5%";2013;340546;102994;0;10986;55620;52411;13207.0;60549.0;44779;10493;3895;0;446;561;1185;588.0;2505.0;1315
45;"Gehalte droge stof; 0 tot 5%";2014;267347;81627;968;5597;37015;25036;13059.0;48282.0;55762;7385;2104;48;165;325;743;554.0;2031.0;1415
46;"Gehalte droge stof; 0 tot 5%";2015;222093;59799;639;1358;6010;31347;41196.0;25048.0;56696;7552;2046;30;26;82;896;1603.0;832.0;2038
47;"Gehalte droge stof; 0 tot 5%";2016;296216;57670;0;2008;6281;48226;59330.0;22985.0;99716;10781;2205;0;47;144;1136;2477.0;716.0;4056
48;"Gehalte droge stof; 5 tot 10%";1993;182768;150478;10793;0;3030;15780;;;2687;11940;9448;807;0;206;1314;;;166
49;"Gehalte droge stof; 5 tot 10%";1994;220197;174566;13561;992;5617;21113;;;4348;13981;10321;1006;59;397;1958;;;241
50;"Gehalte droge stof; 5 tot 10%";1995;172657;102238;23339;1422;6567;20989;;;18102;11807;6624;1897;85;473;1753;;;976
51;"Gehalte droge stof; 5 tot 10%";1996;286280;193408;51320;5724;1891;22556;;;11381;20892;13604;4125;446;149;1878;;;690
52;"Gehalte droge stof; 5 tot 10%";1997;191896;87941;55713;5444;5768;19360;;;17671;14771;7409;3716;364;427;1699;;;1156
53;"Gehalte droge stof; 5 tot 10%";1998;154141;51505;66198;6470;5950;4203;;;19815;10435;3374;4657;457;398;256;;;1293
54;"Gehalte droge stof; 5 tot 10%";1999;120130;25485;56442;2280;3617;7104;;;25203;7730;1700;3558;130;216;485;;;1643
55;"Gehalte droge stof; 5 tot 10%";2000;240226;83287;60377;887;2365;15825;;;77484;14509;4863;3657;53;141;1102;;;4693
56;"Gehalte droge stof; 5 tot 10%";2001;215043;71294;29779;923;0;30436;;;82610;14016;5178;1578;46;0;2040;;;5175
57;"Gehalte droge stof; 5 tot 10%";2002;249240;87425;28936;15014;0;49055;;;68810;16012;5495;1454;1405;0;3214;;;4443
58;"Gehalte droge stof; 5 tot 10%";2003;290136;100734;30195;1528;5728;53151;;;98801;19610;6706;1650;148;401;3467;;;7237
59;"Gehalte droge stof; 5 tot 10%";2004;145746;51257;0;1649;0;21714;;;71127;9975;3865;0;160;0;1155;;;4795
60;"Gehalte droge stof; 5 tot 10%";2005;190098;63372;8726;1745;0;37818;;;78438;13978;4274;785;169;0;2928;;;5821
61;"Gehalte droge stof; 5 tot 10%";2006;126361;52449;0;0;564;6703;;;66646;9005;3571;0;0;32;437;;;4965
62;"Gehalte droge stof; 5 tot 10%";2007;178028;56579;0;24542;155;6895;;;89856;12553;3729;0;1688;11;421;;;6704
63;"Gehalte droge stof; 5 tot 10%";2008;230520;59791;0;621;1067;33080;;;135961;16278;3998;0;40;85;2673;;;9482
64;"Gehalte droge stof; 5 tot 10%";2009;269010;59409;0;6238;6029;47085;;;150250;18568;3861;0;368;453;3600;;;10286
65;"Gehalte droge stof; 5 tot 10%";2010;234373;85211;0;3305;14836;39364;;;91657;16218;5445;0;197;1258;2998;;;6319
66;"Gehalte droge stof; 5 tot 10%";2011;317121;78191;0;0;2220;17025;;;219685;21452;5124;0;0;118;1332;;;14879
67;"Gehalte droge stof; 5 tot 10%";2012;299521;77621;1200;21;1568;15209;;;203903;20565;5072;62;1;78;1160;;;14192
68;"Gehalte droge stof; 5 tot 10%";2013;212602;39890;10372;1467;2257;9721;89528.0;29180.0;30187;16026;2583;892;121;113;726;7319.0;1848.0;2425
69;"Gehalte droge stof; 5 tot 10%";2014;250645;76799;13695;1803;6248;2720;108672.0;21725.0;18984;17871;4942;1178;177;510;169;8111.0;1335.0;1449
70;"Gehalte droge stof; 5 tot 10%";2015;273763;52355;16358;21458;7930;1661;123438.0;24038.0;26525;19733;3212;1407;1653;690;116;9439.0;1364.0;1854
71;"Gehalte droge stof; 5 tot 10%";2016;298510;34565;772;2318;8320;6022;198726.0;24286.0;23501;21417;2076;42;159;699;413;14885.0;1474.0;1668
72;"Gehalte droge stof; 10 tot 25%";1993;303384;177037;70552;22501;29998;1370;;;1926;43907;21070;13274;3964;5122;214;;;263
73;"Gehalte droge stof; 10 tot 25%";1994;214818;110318;55207;20436;13346;10886;;;4625;32470;13206;10549;3876;2329;1758;;;752
74;"Gehalte droge stof; 10 tot 25%";1995;192347;76009;58624;12929;31756;9787;;;3242;28402;8658;10340;1660;5623;1631;;;491
75;"Gehalte droge stof; 10 tot 25%";1996;170370;54406;65598;10788;19783;13946;;;5849;26585;6839;11788;1600;3568;2049;;;741
76;"Gehalte droge stof; 10 tot 25%";1997;179910;74803;63110;5023;23475;5818;;;7681;26766;9060;10693;987;4168;839;;;1020
77;"Gehalte droge stof; 10 tot 25%";1998;201796;76705;69259;4072;16231;25370;;;10158;31952;10136;12102;792;3172;4174;;;1576
78;"Gehalte droge stof; 10 tot 25%";1999;209011;69021;52753;12194;19693;44448;;;10903;32378;9151;9422;2132;3531;6589;;;1552
79;"Gehalte droge stof; 10 tot 25%";2000;234455;72349;76431;3754;16400;47331;;;18190;38320;10628;14152;804;2746;7122;;;2868
80;"Gehalte droge stof; 10 tot 25%";2001;219616;57505;73505;27647;10908;33616;;;16436;37635;7667;14994;5371;1740;5421;;;2442
81;"Gehalte droge stof; 10 tot 25%";2002;239200;95057;49938;18702;11535;50369;;;13600;38429;13901;8974;3325;1818;8423;;;1987
82;"Gehalte droge stof; 10 tot 25%";2003;192690;52630;39845;21295;3830;44864;;;30226;31950;8266;7422;3926;547;6798;;;4992
83;"Gehalte droge stof; 10 tot 25%";2004;236620;29591;28733;43959;7361;93538;;;33439;36699;5053;4905;7036;1379;13046;;;5279
84;"Gehalte droge stof; 10 tot 25%";2005;165396;22563;37160;42457;7329;42430;;;13458;27046;3971;6607;6858;1261;6328;;;2022
85;"Gehalte droge stof; 10 tot 25%";2006;195381;31955;25040;36126;3178;60180;;;38902;30757;5090;3992;6801;537;7796;;;6541
86;"Gehalte droge stof; 10 tot 25%";2007;190590;21112;31524;42541;12525;45819;;;37069;28925;3297;4367;7430;1692;6181;;;5958
87;"Gehalte droge stof; 10 tot 25%";2008;298488;29168;41490;56798;11952;73255;;;85826;44191;4610;6004;8884;1625;11475;;;11594
88;"Gehalte droge stof; 10 tot 25%";2009;249562;36918;35081;41333;18365;40513;;;77352;36758;5468;5105;7448;1996;6147;;;10594
89;"Gehalte droge stof; 10 tot 25%";2010;231083;18240;29104;48071;19898;37493;;;78277;33184;2180;4214;8403;2444;5406;;;10538
90;"Gehalte droge stof; 10 tot 25%";2011;269904;25485;26342;51917;18954;46199;;;101008;42610;3442;3651;9102;2444;9285;;;14686
91;"Gehalte droge stof; 10 tot 25%";2012;310333;25649;13467;65616;10715;46398;;;148486;48310;3368;1710;11918;1523;9476;;;20315
92;"Gehalte droge stof; 10 tot 25%";2013;302431;45158;10983;79296;12416;36447;65842.0;32878.0;19410;48449;8032;1373;13063;1480;7313;10051.0;4539.0;2597
93;"Gehalte droge stof; 10 tot 25%";2014;356349;26674;14219;70522;5144;33648;132504.0;15883.0;57755;56392;4452;1777;13841;697;6899;17972.0;2562.0;8192
94;"Gehalte droge stof; 10 tot 25%";2015;365329;22248;13822;77045;10215;35706;135840.0;20016.0;50436;59487;3554;1659;14761;1274;6871;19531.0;4394.0;7444
95;"Gehalte droge stof; 10 tot 25%";2016;441153;23945;17914;63665;55058;30608;144821.0;30758.0;74384;69115;4203;2150;12016;5619;5715;20822.0;6653.0;11938
96;"Gehalte droge stof; 25 tot 50%";1993;313360;5550;7349;0;216978;57740;;;25743;123250;2404;2359;0;85630;22452;;;10405
97;"Gehalte droge stof; 25 tot 50%";1994;289036;4008;5774;3606;210380;42672;;;22596;114015;1604;1633;1032;84370;16463;;;8913
98;"Gehalte droge stof; 25 tot 50%";1995;224568;5599;5953;5554;141174;58363;;;7925;85744;2305;1574;1521;54585;22634;;;3125
99;"Gehalte droge stof; 25 tot 50%";1996;259375;15405;7108;0;158663;51294;;;26905;103035;5486;2315;0;63860;19882;;;11492
100;"Gehalte droge stof; 25 tot 50%";1997;166718;5857;1356;1614;81781;12047;;;64063;63228;2240;404;717;29769;4078;;;26021
101;"Gehalte droge stof; 25 tot 50%";1998;194305;26078;1422;0;68959;70721;;;27124;74380;8403;384;0;24612;29680;;;11301
102;"Gehalte droge stof; 25 tot 50%";1999;165521;30267;1184;0;67402;48713;;;17954;61780;10576;358;0;23011;20388;;;7447
103;"Gehalte droge stof; 25 tot 50%";2000;209090;32083;13502;0;58335;82021;;;23149;81133;11662;3524;0;21339;35149;;;9459
104;"Gehalte droge stof; 25 tot 50%";2001;229706;16406;20136;6833;63817;82835;;;39680;90068;6339;5122;3383;24236;34354;;;16634
105;"Gehalte droge stof; 25 tot 50%";2002;235094;22750;31293;10988;47519;62220;;;60325;88526;7654;8222;4440;16645;26048;;;25517
106;"Gehalte droge stof; 25 tot 50%";2003;224066;23573;13248;15001;42031;50996;;;79216;87951;8201;3673;5680;15096;21952;;;33350
107;"Gehalte droge stof; 25 tot 50%";2004;190390;19528;9414;16909;24145;47726;;;72669;74736;7459;2619;6512;8445;18945;;;30756
108;"Gehalte droge stof; 25 tot 50%";2005;178678;38181;0;5570;21723;44581;;;68623;69259;14641;0;1451;7265;17001;;;28901
109;"Gehalte droge stof; 25 tot 50%";2006;142894;31231;0;4817;27329;22493;;;57024;51979;10508;0;1359;9226;6905;;;23981
110;"Gehalte droge stof; 25 tot 50%";2007;129304;15762;0;8245;17460;30842;;;56994;46859;5211;0;3183;6026;9283;;;23158
111;"Gehalte droge stof; 25 tot 50%";2008;174004;11658;0;2171;18324;41224;;;100628;60521;3442;0;765;6110;11199;;;39006
112;"Gehalte droge stof; 25 tot 50%";2009;171872;2605;0;3479;13949;39817;;;112023;63034;867;0;1197;4406;11744;;;44821
113;"Gehalte droge stof; 25 tot 50%";2010;178908;0;0;319;28045;26494;;;124050;64237;0;0;133;9015;8075;;;47013
114;"Gehalte droge stof; 25 tot 50%";2011;169705;12090;0;7108;19436;8007;;;123065;63027;5901;0;2526;6321;3325;;;44954
115;"Gehalte droge stof; 25 tot 50%";2012;138640;182;0;10500;17596;10722;;;99640;48005;69;0;3849;6028;4166;;;33893
116;"Gehalte droge stof; 25 tot 50%";2013;145354;0;0;8185;20269;11961;15855.0;12794.0;76290;50210;0;0;3087;7453;3795;4200.0;4072.0;27603
117;"Gehalte droge stof; 25 tot 50%";2014;135389;0;0;10478;20815;12035;4956.0;3235.0;83870;50602;0;0;3979;7088;3983;1479.0;1022.0;33051
118;"Gehalte droge stof; 25 tot 50%";2015;125355;2074;0;10477;25024;7483;843.0;4813.0;74642;47922;886;0;3964;8279;2597;273.0;1455.0;30469
119;"Gehalte droge stof; 25 tot 50%";2016;141424;0;0;10384;25439;2893;13560.0;11843.0;77304;49977;0;0;3903;8509;984;3825.0;3590.0;29166
120;"Gehalte droge stof; 50% of meer";1993;52625;496;190;1770;40413;4460;;;5296;32265;315;181;1637;22948;3177;;;4008
121;"Gehalte droge stof; 50% of meer";1994;64442;13509;210;1267;40744;3699;;;5013;40404;7285;200;1159;25540;2392;;;3829
122;"Gehalte droge stof; 50% of meer";1995;142487;10350;640;932;113978;3022;;;13565;85765;6161;332;466;64724;2049;;;12033
123;"Gehalte droge stof; 50% of meer";1996;124724;10425;1200;0;93819;2918;;;16362;84047;5747;600;0;61051;1901;;;14748
124;"Gehalte droge stof; 50% of meer";1997;143826;5577;0;0;114585;3296;;;20369;95735;2789;0;0;73795;1854;;;17298
125;"Gehalte droge stof; 50% of meer";1998;124102;3361;0;0;57748;3058;;;59936;80664;2017;0;0;38281;2003;;;38363
126;"Gehalte droge stof; 50% of meer";1999;150907;0;0;0;47841;39891;;;63175;91511;0;0;0;30048;21210;;;40252
127;"Gehalte droge stof; 50% of meer";2000;101479;9847;0;252;23500;4155;;;63725;64301;5144;0;161;14506;2298;;;42192
128;"Gehalte droge stof; 50% of meer";2001;52229;4478;0;405;12068;8336;;;26943;36898;2382;0;277;8016;6498;;;19724
129;"Gehalte droge stof; 50% of meer";2002;116606;10113;0;10250;16982;15893;;;63369;64617;5491;0;5175;10280;8658;;;35014
130;"Gehalte droge stof; 50% of meer";2003;84376;12215;0;195;13745;8068;;;50154;48374;6265;0;137;8651;4657;;;28665
131;"Gehalte droge stof; 50% of meer";2004;93036;8783;0;644;13555;5594;;;64460;54426;4820;0;426;8887;3290;;;37004
132;"Gehalte droge stof; 50% of meer";2005;76533;5724;0;470;13970;6495;;;49873;52844;3171;0;301;9051;3926;;;36395
133;"Gehalte droge stof; 50% of meer";2006;89082;5202;0;0;18052;28819;;;37010;61596;2807;0;0;11346;18257;;;29186
134;"Gehalte droge stof; 50% of meer";2007;119915;7769;0;0;30695;23760;;;57691;86392;4116;0;0;18801;14630;;;48846
135;"Gehalte droge stof; 50% of meer";2008;70736;5663;0;0;18334;5125;;;41614;42631;3001;0;0;11367;3277;;;24986
136;"Gehalte droge stof; 50% of meer";2009;67371;6874;0;0;22542;7237;;;30719;42463;3575;0;0;14246;5581;;;19061
137;"Gehalte droge stof; 50% of meer";2010;123275;24756;0;0;26078;4730;;;67712;69958;12797;0;0;16380;3111;;;37671
138;"Gehalte droge stof; 50% of meer";2011;76092;7397;0;0;28152;13308;;;27236;48051;4157;0;0;17737;9128;;;17029
139;"Gehalte droge stof; 50% of meer";2012;105833;12133;0;0;23290;5968;;;64443;66992;6564;0;0;13402;3659;;;43367
140;"Gehalte droge stof; 50% of meer";2013;119705;12086;0;0;22352;7335;0.0;29827.0;48104;76611;6478;0;0;13590;3864;0.0;21632.0;31047
141;"Gehalte droge stof; 50% of meer";2014;94836;7417;0;57;35413;3282;1274.0;24736.0;22657;62323;3918;0;51;23012;1914;755.0;17383.0;15289
142;"Gehalte droge stof; 50% of meer";2015;100463;8502;0;0;34202;3635;4775.0;24849.0;24501;63493;4455;0;0;21690;2482;3404.0;15058.0;16405
143;"Gehalte droge stof; 50% of meer";2016;90082;9571;0;0;27526;5646;17612.0;20818.0;8908;56816;4935;0;0;17990;4007;12222.0;12287.0;5375
144;Slibsoort: primair slib;1993;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
145;Slibsoort: primair slib;1994;141851;40507;36950;849;39386;1366;;;22793;36713;2703;7643;204;17676;371;;;8117
146;Slibsoort: primair slib;1995;157866;61111;40320;377;44332;1109;;;10616;42239;10195;7576;23;15331;388;;;8726
147;Slibsoort: primair slib;1996;195888;66354;66831;140;44579;911;;;17074;52771;10890;12249;14;15540;162;;;13916
148;Slibsoort: primair slib;1997;133384;26689;78917;140;9513;1095;;;17030;33364;5065;9951;14;4384;176;;;13774
149;Slibsoort: primair slib;1998;132983;14660;83826;1026;1981;3671;;;27820;26923;3793;11256;92;1013;1157;;;9612
150;Slibsoort: primair slib;1999;102431;10708;64342;830;3835;7026;;;15690;21237;2022;8872;50;1835;1696;;;6763
151;Slibsoort: primair slib;2000;146850;11761;99103;1139;6421;5838;;;22588;30351;1960;15747;215;2679;819;;;8932
152;Slibsoort: primair slib;2001;148177;9747;91152;2006;7360;2353;;;35559;30381;1773;17536;289;3664;506;;;6613
153;Slibsoort: primair slib;2002;128539;3919;90371;2785;7817;6349;;;17299;25207;604;15844;546;3547;1186;;;3481
154;Slibsoort: primair slib;2003;164586;8432;75220;3929;12618;649;;;63739;45615;1079;12113;1365;3893;118;;;27047
155;Slibsoort: primair slib;2004;151653;4646;27907;5407;44141;1050;;;68502;43308;729;4794;2114;3826;432;;;31413
156;Slibsoort: primair slib;2005;137701;14093;39727;0;36675;3718;;;43489;36622;890;6221;0;3266;1340;;;24904
157;Slibsoort: primair slib;2006;75289;2906;24759;2356;4231;1073;;;39964;25999;87;3950;589;1728;227;;;19418
158;Slibsoort: primair slib;2007;120447;0;31524;914;15001;2170;;;70839;54715;0;4367;379;7671;261;;;42037
159;Slibsoort: primair slib;2008;149985;0;41490;102;3266;5126;;;100002;31743;0;6004;43;857;1592;;;23247
160;Slibsoort: primair slib;2009;107623;1916;35081;1915;1089;4191;;;63432;23737;161;5105;433;489;1149;;;16399
161;Slibsoort: primair slib;2010;105001;7162;29104;2287;675;4472;;;61300;26352;602;4214;527;270;2151;;;18589
162;Slibsoort: primair slib;2011;107446;205;26342;6753;587;3774;;;69786;24701;78;3651;1667;221;2238;;;16846
163;Slibsoort: primair slib;2012;167518;182;13467;5491;56123;3659;;;88595;37294;69;1710;1263;2231;2290;;;29730
164;Slibsoort: primair slib;2013;155262;0;10983;0;59334;1027;41436.0;12851.0;29632;32394;0;1373;0;4165;458;4446.0;8363.0;13589
165;Slibsoort: primair slib;2014;154917;0;14219;0;43300;853;40597.0;18797.0;37150;39158;0;1777;0;4692;251;3555.0;13929.0;14954
166;Slibsoort: primair slib;2015;104349;0;13822;0;4461;1107;37946.0;20613.0;26400;31944;0;1659;0;2904;276;3715.0;12859.0;10532
167;Slibsoort: primair slib;2016;165630;0;17914;0;49152;1245;42176.0;15276.0;39867;38549;0;2150;0;7437;361;4059.0;9092.0;15449
168;Slibsoort: fysisch/chemisch slib;1993;375633;76138;60810;0;204623;23889;;;10173;115469;6881;12313;0;85427;5314;;;5533
169;Slibsoort: fysisch/chemisch slib;1994;253141;39086;6444;0;164055;30499;;;13057;87054;3831;1216;0;71161;5331;;;5515
170;Slibsoort: fysisch/chemisch slib;1995;236991;16643;9036;6132;157889;25480;;;21810;84394;1322;1400;650;69206;4519;;;7298
171;Slibsoort: fysisch/chemisch slib;1996;243829;17510;19751;9793;146224;31051;;;19500;89054;1727;2881;990;69523;5926;;;8007
172;Slibsoort: fysisch/chemisch slib;1997;191935;28026;18159;4033;94723;27284;;;19710;69478;2857;2296;282;52106;4962;;;6975
173;Slibsoort: fysisch/chemisch slib;1998;179622;37662;10970;4033;82890;15130;;;28938;61363;3490;1693;282;38806;4355;;;12737
174;Slibsoort: fysisch/chemisch slib;1999;161783;27644;14707;0;71370;26076;;;21987;50118;2669;1753;0;32789;5951;;;6957
175;Slibsoort: fysisch/chemisch slib;2000;173353;40485;24554;0;41663;30421;;;36230;42120;3973;2577;0;18492;9275;;;7803
176;Slibsoort: fysisch/chemisch slib;2001;170138;51148;17001;182;31197;33032;;;37577;34827;4170;2533;137;13531;5891;;;8566
177;Slibsoort: fysisch/chemisch slib;2002;174522;43398;18263;2093;39578;29996;;;41193;36713;4119;2723;675;17036;5517;;;6643
178;Slibsoort: fysisch/chemisch slib;2003;178234;32928;1038;2733;37131;53127;;;51276;33801;2973;140;816;15379;7728;;;6765
179;Slibsoort: fysisch/chemisch slib;2004;186985;34370;827;2390;28617;64000;;;56781;43252;3299;111;890;12711;11200;;;15040
180;Slibsoort: fysisch/chemisch slib;2005;182490;30973;924;2400;25496;52883;;;69815;41791;2617;124;813;12309;9705;;;16223
181;Slibsoort: fysisch/chemisch slib;2006;200665;23725;281;1585;34419;59484;;;81171;56485;2332;42;420;15446;15697;;;22549
182;Slibsoort: fysisch/chemisch slib;2007;179430;20362;0;0;32546;44171;;;82352;48748;1940;0;0;13426;12329;;;21053
183;Slibsoort: fysisch/chemisch slib;2008;279913;17983;0;0;94141;56895;;;110894;51477;2043;0;0;14512;13215;;;21707
184;Slibsoort: fysisch/chemisch slib;2009;327166;19046;0;0;103703;75540;;;128877;61549;2325;0;0;16946;17524;;;24754
185;Slibsoort: fysisch/chemisch slib;2010;331560;44947;0;0;113182;62669;;;110762;63332;9710;0;0;21123;11271;;;21228
186;Slibsoort: fysisch/chemisch slib;2011;331022;53889;0;62;40224;43561;;;193285;63339;8631;0;12;18086;9654;;;26956
187;Slibsoort: fysisch/chemisch slib;2012;317721;33617;0;40;30254;39563;;;214248;65540;2242;0;8;14503;9760;;;39027
188;Slibsoort: fysisch/chemisch slib;2013;356528;36928;0;1876;27749;35405;102784.0;76730.0;75055;83109;2662;0;309;14085;9593;14157.0;12228.0;30076
189;Slibsoort: fysisch/chemisch slib;2014;411566;63759;0;57;41451;29778;152163.0;28234.0;96123;85831;4636;0;51;23015;7870;19416.0;5035.0;25806
190;Slibsoort: fysisch/chemisch slib;2015;426716;28866;0;0;62414;24697;196688.0;27899.0;86150;92567;2328;0;0;27497;6162;25602.0;5389.0;25589
191;Slibsoort: fysisch/chemisch slib;2016;458707;24769;0;0;55132;14295;253547.0;47501.0;63463;79267;3981;0;0;23212;4954;28126.0;9565.0;9429
192;Slibsoort: aëroob surplusslib;1993;911400;525556;29444;117130;120001;60461;;;58808;107391;34859;4335;7623;28998;21983;;;9594
193;Slibsoort: aëroob surplusslib;1994;730809;454927;32810;83302;91918;51781;;;16071;86655;32626;4516;7657;24323;17020;;;514
194;Slibsoort: aëroob surplusslib;1995;636058;318790;44127;23482;101703;81222;;;66733;92876;18171;5296;3105;41058;23594;;;1652
195;Slibsoort: aëroob surplusslib;1996;642617;335786;41457;48718;88970;74825;;;52862;99236;23265;3779;1911;43633;20240;;;6409
196;Slibsoort: aëroob surplusslib;1997;578289;273775;41930;8534;128080;34409;;;91561;104446;19239;2500;1680;51786;3955;;;25287
197;Slibsoort: aëroob surplusslib;1998;516918;179185;41687;5483;85948;95601;;;109015;113774;19087;4134;874;26903;30892;;;31884
198;Slibsoort: aëroob surplusslib;1999;489034;195403;31330;14784;72404;94555;;;80557;111470;19584;2713;2256;22199;29767;;;34950
