ID;DecentraleOverheden;BegrootEMUSaldo2018_1;BegrootEMUSaldo_2;MacronormVoorHetEMUSaldo_3;Verschil_4;BegrootEMUSaldo2020_5
0;Totaal decentrale overheden;-6299;-4908;-3251.0;-1657.0;-2905
1;Provincies;-1497;-1352;-650.0;-702.0;-1023
2;Gemeenten;-4314;-3085;-2195.0;-890.0;-1469
3;Gemeenten: minder dan 20 000 inwoners;-306;-164;;;-113
4;Gemeenten: 20 000 tot 50 000 inwoners;-771;-475;;;-8
5;Gemeenten: 50 000 tot 100 000 inwoners;-372;-323;;;-73
6;Gemeenten: 100 000 tot 150 000 inwoners;-393;-345;;;-161
7;Gemeenten: 150 000 tot 250 000 inwoners;-621;-459;;;-183
8;Gemeenten: 250 000 inwoners of meer;-1851;-1319;;;-931
9;Waterschappen;-312;-386;-406.0;20.0;-369
10;Gemeenschappelijke regelingen;-176;-85;0.0;-85.0;-44
