ID;Geslacht;Leeftijd;Geboorteland;RegioS;Perioden;Immigratie_1;EmigratieInclusiefAdministratieveC_2;MigratiesaldoInclusiefAdministratie_3;AdministratieveOpnemingen_4;AdministratieveAfvoeringen_5;SaldoAdministratieveCorrecties_6
0;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2010;154432.0;121351.0;33081.0;39973.0;69874.0;-29901.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2011;162962.0;133194.0;29768.0;38311.0;65320.0;-27009.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2012;158374.0;144491.0;13883.0;38684.0;72819.0;-34135.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2013;164772.0;145669.0;19103.0;37863.0;66352.0;-28489.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2014;182949.0;147862.0;35087.0;34942.0;60556.0;-25614.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2015;204615.0;149509.0;55106.0;32503.0;55128.0;-22625.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2016;230739.0;151545.0;79194.0;29015.0;53240.0;-24225.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2017;234957.0;154292.0;80665.0;29554.0;56394.0;-26840.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2018;243737.0;157366.0;86371.0;26761.0;49330.0;-22569.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2019;269064.0;161029.0;108035.0;24372.0;46245.0;-21873.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2020;220853.0;152494.0;68359.0;21267.0;40600.0;-19333.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2021;252528.0;145330.0;107198.0;17296.0;34532.0;-17236.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2022;403108.0;179310.0;223798.0;13970.0;37060.0;-23090.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Nederland;2023;335668.0;198302.0;137366.0;14360.0;46678.0;-32318.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2010;11911.0;8078.0;3833.0;2252.0;3791.0;-1539.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2011;11683.0;9811.0;1872.0;2153.0;4199.0;-2046.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2012;11386.0;9891.0;1495.0;2239.0;4062.0;-1823.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2013;11924.0;9358.0;2566.0;2223.0;3799.0;-1576.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2014;14919.0;10454.0;4465.0;2071.0;4235.0;-2164.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2015;18984.0;9964.0;9020.0;1890.0;3613.0;-1723.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2016;28035.0;10273.0;17762.0;1651.0;3457.0;-1806.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2017;31714.0;10506.0;21208.0;1623.0;3937.0;-2314.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2018;23599.0;10066.0;13533.0;1439.0;2915.0;-1476.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2019;23861.0;10582.0;13279.0;1375.0;2973.0;-1598.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2020;19446.0;10220.0;9226.0;1223.0;2780.0;-1557.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Noord-Nederland (LD);2021;27789.0;9717.0;18072.0;970.0;2598.0;-1628.0
