ID;Vakantiekenmerken;Perioden;TotaalAantalVakanties_1;GemiddeldeVakantieduur_2;Belgie_3;Frankrijk_4;Spanje_5;Oostenrijk_6;GrootBrittannie_7;Duitsland_8;Italie_9;Griekenland_10;Turkije_11;OverigeLanden_12;TotaalSeizoenrecreatieveLogiesvormen_13;TotaalToeristischeLogiesvormen_14;WoningVanFamilieVriendenOfKennissen_15;WoningVanAndereParticulier_16;Hotel_17;Appartement_18;ZomerhuisjeVakantiebungalow_19;TentBungalowtent_20;CaravanVouwwagenCamper_21;OverigeToeristischeLogiesvormen_22;Auto_23;TreinAutoslaaptrein_24;Touringcar_25;Vliegtuig_26;OverigeVervoermiddelen_27;GeorganiseerdeReisPerAuto_28;GeorganiseerdeReisPerTouringcar_29;GeorganiseerdeReisPerVliegtuig_30;GeorganiseerdeReisMetOverigVervoer_31;NietGeorganiseerdeReizen_32;TotaleUitgavenVoorVakanties_33;TotaalGemUitgavenPerVakantieganger_34;MetEigenVervoer_35;MetOverigVervoer_36
0;Totaal vakantiekenmerken;2000;11505.0;13.5;719.0;2226.0;1416.0;898.0;347.0;1258.0;608.0;582.0;374.0;3076.0;483.0;11022.0;;460.0;3888.0;2220.0;1493.0;1128.0;1451.0;382.0;6114.0;280.0;1039.0;3842.0;230.0;1778.0;1039.0;3765.0;276.0;4648.0;7762.0;675.0;442.0;942.0
1;Totaal vakantiekenmerken;2001;11786.0;13.4;751.0;2169.0;1610.0;995.0;236.0;1232.0;649.0;570.0;522.0;3289.0;497.0;11289.0;;519.0;4088.0;2183.0;1757.0;1002.0;1364.0;375.0;6130.0;317.0;1135.0;3993.0;213.0;1814.0;1134.0;3809.0;294.0;4735.0;8089.0;687.0;446.0;949.0
2;Totaal vakantiekenmerken;2002;13173.0;13.0;965.0;2647.0;1641.0;1032.0;457.0;1507.0;765.0;561.0;613.0;2986.0;600.0;12573.0;1275.0;550.0;3590.0;1935.0;1733.0;1267.0;1517.0;707.0;7617.0;352.0;838.0;3926.0;440.0;2296.0;838.0;3874.0;593.0;5572.0;8865.0;673.0;471.0;950.0
3;Totaal vakantiekenmerken;2003;13007.0;13.0;1040.0;2316.0;1600.0;1080.0;399.0;1488.0;715.0;526.0;707.0;3137.0;466.0;12541.0;1086.0;601.0;3903.0;2091.0;1610.0;1041.0;1448.0;760.0;7253.0;307.0;844.0;4290.0;312.0;2399.0;838.0;4257.0;528.0;4985.0;9027.0;694.0;476.0;960.0
4;BelgiÙ;2000;719.0;9.8;719.0;;;;;;;;;;88.0;631.0;;16.0;85.0;47.0;354.0;60.0;58.0;12.0;674.0;5.0;12.0;0.0;28.0;183.0;12.0;0.0;6.0;519.0;175.0;238.0;236.0;
5;BelgiÙ;2001;751.0;9.9;751.0;;;;;;;;;;126.0;625.0;;7.0;56.0;47.0;383.0;42.0;74.0;15.0;682.0;18.0;22.0;0.0;28.0;178.0;22.0;0.0;15.0;535.0;190.0;249.0;234.0;
6;BelgiÙ;2002;965.0;9.6;965.0;;;;;;;;;;113.0;852.0;54.0;37.0;57.0;22.0;467.0;71.0;114.0;30.0;911.0;29.0;6.0;0.0;19.0;343.0;6.0;0.0;38.0;577.0;220.0;228.0;220.0;
7;BelgiÙ;2003;1040.0;9.7;1040.0;;;;;;;;;;95.0;946.0;59.0;82.0;113.0;48.0;436.0;59.0;108.0;41.0;984.0;21.0;20.0;0.0;15.0;392.0;20.0;0.0;19.0;609.0;275.0;265.0;264.0;
8;Luxemburg;2000;194.0;;;;;;;;;;;194.0;5.0;189.0;;0.0;47.0;14.0;46.0;36.0;41.0;5.0;145.0;18.0;22.0;0.0;9.0;69.0;22.0;0.0;3.0;99.0;;;;
9;Luxemburg;2001;154.0;;;;;;;;;;;154.0;12.0;142.0;;5.0;10.0;14.0;17.0;41.0;48.0;7.0;144.0;3.0;4.0;0.0;3.0;29.0;4.0;0.0;0.0;121.0;;;;
10;Luxemburg;2002;238.0;;;;;;;;;;;238.0;9.0;229.0;0.0;7.0;26.0;1.0;34.0;56.0;94.0;11.0;217.0;6.0;7.0;0.0;7.0;54.0;7.0;0.0;7.0;170.0;;;;
