ID;Perioden;Musea_1;HeleJaarOpen_2;GedeelteVanHetJaarOpen_3;BeeldendeKunst_4;Geschiedenis_5;NatuurlijkeHistorie_6;BedrijfEnTechniek_7;Volkenkunde_8;GemengdeCollectie_9;Tot2500Bezoeken_10;k_2500Tot10000Bezoeken_11;k_10000Tot25000Bezoeken_12;k_25000Tot50000Bezoeken_13;k_50000Tot100000Bezoeken_14;k_100000EnMeerBezoeken_15;TotaalBezoeken_16;BetaaldeBezoekenVolTarief_17;BetaaldeBezoekenReductie_18;BezoekenMetMuseumkaart_19;GratisBezoeken_20;BuitenlandseBezoeken_21;Kinderen_22;Jeugd_23;Volwassenen_24;Senioren_25;InEigenMuseum_26;InAndereRuimtenInNederland_27;InHetBuitenland_28;Museumkaart_29;Museumvereniging_30;MuseumregisterNederland_31;Overheidsinstelling_32;VerenigingStichting_33;Overig_34;TotaalAantalWerkzamePersonen_35;InLoondienst_36;OverigeBezoldigden_37;TotaalMensjaren_38;InLoondienst_39;OverigeBezoldigden_40;Personen_41;Mensjaren_42
0;1993;732;62;38;68;374;71;153;17;49;;;;;;;22993;17488;;1588;3921;;;;;;1910;140.0;100.0;;;;;;;;;;;;;;
1;1994;741;64;36;72;377;69;153;18;52;;;;;;;21582;14022;;1723;5837;;;;;;1927;148.0;52.0;;;;;;;;;;;;;;
2;1995;744;65;35;75;380;67;149;18;55;28.0;31.0;20.0;10.0;5.0;6.0;21921;14287;;1947;5686;;;;;;1898;186.0;54.0;;;;;;;6320.0;5115.0;1205.0;4896.0;4065.0;830.0;;
3;1997;942;76;24;102;491;50;260;20;19;39.0;28.0;16.0;8.0;5.0;4.0;20266;14578;;2804;2883;;;;;;2032;157.0;110.0;;;;;;;6708.0;5312.0;1396.0;5071.0;3942.0;1129.0;;
4;1999;902;63;37;109;451;59;255;18;10;35.0;29.0;19.0;8.0;5.0;4.0;20679;14012;;3225;3441;3969.0;2.59;;4.47;3.69;2249;246.0;55.0;;;;;;;7694.0;6148.0;1545.0;5198.0;4404.0;794.0;16205.0;
5;2001;873;62;38;105;448;49;245;17;9;36.0;28.0;18.0;8.0;5.0;5.0;20488;10929;3470.0;2445;3643;4603.0;2.72;;5.07;4.27;2135;;;50.0;45.0;29.0;17.0;73.0;10.0;8285.0;6283.0;2002.0;5478.0;4424.0;1054.0;17888.0;2330.0
6;2003;828;64;36;118;423;44;217;17;9;32.0;33.0;18.0;8.0;5.0;5.0;19558;10233;3359.0;2438;3527;4223.0;2.84;3.27;5.66;4.85;2162;;;49.0;48.0;40.0;16.0;77.0;7.0;8496.0;6567.0;1929.0;5837.0;4731.0;1106.0;19693.0;2357.0
7;2005;775;68;32;107;391;51;196;18;12;31.0;32.0;19.0;9.0;5.0;5.0;19648;9624;3903.0;2320;3801;4711.0;3.3;3.54;6.2;5.41;2041;164.0;74.0;47.0;51.0;46.0;15.0;77.0;8.0;8143.0;6563.0;1580.0;5696.0;4860.0;836.0;19667.0;2679.0
8;2007;773;67;33;118;383;54;190;17;11;31.0;31.0;19.0;9.0;5.0;5.0;20540;10162;4043.0;2643;3692;5437.0;3.76;4.19;6.99;6.2;2420;171.0;78.0;47.0;51.0;49.0;12.0;80.0;8.0;8598.0;6760.0;1839.0;6016.0;5013.0;1003.0;21329.0;3015.0
9;2009;810;67;33;114;400;55;195;21;25;31.0;32.0;17.0;9.0;5.0;6.0;22037;9490;3949.0;3333;5265;3304.0;3.89;5.29;8.5;7.91;2143;191.0;54.0;46.0;53.0;49.0;11.0;80.0;9.0;9146.0;6938.0;2208.0;6380.0;5284.0;1096.0;23720.0;3559.0
10;2011;788;67;33;62;472;34;196;24;0;32.0;30.0;16.0;9.0;6.0;6.0;23138;10836;4105.0;4187;4010;5160.0;3.89;5.7;9.68;9.24;1974;241.0;64.0;44.0;52.0;48.0;10.0;80.0;10.0;11580.0;8060.0;3520.0;6779.0;5527.0;1252.0;29205.0;4669.0
11;2013;799;69;31;66;463;28;217;25;0;31.0;32.0;15.0;9.0;7.0;6.0;26484;10718;4483.0;6132;5151;6994.0;3.59;5.14;10.89;10.58;1921;270.0;76.0;50.0;48.0;49.0;8.0;82.0;10.0;12010.0;8333.0;3677.0;6810.0;5491.0;1320.0;31019.0;4884.0
