ID;Perioden;Prijsindex_1;OntwikkelingTOVEenJaarEerder_2;Prijsindex_3;OntwikkelingTOVEenJaarEerder_4
0;2018 1e kwartaal;87.2;;87.2;
1;2018 2e kwartaal;88.5;;88.5;
2;2018 3e kwartaal;89.5;;89.5;
3;2018 4e kwartaal;92.1;;92.1;
4;2018;89.3;;89.3;
5;2019 1e kwartaal;91.7;5.2;91.7;5.2
6;2019 2e kwartaal;92.9;5.0;92.9;5.0
7;2019 3e kwartaal;95.0;6.1;95.0;6.1
8;2019 4e kwartaal;96.0;4.2;96.0;4.2
9;2019;93.9;5.1;93.9;5.1
10;2020 1e kwartaal;95.9;4.6;95.9;4.6
11;2020 2e kwartaal;96.7;4.1;96.7;4.1
12;2020 3e kwartaal;98.8;4.0;98.8;4.0
13;2020 4e kwartaal;97.8;1.9;97.8;1.9
14;2020;97.3;3.6;97.3;3.6
15;2021 1e kwartaal;96.7;0.8;96.7;0.8
16;2021 2e kwartaal;99.5;2.9;99.5;2.9
17;2021 3e kwartaal;101.5;2.7;101.5;2.7
18;2021 4e kwartaal;102.3;4.6;102.3;4.6
19;2021;100.0;2.8;100.0;2.8
20;2022 1e kwartaal;104.1;7.7;104.1;7.7
21;2022 2e kwartaal;105.0;5.5;105.0;5.5
22;2022 3e kwartaal;112.2;10.5;112.2;10.5
23;2022 4e kwartaal;114.0;11.4;114.0;11.4
24;2022;108.8;8.8;108.8;8.8
25;2023 1e kwartaal;118.7;14.0;118.7;14.0
26;2023 2e kwartaal;120.7;15.0;120.7;15.0
27;2023 3e kwartaal;125.8;12.1;125.8;12.1
28;2023 4e kwartaal;125.3;9.9;125.3;9.9
29;2023;122.6;12.7;122.6;12.7
30;2024 1e kwartaal;124.7;5.1;124.7;5.1
31;2024 2e kwartaal;127.6;5.7;127.6;5.7
32;2024 3e kwartaal;126.6;0.7;126.6;0.7
33;2024 4e kwartaal;128.0;2.1;128.0;2.1
34;2024;126.7;3.3;126.7;3.3
