ID;Beroepsklasse;RegioS;Perioden;WerkzameBeroepsbevolking_1
0;Totaal;Nederland;2013;8433
1;Totaal;Nederland;2014;8382
2;Totaal;Nederland;2015;8458
3;Totaal;Nederland;2016;8570
4;Totaal;Nederland;2017;8744
5;Totaal;Nederland;2018;8939
6;Totaal;Nederland;2019;9117
7;Totaal;Nederland;2020;9116
8;Totaal;Nederland;2021;9255
9;Totaal;Nederland;2022;9548
10;Totaal;Nederland;2023;9737
11;Totaal;Noord-Nederland (LD);2013;833
12;Totaal;Noord-Nederland (LD);2014;824
13;Totaal;Noord-Nederland (LD);2015;828
14;Totaal;Noord-Nederland (LD);2016;834
15;Totaal;Noord-Nederland (LD);2017;851
16;Totaal;Noord-Nederland (LD);2018;864
17;Totaal;Noord-Nederland (LD);2019;878
18;Totaal;Noord-Nederland (LD);2020;875
19;Totaal;Noord-Nederland (LD);2021;893
20;Totaal;Noord-Nederland (LD);2022;917
21;Totaal;Noord-Nederland (LD);2023;927
22;Totaal;Oost-Nederland (LD);2013;1791
23;Totaal;Oost-Nederland (LD);2014;1768
24;Totaal;Oost-Nederland (LD);2015;1784
25;Totaal;Oost-Nederland (LD);2016;1803
26;Totaal;Oost-Nederland (LD);2017;1848
27;Totaal;Oost-Nederland (LD);2018;1886
28;Totaal;Oost-Nederland (LD);2019;1921
29;Totaal;Oost-Nederland (LD);2020;1931
30;Totaal;Oost-Nederland (LD);2021;1966
31;Totaal;Oost-Nederland (LD);2022;2031
32;Totaal;Oost-Nederland (LD);2023;2071
33;Totaal;West-Nederland (LD);2013;4000
34;Totaal;West-Nederland (LD);2014;3995
35;Totaal;West-Nederland (LD);2015;4035
36;Totaal;West-Nederland (LD);2016;4100
37;Totaal;West-Nederland (LD);2017;4178
38;Totaal;West-Nederland (LD);2018;4288
39;Totaal;West-Nederland (LD);2019;4380
40;Totaal;West-Nederland (LD);2020;4378
41;Totaal;West-Nederland (LD);2021;4436
42;Totaal;West-Nederland (LD);2022;4598
43;Totaal;West-Nederland (LD);2023;4701
44;Totaal;Zuid-Nederland (LD);2013;1809
45;Totaal;Zuid-Nederland (LD);2014;1797
46;Totaal;Zuid-Nederland (LD);2015;1810
47;Totaal;Zuid-Nederland (LD);2016;1832
48;Totaal;Zuid-Nederland (LD);2017;1867
49;Totaal;Zuid-Nederland (LD);2018;1902
50;Totaal;Zuid-Nederland (LD);2019;1937
51;Totaal;Zuid-Nederland (LD);2020;1932
52;Totaal;Zuid-Nederland (LD);2021;1960
53;Totaal;Zuid-Nederland (LD);2022;2002
54;Totaal;Zuid-Nederland (LD);2023;2038
55;Totaal;Groningen (PV);2013;286
56;Totaal;Groningen (PV);2014;279
57;Totaal;Groningen (PV);2015;281
58;Totaal;Groningen (PV);2016;285
59;Totaal;Groningen (PV);2017;292
60;Totaal;Groningen (PV);2018;294
61;Totaal;Groningen (PV);2019;297
62;Totaal;Groningen (PV);2020;298
63;Totaal;Groningen (PV);2021;306
64;Totaal;Groningen (PV);2022;315
65;Totaal;Groningen (PV);2023;318
66;Totaal;Fryslân (PV);2013;313
67;Totaal;Fryslân (PV);2014;310
68;Totaal;Fryslân (PV);2015;313
69;Totaal;Fryslân (PV);2016;315
70;Totaal;Fryslân (PV);2017;320
71;Totaal;Fryslân (PV);2018;327
72;Totaal;Fryslân (PV);2019;334
73;Totaal;Fryslân (PV);2020;331
74;Totaal;Fryslân (PV);2021;336
75;Totaal;Fryslân (PV);2022;344
76;Totaal;Fryslân (PV);2023;348
77;Totaal;Drenthe (PV);2013;235
78;Totaal;Drenthe (PV);2014;234
79;Totaal;Drenthe (PV);2015;234
80;Totaal;Drenthe (PV);2016;234
81;Totaal;Drenthe (PV);2017;240
82;Totaal;Drenthe (PV);2018;243
83;Totaal;Drenthe (PV);2019;247
84;Totaal;Drenthe (PV);2020;247
85;Totaal;Drenthe (PV);2021;251
86;Totaal;Drenthe (PV);2022;257
87;Totaal;Drenthe (PV);2023;261
88;Totaal;Overijssel (PV);2013;571
89;Totaal;Overijssel (PV);2014;564
90;Totaal;Overijssel (PV);2015;568
91;Totaal;Overijssel (PV);2016;572
92;Totaal;Overijssel (PV);2017;585
93;Totaal;Overijssel (PV);2018;600
94;Totaal;Overijssel (PV);2019;608
95;Totaal;Overijssel (PV);2020;608
96;Totaal;Overijssel (PV);2021;621
97;Totaal;Overijssel (PV);2022;644
98;Totaal;Overijssel (PV);2023;652
99;Totaal;Flevoland (PV);2013;200
100;Totaal;Flevoland (PV);2014;196
101;Totaal;Flevoland (PV);2015;201
102;Totaal;Flevoland (PV);2016;206
103;Totaal;Flevoland (PV);2017;212
104;Totaal;Flevoland (PV);2018;217
105;Totaal;Flevoland (PV);2019;223
106;Totaal;Flevoland (PV);2020;225
107;Totaal;Flevoland (PV);2021;230
108;Totaal;Flevoland (PV);2022;241
109;Totaal;Flevoland (PV);2023;248
110;Totaal;Gelderland (PV);2013;1020
111;Totaal;Gelderland (PV);2014;1007
112;Totaal;Gelderland (PV);2015;1015
113;Totaal;Gelderland (PV);2016;1025
114;Totaal;Gelderland (PV);2017;1051
115;Totaal;Gelderland (PV);2018;1069
116;Totaal;Gelderland (PV);2019;1089
117;Totaal;Gelderland (PV);2020;1097
118;Totaal;Gelderland (PV);2021;1114
119;Totaal;Gelderland (PV);2022;1146
120;Totaal;Gelderland (PV);2023;1170
121;Totaal;Utrecht (PV);2013;672
122;Totaal;Utrecht (PV);2014;669
123;Totaal;Utrecht (PV);2015;676
124;Totaal;Utrecht (PV);2016;688
125;Totaal;Utrecht (PV);2017;701
126;Totaal;Utrecht (PV);2018;720
127;Totaal;Utrecht (PV);2019;740
128;Totaal;Utrecht (PV);2020;742
129;Totaal;Utrecht (PV);2021;749
130;Totaal;Utrecht (PV);2022;772
131;Totaal;Utrecht (PV);2023;787
132;Totaal;Noord-Holland (PV);2013;1400
133;Totaal;Noord-Holland (PV);2014;1400
134;Totaal;Noord-Holland (PV);2015;1426
135;Totaal;Noord-Holland (PV);2016;1456
136;Totaal;Noord-Holland (PV);2017;1475
137;Totaal;Noord-Holland (PV);2018;1510
138;Totaal;Noord-Holland (PV);2019;1541
139;Totaal;Noord-Holland (PV);2020;1537
140;Totaal;Noord-Holland (PV);2021;1545
141;Totaal;Noord-Holland (PV);2022;1611
142;Totaal;Noord-Holland (PV);2023;1646
143;Totaal;Zuid-Holland (PV);2013;1743
144;Totaal;Zuid-Holland (PV);2014;1739
145;Totaal;Zuid-Holland (PV);2015;1745
146;Totaal;Zuid-Holland (PV);2016;1767
147;Totaal;Zuid-Holland (PV);2017;1813
148;Totaal;Zuid-Holland (PV);2018;1864
149;Totaal;Zuid-Holland (PV);2019;1905
150;Totaal;Zuid-Holland (PV);2020;1904
151;Totaal;Zuid-Holland (PV);2021;1944
152;Totaal;Zuid-Holland (PV);2022;2013
153;Totaal;Zuid-Holland (PV);2023;2062
154;Totaal;Zeeland (PV);2013;185
155;Totaal;Zeeland (PV);2014;187
156;Totaal;Zeeland (PV);2015;188
157;Totaal;Zeeland (PV);2016;189
158;Totaal;Zeeland (PV);2017;189
159;Totaal;Zeeland (PV);2018;194
160;Totaal;Zeeland (PV);2019;195
161;Totaal;Zeeland (PV);2020;195
162;Totaal;Zeeland (PV);2021;199
163;Totaal;Zeeland (PV);2022;202
164;Totaal;Zeeland (PV);2023;207
165;Totaal;Noord-Brabant (PV);2013;1263
166;Totaal;Noord-Brabant (PV);2014;1258
167;Totaal;Noord-Brabant (PV);2015;1269
168;Totaal;Noord-Brabant (PV);2016;1287
169;Totaal;Noord-Brabant (PV);2017;1316
170;Totaal;Noord-Brabant (PV);2018;1341
171;Totaal;Noord-Brabant (PV);2019;1371
172;Totaal;Noord-Brabant (PV);2020;1374
173;Totaal;Noord-Brabant (PV);2021;1395
174;Totaal;Noord-Brabant (PV);2022;1426
175;Totaal;Noord-Brabant (PV);2023;1454
176;Totaal;Limburg (PV);2013;545
177;Totaal;Limburg (PV);2014;538
178;Totaal;Limburg (PV);2015;541
179;Totaal;Limburg (PV);2016;545
180;Totaal;Limburg (PV);2017;551
181;Totaal;Limburg (PV);2018;561
182;Totaal;Limburg (PV);2019;566
183;Totaal;Limburg (PV);2020;558
184;Totaal;Limburg (PV);2021;565
185;Totaal;Limburg (PV);2022;576
186;Totaal;Limburg (PV);2023;584
187;Totaal;Aa en Hunze;2013;12
188;Totaal;Aa en Hunze;2014;12
189;Totaal;Aa en Hunze;2015;12
190;Totaal;Aa en Hunze;2016;12
191;Totaal;Aa en Hunze;2017;12
192;Totaal;Aa en Hunze;2018;13
193;Totaal;Aa en Hunze;2019;13
194;Totaal;Aa en Hunze;2020;13
195;Totaal;Aa en Hunze;2021;13
196;Totaal;Aa en Hunze;2022;13
197;Totaal;Aa en Hunze;2023;13
198;Totaal;Aalsmeer;2013;16
199;Totaal;Aalsmeer;2014;16
200;Totaal;Aalsmeer;2015;17
201;Totaal;Aalsmeer;2016;17
202;Totaal;Aalsmeer;2017;17
203;Totaal;Aalsmeer;2018;17
204;Totaal;Aalsmeer;2019;18
205;Totaal;Aalsmeer;2020;18
206;Totaal;Aalsmeer;2021;18
207;Totaal;Aalsmeer;2022;19
208;Totaal;Aalsmeer;2023;19
209;Totaal;Aalten;2013;14
210;Totaal;Aalten;2014;14
211;Totaal;Aalten;2015;14
212;Totaal;Aalten;2016;14
213;Totaal;Aalten;2017;14
214;Totaal;Aalten;2018;14
215;Totaal;Aalten;2019;15
216;Totaal;Aalten;2020;15
217;Totaal;Aalten;2021;15
218;Totaal;Aalten;2022;15
219;Totaal;Aalten;2023;15
220;Totaal;Achtkarspelen;2013;13
221;Totaal;Achtkarspelen;2014;13
222;Totaal;Achtkarspelen;2015;13
223;Totaal;Achtkarspelen;2016;14
224;Totaal;Achtkarspelen;2017;14
225;Totaal;Achtkarspelen;2018;14
226;Totaal;Achtkarspelen;2019;14
227;Totaal;Achtkarspelen;2020;14
228;Totaal;Achtkarspelen;2021;14
229;Totaal;Achtkarspelen;2022;15
230;Totaal;Achtkarspelen;2023;15
231;Totaal;Alblasserdam;2013;10
232;Totaal;Alblasserdam;2014;10
233;Totaal;Alblasserdam;2015;10
234;Totaal;Alblasserdam;2016;10
235;Totaal;Alblasserdam;2017;10
236;Totaal;Alblasserdam;2018;10
237;Totaal;Alblasserdam;2019;10
238;Totaal;Alblasserdam;2020;10
239;Totaal;Alblasserdam;2021;10
240;Totaal;Alblasserdam;2022;11
241;Totaal;Alblasserdam;2023;11
242;Totaal;Albrandswaard;2013;13
243;Totaal;Albrandswaard;2014;13
244;Totaal;Albrandswaard;2015;13
245;Totaal;Albrandswaard;2016;13
246;Totaal;Albrandswaard;2017;13
247;Totaal;Albrandswaard;2018;14
248;Totaal;Albrandswaard;2019;14
249;Totaal;Albrandswaard;2020;14
250;Totaal;Albrandswaard;2021;14
251;Totaal;Albrandswaard;2022;14
252;Totaal;Albrandswaard;2023;15
253;Totaal;Alkmaar;2013;55
254;Totaal;Alkmaar;2014;54
255;Totaal;Alkmaar;2015;56
256;Totaal;Alkmaar;2016;56
257;Totaal;Alkmaar;2017;56
258;Totaal;Alkmaar;2018;58
259;Totaal;Alkmaar;2019;59
260;Totaal;Alkmaar;2020;59
261;Totaal;Alkmaar;2021;58
