ID;Perioden;UitkeringsontvangersTotaal_1;TotDeAOWLeeftijd_2;VanafDeAOWLeeftijd_3;Werkloosheid_4;BijstandEnBijstandsgerelateerdTotaal_5;BijstandsuitkeringTotDeAOWLeeftijd_6;BijstandsuitkeringVanafDeAOWLeeftijd_7;IOAWUitkering_8;IOAZUitkering_9;WWIKUitkering_10;ArbeidsongeschiktheidTotaal_11;WAOUitkering_12;WIAUitkeringWGARegeling_13;WIAUitkeringIVARegeling_14;WAZUitkering_15;WajongUitkering_16;AOW_17
28;2009 mei;1372350;1317810;43890;209400;388980;316120;40570;10710;2360;2680;799580;530410;50580;16540;33850;176080;
29;2009 juni;1380610;1325970;43960;215620;391260;317820;40660;10890;2350;2720;799360;527530;51920;17080;33520;177210;
30;2009 juli;1394130;1338360;45030;226570;394140;319610;41380;11060;2320;2710;798830;524640;53040;17450;33190;178340;
31;2009 augustus;1399070;1343130;45190;233270;396040;321050;41560;11230;2310;2750;794890;519890;53970;18020;32660;178010;
32;2009 september;1403480;1347600;45040;234980;398030;322350;41710;11420;2290;2890;795350;517660;55740;18680;32340;178710;
33;2009 oktober;1414480;1358410;45140;242520;401700;325300;41890;11610;2280;3010;795140;514890;57280;19280;32010;179360;
34;2009 november;1433590;1377280;45170;254330;403060;326110;42080;11800;2270;3000;801710;516090;58820;19940;32620;182340;
35;2009 december;1456400;1399750;45330;272140;408150;330390;42250;12150;2290;3000;801980;513570;60150;20490;32370;183580;
36;2010 januari;1467280;1413120;42920;279340;414830;336140;42500;12340;2300;3040;798630;507950;61740;21130;31590;184220;
37;2010 februari;1470890;1416430;43240;277790;420790;340950;42860;12530;2310;3110;797640;504830;63000;21730;31240;184860;
38;2010 maart;1466390;1411630;43450;267250;425070;344370;43140;12760;2270;3150;798930;502300;64970;22330;30980;186450;
39;2010 april;1461670;1406790;43780;259760;428370;347010;43460;12910;2270;3210;797960;499120;66240;22950;30650;187050;
40;2010 mei;1460650;1406680;44060;257870;429100;348440;43750;13040;2280;3250;798040;496100;67820;23630;30360;188270;
41;2010 juni;1458960;1404960;44140;255020;429820;348950;43800;13200;2270;3290;798400;493510;69230;24190;30060;189530;
42;2010 juli;1458280;1403980;44790;253910;430520;349130;44500;13280;2270;3300;797580;490200;70360;24660;29760;190590;
43;2010 augustus;1451070;1396680;44890;248100;431770;350090;44610;13420;2240;3310;794610;486050;71370;25400;29350;190290;
44;2010 september;1448200;1393610;44960;243560;432240;350130;44690;13590;2230;3460;795630;483710;73190;26140;29100;191390;
45;2010 oktober;1451370;1396460;45160;243480;434440;351880;44890;13650;2250;3600;796580;481430;74740;26810;28880;192550;
46;2010 november;1461100;1405850;45330;250560;435610;352760;45060;13670;2210;3610;798260;479470;76590;27620;28710;193780;
47;2010 december;1482350;1426730;45580;268520;440070;356680;45310;13790;2220;3570;797020;476760;77420;27890;28400;194190;
48;2011 januari;1490580;1435010;45930;271010;444120;360610;45630;13850;2270;3640;798960;474320;79740;29010;28180;195540;
49;2011 februari;1488160;1432420;46200;265550;447480;363410;45910;13880;2270;3700;798390;471240;81290;29710;27810;196180;
50;2011 maart;1480280;1424530;46430;253710;449810;365390;46160;13880;2250;3750;799980;468030;83650;30450;27550;198380;
51;2011 april;1473760;1403850;46610;246990;450710;366100;46320;13830;2210;3740;799010;464380;85120;31070;27170;199270;
52;2011 mei;1468450;1398400;46840;242580;450620;365920;46550;13720;2190;3720;798110;460530;86720;31650;26810;200330;
53;2011 juni;1469450;1399190;47030;244590;450160;365320;46730;13640;2170;3710;797400;456900;88410;32250;26410;201340;
54;2011 juli;1470310;1413210;47750;246810;449950;364600;47450;13550;2150;3780;795880;452940;89680;32690;26030;202400;
55;2011 augustus;1461530;1404590;47880;242930;448980;363880;47570;13490;2140;3800;791780;448260;90740;33300;25500;201560;
56;2011 september;1459380;1402220;47980;241610;448110;362920;47680;13530;2120;3880;791820;445010;92790;33990;25170;202450;
57;2011 oktober;1466440;1408920;48110;247610;449810;364300;47810;13490;2130;3930;791290;441750;94470;34660;24830;203150;
58;2011 november;1474670;1416820;48160;254340;449840;364400;47880;13510;2100;3850;792810;439570;96900;35470;24650;204010;
59;2011 december;1498070;1439870;48300;275640;453120;367360;48020;13540;2100;3790;792040;436550;98150;36060;24410;204640;
60;2012 januari;1506960;1451040;46940;287240;451580;367180;46700;13540;2140;3410;790840;432430;100060;36840;23900;205340;
61;2012 februari;1507640;1451830;47040;287020;453200;368600;46790;13620;2140;3220;790140;429240;101460;37540;23600;206140;
62;2012 maart;1504560;1448910;47170;281590;453840;368960;46910;13720;2150;3150;791940;426440;103650;38130;23400;208170;
63;2012 april;1502610;1446880;47260;279460;454540;369440;46990;13810;2150;3080;791280;423130;104990;38560;23100;209130;
64;2012 mei;1500540;1444800;47330;276550;455920;370470;47060;14000;2140;3040;790520;419700;106310;39170;22760;210300;
65;2012 juni;1501930;1446140;47270;277990;456470;370890;47000;14010;2130;2980;789810;416500;107610;39760;22400;211360;
66;2012 juli;1510820;1454560;47700;290480;454000;371030;47350;14090;2140;0;788710;413010;108740;40210;22110;212350;
67;2012 augustus;1507920;1452340;47090;291070;454010;371520;46730;14220;2140;0;785080;408880;109590;40860;21710;211740;
68;2012 september;1509840;1454210;46930;292490;454650;371880;46550;14440;2130;0;785150;405980;111420;41570;21440;212570;
69;2012 oktober;1520590;1464380;47220;301060;457200;373720;46880;14640;2120;0;784990;402930;113110;42050;21170;213450;
70;2012 november;1540070;1483190;47460;315970;461210;377200;47090;14840;2120;0;786080;400310;114880;42770;20960;215190;
71;2012 december;1577460;1519880;47550;351230;465090;380660;47100;15120;2140;0;785580;397310;116410;43300;20720;215970;
72;2013 januari;1611440;1555160;46040;378780;469880;386470;45750;15540;2250;0;788630;396720;118240;44210;20650;216960;
73;2013 februari;1621600;1564730;46750;384000;475260;391060;46010;15800;2270;0;788530;394020;119710;44830;20400;217790;
74;2013 maart;1627530;1571580;46110;384930;479820;395340;45740;16190;2260;0;789590;391200;121480;45420;20180;219450;
75;2013 april;1632830;1576530;46440;386870;483860;399070;45830;16400;2260;0;789290;388230;122770;46170;19900;220420;
76;2013 mei;1634800;1578760;46360;386090;486550;401440;45960;16600;2280;0;789260;385260;124050;46970;19670;221630;
77;2013 juni;1630570;1574660;46460;380850;487450;402200;45870;16860;2270;0;788970;382490;125110;47510;19440;222680;
78;2013 juli;1646810;1590850;46300;396590;488590;403380;45880;17130;2300;0;788700;379660;126200;48050;19170;223790;
79;2013 augustus;1646920;1590740;46600;400630;488210;402400;46070;17410;2290;0;785390;375720;126900;48750;18810;223470;
80;2013 september;1651320;1594830;46650;403390;489000;402910;46020;17630;2320;0;786370;373220;128650;49870;18670;224550;
81;2013 oktober;1662670;1605400;47040;411530;492430;405480;46610;17840;2310;0;786490;370380;130000;50550;18400;225650;
82;2013 november;1669690;1611350;47480;413740;496570;408860;46900;18090;2290;0;787310;368120;131190;51670;18230;226720;
83;2013 december;1701220;1641970;47450;441420;501240;413020;47010;18380;2310;0;787280;365520;132390;52440;18040;227620;
84;2014 januari;4884420;1672430;3205350;452240;506530;418210;46880;18840;2430;0;790400;365190;133540;53530;18040;228680;3210010.0
85;2014 februari;4894530;1675790;3211450;451850;511070;422090;47070;19210;2440;0;790270;362910;134380;54400;17810;229490;3216720.0
86;2014 maart;4904030;1675840;3220120;446690;515100;425330;47370;19630;2440;0;791870;360170;136160;55130;17600;231470;3226150.0
87;2014 april;4915450;1679750;3226820;447610;518450;428260;47490;19900;2450;0;791820;357550;137230;55910;17360;232360;3233660.0
88;2014 mei;4915590;1669630;3236260;435350;520140;429650;47560;20140;2430;0;791970;354870;138390;56780;17150;233510;3243900.0
89;2014 juni;4910730;1656310;3244090;420860;520500;429840;47590;20450;2430;0;792120;352280;139460;57510;16920;234570;3252360.0
90;2014 juli;4918860;1655230;3252500;419260;520890;430310;47590;20610;2440;0;791750;349540;140190;58170;16700;235610;3261540.0
91;2014 augustus;4918980;1647080;3260110;416130;518720;428160;47390;20830;2390;0;788590;346260;140750;58880;16420;234890;3269790.0
92;2014 september;4926170;1645790;3267590;416130;517110;426790;46810;21090;2380;0;789120;343550;142340;59910;16260;235840;3278210.0
93;2014 oktober;4937320;1647900;3276020;416460;519190;428310;47100;21350;2400;0;788980;340820;143480;60530;16080;236670;3287250.0
94;2014 november;4944340;1647220;3282080;411700;522700;431070;47280;21670;2400;0;789590;338400;144680;61620;15950;237800;3294910.0
95;2014 december;4976390;1673070;3287290;434090;525960;433670;47470;22020;2410;0;790560;336050;145890;62620;15820;239420;3301070.0
96;2015 januari;4974180;1682870;3274950;438670;528880;436170;47520;22510;2510;0;792480;335650;146990;63980;15790;239330;3289040.0
97;2015 februari;4979460;1684480;3277670;438440;532430;438960;47630;22900;2520;0;791280;333470;147580;64820;15620;239020;3292670.0
98;2015 maart;4980530;1680100;3282390;429980;536030;441900;47670;23370;2500;0;791690;331310;148620;65550;15460;239760;3298070.0
99;2015 april;4978060;1669340;3289460;418470;538110;443500;48010;23570;2500;0;790160;328770;149230;66530;15240;239520;3306370.0
100;2015 mei;4967220;1651930;3295660;400910;538910;443850;48240;23890;2480;0;788810;326240;149950;67570;15070;239400;3313020.0
101;2015 juni;4977310;1653330;3303300;405090;537830;442430;48240;24120;2450;0;787540;323840;150450;68300;14880;239210;3321680.0
102;2015 juli;4983060;1649160;3321600;402320;534650;441550;45790;24360;2440;0;785860;321320;150750;69080;14710;238970;3331720.0
103;2015 augustus;4984680;1642390;3329440;401620;532730;439430;45660;24630;2430;0;781510;318190;150940;69870;14480;237070;3340080.0
104;2015 september;4996140;1646790;3335990;406360;533930;440060;45760;24960;2430;0;780730;315960;152020;70830;14310;236670;3347090.0
