ID;Perioden;UitkeringsontvangersTotaal_1;TotDeAOWLeeftijd_2;VanafDeAOWLeeftijd_3;Werkloosheid_4;BijstandEnBijstandsgerelateerdTotaal_5;BijstandsuitkeringTotDeAOWLeeftijd_6;BijstandsuitkeringVanafDeAOWLeeftijd_7;IOAWUitkering_8;IOAZUitkering_9;WWIKUitkering_10;ArbeidsongeschiktheidTotaal_11;WAOUitkering_12;WIAUitkeringWGARegeling_13;WIAUitkeringIVARegeling_14;WAZUitkering_15;WajongUitkering_16;AOW_17
0;2007 januari;1435170;1386530;36910;231640;418140;355640;33650;10200;3010;2780;825150;617890;16050;4130;43290;151960;
1;2007 februari;1423750;1374920;37180;220530;416850;354260;33890;10060;3000;2780;823220;614090;17140;4510;42840;152750;
2;2007 maart;1410640;1361550;37530;209330;413530;350920;34140;9810;2980;2760;823530;611960;18340;4890;42700;153900;
3;2007 april;1399680;1350070;38110;203150;411340;348650;34380;9660;2950;2720;822290;608560;19460;5340;42340;154880;
4;2007 mei;1389780;1340160;38190;196980;408600;345910;34570;9490;2920;2680;820750;604920;20630;5730;41940;155780;
5;2007 juni;1380920;1331420;38140;193020;404720;342080;34720;9290;2880;2630;819270;601380;21630;6100;41550;156810;
6;2007 juli;1377100;1326660;39150;194230;400960;337790;35500;9070;2870;2570;817580;597640;22690;6420;41260;157790;
7;2007 augustus;1363050;1312630;39330;186770;398560;335390;35560;8930;2830;2570;812680;591450;23840;6810;40550;157990;
8;2007 september;1353910;1303760;39230;181380;395280;332040;35730;8880;2830;2640;811560;588120;25100;7280;40240;158790;
9;2007 oktober;1349540;1299190;39470;178910;393040;329370;35910;8870;2790;2650;811210;585690;26490;7680;39930;159360;
10;2007 november;1346260;1295730;39560;180360;387560;323580;36170;8720;2750;2630;811430;583450;27760;8090;39680;160340;
11;2007 december;1354050;1303410;39600;191530;384630;320220;36360;8720;2690;2620;810940;580950;28730;8540;39420;161220;
12;2008 januari;1344410;1293370;40060;181780;383640;318760;36630;8830;2720;2600;810240;577960;30160;9000;39090;161960;
13;2008 februari;1338910;1287310;40650;175920;384030;318350;37140;8870;2720;2620;809550;575120;31330;9400;38790;162800;
14;2008 maart;1333970;1282090;40970;170780;383240;317090;37430;8910;2680;2590;809880;573790;32720;9790;38670;162950;
15;2008 april;1326460;1274270;41320;163250;382310;315850;37630;8990;2650;2570;810020;571710;33900;10310;38430;163890;
16;2008 mei;1319910;1267440;41620;157850;381110;314350;37900;9020;2620;2560;809420;568670;35110;10750;38040;165040;
17;2008 juni ;1315710;1263280;41630;156260;379240;312230;38040;9070;2600;2510;808220;565370;36220;11160;37600;165990;
18;2008 juli;1315300;1262310;42180;157390;377820;310210;38680;9060;2600;2480;807620;562690;37180;11540;37320;167000;
19;2008 augustus;1303050;1250080;42240;152260;375840;307930;38920;9130;2580;2480;801840;556550;38000;11970;36640;166520;
20;2008 september;1297100;1244320;42130;148740;373520;305350;39070;9150;2520;2590;801150;553220;39510;12470;36310;167440;
21;2008 oktober;1298930;1245890;42400;151640;373030;304340;39300;9210;2500;2610;800140;550040;40850;12980;36000;168060;
22;2008 november;1303420;1250310;42540;157280;371590;302780;39420;9310;2440;2610;800220;547320;42320;13550;35740;169110;
23;2008 december;1321200;1267850;42730;173870;373720;304200;39640;9520;2430;2600;799450;544300;43480;14030;35450;170030;
24;2009 januari;1333190;1279340;43260;184180;375900;305680;39930;9860;2440;2530;798830;541090;45010;14620;35110;170840;
25;2009 februari;1343920;1289820;43490;191470;379800;308760;40130;10010;2430;2590;798460;538260;46420;15120;34770;171710;
26;2009 maart;1353290;1298910;43670;196190;382410;310760;40280;10260;2380;2580;800350;536280;48010;15600;34520;173780;
27;2009 april;1362320;1307750;43900;202410;385660;313300;40490;10500;2360;2640;799840;533380;49220;16070;34190;174800;
