ID;Perioden;TotaalActiva_1;TotaalNietFinancieleActiva_2;TotaalVasteActiva_3;Woningen_4;Bedrijfsgebouwen_5;GrondWegEnWaterbouwkundigeWerken_6;OverdrachtskostenOpGrond_7;TotaalVervoermiddelen_8;PersonenautoS_9;OverigeWegvervoermiddelen_10;TreinenEnTrams_11;Schepen_12;Vliegtuigen_13;Computers_14;TelecommunicatieApparatuur_15;MachinesEnInstallaties_16;OverigeMaterieleVasteActiva_17;InCultuurGebrachteActiva_18;OnderzoekEnOntwikkeling_19;ComputerprogrammatuurEnDatabanken_20;OverigeImmaterieleActiva_21;Voorraden_22;TotaalGrond_23;GrondOnderWoningen_24;GrondOnderBedrijfsgebouwen_25;Landbouwgrond_26;OlieEnGasreserves_27;TotaalFinancieleActiva_28;TotaalChartaalGeldEnDepositoS_29;ChartaalGeld_30;GiraleDepositoS_31;OverigeDepositoS_32;TotaalSchuldbewijzen_33;KortlopendeSchuldbewijzen_34;LanglopendeSchuldbewijzen_35;FinancieleDerivaten_36;TotaalLeningen_37;KortlopendeLeningen_38;LanglopendeLeningen_39;TotaalAandelenEnOverigeDeelnemingen_40;BeursgenoteerdeAandelen_41;OverigeDeelnemingen_42;AandelenInBeleggingsfondsen_43;HandelskredietenTransitorischePosten_44;TotaalPassiva_45;TotaalFinancielePassiva_46;TotaalDepositoS_47;GiraleDepositoS_48;OverigeDepositoS_49;TotaalSchuldbewijzen_50;KortlopendeSchuldbewijzen_51;LanglopendeSchuldbewijzen_52;TotaalLeningen_53;KortlopendeLeningen_54;LanglopendeLeningen_55;HandelskredietenTransitorischePosten_56;TotaalVermogenssaldo_57;VermogenssaldoVorigJaar_58;TotaalMutatieInVermogenssaldo_59;Exploitatiesaldo_60;Overig_61
0;2001;557692;420035;257029;1970;64290;154037;2198;3252;454;524;0;978;1296;1746;342;9641;3364;0;12636;3553;0;0;40032;2301;33318;4413;122974;137657;15132;79;7140;7913;3119;615;2504;69;31178;535;30643;53768;9345;44362;61;34391;557692;268815;3072;1814;1258;194538;5817;188721;50567;8761;41806;20638;288877;;;2731;
1;2002;546279;416935;273168;2129;67898;164406;2360;3156;445;511;0;988;1212;1820;311;9910;3886;0;13414;3876;0;0;40736;2485;33965;4287;103030;129344;13790;66;6674;7050;2860;604;2256;293;30920;465;30455;46002;8085;37877;40;35479;546279;282820;1833;1092;741;208584;16007;192577;49154;9465;39689;23249;263459;288877.0;-25418.0;-4556;-20862.0
2;2003;569158;437215;289539;2242;70461;176400;2554;3023;441;505;0;989;1087;1945;317;10018;4226;0;14081;4271;0;0;42135;2546;35678;3911;105541;131943;15380;73;7425;7882;2711;678;2033;338;28295;472;27823;45961;6989;38722;250;39258;569158;295083;1920;1103;817;219604;20239;199365;46275;7564;38711;27284;274075;263459.0;10616.0;-9676;20292.0
3;2004;576866;444111;297145;2326;71795;181078;2582;2966;444;522;0;999;1001;2210;317;10225;4404;0;14567;4676;0;0;44660;2679;38401;3580;102307;132755;15650;63;6736;8851;2537;613;1924;619;27723;508;27215;47769;6375;40570;824;38457;576866;305137;1265;472;793;234188;17674;216514;44692;5413;39279;24992;271729;274075.0;-2346.0;-6338;3992.0
4;2005;625974;477645;305231;2409;73753;186457;2610;2978;435;548;0;1019;977;2305;343;9598;4479;0;15156;5143;0;0;46383;2812;40039;3533;126031;148329;20824;61;6817;13946;2575;645;1930;803;30228;668;29560;56752;4146;50787;1819;37147;625974;312763;3021;827;2194;239537;17929;221608;45467;4544;40923;24738;313211;271729.0;41482.0;61;41421.0
5;2006;672409;534473;319129;2563;76856;195661;2633;2898;458;530;0;1011;899;2456;357;9531;4445;0;15661;6069;0;0;48117;3009;41487;3621;167227;137936;14436;70;6986;7380;2375;631;1744;315;29605;558;29047;53572;77;51740;1755;37633;672409;296797;2672;1229;1443;221132;13818;207314;45197;3891;41306;27796;375612;313211.0;62401.0;3713;58688.0
6;2007;693927;542614;334351;2763;79434;206800;2650;2954;461;595;0;1062;836;2516;375;9728;4548;0;16105;6478;0;0;51625;3350;44140;4135;156639;151313;18962;76;7925;10961;2773;1049;1724;-973;32317;769;31548;59927;98;57715;2114;38307;693927;297220;2707;1310;1397;213893;16546;197347;50201;9391;40810;30419;396707;375612.0;21095.0;4597;16498.0
7;2008;854893;610853;353999;2968;83202;221507;2687;2963;455;664;0;1049;794;2514;382;10140;4421;0;16545;6670;0;0;53669;3542;45081;5046;203185;244040;19183;82;7709;11392;2727;1141;1586;1651;77266;34781;42485;100627;70;98183;2374;42586;854893;391556;2564;1714;850;299342;83471;215871;63674;11042;52632;25976;463337;396707.0;66630.0;5879;60751.0
8;2009;797143;573018;366717;3194;87512;228302;2700;2966;435;720;0;1009;802;2614;375;10602;4536;0;17112;6805;0;32;51114;3299;42295;5520;155156;224125;18426;36;10768;7622;23988;835;23153;-225;49628;754;48874;86099;76;83874;2149;46209;797143;395674;1689;868;821;287054;57614;229440;79302;10260;69042;27629;401469;463337.0;-61868.0;-26785;-35083.0
9;2010;792573;567573;380382;3313;89917;238455;2622;2881;418;765;0;944;755;2798;411;10733;4455;0;17365;7432;0;0;49434;3186;40322;5926;137757;225000;14603;30;10180;4393;23514;490;23024;1830;48329;460;47869;86704;112;84561;2031;50020;792573;429249;1369;719;650;317993;53146;264847;78673;12493;66180;31214;363324;401469.0;-38145.0;-26695;-11450.0
