ID;BedrijfstakkenBranchesSBI2008;Perioden;Indexcijfers_1;OntwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenJaarEerder_4;TotaleOmzet_5;Verkoopprijzen_6;Personeelssterkte_7;OnvoldoendeVraag_8;Financieel_9;NederlandseMarkt_10;BuitenlandseMarktBinnenEU_11;BuitenlandseMarktBuitenEU_12;AantalFaillissementen_13;OntwikkelingTOVEenJaarEerder_14;AantalWerkzamePersonen_15;Totaal_16;NettoOmzet_17;OverigeBedrijfsopbrengsten_18;Totaal_19;InkoopwaardeOmzet_20;PersoneleKosten_21;OverigeBedrijfskosten_22;AfschrijvingenOpVasteActiva_23;Bedrijfsresultaat_24
0;B Delfstoffenwinning;2008 1e kwartaal;177.9;30.3;;;;;;;;;;;0.0;;;;;;;;;;;
1;B Delfstoffenwinning;2008 2e kwartaal;108.9;60.4;;;;;;;;;;;0.0;;;;;;;;;;;
2;B Delfstoffenwinning;2008 3e kwartaal;103.2;47.0;;;;;;;;;;;0.0;;;;;;;;;;;
3;B Delfstoffenwinning;2008 4e kwartaal;201.2;22.9;;;10.8;21.7;14.3;3.2;0.0;22.1;13.2;-2.7;0.0;;;;;;;;;;;
4;B Delfstoffenwinning;2008;147.8;34.9;;;;;;;;;;;0.0;;;;;;;;;;;
5;B Delfstoffenwinning;2009 1e kwartaal;185.3;4.1;;;-26.4;-11.4;-8.8;7.3;8.2;-4.6;-7.6;-13.3;0.0;;;;;;;;;;;
6;B Delfstoffenwinning;2009 2e kwartaal;74.2;-31.9;;;-47.1;-38.7;-27.8;20.2;5.7;2.8;0.5;0.0;0.0;;;;;;;;;;;
7;B Delfstoffenwinning;2009 3e kwartaal;65.2;-36.8;;;-42.2;-9.8;4.0;17.4;12.3;3.8;-3.5;0.0;0.0;;;;;;;;;;;
8;B Delfstoffenwinning;2009 4e kwartaal;128.5;-36.1;;;-3.6;-5.7;-3.1;15.3;30.0;0.2;0.7;-0.3;0.0;;;;;;;;;;;
9;B Delfstoffenwinning;2009;113.3;-23.4;;;;;;;;;;;0.0;;13.3;38394.0;37939.0;455.0;30829.0;21319.0;1023.0;7071.0;1417.0;7565.0
10;B Delfstoffenwinning;2010 1e kwartaal;148.7;-19.7;;;-28.0;-9.5;8.5;16.9;10.5;4.8;-8.9;-4.4;0.0;;;;;;;;;;;
11;B Delfstoffenwinning;2010 2e kwartaal;84.5;13.9;;;-7.3;5.2;1.8;10.7;9.7;11.9;12.7;6.3;0.0;;;;;;;;;;;
12;B Delfstoffenwinning;2010 3e kwartaal;73.5;12.8;;;-29.0;31.6;12.2;12.7;4.3;0.0;12.0;7.1;0.0;;;;;;;;;;;
13;B Delfstoffenwinning;2010 4e kwartaal;160.0;24.5;;;19.8;17.6;-0.1;16.8;7.5;-1.5;-0.4;0.9;0.0;;;;;;;;;;;
14;B Delfstoffenwinning;2010;116.7;3.0;;;;;;;;;;;0.0;;11.7;38625.0;38194.0;431.0;30973.0;20817.0;996.0;7748.0;1411.0;7652.0
15;B Delfstoffenwinning;2011 1e kwartaal;182.8;22.9;;;20.8;24.6;0.4;4.5;0.0;0.0;11.1;10.9;1.0;;;;;;;;;;;
16;B Delfstoffenwinning;2011 2e kwartaal;97.0;14.8;;;3.2;27.1;8.7;6.4;4.9;0.0;13.4;6.4;0.0;;;;;;;;;;;
17;B Delfstoffenwinning;2011 3e kwartaal;91.0;23.7;;;18.1;11.5;47.3;2.4;0.0;27.7;31.5;28.0;0.0;;;;;;;;;;;
18;B Delfstoffenwinning;2011 4e kwartaal;168.1;5.1;;;7.1;8.1;6.9;16.3;1.2;2.2;1.1;1.6;0.0;;;;;;;;;;;
19;B Delfstoffenwinning;2011;134.7;15.5;;;;;;;;;;;1.0;;14.5;43038.0;42274.0;764.0;35355.0;23637.0;1127.0;8980.0;1612.0;7683.0
20;B Delfstoffenwinning;2012 1e kwartaal;208.4;14.0;;;21.4;19.5;9.2;16.1;5.4;-1.5;3.8;8.0;0.0;-100.0;;;;;;;;;;
21;B Delfstoffenwinning;2012 2e kwartaal;115.3;18.9;;;29.6;9.0;12.2;12.5;7.2;-7.6;12.3;3.6;0.0;;;;;;;;;;;
22;B Delfstoffenwinning;2012 3e kwartaal;98.0;7.7;;;-35.1;22.3;20.4;15.4;7.3;2.0;-7.0;12.4;1.0;;;;;;;;;;;
23;B Delfstoffenwinning;2012 4e kwartaal;174.7;3.9;;;40.5;-18.9;7.5;17.8;9.2;-2.9;-0.3;6.7;0.0;;;;;;;;;;;
24;B Delfstoffenwinning;2012;149.1;10.7;;;;;;;;;;;1.0;0.0;15.4;49043.0;48173.0;870.0;40470.0;26170.0;1275.0;11133.0;1892.0;8573.0
25;B Delfstoffenwinning;2013 1e kwartaal;216.0;3.7;123.7;1.5;44.9;-0.5;25.8;19.6;7.1;-0.5;7.2;0.4;1.0;;;;;;;;;;;
26;B Delfstoffenwinning;2013 2e kwartaal;130.4;13.0;121.7;-2.8;26.4;-2.5;34.9;15.7;3.8;-3.3;0.2;1.7;0.0;;;;;;;;;;;
27;B Delfstoffenwinning;2013 3e kwartaal;107.4;9.6;120.9;-2.9;11.5;-5.5;13.0;15.4;4.5;0.6;-2.2;-2.7;0.0;-100.0;;;;;;;;;;
28;B Delfstoffenwinning;2013 4e kwartaal;170.2;-2.5;122.2;-4.6;12.4;7.1;14.6;13.4;6.8;-0.6;-1.2;-0.9;0.0;;;;;;;;;;;
29;B Delfstoffenwinning;2013;156.0;4.6;122.1;-2.2;;;;;;;;;1.0;0.0;15.5;51053.0;50244.0;809.0;42697.0;27463.0;1450.0;12116.0;1668.0;8356.0
30;B Delfstoffenwinning;2014 1e kwartaal;165.1;-23.6;119.4;-3.5;24.8;1.6;37.1;11.4;3.3;6.5;-1.8;5.2;1.0;0.0;;;;;;;;;;
31;B Delfstoffenwinning;2014 2e kwartaal;97.9;-24.9;107.9;-11.3;33.5;-4.8;54.7;7.8;9.7;19.5;21.0;18.6;0.0;;;;;;;;;;;
32;B Delfstoffenwinning;2014 3e kwartaal;88.7;-17.5;102.8;-14.9;-4.8;-30.5;30.8;11.5;6.9;9.4;3.9;4.7;1.0;;;;;;;;;;;
33;B Delfstoffenwinning;2014 4e kwartaal;145.9;-14.3;110.3;-9.7;16.3;21.9;14.8;11.1;4.7;14.5;4.6;0.7;0.0;;;;;;;;;;;
34;B Delfstoffenwinning;2014;124.4;-20.3;110.1;-9.8;;;;;;;;;2.0;100.0;16.8;41570.0;41130.0;440.0;35173.0;23181.0;1509.0;8616.0;1867.0;6397.0
35;B Delfstoffenwinning;2015 1e kwartaal;146.9;-11.0;104.4;-12.5;-3.0;7.9;-2.0;9.4;4.6;-1.9;-3.7;-0.3;0.0;-100.0;;;;;;;;;;
36;B Delfstoffenwinning;2015 2e kwartaal;74.6;-23.8;102.6;-4.9;-14.5;-35.3;-36.4;13.7;4.1;3.1;3.5;9.6;1.0;;;;;;;;;;;
37;B Delfstoffenwinning;2015 3e kwartaal;81.4;-8.2;100.1;-2.6;3.8;-7.9;-19.7;17.2;4.6;0.5;-1.9;-10.5;0.0;-100.0;;;;;;;;;;
38;B Delfstoffenwinning;2015 4e kwartaal;97.2;-33.4;92.8;-15.8;27.1;5.9;-16.8;32.3;4.0;-18.4;-9.1;-0.2;1.0;;;;;;;;;;;
39;B Delfstoffenwinning;2015;100.0;-19.6;100.0;-9.2;;;;;;;;;2.0;0.0;16.8;32665.0;32572.0;94.0;27703.0;18480.0;1710.0;5620.0;1893.0;4962.0
40;B Delfstoffenwinning;2016 1e kwartaal;83.0;-43.5;83.0;-20.5;12.7;-9.5;-31.6;26.7;4.6;11.8;11.6;11.3;0.0;;;;;;;;;;;
41;B Delfstoffenwinning;2016 2e kwartaal;54.0;-27.6;77.8;-24.2;-15.4;-14.8;-9.8;37.6;6.1;-1.7;0.0;-1.3;0.0;-100.0;;;;;;;;;;
42;B Delfstoffenwinning;2016 3e kwartaal;49.6;-39.0;82.7;-17.4;-10.4;-10.3;-17.6;41.1;6.7;-7.8;-10.8;-12.3;0.0;;;;;;;;;;;
