ID;Perioden;TotaalVervoerdLadinggewicht_1;BinnenlandsGoederenvervoer_2;TotaalInternationaalGoederenvervoer_3;TotaalAanEnAfvoer_4;Aanvoer_5;Afvoer_6;Doorvoer_7;TotaalAfgelegdeLadingtonkilometer_8;BinnenlandsGoederenvervoer_9;TotaalInternationaalGoederenvervoer_10;TotaalAanEnAfvoer_11;Aanvoer_12;Afvoer_13;Doorvoer_14;TotaalAfgelegdeTreinkilometers_15
0;1986;18191;5005;13186;13007;4887;8120;178;3013;983;2030;2017;887;1130;14;
1;1987;18146;5178;12968;12841;4518;8324;127;3001;1025;1976;1966;831;1136;10;
2;1988;19473;5223;14250;14073;5300;8774;177;3196;1049;2147;2135;892;1243;11;
3;1989;19342;5029;14313;14091;5307;8784;223;3108;1022;2086;2072;874;1198;14;
4;1990;18386;4974;13412;13216;5365;7851;197;3068;1019;2049;2037;887;1149;12;
5;1991;17742;4898;12844;12729;4721;8008;116;3036;998;2038;2031;818;1213;7;
6;1992;16944;4865;12079;12079;4445;7634;1;2751;966;1785;1785;737;1048;0;
7;1993;16818;4792;12027;12026;4582;7444;0;2670;973;1697;1697;676;1020;0;
8;1994;17909;4319;13590;13590;4801;8789;0;2806;857;1949;1949;716;1233;0;
9;1995;19503;4348;15155;15155;5257;9898;0;3016;721;2295;2295;855;1440;0;
10;1996;20839;4726;16113;16113;5751;10361;0;3164;778;2386;2386;894;1491;0;
11;1997;22920;5004;17917;17917;6205;11711;0;3434;814;2621;2621;902;1719;0;
12;1998;24708;4409;20300;20300;7003;13297;0;3714;742;2972;2972;1015;1958;0;
13;1999;25184;4633;20552;20552;6978;13574;0;3988;878;3110;3110;1029;2081;0;
14;2000;28063;5219;22844;22844;7719;15125;0;4610;1033;3577;3577;1150;2427;0;
15;2001;26092;4364;21728;21728;6824;14904;0;4293;839;3454;3454;1017;2437;0;
16;2002;28097;5728;22369;22369;7024;15345;0;4323;988;3335;3335;917;2418;0;
17;2003;29697;5708;23989;23989;6726;17263;0;4705;1034;3671;3671;873;2798;0;
18;2004;33709;5988;27721;27201;7159;20042;520;5831;1236;4595;4543;1128;3415;52;8516.0
19;2005;35009;6213;28796;28254;8242;20012;542;5914;1073;4841;4786;1348;3439;55;10397.0
20;2006;37267;5880;31387;30834;8223;22611;553;6289;1116;5174;5116;1292;3824;58;10463.0
21;2007;40700;5553;35147;33674;8940;24734;1473;7216;1195;6021;5815;1456;4358;206;10777.0
22;2008;40569;5395;35174;32977;9051;23926;2197;6984;1059;5925;5539;1420;4119;386;10575.0
23;2009 1e kwartaal;8967;1035;7932;7397;1745;5652;535;1500;203;1297;1209;245;964;88;2393.0
24;2009 2e kwartaal;7419;1258;6161;5617;1732;3885;544;1226;262;964;875;243;632;89;1956.0
25;2009 3e kwartaal;7797;1179;6618;6039;1922;4117;579;1286;244;1042;948;291;657;94;2053.0
26;2009 4e kwartaal;9411;1086;8325;7795;2089;5706;530;1565;232;1333;1243;303;940;90;2498.0
27;2009;33594;4558;29036;26848;7487;19361;2188;5578;941;4637;4276;1082;3194;361;8900.0
28;2010 1e kwartaal;9308;1081;8227;7619;1919;5700;608;1552;221;1331;1231;275;956;100;2285.0
29;2010 2e kwartaal;9085;1063;8022;7386;2002;5384;636;1526;221;1305;1201;289;912;104;2246.0
30;2010 3e kwartaal;8114;1269;6845;6315;2002;4313;530;1345;256;1089;1006;301;705;83;1980.0
31;2010 4e kwartaal;9029;1320;7709;7227;1947;5280;482;1502;252;1250;1168;288;880;82;2211.0
32;2010;35536;4733;30803;28546;7869;20677;2257;5925;950;4975;4606;1153;3453;369;8722.0
