ID;SBI1993LeeftijdscatCaoSectoren;Perioden;CaoLonenInclBijzBelPerMaand_1;CaoLonenInclBijzBelPerUur_2
131;Volwassenen;2000 mei;127.4;130.4
132;Volwassenen;2000 juni;127.7;130.8
133;Volwassenen;2000 juli;128.8;131.9
134;Volwassenen;2000 augustus;129.0;132.1
135;Volwassenen;2000 september;129.6;132.7
136;Volwassenen;2000 oktober;129.8;133.2
137;Volwassenen;2000 november;129.9;133.1
138;Volwassenen;2000 december;130.0;133.2
139;Volwassenen;2000 jaargemiddelde;128.8;131.9
140;Volwassenen;2001 januari;130.7;133.9
141;Volwassenen;2001 februari;131.0;134.2
142;Volwassenen;2001 maart;131.3;134.5
143;Volwassenen;2001 april;132.4;135.6
144;Volwassenen;2001 mei;133.0;136.3
145;Volwassenen;2001 juni;133.9;137.2
146;Volwassenen;2001 juli;135.2;138.6
147;Volwassenen;2001 augustus;135.4;138.8
148;Volwassenen;2001 september;135.6;138.9
149;Volwassenen;2001 oktober;136.4;139.8
150;Volwassenen;2001 november;136.5;139.8
151;Volwassenen;2001 december;136.6;140.0
152;Volwassenen;2001 jaargemiddelde;134.9;138.3
153;Volwassenen;2002 januari;137.4;140.8
154;Volwassenen;2002 februari;137.5;140.9
155;Volwassenen;2002 maart;137.9;141.3
156;Volwassenen;2002 april;138.3;141.7
157;Volwassenen;2002 mei;138.7;142.2
158;Volwassenen;2002 juni;139.0;142.4
159;Volwassenen;2002 juli;140.3;143.7
160;Volwassenen;2002 augustus;140.4;143.9
161;Volwassenen;2002 september;140.9;144.3
162;Volwassenen;2002 oktober;141.2;144.7
163;Volwassenen;2002 november;141.2;144.7
164;Volwassenen;2002 december;141.3;144.8
165;Volwassenen;2002 jaargemiddelde;139.9;143.4
166;Volwassenen;2003 januari;142.3;145.8
167;Volwassenen;2003 februari;142.4;145.9
168;Volwassenen;2003 maart;142.6;146.1
169;Volwassenen;2003 april;142.8;146.4
170;Volwassenen;2003 mei;143.4;146.9
171;Particuliere bedrijven;1999 januari;124.8;126.3
172;Particuliere bedrijven;1999 februari;125.0;126.4
173;Particuliere bedrijven;1999 maart;125.1;126.6
174;Particuliere bedrijven;1999 april;125.3;126.8
175;Particuliere bedrijven;1999 mei;125.5;127.0
176;Particuliere bedrijven;1999 juni;125.8;127.3
177;Particuliere bedrijven;1999 juli;126.7;128.3
178;Particuliere bedrijven;1999 augustus;127.1;128.6
179;Particuliere bedrijven;1999 september;127.3;128.9
180;Particuliere bedrijven;1999 oktober;128.0;129.6
181;Particuliere bedrijven;1999 november;128.2;129.9
182;Particuliere bedrijven;1999 december;128.2;129.9
183;Particuliere bedrijven;1999 jaargemiddelde;126.9;128.5
184;Particuliere bedrijven;2000 januari;128.8;130.5
185;Particuliere bedrijven;2000 februari;129.0;130.7
186;Particuliere bedrijven;2000 maart;129.3;130.9
187;Particuliere bedrijven;2000 april;129.7;131.4
188;Particuliere bedrijven;2000 mei;129.8;131.5
189;Particuliere bedrijven;2000 juni;129.9;131.6
190;Particuliere bedrijven;2000 juli;130.9;132.6
191;Particuliere bedrijven;2000 augustus;131.1;132.9
192;Particuliere bedrijven;2000 september;131.7;133.4
193;Particuliere bedrijven;2000 oktober;132.1;133.8
194;Particuliere bedrijven;2000 november;132.1;133.9
195;Particuliere bedrijven;2000 december;132.2;134.0
196;Particuliere bedrijven;2000 jaargemiddelde;130.8;132.6
197;Particuliere bedrijven;2001 januari;133.0;134.8
198;Particuliere bedrijven;2001 februari;133.2;135.1
199;Particuliere bedrijven;2001 maart;133.3;135.2
200;Particuliere bedrijven;2001 april;134.9;136.8
201;Particuliere bedrijven;2001 mei;135.5;137.4
202;Particuliere bedrijven;2001 juni;136.1;138.0
203;Particuliere bedrijven;2001 juli;137.7;139.6
204;Particuliere bedrijven;2001 augustus;138.0;139.9
205;Particuliere bedrijven;2001 september;138.2;140.1
206;Particuliere bedrijven;2001 oktober;138.8;140.7
207;Particuliere bedrijven;2001 november;138.8;140.7
208;Particuliere bedrijven;2001 december;139.0;140.9
209;Particuliere bedrijven;2001 jaargemiddelde;137.2;139.2
210;Particuliere bedrijven;2002 januari;139.7;141.7
211;Particuliere bedrijven;2002 februari;139.8;141.8
212;Particuliere bedrijven;2002 maart;140.2;142.2
213;Particuliere bedrijven;2002 april;140.6;142.6
214;Particuliere bedrijven;2002 mei;140.8;142.8
215;Particuliere bedrijven;2002 juni;141.1;143.1
216;Particuliere bedrijven;2002 juli;142.3;144.3
217;Particuliere bedrijven;2002 augustus;142.5;144.5
218;Particuliere bedrijven;2002 september;142.9;144.9
219;Particuliere bedrijven;2002 oktober;143.4;145.4
220;Particuliere bedrijven;2002 november;143.3;145.3
221;Particuliere bedrijven;2002 december;143.3;145.3
222;Particuliere bedrijven;2002 jaargemiddelde;142.0;144.0
223;Particuliere bedrijven;2003 januari;144.3;146.3
224;Particuliere bedrijven;2003 februari;144.5;146.6
225;Particuliere bedrijven;2003 maart;144.6;146.6
226;Particuliere bedrijven;2003 april;145.0;147.0
227;Particuliere bedrijven;2003 mei;145.1;147.1
228;Overheid;1999 januari;118.5;123.3
229;Overheid;1999 februari;118.6;123.4
230;Overheid;1999 maart;119.9;124.8
231;Overheid;1999 april;120.0;124.8
232;Overheid;1999 mei;120.0;124.8
233;Overheid;1999 juni;120.3;125.2
234;Overheid;1999 juli;120.3;125.2
235;Overheid;1999 augustus;122.0;127.0
236;Overheid;1999 september;122.0;127.0
237;Overheid;1999 oktober;122.3;127.3
238;Overheid;1999 november;122.3;127.3
239;Overheid;1999 december;122.4;127.3
240;Overheid;1999 jaargemiddelde;121.4;126.3
241;Overheid;2000 januari;122.2;127.2
242;Overheid;2000 februari;122.3;127.5
243;Overheid;2000 maart;122.3;127.5
244;Overheid;2000 april;122.5;127.7
245;Overheid;2000 mei;122.3;127.5
246;Overheid;2000 juni;122.7;127.9
247;Overheid;2000 juli;124.3;129.6
248;Overheid;2000 augustus;124.7;130.0
249;Overheid;2000 september;125.5;130.8
250;Overheid;2000 oktober;125.5;130.8
251;Overheid;2000 november;125.9;131.3
252;Overheid;2000 december;126.1;131.4
253;Overheid;2000 jaargemiddelde;124.8;130.1
254;Overheid;2001 januari;126.7;132.1
255;Overheid;2001 februari;126.8;132.2
256;Overheid;2001 maart;128.2;133.7
257;Overheid;2001 april;128.4;133.9
258;Overheid;2001 mei;129.5;135.0
259;Overheid;2001 juni;129.8;135.3
260;Overheid;2001 juli;129.8;135.4
261;Overheid;2001 augustus;129.9;135.4
262;Overheid;2001 september;130.0;135.5
263;Overheid;2001 oktober;132.1;137.7
264;Overheid;2001 november;132.1;137.8
265;Overheid;2001 december;132.1;137.8
266;Overheid;2001 jaargemiddelde;130.5;136.1
267;Overheid;2002 januari;133.5;139.2
268;Overheid;2002 februari;133.5;139.2
269;Overheid;2002 maart;133.9;139.6
270;Overheid;2002 april;134.0;139.7
271;Overheid;2002 mei;135.3;141.1
272;Overheid;2002 juni;135.5;141.3
273;Overheid;2002 juli;136.7;142.5
274;Overheid;2002 augustus;136.7;142.5
275;Overheid;2002 september;136.7;142.6
276;Overheid;2002 oktober;136.9;142.7
277;Overheid;2002 november;137.4;143.3
278;Overheid;2002 december;137.9;143.8
279;Overheid;2002 jaargemiddelde;136.2;142.0
280;Overheid;2003 januari;138.2;144.1
281;Overheid;2003 februari;138.2;144.1
282;Overheid;2003 maart;138.6;144.5
283;Overheid;2003 april;138.6;144.5
284;Overheid;2003 mei;141.2;147.2
285;Gesubsidieerde sector;1999 januari;118.8;123.8
286;Gesubsidieerde sector;1999 februari;118.8;123.8
287;Gesubsidieerde sector;1999 maart;118.6;124.3
288;Gesubsidieerde sector;1999 april;118.7;124.5
289;Gesubsidieerde sector;1999 mei;118.8;124.5
290;Gesubsidieerde sector;1999 juni;118.8;124.5
291;Gesubsidieerde sector;1999 juli;119.1;124.8
292;Gesubsidieerde sector;1999 augustus;119.5;125.3
293;Gesubsidieerde sector;1999 september;121.2;127.1
294;Gesubsidieerde sector;1999 oktober;121.5;127.6
295;Gesubsidieerde sector;1999 november;122.1;128.2
296;Gesubsidieerde sector;1999 december;122.1;128.2
297;Gesubsidieerde sector;1999 jaargemiddelde;120.6;126.5
298;Gesubsidieerde sector;2000 januari;122.3;128.8
299;Gesubsidieerde sector;2000 februari;122.3;128.8
300;Gesubsidieerde sector;2000 maart;122.5;129.0
301;Gesubsidieerde sector;2000 april;122.6;129.1
302;Gesubsidieerde sector;2000 mei;122.8;129.3
303;Gesubsidieerde sector;2000 juni;124.1;130.6
304;Gesubsidieerde sector;2000 juli;124.7;131.3
305;Gesubsidieerde sector;2000 augustus;124.7;131.3
306;Gesubsidieerde sector;2000 september;124.7;131.3
307;Gesubsidieerde sector;2000 oktober;125.0;131.7
308;Gesubsidieerde sector;2000 november;125.0;131.7
309;Gesubsidieerde sector;2000 december;125.1;131.7
310;Gesubsidieerde sector;2000 jaargemiddelde;124.1;130.7
311;Gesubsidieerde sector;2001 januari;125.5;132.1
312;Gesubsidieerde sector;2001 februari;125.9;132.6
313;Gesubsidieerde sector;2001 maart;126.0;132.7
314;Gesubsidieerde sector;2001 april;126.9;133.6
315;Gesubsidieerde sector;2001 mei;127.0;133.7
316;Gesubsidieerde sector;2001 juni;130.1;136.9
317;Gesubsidieerde sector;2001 juli;132.4;139.4
318;Gesubsidieerde sector;2001 augustus;132.5;139.5
319;Gesubsidieerde sector;2001 september;132.5;139.5
320;Gesubsidieerde sector;2001 oktober;132.5;139.5
321;Gesubsidieerde sector;2001 november;132.5;139.5
322;Gesubsidieerde sector;2001 december;132.6;139.7
323;Gesubsidieerde sector;2001 jaargemiddelde;131.2;138.1
324;Gesubsidieerde sector;2002 januari;133.4;140.5
325;Gesubsidieerde sector;2002 februari;133.5;140.5
326;Gesubsidieerde sector;2002 maart;133.7;140.8
327;Gesubsidieerde sector;2002 april;134.0;141.0
328;Gesubsidieerde sector;2002 mei;134.7;141.8
329;Gesubsidieerde sector;2002 juni;134.9;142.0
330;Gesubsidieerde sector;2002 juli;136.9;144.1
331;Gesubsidieerde sector;2002 augustus;136.7;143.9
332;Gesubsidieerde sector;2002 september;137.9;145.2
333;Gesubsidieerde sector;2002 oktober;138.2;145.5
334;Gesubsidieerde sector;2002 november;138.2;145.5
335;Gesubsidieerde sector;2002 december;138.2;145.5
336;Gesubsidieerde sector;2002 jaargemiddelde;136.5;143.7
337;Gesubsidieerde sector;2003 januari;139.7;147.1
338;Gesubsidieerde sector;2003 februari;139.7;147.1
339;Gesubsidieerde sector;2003 maart;139.9;147.2
340;Gesubsidieerde sector;2003 april;139.9;147.3
341;Gesubsidieerde sector;2003 mei;139.9;147.3
342;01-93 Totaal sbi;1999 januari;122.9;125.4
343;01-93 Totaal sbi;1999 februari;123.0;125.5
344;01-93 Totaal sbi;1999 maart;123.3;125.9
345;01-93 Totaal sbi;1999 april;123.5;126.1
346;01-93 Totaal sbi;1999 mei;123.6;126.3
347;01-93 Totaal sbi;1999 juni;123.9;126.6
348;01-93 Totaal sbi;1999 juli;124.6;127.3
349;01-93 Totaal sbi;1999 augustus;125.2;127.9
350;01-93 Totaal sbi;1999 september;125.6;128.3
351;01-93 Totaal sbi;1999 oktober;126.1;128.9
352;01-93 Totaal sbi;1999 november;126.3;129.2
353;01-93 Totaal sbi;1999 december;126.3;129.2
354;01-93 Totaal sbi;1999 jaargemiddelde;125.0;127.8
355;01-93 Totaal sbi;2000 januari;126.8;129.6
356;01-93 Totaal sbi;2000 februari;126.9;129.9
357;01-93 Totaal sbi;2000 maart;127.1;130.0
358;01-93 Totaal sbi;2000 april;127.5;130.4
359;01-93 Totaal sbi;2000 mei;127.5;130.5
360;01-93 Totaal sbi;2000 juni;127.8;130.8
361;01-93 Totaal sbi;2000 juli;128.9;131.9
362;01-93 Totaal sbi;2000 augustus;129.1;132.1
363;01-93 Totaal sbi;2000 september;129.7;132.7
364;01-93 Totaal sbi;2000 oktober;129.9;133.0
365;01-93 Totaal sbi;2000 november;130.0;133.1
366;01-93 Totaal sbi;2000 december;130.1;133.2
367;01-93 Totaal sbi;2000 jaargemiddelde;128.9;131.9
368;01-93 Totaal sbi;2001 januari;130.9;134.0
369;01-93 Totaal sbi;2001 februari;131.1;134.2
370;01-93 Totaal sbi;2001 maart;131.5;134.6
371;01-93 Totaal sbi;2001 april;132.7;135.8
372;01-93 Totaal sbi;2001 mei;133.3;136.5
373;01-93 Totaal sbi;2001 juni;134.1;137.3
374;01-93 Totaal sbi;2001 juli;135.6;138.8
375;01-93 Totaal sbi;2001 augustus;135.8;139.0
376;01-93 Totaal sbi;2001 september;135.9;139.2
377;01-93 Totaal sbi;2001 oktober;136.7;140.0
378;01-93 Totaal sbi;2001 november;136.8;140.0
379;01-93 Totaal sbi;2001 december;136.9;140.2
380;01-93 Totaal sbi;2001 jaargemiddelde;135.2;138.4
381;01-93 Totaal sbi;2002 januari;137.8;141.1
382;01-93 Totaal sbi;2002 februari;137.8;141.1
383;01-93 Totaal sbi;2002 maart;138.2;141.5
384;01-93 Totaal sbi;2002 april;138.6;141.9
385;01-93 Totaal sbi;2002 mei;139.0;142.3
386;01-93 Totaal sbi;2002 juni;139.3;142.6
387;01-93 Totaal sbi;2002 juli;140.6;143.9
388;01-93 Totaal sbi;2002 augustus;140.7;144.1
389;01-93 Totaal sbi;2002 september;141.1;144.5
390;01-93 Totaal sbi;2002 oktober;141.5;144.9
391;01-93 Totaal sbi;2002 november;141.5;144.9
392;01-93 Totaal sbi;2002 december;141.6;145.0
393;01-93 Totaal sbi;2002 jaargemiddelde;140.2;143.6
394;01-93 Totaal sbi;2003 januari;142.6;146.0
395;01-93 Totaal sbi;2003 februari;142.7;146.2
396;01-93 Totaal sbi;2003 maart;142.9;146.3
