ID;SectorenEnBedrijfstypen;Perioden;Aardgas_1;OverigeFossieleBrandstofVoorWarmte_2;AanvoerWarmteVanBuitenDeLandbouw_3;Elektriciteit_4;BrandstoffenVoorTractoren_5;Aardgas_6;OverigeFossieleBrandstofVoorWarmte_7;AanvoerWarmteVanBuitenDeLandbouw_8;Elektriciteit_9;BrandstoffenVoorTractoren_10
0;Totaal land- en tuinbouw;1990;129.1;3.4;1.9;8.6;14.9;4077.0;106.0;60.0;2379.0;348.0
1;Totaal land- en tuinbouw;1991;146.6;3.7;2.6;9.7;14.4;4632.0;117.0;83.0;2708.0;337.0
2;Totaal land- en tuinbouw;1992;143.1;3.4;3.7;10.0;14.2;4522.0;107.0;118.0;2767.0;333.0
3;Totaal land- en tuinbouw;1993;150.0;3.4;5.3;10.0;14.2;4739.0;109.0;167.0;2768.0;332.0
4;Totaal land- en tuinbouw;1994;139.7;3.5;6.7;10.7;14.3;4415.0;110.0;213.0;2981.0;334.0
5;Totaal land- en tuinbouw;1995;139.6;3.3;8.4;10.5;15.1;4411.0;104.0;265.0;2914.0;353.0
6;Totaal land- en tuinbouw;1996;154.9;3.3;12.1;11.1;14.0;4895.0;104.0;381.0;3089.0;328.0
7;Totaal land- en tuinbouw;1997;131.5;2.0;14.7;11.5;13.9;4154.0;62.0;464.0;3186.0;327.0
8;Totaal land- en tuinbouw;1998;130.2;2.1;16.2;11.7;13.9;4114.0;65.0;511.0;3258.0;325.0
9;Totaal land- en tuinbouw;1999;125.3;1.7;15.5;12.6;15.0;3960.0;52.0;490.0;3508.0;352.0
10;Totaal land- en tuinbouw;2000;127.8;1.9;14.9;12.0;15.2;4039.0;60.0;469.0;3344.0;356.0
11;Totaal land- en tuinbouw;2001;124.4;2.0;14.1;12.3;15.0;3931.0;64.0;444.0;3424.0;352.0
12;Totaal land- en tuinbouw;2002;116.1;1.9;12.4;12.2;14.4;3669.0;59.0;393.0;3376.0;338.0
