ID;SectorsBranchesSIC2008;Periods;TotalOrders_1;DomesticOrders_2;ForeignOrders_3;TotalOrders_4;DomesticOrders_5;ForeignOrders_6
0;C Manufacturing;2005 January;84.0;86.1;83.0;;;
1;C Manufacturing;2005 February;87.5;86.1;88.1;;;
2;C Manufacturing;2005 March;93.8;96.8;92.6;;;
3;C Manufacturing;2005 1st quarter;88.4;89.7;87.9;;;
4;C Manufacturing;2005 April;85.6;87.2;84.9;;;
5;C Manufacturing;2005 May;85.9;90.9;83.7;;;
6;C Manufacturing;2005 June;92.4;94.3;91.5;;;
7;C Manufacturing;2005 2nd quarter;88.0;90.8;86.7;;;
8;C Manufacturing;2005 July;82.1;83.6;81.4;;;
9;C Manufacturing;2005 August;81.6;81.2;81.8;;;
10;C Manufacturing;2005 September;99.7;94.1;102.2;;;
11;C Manufacturing;2005 3rd quarter;87.8;86.3;88.5;;;
12;C Manufacturing;2005 October;90.8;96.3;88.3;;;
13;C Manufacturing;2005 November;95.4;99.8;93.5;;;
14;C Manufacturing;2005 December;98.9;98.1;99.3;;;
15;C Manufacturing;2005 4th quarter;95.0;98.1;93.7;;;
16;C Manufacturing;2005;89.8;91.2;89.2;;;
17;C Manufacturing;2006 January;96.4;95.1;97.0;14.8;10.5;16.9
18;C Manufacturing;2006 February;96.6;99.9;95.2;10.4;16.0;8.1
19;C Manufacturing;2006 March;118.3;115.8;119.4;26.1;19.6;28.9
20;C Manufacturing;2006 1st quarter;103.8;103.6;103.9;17.3;15.5;18.2
21;C Manufacturing;2006 April;100.0;102.4;98.8;16.8;17.4;16.4
22;C Manufacturing;2006 May;105.9;109.0;104.4;23.3;19.9;24.7
23;C Manufacturing;2006 June;113.8;111.7;114.8;23.2;18.5;25.5
24;C Manufacturing;2006 2nd quarter;106.6;107.7;106.0;21.1;18.6;22.3
25;C Manufacturing;2006 July;102.1;104.1;101.2;24.4;24.5;24.3
26;C Manufacturing;2006 August;104.1;103.9;104.3;27.6;28.0;27.5
27;C Manufacturing;2006 September;107.5;102.8;109.7;7.8;9.2;7.3
28;C Manufacturing;2006 3rd quarter;104.6;103.6;105.1;19.1;20.0;18.8
29;C Manufacturing;2006 October;107.0;107.9;106.8;17.8;12.0;21.0
30;C Manufacturing;2006 November;110.7;112.7;110.0;16.0;12.9;17.6
31;C Manufacturing;2006 December;110.3;107.2;111.7;11.5;9.3;12.5
32;C Manufacturing;2006 4th quarter;109.3;109.3;109.5;15.0;11.4;16.9
33;C Manufacturing;2006;106.1;106.0;106.1;18.1;16.3;19.0
34;C Manufacturing;2007 January;109.5;107.6;110.3;13.6;13.1;13.7
35;C Manufacturing;2007 February;109.9;111.2;109.3;13.8;11.3;14.8
36;C Manufacturing;2007 March;126.8;118.9;130.4;7.2;2.7;9.2
37;C Manufacturing;2007 1st quarter;115.4;112.6;116.7;11.2;8.7;12.3
38;C Manufacturing;2007 April;111.2;109.3;112.1;11.2;6.7;13.5
39;C Manufacturing;2007 May;115.3;126.2;110.4;8.9;15.8;5.7
40;C Manufacturing;2007 June;118.5;119.3;118.2;4.1;6.8;3.0
41;C Manufacturing;2007 2nd quarter;115.0;118.3;113.6;7.9;9.8;7.1
42;C Manufacturing;2007 July;109.1;107.9;109.6;6.9;3.7;8.3
43;C Manufacturing;2007 August;111.9;106.7;114.2;7.5;2.7;9.5
44;C Manufacturing;2007 September;116.6;122.0;114.2;8.5;18.7;4.1
45;C Manufacturing;2007 3rd quarter;112.5;112.2;112.7;7.6;8.3;7.2
46;C Manufacturing;2007 October;118.1;122.5;116.1;10.4;13.5;8.7
47;C Manufacturing;2007 November;113.7;117.0;112.2;2.7;3.8;2.0
48;C Manufacturing;2007 December;113.6;115.0;112.9;3.0;7.3;1.1
49;C Manufacturing;2007 4th quarter;115.1;118.2;113.7;5.3;8.1;3.9
50;C Manufacturing;2007;114.5;115.3;114.2;8.0;8.7;7.6
