ID;WijzeVanBeeindiging;TypeSchuldenaar;RegioS;Perioden;BeeindigdeSchuldsaneringen_1;GemiddeldeLooptijdSchuldsanering_2
0;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;1999 1e kwartaal;28.0;0.0
1;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;1999 2e kwartaal;76.0;1.0
2;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;1999 3e kwartaal;111.0;2.0
3;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;1999 4e kwartaal;138.0;3.0
4;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;1999;353.0;2.0
5;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2000 1e kwartaal;176.0;6.0
6;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2000 2e kwartaal;227.0;8.0
7;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2000 3e kwartaal;347.0;10.0
8;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2000 4e kwartaal;368.0;11.0
9;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2000;1118.0;9.0
10;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2001 1e kwartaal;500.0;12.0
11;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2001 2e kwartaal;556.0;14.0
12;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2001 3e kwartaal;587.0;16.0
13;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2001 4e kwartaal;635.0;18.0
14;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2001;2278.0;15.0
15;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2002 1e kwartaal;937.0;23.0
16;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2002 2e kwartaal;1206.0;28.0
17;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2002 3e kwartaal;1451.0;30.0
18;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2002 4e kwartaal;1780.0;31.0
19;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2002;5374.0;28.0
20;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2003 1e kwartaal;1967.0;31.0
21;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2003 2e kwartaal;2075.0;31.0
22;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2003 3e kwartaal;2210.0;31.0
23;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2003 4e kwartaal;2396.0;31.0
24;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2003;8648.0;31.0
25;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2004 1e kwartaal;2032.0;31.0
26;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2004 2e kwartaal;2305.0;30.0
27;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2004 3e kwartaal;2092.0;31.0
28;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2004 4e kwartaal;2238.0;30.0
29;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2004;8667.0;31.0
30;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2005 1e kwartaal;2361.0;31.0
31;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2005 2e kwartaal;2505.0;30.0
32;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2005 3e kwartaal;2525.0;31.0
33;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2005 4e kwartaal;2545.0;31.0
34;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2005;9936.0;31.0
35;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2006 1e kwartaal;2330.0;31.0
36;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2006 2e kwartaal;2731.0;31.0
37;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2006 3e kwartaal;2638.0;32.0
38;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2006 4e kwartaal;2985.0;32.0
39;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2006;10684.0;31.0
40;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2007 1e kwartaal;2768.0;32.0
41;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2007 2e kwartaal;3176.0;34.0
42;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2007 3e kwartaal;3084.0;33.0
43;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2007 4e kwartaal;3439.0;34.0
44;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2007;12467.0;33.0
45;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2008 1e kwartaal;3633.0;34.0
46;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2008 2e kwartaal;3483.0;34.0
47;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2008 3e kwartaal;3216.0;34.0
48;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2008 4e kwartaal;3818.0;35.0
49;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2008;14150.0;34.0
50;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2009 1e kwartaal;3542.0;35.0
51;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2009 2e kwartaal;3543.0;36.0
52;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2009 3e kwartaal;3322.0;36.0
53;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2009 4e kwartaal;3432.0;37.0
54;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2009;13839.0;36.0
55;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2010 1e kwartaal;3388.0;37.0
56;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2010 2e kwartaal;3390.0;37.0
57;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2010 3e kwartaal;3180.0;37.0
58;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2010 4e kwartaal;3590.0;37.0
59;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2010;13548.0;37.0
60;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2011 1e kwartaal;3163.0;37.0
61;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2011 2e kwartaal;2582.0;36.0
62;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2011 3e kwartaal;2581.0;36.0
63;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2011 4e kwartaal;2530.0;36.0
64;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2011;10856.0;36.0
65;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2012 1e kwartaal;2450.0;35.0
66;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2012 2e kwartaal;2405.0;34.0
67;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2012 3e kwartaal;2342.0;34.0
68;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2012 4e kwartaal;2690.0;34.0
69;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2012;9887.0;34.0
70;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2013 1e kwartaal;2712.0;34.0
71;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2013 2e kwartaal;2810.0;34.0
72;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2013 3e kwartaal;2779.0;34.0
73;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2013 4e kwartaal;3165.0;35.0
74;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2013;11466.0;34.0
75;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2014 1e kwartaal;3288.0;36.0
76;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2014 2e kwartaal;3394.0;35.0
77;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2014 3e kwartaal;3387.0;36.0
78;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2014 4e kwartaal;3625.0;35.0
79;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2014;13694.0;35.0
80;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2015 1e kwartaal;3501.0;35.0
81;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2015 2e kwartaal;3327.0;36.0
82;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2015 3e kwartaal;3337.0;36.0
83;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2015 4e kwartaal;3612.0;36.0
84;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2015;13777.0;36.0
85;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2016 1e kwartaal;3381.0;36.0
86;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2016 2e kwartaal;3002.0;35.0
87;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2016 3e kwartaal;2913.0;36.0
88;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2016 4e kwartaal;3196.0;36.0
89;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2016;12492.0;36.0
90;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2017 1e kwartaal;3009.0;35.0
91;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2017 2e kwartaal;3049.0;36.0
92;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2017 3e kwartaal;2907.0;36.0
93;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2017 4e kwartaal;2845.0;36.0
94;Totaal alle beëindigingen;Natuurlijke personen totaal;Nederland;2017;11810.0;36.0
95;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);1999 1e kwartaal;4.0;0.0
96;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);1999 2e kwartaal;17.0;1.0
97;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);1999 3e kwartaal;22.0;3.0
98;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);1999 4e kwartaal;20.0;1.0
99;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);1999;63.0;2.0
100;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);2000 1e kwartaal;36.0;4.0
101;Totaal alle beëindigingen;Natuurlijke personen totaal;Noord-Nederland (LD);2000 2e kwartaal;27.0;6.0
