ID;BedrijfstakkenWoningen;RegioS;Perioden;AantalInstallaties_1;OpgesteldVermogenVanZonnepanelen_2
0;Alle economische activiteit en woningen;Nederland;2012;80648.0;287476.0
1;Alle economische activiteit en woningen;Nederland;2013;164442.0;650025.0
2;Alle economische activiteit en woningen;Nederland;2014;242364.0;1007613.0
3;Alle economische activiteit en woningen;Nederland;2015;342016.0;1526149.0
4;Alle economische activiteit en woningen;Nederland;2016;440036.0;2135295.0
5;Alle economische activiteit en woningen;Nederland;2017;582051.0;2910892.0
6;Alle economische activiteit en woningen;Nederland;2018;787835.0;4609174.0
7;Alle economische activiteit en woningen;Nederland;2019;1062265.0;7225864.0
8;Alle economische activiteit en woningen;Noord-Nederland (LD);2012;11196.0;47251.0
9;Alle economische activiteit en woningen;Noord-Nederland (LD);2013;23192.0;105975.0
10;Alle economische activiteit en woningen;Noord-Nederland (LD);2014;33674.0;159288.0
11;Alle economische activiteit en woningen;Noord-Nederland (LD);2015;53148.0;253247.0
12;Alle economische activiteit en woningen;Noord-Nederland (LD);2016;70858.0;394730.0
13;Alle economische activiteit en woningen;Noord-Nederland (LD);2017;94793.0;536240.0
14;Alle economische activiteit en woningen;Noord-Nederland (LD);2018;123302.0;846062.0
15;Alle economische activiteit en woningen;Noord-Nederland (LD);2019;158397.0;1304483.0
16;Alle economische activiteit en woningen;Oost-Nederland (LD);2012;18109.0;75327.0
17;Alle economische activiteit en woningen;Oost-Nederland (LD);2013;38317.0;176366.0
18;Alle economische activiteit en woningen;Oost-Nederland (LD);2014;58931.0;279049.0
19;Alle economische activiteit en woningen;Oost-Nederland (LD);2015;85532.0;423469.0
20;Alle economische activiteit en woningen;Oost-Nederland (LD);2016;109656.0;577590.0
21;Alle economische activiteit en woningen;Oost-Nederland (LD);2017;143353.0;776648.0
22;Alle economische activiteit en woningen;Oost-Nederland (LD);2018;193957.0;1153678.0
23;Alle economische activiteit en woningen;Oost-Nederland (LD);2019;254775.0;1823265.0
24;Alle economische activiteit en woningen;West-Nederland (LD);2012;33298.0;90776.0
25;Alle economische activiteit en woningen;West-Nederland (LD);2013;65504.0;205229.0
26;Alle economische activiteit en woningen;West-Nederland (LD);2014;97299.0;328517.0
27;Alle economische activiteit en woningen;West-Nederland (LD);2015;130085.0;476176.0
28;Alle economische activiteit en woningen;West-Nederland (LD);2016;164907.0;653714.0
29;Alle economische activiteit en woningen;West-Nederland (LD);2017;215158.0;898194.0
30;Alle economische activiteit en woningen;West-Nederland (LD);2018;292205.0;1498905.0
31;Alle economische activiteit en woningen;West-Nederland (LD);2019;396075.0;2309132.0
32;Alle economische activiteit en woningen;Zuid-Nederland (LD);2012;18035.0;74067.0
33;Alle economische activiteit en woningen;Zuid-Nederland (LD);2013;37416.0;162397.0
34;Alle economische activiteit en woningen;Zuid-Nederland (LD);2014;52367.0;240526.0
35;Alle economische activiteit en woningen;Zuid-Nederland (LD);2015;73077.0;372813.0
36;Alle economische activiteit en woningen;Zuid-Nederland (LD);2016;94402.0;508771.0
37;Alle economische activiteit en woningen;Zuid-Nederland (LD);2017;128493.0;699129.0
38;Alle economische activiteit en woningen;Zuid-Nederland (LD);2018;178083.0;1109780.0
39;Alle economische activiteit en woningen;Zuid-Nederland (LD);2019;252659.0;1787681.0
40;Alle economische activiteit en woningen;Niet in te delen (LD);2012;10.0;54.0
41;Alle economische activiteit en woningen;Niet in te delen (LD);2013;13.0;58.0
42;Alle economische activiteit en woningen;Niet in te delen (LD);2014;93.0;233.0
43;Alle economische activiteit en woningen;Niet in te delen (LD);2015;174.0;445.0
44;Alle economische activiteit en woningen;Niet in te delen (LD);2016;213.0;490.0
45;Alle economische activiteit en woningen;Niet in te delen (LD);2017;254.0;682.0
46;Alle economische activiteit en woningen;Niet in te delen (LD);2018;288.0;748.0
47;Alle economische activiteit en woningen;Niet in te delen (LD);2019;359.0;1303.0
48;Alle economische activiteit en woningen;Groningen (PV);2012;2941.0;11639.0
49;Alle economische activiteit en woningen;Groningen (PV);2013;6349.0;28550.0
50;Alle economische activiteit en woningen;Groningen (PV);2014;9299.0;43400.0
51;Alle economische activiteit en woningen;Groningen (PV);2015;19358.0;82391.0
52;Alle economische activiteit en woningen;Groningen (PV);2016;25770.0;156889.0
53;Alle economische activiteit en woningen;Groningen (PV);2017;32036.0;204176.0
54;Alle economische activiteit en woningen;Groningen (PV);2018;38619.0;272375.0
