ID;SoortBromfiets;RegioS;Perioden;VoertuigenMetBromfietskenteken_1;VoertuigenPer1000Inwoners_2
0;Voertuigen met bromfietskenteken;Nederland;2019;1121939.0;65.0
1;Voertuigen met bromfietskenteken;Nederland;2020;1134579.0;65.0
2;Voertuigen met bromfietskenteken;Nederland;2021;1175526.0;67.0
3;Voertuigen met bromfietskenteken;Nederland;2022;1204512.0;68.0
4;Voertuigen met bromfietskenteken;Nederland;2023;1217763.0;68.0
5;Voertuigen met bromfietskenteken;Nederland;2024;1183256.0;66.0
6;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2019;99521.0;58.0
7;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2020;102392.0;59.0
8;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2021;108158.0;62.0
9;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2022;113723.0;65.0
10;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2023;116962.0;67.0
11;Voertuigen met bromfietskenteken;Noord-Nederland (LD);2024;115792.0;66.0
12;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2019;229963.0;63.0
13;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2020;235136.0;64.0
14;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2021;246983.0;67.0
15;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2022;256549.0;69.0
16;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2023;261760.0;70.0
17;Voertuigen met bromfietskenteken;Oost-Nederland (LD);2024;244850.0;65.0
18;Voertuigen met bromfietskenteken;West-Nederland (LD);2019;545605.0;66.0
19;Voertuigen met bromfietskenteken;West-Nederland (LD);2020;547017.0;66.0
20;Voertuigen met bromfietskenteken;West-Nederland (LD);2021;560418.0;67.0
21;Voertuigen met bromfietskenteken;West-Nederland (LD);2022;568769.0;68.0
22;Voertuigen met bromfietskenteken;West-Nederland (LD);2023;572974.0;67.0
23;Voertuigen met bromfietskenteken;West-Nederland (LD);2024;558470.0;65.0
24;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2019;;
25;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2020;;
26;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2021;;
27;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2022;;
28;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2023;;
29;Voertuigen met bromfietskenteken;West-Nederland, exclusief G4 (LD);2024;;
30;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2019;246850.0;67.0
31;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2020;250034.0;68.0
32;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2021;259967.0;70.0
33;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2022;265471.0;72.0
34;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2023;266067.0;71.0
35;Voertuigen met bromfietskenteken;Zuid-Nederland (LD);2024;264144.0;70.0
36;Voertuigen met bromfietskenteken;Groningen (PV);2019;32058.0;55.0
37;Voertuigen met bromfietskenteken;Groningen (PV);2020;32821.0;56.0
38;Voertuigen met bromfietskenteken;Groningen (PV);2021;34436.0;59.0
39;Voertuigen met bromfietskenteken;Groningen (PV);2022;35928.0;61.0
40;Voertuigen met bromfietskenteken;Groningen (PV);2023;36911.0;62.0
41;Voertuigen met bromfietskenteken;Groningen (PV);2024;36573.0;61.0
42;Voertuigen met bromfietskenteken;Fryslân (PV);2019;37978.0;59.0
43;Voertuigen met bromfietskenteken;Fryslân (PV);2020;38978.0;60.0
44;Voertuigen met bromfietskenteken;Fryslân (PV);2021;41392.0;64.0
45;Voertuigen met bromfietskenteken;Fryslân (PV);2022;43864.0;67.0
46;Voertuigen met bromfietskenteken;Fryslân (PV);2023;45374.0;69.0
47;Voertuigen met bromfietskenteken;Fryslân (PV);2024;45479.0;69.0
