ID;Interval;Leeftijd;Perioden;TotaalMannenEnVrouwen_1;Mannen_2;Vrouwen_3
0;1;Totaal over alle leeftijden;2007;16353969;8084924;8269052
1;1;Totaal over alle leeftijden;2008;16376893;8094659;8282240
2;1;Totaal over alle leeftijden;2009;16403029;8106768;8296255
3;1;Totaal over alle leeftijden;2010;16432515;8121346;8311175
4;1;Totaal over alle leeftijden;2011;16464314;8137747;8326564
5;1;Totaal over alle leeftijden;2012;16497255;8155247;8342015
6;1;Totaal over alle leeftijden;2013;16530448;8173082;8357372
7;1;Totaal over alle leeftijden;2014;16563250;8190734;8372519
8;1;Totaal over alle leeftijden;2015;16595402;8208026;8387381
9;1;Totaal over alle leeftijden;2016;16626995;8224951;8402035
10;1;Totaal over alle leeftijden;2017;16657929;8241445;8416486
11;1;Totaal over alle leeftijden;2018;16688343;8257621;8430714
12;1;Totaal over alle leeftijden;2019;16718361;8273512;8444850
13;1;Totaal over alle leeftijden;2020;16747884;8289008;8458893
14;1;Totaal over alle leeftijden;2021;16776822;8304000;8472829
15;1;Totaal over alle leeftijden;2022;16804982;8318371;8486606
16;1;Totaal over alle leeftijden;2023;16832107;8331969;8500137
17;1;Totaal over alle leeftijden;2024;16858004;8344689;8513318
18;1;Totaal over alle leeftijden;2025;16882462;8356412;8526060
19;1;Totaal over alle leeftijden;2026;16905263;8367021;8538243
20;1;Totaal over alle leeftijden;2027;16926200;8376417;8549779
21;1;Totaal over alle leeftijden;2028;16945057;8384544;8560518
22;1;Totaal over alle leeftijden;2029;16961656;8391328;8570326
23;1;Totaal over alle leeftijden;2030;16975874;8396765;8579111
24;1;Totaal over alle leeftijden;2031;16987513;8400798;8586718
25;1;Totaal over alle leeftijden;2032;16996428;8403417;8593009
26;1;Totaal over alle leeftijden;2033;17002470;8404540;8597929
27;1;Totaal over alle leeftijden;2034;17005458;8404109;8601359
28;1;Totaal over alle leeftijden;2035;17005387;8402143;8603245
29;1;Totaal over alle leeftijden;2036;17002295;8398699;8603600
30;1;Totaal over alle leeftijden;2037;16996223;8393820;8602402
31;1;Totaal over alle leeftijden;2038;16987483;8387734;8599751
32;1;Totaal over alle leeftijden;2039;16976310;8380549;8595760
