ID;OpleidingsrichtingEnSector;Geslacht;Leeftijd;BedrijfstakkenBranchesSBI93;Perioden;TotaalMboGediplomeerdenMetWerk_1;BolVoltijd_2;Bbl_3;Niveau1_4;Niveau2_5;Niveau3_6;Niveau4_7;BolVoltijdNiveau1_8;BolVoltijdNiveau2_9;BolVoltijdNiveau3_10;BolVoltijdNiveau4_11;BblNiveau1_12;BblNiveau2_13;BblNiveau3_14;BblNiveau4_15
0;0;Mannen en vrouwen;Totaal leeftijd;0;2004/'05;50610.0;22120.0;28490.0;3270.0;12130.0;16670.0;18550.0;900.0;3400.0;5270.0;12550.0;2370.0;8730.0;11400.0;5990.0
1;0;Mannen en vrouwen;Totaal leeftijd;0;2005/'06;58950.0;27330.0;31620.0;3620.0;14780.0;18210.0;22340.0;1200.0;4750.0;6040.0;15340.0;2420.0;10030.0;12170.0;7000.0
2;0;Mannen en vrouwen;Totaal leeftijd;0;2006/'07;60950.0;30160.0;30790.0;3670.0;15150.0;18510.0;23620.0;1180.0;5320.0;6960.0;16700.0;2490.0;9830.0;11550.0;6920.0
3;0;Mannen en vrouwen;Totaal leeftijd;0;2007/'08;66240.0;31300.0;34940.0;3840.0;18080.0;19220.0;25100.0;890.0;5520.0;7300.0;17590.0;2950.0;12560.0;11920.0;7510.0
4;0;Mannen en vrouwen;Totaal leeftijd;11;2004/'05;1250.0;670.0;580.0;40.0;350.0;520.0;340.0;30.0;120.0;230.0;300.0;20.0;230.0;300.0;40.0
5;0;Mannen en vrouwen;Totaal leeftijd;11;2005/'06;1350.0;740.0;610.0;40.0;390.0;520.0;400.0;30.0;160.0;220.0;340.0;20.0;230.0;300.0;60.0
6;0;Mannen en vrouwen;Totaal leeftijd;11;2006/'07;1320.0;720.0;590.0;40.0;350.0;540.0;390.0;20.0;130.0;260.0;320.0;20.0;210.0;290.0;70.0
7;0;Mannen en vrouwen;Totaal leeftijd;11;2007/'08;1370.0;690.0;680.0;40.0;400.0;550.0;390.0;;140.0;220.0;320.0;30.0;250.0;330.0;70.0
8;0;Mannen en vrouwen;Totaal leeftijd;20;2004/'05;4470.0;970.0;3500.0;1010.0;1320.0;1190.0;950.0;50.0;150.0;170.0;600.0;960.0;1180.0;1020.0;350.0
9;0;Mannen en vrouwen;Totaal leeftijd;20;2005/'06;5290.0;1160.0;4140.0;1260.0;1630.0;1360.0;1040.0;70.0;170.0;190.0;730.0;1190.0;1460.0;1170.0;310.0
