ID;KenmerkenLeasevoertuigen;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
0;Lease personen- en bestelauto's;2001 3e kwartaal;71.1;;;;67.4;;;
1;Lease personen- en bestelauto's;2001 4e kwartaal;70.8;-0.5;;;66.5;-1.3;;
2;Lease personen- en bestelauto's;2001;;;;;;;;
3;Lease personen- en bestelauto's;2002 1e kwartaal;72.1;1.8;;;67.7;1.8;;
4;Lease personen- en bestelauto's;2002 2e kwartaal;72.8;1.0;;;68.9;1.8;;
5;Lease personen- en bestelauto's;2002 3e kwartaal;72.6;-0.2;2.1;;68.5;-0.5;1.7;
6;Lease personen- en bestelauto's;2002 4e kwartaal;72.6;-0.1;2.5;;68.4;-0.1;2.9;
7;Lease personen- en bestelauto's;2002;72.5;;;;68.4;;;
8;Lease personen- en bestelauto's;2003 1e kwartaal;73.6;1.4;2.1;;70.1;2.5;3.6;
9;Lease personen- en bestelauto's;2003 2e kwartaal;73.5;-0.1;0.9;;69.3;-1.2;0.6;
10;Lease personen- en bestelauto's;2003 3e kwartaal;74.3;1.1;2.3;;70.4;1.5;2.7;
11;Lease personen- en bestelauto's;2003 4e kwartaal;75.2;1.3;3.7;;71.0;0.8;3.7;
12;Lease personen- en bestelauto's;2003 ;74.1;;2.2;;70.2;;2.7;
13;Lease personen- en bestelauto's;2004 1e kwartaal;76.2;1.3;3.6;;72.1;1.6;2.8;
14;Lease personen- en bestelauto's;2004 2e kwartaal;76.8;0.8;4.6;;73.7;2.2;6.3;
15;Lease personen- en bestelauto's;2004 3e kwartaal;76.8;0.0;3.4;;74.0;0.4;5.2;
16;Lease personen- en bestelauto's;2004 4e kwartaal;76.9;0.1;2.2;;74.6;0.7;5.1;
17;Lease personen- en bestelauto's;2004;76.7;;3.5;;73.6;;4.8;
18;Lease personen- en bestelauto's;2005 1e kwartaal;79.0;2.8;3.7;;76.0;2.0;5.4;
19;Lease personen- en bestelauto's;2005 2e kwartaal;79.8;1.0;3.9;;77.7;2.2;5.5;
20;Lease personen- en bestelauto's;2005 3e kwartaal;80.3;0.6;4.5;;79.4;2.2;7.3;
21;Lease personen- en bestelauto's;2005 4e kwartaal;81.1;1.0;5.4;;80.1;0.8;7.4;
22;Lease personen- en bestelauto's;2005;80.1;;4.4;;78.3;;6.4;
23;Lease personen- en bestelauto's;2006 1e kwartaal;82.0;1.2;3.8;;81.4;1.7;7.1;
24;Lease personen- en bestelauto's;2006 2e kwartaal;82.8;0.9;3.7;;82.7;1.5;6.4;
25;Lease personen- en bestelauto's;2006 3e kwartaal;83.0;0.2;3.3;;83.0;0.4;4.5;
26;Lease personen- en bestelauto's;2006 4e kwartaal;83.3;0.5;2.8;;81.9;-1.4;2.2;
27;Lease personen- en bestelauto's;2006;82.8;;3.4;;82.3;;5.1;
28;Lease personen- en bestelauto's;2007 1e kwartaal;84.2;1.1;2.7;;82.8;1.2;1.7;
29;Lease personen- en bestelauto's;2007 2e kwartaal;84.6;0.5;2.2;;84.3;1.8;1.9;
