ID;TypeMaatwerkvoorziening;RegioS;Perioden;WmoClienten_1;WmoClientenPer1000Inwoners_2
0;Totaal;Nederland;1e halfjaar 2017;958825.0;56.0
1;Totaal;Nederland;2e halfjaar 2017;961325.0;56.0
2;Totaal;Nederland;2017;1036255.0;61.0
3;Totaal;Nederland;1e halfjaar 2018;969265.0;56.0
4;Totaal;Nederland;2e halfjaar 2018;1012135.0;59.0
5;Totaal;Nederland;2018;1065235.0;62.0
6;Totaal;Nederland;1e halfjaar 2019;1053980.0;61.0
7;Totaal;Nederland;2e halfjaar 2019;1088500.0;63.0
8;Totaal;Nederland;2019;1161860.0;67.0
9;Totaal;Nederland;1e halfjaar 2020;1124360.0;65.0
10;Totaal;Nederland;2e halfjaar 2020;1133030.0;65.0
11;Totaal;Nederland;2020;1216760.0;70.0
12;Totaal;Nederland;1e halfjaar 2021;1133050.0;65.0
13;Totaal;Nederland;2e halfjaar 2021;;
14;Totaal;Nederland;2021;;
15;Totaal;Nederland;1e halfjaar 2022;1142785.0;65.0
16;Totaal;Nederland;2e halfjaar 2022;1151435.0;65.0
17;Totaal;Nederland;2022;1239945.0;71.0
18;Totaal;Nederland;1e halfjaar 2023;1152605.0;65.0
19;Totaal;Nederland;2e halfjaar 2023;1160775.0;65.0
20;Totaal;Nederland;2023;1247750.0;70.0
21;Totaal;Nederland;1e halfjaar 2024;1169010.0;65.0
22;Totaal;Aa en Hunze;1e halfjaar 2017;940.0;37.0
23;Totaal;Aa en Hunze;2e halfjaar 2017;925.0;37.0
24;Totaal;Aa en Hunze;2017;1045.0;41.0
25;Totaal;Aa en Hunze;1e halfjaar 2018;1195.0;47.0
26;Totaal;Aa en Hunze;2e halfjaar 2018;1205.0;48.0
27;Totaal;Aa en Hunze;2018;1360.0;53.0
28;Totaal;Aa en Hunze;1e halfjaar 2019;1415.0;56.0
29;Totaal;Aa en Hunze;2e halfjaar 2019;1460.0;57.0
30;Totaal;Aa en Hunze;2019;1590.0;63.0
31;Totaal;Aa en Hunze;1e halfjaar 2020;1700.0;67.0
32;Totaal;Aa en Hunze;2e halfjaar 2020;1715.0;67.0
33;Totaal;Aa en Hunze;2020;1855.0;73.0
34;Totaal;Aa en Hunze;1e halfjaar 2021;1740.0;69.0
35;Totaal;Aa en Hunze;2e halfjaar 2021;1760.0;69.0
36;Totaal;Aa en Hunze;2021;1920.0;76.0
37;Totaal;Aa en Hunze;1e halfjaar 2022;1780.0;70.0
38;Totaal;Aa en Hunze;2e halfjaar 2022;1795.0;70.0
