ID;Perioden;IndexcijfersOmzet_1;Omzetwaarde_2;Waarde_3;CumulatieveWaarde_4
0;2004 week 01 - 04;82.0;1961;;
1;2004 week 05 - 08;84.0;2007;;
2;2004 week 09 - 12;85.5;2043;;
3;2004 week 13 - 16;87.5;2090;;
4;2004 week 17 - 20;85.8;2052;;
5;2004 week 21 - 24;87.8;2099;;
6;2004 week 25 - 28;86.9;2077;;
7;2004 week 29 - 32;82.8;1980;;
8;2004 week 33 - 36;84.1;2010;;
9;2004 week 37 - 40;83.2;1989;;
10;2004 week 41 - 44;83.3;1991;;
11;2004 week 45 - 48;85.4;2041;;
12;2004 week 49 - 52;92.4;2208;;
13;2004 week 49 - 53 (5 weken);113.8;2721;;
14;2004 week 01 - 52 (gemiddelde);85.4;2042;;
15;2004 week 01 - 53 (gemiddelde);87.1;2082;;
16;2005 week 01 - 04;79.7;1904;-2.9;-2.9
17;2005 week 05 - 08;83.6;1999;-0.4;-1.6
18;2005 week 09 - 12;89.7;2145;5.0;0.6
19;2005 week 13 - 16;81.8;1954;-6.5;-1.2
20;2005 week 17 - 20;86.2;2060;0.4;-0.9
21;2005 week 21 - 24;88.3;2111;0.6;-0.6
22;2005 week 25 - 28;86.6;2071;-0.3;-0.6
23;2005 week 29 - 32;81.4;1946;-1.7;-0.7
24;2005 week 33 - 36;84.2;2012;0.1;-0.6
25;2005 week 37 - 40;83.9;2005;0.8;-0.5
26;2005 week 41 - 44;84.9;2030;2.0;-0.3
27;2005 week 45 - 48;87.5;2092;2.5;0.0
28;2005 week 49 - 52;95.2;2275;-16.4;-1.7
29;2005 week 01 - 52 (gemiddelde);85.6;2047;-1.7;-1.7
30;2006 week 01 - 04;80.1;1916;0.6;0.6
31;2006 week 05 - 08;85.7;2049;2.5;1.6
32;2006 week 09 - 12;88.8;2122;-1.1;0.6
33;2006 week 13 - 16;89.1;2130;9.0;2.7
34;2006 week 17 - 20;90.6;2165;5.1;3.2
35;2006 week 21 - 24;92.3;2206;4.5;3.4
36;2006 week 25 - 28;91.6;2189;5.7;3.7
37;2006 week 29 - 32;87.4;2088;7.3;4.2
38;2006 week 33 - 36;88.1;2106;4.7;4.2
39;2006 week 37 - 40;89.0;2127;6.1;4.4
40;2006 week 41 - 44;88.9;2126;4.7;4.4
41;2006 week 45 - 48;90.0;2151;2.8;4.3
42;2006 week 49 - 52;99.7;2384;4.8;4.3
43;2006 week 01 - 52  (gemiddelde);89.3;2135;4.3;4.3
44;2007 week 01 - 04;82.4;1969;2.8;2.8
45;2007 week 05 - 08;90.5;2163;5.6;4.2
46;2007 week 09 - 12;92.9;2221;4.7;4.4
47;2007 week 13 - 16;94.3;2254;5.8;4.8
48;2007 week 17 - 20;93.7;2239;3.4;4.5
49;2007 week 21 - 24;96.0;2294;4.0;4.4
50;2007 week 25 - 28;93.5;2235;2.1;4.1
51;2007 week 29 - 32;89.7;2145;2.7;3.9
52;2007 week 33 - 36;91.7;2193;4.1;3.9
53;2007 week 37 - 40;93.2;2227;4.7;4.0
54;2007 week 41 - 44;94.3;2253;6.0;4.2
55;2007 week 45 - 48;95.7;2289;6.4;4.4
56;2007 week 49 - 52;103.7;2479;4.0;4.3
57;2007 week 01 - 52  (gemiddelde);93.2;2228;4.3;4.3
58;2008 week 01 - 04;91.4;2186;11.0;11.0
59;2008 week 05 - 08;97.8;2337;8.0;9.4
60;2008 week 09 - 12;104.1;2488;12.0;10.3
61;2008 week 13 - 16;98.1;2344;4.0;8.7
62;2008 week 17 - 20;101.1;2416;7.9;8.5
63;2008 week 21 - 24;103.9;2483;8.2;8.5
64;2008 week 25 - 28;101.5;2425;8.5;8.5
65;2008 week 29 - 32;96.0;2295;7.0;8.3
66;2008 week 33 - 36;98.6;2357;7.5;8.2
67;2008 week 37 - 40;99.6;2381;6.9;8.1
68;2008 week 41 - 44;99.6;2382;5.7;7.8
69;2008 week 45 - 48;101.5;2426;6.0;7.7
70;2008 week 49 - 52;106.9;2556;3.1;7.3
71;2008 week 01 - 52 (gemiddelde);100.0;2390;7.3;7.3
72;2009 week 01 - 04;99.0;2367;8.3;8.3
73;2009 week 05 - 08;101.8;2434;4.1;6.2
74;2009 week 09 - 12;102.0;2439;-2.0;3.3
75;2009 week 13 - 16;106.1;2537;8.2;4.5
76;2009 week 17 - 20;104.7;2502;3.6;4.3
77;2009 week 21 - 24;106.2;2538;2.3;4.0
78;2009 week 25 - 28;104.4;2494;2.9;3.8
79;2009 week 29 - 32;97.2;2323;1.2;3.5
80;2009 week 33 - 36;101.2;2420;2.6;3.4
81;2009 week 37 - 40;99.6;2381;0.0;3.1
82;2009 week 41 - 44;100.5;2403;0.9;2.9
83;2009 week 45 - 48;101.7;2431;0.2;2.6
84;2009 week 49 - 52;107.1;2561;0.2;2.4
85;2009 week 49 - 53  (5 weken);131.8;3151;23.3;4.3
86;2009 week 01 - 52  (gemiddelde);102.4;2448;2.4;2.4
87;2009 week 01 - 53  (gemiddelde);104.3;2494;4.3;4.3
88;2010 week 01 - 04;98.9;2365;-0.1;-0.1
89;2010 week 05 - 08;102.1;2440;0.3;0.1
90;2010 week 09 - 12;104.5;2498;2.4;0.9
91;2010 week 13 - 16;107.3;2564;1.1;0.9
92;2010 week 17 - 20;107.8;2576;3.0;1.3
93;2010 week 21 - 24;107.7;2574;1.4;1.3
94;2010 week 25 - 28;108.2;2587;3.7;1.7
95;2010 week 29 - 32;99.3;2374;2.2;1.8
96;2010 week 33 - 36;104.0;2485;2.7;1.9
97;2010 week 37 - 40;102.7;2456;3.1;2.0
98;2010 week 41 - 44;104.5;2497;3.9;2.2
99;2010 week 45 - 48;106.2;2537;4.4;2.3
100;2010 week 49 - 52;112.8;2697;5.3;2.6
101;2010 week 01 - 52  (gemiddelde);105.1;2513;2.6;2.6
