ID;RegioS;Perioden;TotaalWegvoertuigen_1;TotaalMotorvoertuigen_2;TotaalPersonenautoS_3;PersonenautoSRelatief_4;InBezitNatuurlijkePersonen_5;InBezitNatuurlijkePersonenRelatief_6;TotaalBedrijfsvoertuigen_7;TotaalBedrijfsmotorvoertuigen_8;TotaalAanhangwagensEnOpleggers_9;TotaalBedrijfsmotorvoertuigen_10;Bestelauto_11;VrachtautoExclTrekkerVoorOplegger_12;TrekkerVoorOplegger_13;SpeciaalVoertuig_14;Bus_15;TotaalAanhangwagensEnOpleggers_16;Aanhangwagen_17;Oplegger_18;TotaalMotorfietsen_19;MotorfietsenRelatief_20
0;Nederland;2019;11372065;10199679;8442982;489;7452085;431;2283037;1110651;1172386;1110651;903005;61652;78788;57693;9513;1172386;1008412;163974;646046;37
1;Nederland;2020;11567203;10374721;8584391;493;7548770;434;2328425;1135943;1192482;1135943;927251;61746;80118;57129;9699;1192482;1023980;168502;654387;38
2;Nederland;2021;11704406;10504756;8686419;497;7683236;440;2351390;1151740;1199650;1151740;945433;60831;79932;56494;9050;1199650;1029636;170014;666597;38
3;Nederland;2022;11917133;10688353;8827709;502;7803950;444;2411637;1182857;1228780;1182857;974792;60867;82436;56230;8532;1228780;1051486;177294;677787;39
4;Nederland;2023;12063981;10808892;8917107;501;7842473;440;2456150;1201061;1255089;1201061;989841;60811;85679;55974;8756;1255089;1069827;185262;690724;39
5;Nederland;2024;12255576;10989401;9067393;505;7946287;443;2484868;1218693;1266175;1218693;1006477;61521;86457;55563;8675;1266175;1077996;188179;703315;39
6;Noord-Nederland (LD);2019;1235405;1071110;861974;500;807624;469;292901;128606;164295;128606;105174;5998;7520;8205;1709;164295;153306;10989;80530;47
7;Noord-Nederland (LD);2020;1258055;1090809;877666;507;819862;474;299030;131784;167246;131784;108085;6062;7640;8170;1827;167246;155921;11325;81359;47
8;Noord-Nederland (LD);2021;1279895;1110551;892790;515;834668;482;304021;134677;169344;134677;111159;5961;7640;8118;1799;169344;157735;11609;83084;48
9;Noord-Nederland (LD);2022;1306028;1132392;909302;522;849120;487;311913;138277;173636;138277;114632;6032;7841;8018;1754;173636;161460;12176;84813;49
10;Noord-Nederland (LD);2023;1323830;1146105;918843;523;854929;486;318031;140306;177725;140306;116242;6115;8217;7962;1770;177725;164967;12758;86956;49
11;Noord-Nederland (LD);2024;1348457;1167559;935286;529;868136;491;324217;143319;180898;143319;118773;6210;8465;7973;1898;180898;167549;13349;88954;50
12;Oost-Nederland (LD);2019;2681905;2379788;1960967;538;1650345;453;572987;270870;302117;270870;220181;15452;19915;13685;1637;302117;266932;35185;147951;41
13;Oost-Nederland (LD);2020;2726141;2417677;1993086;543;1675234;456;583199;274735;308464;274735;223489;15535;20522;13570;1619;308464;271720;36744;149856;41
14;Oost-Nederland (LD);2021;2751825;2439853;2007195;544;1709869;463;591553;279581;311972;279581;228626;15330;20554;13405;1666;311972;274090;37882;153077;41
15;Oost-Nederland (LD);2022;2798014;2479477;2036509;548;1742917;469;605341;286804;318537;286804;235200;15372;21325;13404;1503;318537;280953;37584;156164;42
16;Oost-Nederland (LD);2023;2827322;2502221;2053063;546;1755265;466;614763;289662;325101;289662;237536;15446;21966;13389;1325;325101;286448;38653;159496;42
17;Oost-Nederland (LD);2024;2886291;2557678;2099758;554;1784371;471;623701;295088;328613;295088;243028;15553;21908;13427;1172;328613;289266;39347;162832;43
18;West-Nederland (LD);2019;4811592;4395686;3664768;444;3226511;391;873969;458063;415906;458063;376944;24092;30181;21580;5266;415906;348570;67336;272855;33
19;West-Nederland (LD);2020;4896984;4475788;3728258;448;3264412;392;891671;470475;421196;470475;388986;24072;30726;21324;5367;421196;352413;68783;277055;33
20;West-Nederland (LD);2021;4957710;4536614;3780217;452;3323349;397;895738;474642;421096;474642;394589;23610;30689;21011;4743;421096;351942;69154;281755;34
21;West-Nederland (LD);2022;5053249;4621605;3848599;457;3371983;400;919426;487782;431644;487782;407179;23467;31697;20949;4490;431644;357130;74514;285224;34
22;West-Nederland (LD);2023;5116505;4676564;3890006;456;3384174;396;937089;497148;439941;497148;414825;23393;33203;20914;4813;439941;361541;78400;289410;34
23;West-Nederland (LD);2024;5185552;4744501;3947927;459;3422760;398;943614;502563;441051;502563;419692;23940;33567;20614;4750;441051;362307;78744;294011;34
24;Zuid-Nederland (LD);2019;2643163;2353095;1955273;534;1767605;483;543180;253112;290068;253112;200706;16110;21172;14223;901;290068;239604;50464;144710;40
25;Zuid-Nederland (LD);2020;2686023;2390447;1985381;539;1789262;486;554525;258949;295576;258949;206691;16077;21230;14065;886;295576;243926;51650;146117;40
26;Zuid-Nederland (LD);2021;2714976;2417738;2006217;544;1815350;492;560078;262840;297238;262840;211059;15930;21049;13960;842;297238;245869;51369;148681;40
27;Zuid-Nederland (LD);2022;2759842;2454879;2033299;548;1839930;496;574957;269994;304963;269994;217781;15996;21573;13859;785;304963;251943;53020;151586;41
28;Zuid-Nederland (LD);2023;2796324;2484002;2055195;547;1848105;492;586267;273945;312322;273945;221238;15857;22293;13709;848;312322;256871;55451;154862;41
29;Zuid-Nederland (LD);2024;2835276;2519663;2084422;552;1871020;495;593336;277723;315613;277723;224984;15818;22517;13549;855;315613;258874;56739;157518;42
