ID;BuildingPhases;Region;Periods;TotalBuildingCosts_1;BuildingCostsAlteration_2;BuildingCostsNewBuildings_3;Dwelling_4;AAgricultureForestryAndFishing_5;BFManufacturingAndEnergy_6;GITradeHotelsRestaurantsBars_7;HJTransportICT_8;KNFinancialAndBusinessServices_9;OPublicAdministrationAndServices_10;PEducation_11;QHealthAndSocialWorkActivities_12;RUCultureRecreationOtherServices_13
0;Orders received by contractors;Nederland;2015 January;929;264;664;486.0;32.0;17.0;33.0;18.0;13.0;0.0;35.0;4.0;26.0
1;Orders received by contractors;Nederland;2015 February;1415;285;1130;857.0;34.0;30.0;61.0;44.0;20.0;0.0;12.0;48.0;24.0
2;Orders received by contractors;Nederland;2015 March;1397;262;1135;803.0;30.0;68.0;31.0;61.0;22.0;6.0;65.0;32.0;17.0
3;Orders received by contractors;Nederland;2015 1st quarter;3741;812;2929;2146.0;96.0;115.0;125.0;124.0;55.0;6.0;111.0;83.0;67.0
4;Orders received by contractors;Nederland;2015 April;1380;233;1148;821.0;34.0;25.0;39.0;23.0;106.0;1.0;59.0;24.0;17.0
5;Orders received by contractors;Nederland;2015 May;1047;228;820;534.0;28.0;34.0;44.0;123.0;30.0;0.0;8.0;7.0;13.0
6;Orders received by contractors;Nederland;2015 June;952;213;739;491.0;48.0;22.0;38.0;7.0;41.0;2.0;40.0;24.0;28.0
7;Orders received by contractors;Nederland;2015 2nd quarter;3380;673;2707;1845.0;110.0;80.0;121.0;153.0;177.0;2.0;106.0;54.0;58.0
8;Orders received by contractors;Nederland;2015 July;1055;319;736;457.0;45.0;32.0;23.0;54.0;40.0;1.0;30.0;38.0;16.0
9;Orders received by contractors;Nederland;2015 August;838;195;643;345.0;28.0;12.0;32.0;18.0;164.0;1.0;16.0;15.0;11.0
10;Orders received by contractors;Nederland;2015 September;988;231;757;509.0;35.0;20.0;52.0;27.0;24.0;0.0;13.0;68.0;10.0
11;Orders received by contractors;Nederland;2015 3rd quarter;2881;746;2135;1311.0;108.0;64.0;106.0;99.0;228.0;2.0;59.0;122.0;37.0
12;Orders received by contractors;Nederland;2015 October;953;265;688;461.0;23.0;31.0;29.0;16.0;5.0;60.0;28.0;26.0;10.0
13;Orders received by contractors;Nederland;2015 November;868;211;657;404.0;17.0;31.0;66.0;34.0;7.0;0.0;40.0;35.0;22.0
14;Orders received by contractors;Nederland;2015 December;1054;284;769;500.0;24.0;26.0;84.0;23.0;29.0;1.0;34.0;27.0;22.0
15;Orders received by contractors;Nederland;2015 4th quarter;2874;760;2114;1365.0;64.0;88.0;179.0;73.0;41.0;61.0;102.0;88.0;53.0
16;Orders received by contractors;Nederland;2015;12877;2992;9885;6668.0;379.0;347.0;531.0;449.0;500.0;71.0;378.0;347.0;215.0
17;Orders received by contractors;Nederland;2016 January;780;192;588;428.0;31.0;34.0;11.0;13.0;21.0;0.0;21.0;22.0;6.0
18;Orders received by contractors;Nederland;2016 February;943;272;670;441.0;35.0;50.0;46.0;28.0;4.0;0.0;21.0;30.0;15.0
19;Orders received by contractors;Nederland;2016 March;1082;273;809;528.0;44.0;24.0;77.0;58.0;19.0;0.0;27.0;18.0;14.0
20;Orders received by contractors;Nederland;2016 1st quarter;2805;737;2067;1397.0;110.0;108.0;134.0;99.0;44.0;0.0;69.0;69.0;36.0
21;Orders received by contractors;Nederland;2016 April;1165;304;861;492.0;48.0;39.0;47.0;22.0;67.0;3.0;18.0;119.0;6.0
22;Orders received by contractors;Nederland;2016 May;1079;272;807;564.0;26.0;23.0;69.0;31.0;20.0;1.0;27.0;22.0;25.0
23;Orders received by contractors;Nederland;2016 June;1207;324;882;602.0;39.0;51.0;68.0;53.0;8.0;0.0;7.0;27.0;25.0
24;Orders received by contractors;Nederland;2016 2nd quarter;3451;901;2550;1658.0;113.0;114.0;184.0;105.0;94.0;5.0;53.0;168.0;56.0
25;Orders received by contractors;Nederland;2016 July;1069;261;808;557.0;28.0;21.0;22.0;47.0;13.0;4.0;59.0;20.0;38.0
26;Orders received by contractors;Nederland;2016 August;1023;308;715;515.0;32.0;25.0;15.0;34.0;41.0;1.0;17.0;16.0;18.0
27;Orders received by contractors;Nederland;2016 September;1382;338;1044;704.0;23.0;71.0;25.0;135.0;10.0;2.0;10.0;20.0;44.0
28;Orders received by contractors;Nederland;2016 3rd quarter;3475;907;2568;1776.0;84.0;117.0;63.0;215.0;64.0;7.0;85.0;56.0;100.0
29;Orders received by contractors;Nederland;2016 October;1121;198;923;698.0;23.0;29.0;22.0;23.0;46.0;28.0;2.0;30.0;22.0
30;Orders received by contractors;Nederland;2016 November;1256;267;989;645.0;40.0;93.0;84.0;57.0;31.0;0.0;6.0;27.0;6.0
31;Orders received by contractors;Nederland;2016 December;1367;329;1038;679.0;19.0;48.0;62.0;39.0;63.0;0.0;16.0;19.0;92.0
32;Orders received by contractors;Nederland;2016 4th quarter;3745;795;2950;2022.0;83.0;171.0;168.0;119.0;141.0;28.0;24.0;75.0;120.0
33;Orders received by contractors;Nederland;2016;13475;3340;10135;6854.0;390.0;509.0;549.0;537.0;343.0;40.0;231.0;369.0;313.0
34;Orders received by contractors;Nederland;2017 January;1000;183;818;613.0;52.0;41.0;18.0;14.0;9.0;14.0;4.0;14.0;38.0
35;Orders received by contractors;Nederland;2017 February;1368;300;1068;617.0;43.0;101.0;57.0;55.0;27.0;0.0;28.0;18.0;121.0
36;Orders received by contractors;Nederland;2017 March;1560;319;1241;884.0;28.0;73.0;75.0;100.0;20.0;0.0;41.0;15.0;6.0
37;Orders received by contractors;Nederland;2017 1st quarter;3928;802;3127;2114.0;123.0;215.0;150.0;169.0;57.0;14.0;73.0;47.0;165.0
38;Orders received by contractors;Nederland;2017 April;1348;214;1134;881.0;29.0;69.0;45.0;15.0;29.0;0.0;26.0;14.0;25.0
39;Orders received by contractors;Nederland;2017 May;1434;319;1115;691.0;25.0;83.0;57.0;37.0;10.0;3.0;120.0;30.0;61.0
40;Orders received by contractors;Nederland;2017 June;1205;290;915;682.0;33.0;62.0;32.0;50.0;14.0;0.0;17.0;15.0;11.0
41;Orders received by contractors;Nederland;2017 2nd quarter;3987;823;3164;2255.0;87.0;214.0;133.0;102.0;53.0;3.0;162.0;58.0;97.0
42;Orders received by contractors;Nederland;2017 July;1826;388;1438;1038.0;37.0;69.0;151.0;53.0;19.0;0.0;29.0;25.0;17.0
43;Orders received by contractors;Nederland;2017 August;1162;238;924;739.0;26.0;33.0;25.0;13.0;50.0;1.0;4.0;16.0;16.0
44;Orders received by contractors;Nederland;2017 September;1438;267;1171;882.0;40.0;90.0;40.0;35.0;19.0;3.0;5.0;30.0;28.0
45;Orders received by contractors;Nederland;2017 3rd quarter;4426;893;3533;2659.0;102.0;193.0;216.0;101.0;88.0;4.0;38.0;71.0;61.0
46;Orders received by contractors;Nederland;2017 October;1703;426;1277;917.0;;;;;;;;;
47;Orders received by contractors;Nederland;2017 November;1619;357;1262;802.0;;;;;;;;;
