ID;Geslacht;Kenmerken;Perioden;TotaalWerknemers_1;WilMeerUrenWerken_2;WilGelijkAantalUrenWerken_3;WilMinderUrenWerkenStoppenMetWerk_4;TotaalWerknemers100_5;WilMeerUrenWerken_6;WilGelijkAantalUrenWerken_7;WilMinderUrenWerkenStoppenMetWerk_8
0;Mannen en vrouwen;Totaal werknemers;1992;5258.0;329.0;4402.0;528.0;5258.0;6.3;83.7;10.0
1;Mannen en vrouwen;Totaal werknemers;1993;5261.0;344.0;4337.0;580.0;5261.0;6.5;82.4;11.0
2;Mannen en vrouwen;Totaal werknemers;1994;5222.0;374.0;4286.0;561.0;5222.0;7.2;82.1;10.8
3;Mannen en vrouwen;Totaal werknemers;1995;5357.0;410.0;4376.0;571.0;5357.0;7.7;81.7;10.7
4;Mannen en vrouwen;Totaal werknemers;1996;5456.0;415.0;4415.0;626.0;5456.0;7.6;80.9;11.5
5;Mannen en vrouwen;Totaal werknemers;1997;5628.0;417.0;4565.0;646.0;5628.0;7.4;81.1;11.5
6;Mannen en vrouwen;Totaal werknemers;1998;5850.0;405.0;4730.0;715.0;5850.0;6.9;80.9;12.2
7;Mannen en vrouwen;Totaal werknemers;1999;6042.0;380.0;4921.0;741.0;6042.0;6.3;81.4;12.3
8;Mannen en vrouwen;Totaal werknemers;2000;6116.0;392.0;4970.0;754.0;6116.0;6.4;81.3;12.3
9;Mannen en vrouwen;Totaal werknemers;2001;6256.0;349.0;5145.0;763.0;6256.0;5.6;82.2;12.2
10;Mannen en vrouwen;Totaal werknemers;2002;6256.0;351.0;5220.0;684.0;6256.0;5.6;83.4;10.9
11;Mannen en vrouwen;Totaal werknemers;2003;6213.0;379.0;5197.0;637.0;6213.0;6.1;83.6;10.3
12;Mannen en vrouwen;Totaal werknemers;2004;6116.0;420.0;5095.0;602.0;6116.0;6.9;83.3;9.8
13;Mannen en vrouwen;Totaal werknemers;2005;6103.0;486.0;5021.0;596.0;6103.0;8.0;82.3;9.8
14;Mannen en vrouwen;Totaal werknemers;2006;6195.0;509.0;5148.0;539.0;6195.0;8.2;83.1;8.7
15;Mannen en vrouwen;15 tot 20 jaar;1992;169.0;18.0;138.0;13.0;169.0;10.7;81.4;8.0
16;Mannen en vrouwen;15 tot 20 jaar;1993;148.0;17.0;111.0;20.0;148.0;11.4;75.0;13.6
17;Mannen en vrouwen;15 tot 20 jaar;1994;135.0;16.0;105.0;14.0;135.0;12.1;77.7;10.2
18;Mannen en vrouwen;15 tot 20 jaar;1995;129.0;22.0;96.0;12.0;129.0;16.8;74.2;9.1
19;Mannen en vrouwen;15 tot 20 jaar;1996;154.0;25.0;113.0;16.0;154.0;16.0;73.5;10.5
20;Mannen en vrouwen;15 tot 20 jaar;1997;175.0;24.0;135.0;16.0;175.0;13.7;77.2;9.0
21;Mannen en vrouwen;15 tot 20 jaar;1998;182.0;27.0;137.0;18.0;182.0;14.7;75.5;9.8
22;Mannen en vrouwen;15 tot 20 jaar;1999;211.0;26.0;162.0;23.0;211.0;12.5;76.8;10.8
23;Mannen en vrouwen;15 tot 20 jaar;2000;210.0;31.0;156.0;24.0;210.0;14.8;73.9;11.3
24;Mannen en vrouwen;15 tot 20 jaar;2001;231.0;26.0;179.0;25.0;231.0;11.5;77.6;11.0
25;Mannen en vrouwen;15 tot 20 jaar;2002;211.0;29.0;159.0;23.0;211.0;13.7;75.4;10.9
26;Mannen en vrouwen;15 tot 20 jaar;2003;208.0;28.0;160.0;19.0;208.0;13.4;77.2;9.4
