ID;Perioden;DagvaardingBeeindigdMetVonnis_1;VerzoekschriftBeeindigdMetBeschikking_2;DagvaardingBeeindigdMetVonnis_3;VerzoekschriftBeeindigdMetBeschikking_4;DagvaardingBeeindigdMetArrest_5;VerzoekschriftBeeindigdMetBeschikking_6;DagvaardingBeeindigdMetArrest_7;VerzoekschriftBeeindigdMetBeschikking_8
0;1942;21600.0;;;;;;;
1;1943;16300.0;;;;;;;
2;1944;;;;;;;;
3;1945;;;;;;;;
4;1946;15200.0;;;;;;;
5;1947;26900.0;;25300.0;;;;60.0;
6;1948;34800.0;;26500.0;;;;80.0;
7;1949;43300.0;;28900.0;;;;73.0;
8;1950;45300.0;;29100.0;;;;99.0;
9;1951;46200.0;;29500.0;17800.0;1103.0;867.0;131.0;
10;1952;45300.0;;29300.0;18900.0;1125.0;822.0;136.0;
11;1953;44200.0;;29200.0;16500.0;1275.0;828.0;122.0;
12;1954;45600.0;25900.0;29200.0;16800.0;1269.0;771.0;119.0;
13;1955;45500.0;22800.0;28500.0;13900.0;1215.0;882.0;127.0;
14;1956;44800.0;21800.0;28600.0;14500.0;1234.0;684.0;117.0;
15;1957;46800.0;23000.0;28200.0;13300.0;1218.0;772.0;115.0;
16;1958;50100.0;22500.0;29100.0;11500.0;1157.0;764.0;115.0;
17;1959;47900.0;21400.0;30500.0;16400.0;1124.0;792.0;116.0;
18;1960;47000.0;20000.0;31900.0;15400.0;1124.0;873.0;84.0;
19;1961;49800.0;19100.0;30800.0;15500.0;1179.0;725.0;78.0;
20;1962;50600.0;19200.0;31500.0;16000.0;1122.0;836.0;86.0;
21;1963;48700.0;20600.0;22100.0;20400.0;1176.0;819.0;102.0;63.0
22;1964;49500.0;21200.0;23600.0;20500.0;1278.0;810.0;90.0;56.0
23;1965;47300.0;20600.0;23800.0;19200.0;1147.0;764.0;80.0;49.0
24;1966;49200.0;20700.0;25200.0;19000.0;1181.0;784.0;101.0;62.0
25;1967;51800.0;20400.0;27400.0;19100.0;1224.0;807.0;74.0;46.0
26;1968;53700.0;22000.0;29400.0;19200.0;1275.0;913.0;102.0;63.0
27;1969;57900.0;22800.0;29500.0;18600.0;1150.0;812.0;83.0;51.0
28;1970;62200.0;22800.0;32700.0;17900.0;1110.0;793.0;86.0;53.0
29;1971;74100.0;24400.0;31100.0;17800.0;1199.0;710.0;92.0;57.0
30;1972;77000.0;24000.0;34400.0;23700.0;1159.0;913.0;70.0;43.0
31;1973;80900.0;21900.0;34000.0;24100.0;1237.0;1077.0;69.0;43.0
32;1974;82200.0;21800.0;36200.0;31600.0;1322.0;1356.0;88.0;54.0
33;1975;79800.0;21100.0;38600.0;30800.0;1283.0;1729.0;105.0;65.0
34;1976;79800.0;22800.0;39100.0;32800.0;1467.0;1714.0;120.0;74.0
35;1977;77500.0;24000.0;40900.0;35200.0;1463.0;1909.0;140.0;87.0
36;1978;80500.0;25100.0;39200.0;36100.0;1502.0;2004.0;136.0;84.0
37;1979;81600.0;26600.0;40600.0;40600.0;1509.0;1873.0;144.0;89.0
38;1980;89100.0;28300.0;45300.0;42000.0;1596.0;2403.0;129.0;80.0
39;1981;101500.0;28000.0;50400.0;47000.0;1775.0;2600.0;133.0;82.0
40;1982;117800.0;29000.0;57300.0;50800.0;1881.0;2721.0;185.0;114.0
41;1983;126000.0;34200.0;58000.0;51600.0;2082.0;2884.0;186.0;115.0
42;1984;126300.0;39600.0;56000.0;51500.0;2151.0;2925.0;166.0;105.0
43;1985;128400.0;40800.0;56300.0;48400.0;2426.0;2619.0;174.0;182.0
44;1986;126400.0;43300.0;52900.0;51400.0;2615.0;2450.0;190.0;138.0
45;1987;122900.0;48200.0;51700.0;50700.0;2842.0;2350.0;268.0;130.0
46;1988;132900.0;50500.0;53800.0;50300.0;3044.0;2557.0;236.0;139.0
47;1989;140600.0;53800.0;56000.0;50600.0;3180.0;3006.0;284.0;181.0
48;1990;151600.0;61800.0;55400.0;50700.0;3273.0;3026.0;277.0;148.0
49;1991;158100.0;74800.0;60100.0;49400.0;3157.0;2795.0;303.0;154.0
50;1992;169800.0;95900.0;62900.0;53000.0;3522.0;2929.0;282.0;168.0
51;1993;204800.0;122600.0;47300.0;75600.0;3623.0;2673.0;326.0;202.0
52;1994;215400.0;139000.0;36400.0;96400.0;3539.0;2298.0;287.0;195.0
53;1995;215700.0;149400.0;34800.0;94100.0;3384.0;3067.0;279.0;133.0
54;1996;213400.0;137000.0;34800.0;94000.0;3308.0;2587.0;255.0;143.0
55;1997;219700.0;144000.0;35300.0;92300.0;3171.0;2906.0;290.0;100.0
56;1998;226400.0;144600.0;35200.0;92700.0;3265.0;3015.0;240.0;141.0
57;1999;241200.0;134300.0;31200.0;96000.0;3254.0;3243.0;268.0;157.0
58;2000;235400.0;129100.0;30200.0;113600.0;3281.0;3075.0;300.0;182.0
59;2001;254700.0;145600.0;29200.0;121200.0;3368.0;3042.0;339.0;213.0
60;2002;255600.0;178800.0;30400.0;123100.0;3514.0;3520.0;373.0;150.0
61;2003;318800.0;201800.0;32000.0;126400.0;3892.0;3903.0;375.0;115.0
62;2004;382300.0;206200.0;34600.0;135200.0;4331.0;4466.0;344.0;115.0
63;2005;398300.0;213400.0;32700.0;140200.0;4689.0;5355.0;308.0;122.0
64;2006;388400.0;219000.0;31300.0;143700.0;4659.0;5985.0;314.0;144.0
65;2007;386100.0;215700.0;29700.0;150700.0;4559.0;6082.0;268.0;149.0
66;2008;452400.0;238300.0;31100.0;150100.0;4736.0;6767.0;314.0;207.0
67;2009;519800.0;269200.0;35500.0;157700.0;4756.0;7159.0;319.0;216.0
68;2010;550300.0;278400.0;36700.0;164900.0;4827.0;7218.0;362.0;220.0
69;2011;509500.0;246700.0;28300.0;166900.0;4890.0;8029.0;350.0;260.0
70;2012;447900.0;281300.0;17600.0;162900.0;4233.0;7696.0;347.0;229.0
71;2013;418900.0;287200.0;15900.0;161200.0;4344.0;7574.0;357.0;250.0
72;2014;402300.0;334900.0;15100.0;156300.0;4483.0;7160.0;221.0;184.0
73;2015;379200.0;377300.0;14500.0;151800.0;3884.0;6039.0;281.0;152.0
