ID;Geslacht;Leeftijden;TypeZorg;RegioS;Perioden;AantalInVerslagjaar_1;PercentageInVerslagjaar_2;TotaalUrenInVerslagjaar_3;GemiddeldPerPersoonInVerslagjaar_4;GemiddeldInBevolkingInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2004;608095;4.77;89515;147;7.02
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2005;595375;4.66;90493;152;7.08
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2006;607575;4.74;95031;156;7.42
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2007;610180;4.76;95279;156;7.43
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2008;620190;4.79;96447;156;7.44
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2009;620890;4.76;99194;160;7.6
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Nederland;2010;629155;4.79;101725;162;7.74
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2004;24535;5.32;3514;143;7.62
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2005;23995;5.2;3563;148;7.72
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2006;24665;5.34;3739;152;8.1
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2007;24530;5.32;3879;158;8.41
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2008;24490;5.27;4035;165;8.69
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2009;24115;5.18;4135;171;8.88
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Groningen (PV);2010;24605;5.25;4178;170;8.92
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2004;25740;5.13;3889;151;7.75
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2005;25600;5.1;4155;162;8.27
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2006;26990;5.38;4617;171;9.19
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2007;27535;5.47;4804;174;9.55
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2008;27795;5.5;4864;175;9.62
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2009;27510;5.41;4872;177;9.58
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Friesland (PV);2010;27875;5.46;4834;173;9.47
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2004;22100;5.83;6112;277;16.12
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2005;21445;5.64;5919;276;15.57
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2006;21555;5.65;5697;264;14.92
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;0;Drenthe (PV);2007;21570;5.63;5396;250;14.09
