ID;Perioden;Kiesgerechtigden_1;Opkomst_2;TotaalStemmen_3;OngeldigeStemmen_4;GeldigeStemmen_5;CDA_6;D66_7;GPV_8;SGP_9;ChristenUnieSGP_10;CPN_11;PPR_12;PSP_13;GroenLinks_14;PvdA_15;VVD_16;CDCentrumdemocraten_17;SP_18;EuropeseGroenen_19;DeGroenen_20;EuropaTransparant_21;LPF_22;PvdD_23;PVV_24;OverigePartijen_25;TotaalAantalZetels_26;CDA_27;D66_28;GPV_29;SGP_30;ChristenUnieSGP_31;CPN_32;PPR_33;PSP_34;GroenLinks_35;PvdA_36;VVD_37;CDCentrumdemocraten_38;SP_39;EuropeseGroenen_40;DeGroenen_41;EuropaTransparant_42;LPF_43;PvdD_44;PVV_45;OverigePartijen_46
0;1979;9808176;58.1;5700603;33300;5667303;35.6;9.0;1.1;2.2;;1.7;1.6;1.7;;30.4;16.1;;;;;;;;0;0.4;25;10;2;0.0;0.0;;0.0;0.0;0.0;;9;4;;;;;;;;0;0
1;1984;10485014;50.9;5334582;37833;5296749;30.0;2.3;;;5.2;;;;5.6;33.7;18.9;2.5;;1.3;;;;;0;0.4;25;8;0;;;1.0;;;;2.0;9;5;0.0;;0.0;;;;;0;0
2;1989;11099123;47.5;5270374;28041;5242333;34.6;6.0;;;5.9;;;;7.0;30.7;13.6;0.8;0.7;;;;;;0;0.8;25;10;1;;;1.0;;;;2.0;8;3;0.0;0.0;;;;;;0;0
3;1994;11618677;35.7;4146730;13173;4133557;30.8;11.7;;;7.8;;;;3.7;22.9;17.9;1.0;1.3;;2.4;;;;0;0.5;31;10;4;;;2.0;;;;1.0;8;6;0.0;0.0;;0.0;;;;0;0
4;1999;11862864;30.0;3560764;16356;3544408;26.9;5.8;;;8.7;;;;11.8;20.1;19.7;0.5;5.0;;;;;;0;1.3;31;9;2;;;3.0;;;;4.0;6;6;0.0;1.0;;;;;;0;0
5;2004;12168878;39.3;4777121;11444;4765677;24.4;4.2;;;5.9;;;;7.4;23.6;13.2;;7.0;;;7.3;2.5;3.2;0;1.2;27;7;1;;;2.0;;;;2.0;7;4;;2.0;;;2.0;0.0;0.0;0;0
6;2009;12445497;36.8;4573743;19879;4553864;20.1;11.3;;;6.8;;;;8.9;12.0;11.4;;7.1;;0.2;;;3.5;17;1.8;25;5;3;;;2.0;;;;3.0;3;3;;2.0;;0.0;;;0.0;4;0
