ID;Periods;TotalRDExpenditure_1;Companies_2;Institutes_3;InstitutesForHigherEducation_4;TotalFullTimeEquivalents_5;Companies_6;Institutes_7;InstitutesForHigherEducation_8
0;2002;8747;4543;1164;3040;91.5;47.0;13.7;30.8
1;2003;9146;4804;1216;3126;90.2;44.5;14.3;31.4
2;2004;9470;5071;1253;3146;95.7;50.0;13.6;32.1
3;2005;9772;5169;1216;3387;93.6;48.6;12.7;32.3
4;2006;10175;5480;1260;3435;97.8;52.8;12.8;32.2
5;2007;10342;5495;1259;3588;93.7;49.2;12.1;32.4
6;2008;10502;5263;1259;3980;93.4;48.0;12.2;33.2
7;2009;10408;4900;1327;4181;87.8;42.3;11.4;34.1
8;2010;10892;5218;1279;4395;100.5;54.1;11.4;35.0
