ID;Perioden;TotaalVastgoedbeleggingen_1;TotaalDirectVastgoed_2;Woningen_3;KantorenEnWinkels_4;OverigBinnenland_5;Buitenland_6;TotaalIndirectVastgoed_7;IndirectVastgoedWaarvanBuitenland_8;TotaalVastgoedbeleggingen_9;TotaalDirectVastgoed_10;Woningen_11;KantorenEnWinkels_12;OverigBinnenland_13;Buitenland_14;TotaalIndirectVastgoed_15;IndirectVastgoedWaarvanBuitenland_16;TotaalVastgoedbeleggingen_17;TotaalDirectVastgoed_18;Woningen_19;KantorenEnWinkels_20;OverigBinnenland_21;Buitenland_22;TotaalIndirectVastgoed_23;IndirectVastgoedWaarvanBuitenland_24;TotaalVastgoedbeleggingen_25;TotaalDirectVastgoed_26;Woningen_27;KantorenEnWinkels_28;OverigBinnenland_29;Buitenland_30;TotaalIndirectVastgoed_31;IndirectVastgoedWaarvanBuitenland_32
0;1980;13.0;12.6;5.9;3.8;0.7;2.3;0.4;;6.7;6.3;3.3;1.5;0.2;1.3;0.3;;4.8;4.8;2.5;1.9;0.2;0.1;0.1;;1.5;1.5;0.1;0.3;0.2;0.9;0.0;
1;1985;20.4;18.9;7.9;6.0;0.8;4.2;1.5;;12.2;10.9;5.3;2.8;0.4;2.5;1.3;;5.6;5.4;2.5;2.6;0.2;0.1;0.2;;2.6;2.6;0.1;0.6;0.2;1.6;0.0;
2;1990;31.7;28.5;9.2;8.9;1.5;8.9;3.2;;16.8;14.2;6.3;3.9;0.5;3.5;2.5;;7.7;7.3;2.7;4.0;0.4;0.2;0.4;;7.2;7.0;0.2;0.9;0.7;5.2;0.2;
3;1995;44.6;37.2;11.3;15.5;1.4;9.0;7.3;2.4;25.4;19.4;8.1;6.5;0.9;4.0;6.0;2.0;9.7;8.9;3.1;5.0;0.5;0.3;0.8;0.0;9.4;8.9;0.1;4.0;0.1;4.7;0.5;0.3
4;1999;74.5;52.8;15.8;20.2;1.7;15.1;21.7;12.6;40.6;23.5;11.8;8.1;0.6;3.1;17.2;9.6;12.5;11.3;3.9;6.9;0.4;0.2;1.3;0.1;21.3;18.0;0.1;5.2;0.8;11.9;3.3;2.9
5;2000;95.0;65.6;17.7;24.1;2.4;21.4;29.4;15.4;47.3;23.3;12.3;7.2;0.7;3.1;23.9;12.7;15.6;13.6;5.1;7.6;0.6;0.3;2.1;0.1;32.1;28.7;0.3;9.3;1.1;18.1;3.4;2.7
6;2001;101.4;72.0;19.8;26.0;3.0;23.2;29.4;17.7;50.4;26.0;13.9;8.5;0.9;2.7;24.4;15.1;17.2;14.9;5.5;8.3;0.7;0.4;2.3;0.1;33.8;31.1;0.3;9.2;1.4;20.2;2.7;2.5
7;2002;88.4;61.7;19.9;23.4;2.7;15.7;26.7;16.3;46.3;23.4;14.1;6.9;0.8;1.6;22.9;14.5;17.1;15.2;5.6;8.6;0.8;0.2;2.0;0.1;25.0;23.1;0.2;8.0;1.0;14.0;1.9;1.7
8;2003;90.0;60.0;19.1;23.3;2.7;14.9;30.0;18.1;48.9;22.9;13.8;7.5;1.0;0.7;26.0;16.2;15.9;13.9;5.2;7.8;0.8;0.1;2.0;0.1;25.2;23.2;0.2;8.0;1.0;14.0;2.0;1.8
9;2004;95.5;59.2;19.5;23.7;2.4;13.6;36.3;20.9;54.2;23.1;13.8;7.6;0.8;0.9;31.1;18.6;17.3;14.4;4.7;7.8;0.7;1.1;2.9;0.1;24.1;21.7;0.9;8.3;0.9;11.6;2.4;2.2
