ID;EnergyCommodities;Periods;EnergyConsumptionInSectorIndustry_1
0;1;1975;884.0
1;1;1976;970.0
2;1;1977;974.0
3;1;1978;1026.0
4;1;1979;1079.0
5;1;1980;947.0
6;1;1981;881.0
7;1;1982;784.0
8;1;1983;821.0
9;1;1984;871.0
10;1;1985;880.0
11;1;1986;898.0
12;1;1987;940.0
13;1;1988;972.0
14;1;1989;937.0
15;1;1990;978.0
16;1;1991;990.0
17;1;1992;996.0
18;1;1993;956.0
19;1;1994;983.0
20;1;1995;1047.0
21;1;1996;1031.0
22;1;1997;1050.0
23;1;1998;1040.0
24;1;1999 1st quarter;272.0
25;1;1999 2nd quarter;267.0
26;1;1999 3rd quarter;256.0
27;1;1999 4th quarter;291.0
28;1;1999;1085.0
29;1;2000 1st quarter;283.0
30;1;2000 2nd quarter;270.0
31;1;2000 3rd quarter;274.0
32;1;2000 4th quarter;286.0
33;1;2000;1113.0
34;1;2001 1st quarter;287.0
35;1;2001 2nd quarter;271.0
36;1;2001 3rd quarter;273.0
37;1;2001 4th quarter;281.0
38;1;2001;1112.0
39;1;2002 1st quarter;284.0
40;1;2002 2nd quarter;270.0
41;1;2002 3rd quarter;269.0
42;1;2002 4th quarter;303.0
43;1;2002;1127.0
44;1;2003 1st quarter;290.0
45;1;2003 2nd quarter;283.0
46;1;2003 3rd quarter;285.0
47;1;2003 4th quarter;312.0
48;1;2003;1171.0
49;1;2004 1st quarter;315.0
50;1;2004 2nd quarter;296.0
51;1;2004 3rd quarter;300.0
52;1;2004 4th quarter;297.0
53;1;2004;1208.0
54;1;2005 1st quarter;329.0
55;1;2005 2nd quarter;312.0
56;1;2005 3rd quarter;301.0
57;1;2005 4th quarter;318.0
58;1;2005;1261.0
59;1;2006 1st quarter;312.0
60;1;2006 2nd quarter;285.0
61;1;2006 3rd quarter;288.0
62;1;2006 4th quarter;301.0
63;1;2006;1186.0
64;1;2007 1st quarter;313.0
65;1;2007 2nd quarter;320.0
66;1;2007 3rd quarter;332.0
67;1;2007 4th quarter;351.0
68;1;2007;1316.0
69;1;2008 1st quarter;335.0
70;1;2008 2nd quarter;303.0
71;1;2008 3rd quarter;315.0
72;1;2008 4th quarter;289.0
73;1;2008;1243.0
74;1;2009 1st quarter;281.0
75;1;2009 2nd quarter;273.0
76;1;2009 3rd quarter;300.0
77;1;2009 4th quarter;314.0
78;1;2009;1168.0
79;1;2010 1st quarter;326.0
80;1;2010 2nd quarter;318.0
81;1;2010 3rd quarter;313.0
82;1;2010 4th quarter;335.0
83;1;2010;1294.0
84;1;2011;1213.0
85;1;2012;1231.0
86;2;1975;65.0
87;2;1976;67.0
88;2;1977;64.0
89;2;1978;70.0
90;2;1979;77.0
91;2;1980;73.0
92;2;1981;79.0
93;2;1982;71.0
94;2;1983;70.0
95;2;1984;92.0
96;2;1985;92.0
97;2;1986;90.0
98;2;1987;91.0
99;2;1988;97.0
100;2;1989;96.0
101;2;1990;96.0
102;2;1991;89.0
103;2;1992;89.0
104;2;1993;95.0
105;2;1994;87.0
106;2;1995;94.0
107;2;1996;95.0
108;2;1997;99.0
109;2;1998;93.0
110;2;1999 1st quarter;23.0
111;2;1999 2nd quarter;21.0
112;2;1999 3rd quarter;23.0
113;2;1999 4th quarter;22.0
114;2;1999;89.0
115;2;2000 1st quarter;22.0
116;2;2000 2nd quarter;20.0
117;2;2000 3rd quarter;22.0
118;2;2000 4th quarter;20.0
119;2;2000;83.0
120;2;2001 1st quarter;20.0
121;2;2001 2nd quarter;21.0
122;2;2001 3rd quarter;23.0
123;2;2001 4th quarter;24.0
124;2;2001;88.0
125;2;2002 1st quarter;23.0
126;2;2002 2nd quarter;18.0
127;2;2002 3rd quarter;24.0
128;2;2002 4th quarter;23.0
129;2;2002;89.0
130;2;2003 1st quarter;21.0
131;2;2003 2nd quarter;23.0
132;2;2003 3rd quarter;24.0
133;2;2003 4th quarter;25.0
134;2;2003;94.0
135;2;2004 1st quarter;23.0
136;2;2004 2nd quarter;24.0
137;2;2004 3rd quarter;25.0
138;2;2004 4th quarter;25.0
139;2;2004;96.0
140;2;2005 1st quarter;25.0
141;2;2005 2nd quarter;22.0
142;2;2005 3rd quarter;23.0
143;2;2005 4th quarter;25.0
144;2;2005;95.0
145;2;2006 1st quarter;24.0
146;2;2006 2nd quarter;26.0
147;2;2006 3rd quarter;21.0
148;2;2006 4th quarter;16.0
149;2;2006;86.0
150;2;2007 1st quarter;23.0
151;2;2007 2nd quarter;25.0
152;2;2007 3rd quarter;26.0
153;2;2007 4th quarter;26.0
154;2;2007;100.0
155;2;2008 1st quarter;24.0
156;2;2008 2nd quarter;25.0
157;2;2008 3rd quarter;25.0
158;2;2008 4th quarter;21.0
159;2;2008;94.0
160;2;2009 1st quarter;15.0
161;2;2009 2nd quarter;13.0
162;2;2009 3rd quarter;22.0
163;2;2009 4th quarter;24.0
164;2;2009;74.0
165;2;2010 1st quarter;21.0
166;2;2010 2nd quarter;20.0
167;2;2010 3rd quarter;22.0
168;2;2010 4th quarter;21.0
169;2;2010;84.0
170;2;2011;90.0
171;2;2012;93.0
172;3;1975;4.0
173;3;1976;5.0
174;3;1977;5.0
175;3;1978;5.0
176;3;1979;5.0
177;3;1980;6.0
178;3;1981;5.0
179;3;1982;12.0
180;3;1983;11.0
181;3;1984;22.0
182;3;1985;22.0
183;3;1986;21.0
184;3;1987;29.0
185;3;1988;30.0
186;3;1989;33.0
187;3;1990;35.0
188;3;1991;31.0
189;3;1992;35.0
190;3;1993;37.0
191;3;1994;28.0
192;3;1995;27.0
193;3;1996;31.0
194;3;1997;38.0
195;3;1998;38.0
196;3;1999 1st quarter;9.0
197;3;1999 2nd quarter;9.0
198;3;1999 3rd quarter;10.0
199;3;1999 4th quarter;9.0
200;3;1999;37.0
201;3;2000 1st quarter;9.0
202;3;2000 2nd quarter;8.0
203;3;2000 3rd quarter;9.0
204;3;2000 4th quarter;7.0
205;3;2000;33.0
206;3;2001 1st quarter;8.0
207;3;2001 2nd quarter;10.0
208;3;2001 3rd quarter;10.0
209;3;2001 4th quarter;9.0
210;3;2001;37.0
211;3;2002 1st quarter;10.0
212;3;2002 2nd quarter;7.0
213;3;2002 3rd quarter;11.0
214;3;2002 4th quarter;10.0
215;3;2002;38.0
216;3;2003 1st quarter;9.0
217;3;2003 2nd quarter;10.0
218;3;2003 3rd quarter;10.0
219;3;2003 4th quarter;11.0
220;3;2003;40.0
221;3;2004 1st quarter;10.0
222;3;2004 2nd quarter;11.0
223;3;2004 3rd quarter;11.0
224;3;2004 4th quarter;11.0
225;3;2004;43.0
226;3;2005 1st quarter;12.0
227;3;2005 2nd quarter;10.0
228;3;2005 3rd quarter;11.0
229;3;2005 4th quarter;12.0
230;3;2005;45.0
231;3;2006 1st quarter;11.0
232;3;2006 2nd quarter;12.0
233;3;2006 3rd quarter;10.0
234;3;2006 4th quarter;7.0
235;3;2006;39.0
236;3;2007 1st quarter;11.0
237;3;2007 2nd quarter;12.0
238;3;2007 3rd quarter;12.0
239;3;2007 4th quarter;13.0
240;3;2007;48.0
241;3;2008 1st quarter;11.0
242;3;2008 2nd quarter;12.0
243;3;2008 3rd quarter;10.0
244;3;2008 4th quarter;6.0
245;3;2008;40.0
246;3;2009 1st quarter;6.0
247;3;2009 2nd quarter;5.0
248;3;2009 3rd quarter;9.0
