ID;EnergySourcesTechniques;Periods;NumberOfSystemsNewlyInstalled_1;NumberOfSystemsDecommissioned_2;NumberOfSystemsAtTheEndOfYear_3;ElectricalPowerNewlyInstalled_4;ElectricalPowerDecommissioned_5;ElectricalPowerAtTheEndOfTheYear_6;ThermalPowerNewlyInstalled_7;ThermalPowerDecommissioned_8;ThermalPowerAtTheEndOfTheYear_9;SolarPanelsNewlyInstalled_10;SolarPanelsDecommissioned_11;SolarPanelsAtTheEndOfTheYear_12;ElectricalInKWh_13;ElectricalInTotElectricityCons_14;Thermal_15;BiogasForUsefulFinalUse_16;ProductionOfBiogas_17;FlaredBiogas_18;EnergeticUseOfBiomass_19
0;Total energy sources;1990;;;;;;;;;;;;;720.0;0.92;;857.0;2916.0;;29869.0
1;Total energy sources;1991;;;;;;;;;;;;;846.0;1.05;;1172.0;3482.0;;30267.0
2;Total energy sources;1992;;;;;;;;;;;;;893.0;1.07;;1526.0;3997.0;;31047.0
3;Total energy sources;1993;;;;;;;;;;;;;952.0;1.13;;1693.0;4954.0;;32553.0
4;Total energy sources;1994;;;;;;;;;;;;;1087.0;1.25;;1565.0;5247.0;;32456.0
5;Total energy sources;1995;;;;;;;;;;;;;1214.0;1.36;;1428.0;5596.0;;34952.0
6;Total energy sources;1996;;;;;;;;;;;;;1576.0;1.71;;1439.0;5875.0;;37875.0
7;Total energy sources;1997;;;;;;;;;;;;;1725.0;1.8;;1532.0;5789.0;;41516.0
8;Total energy sources;1998;;;;;;;;;;;;;2018.0;2.03;;1547.0;5784.0;;43702.0
9;Total energy sources;1999;;;;;;;;;;;;;2187.0;2.15;;1613.0;6074.0;;44689.0
10;Total energy sources;2000;;;;;;;;;;;;;2650.0;2.53;;1630.0;6140.0;;47831.0
11;Total energy sources;2001;;;;;;;;;;;;;2979.0;2.78;;1474.0;6339.0;;51097.0
12;Total energy sources;2002;;;;;;;;;;;;;3621.0;3.34;;1336.0;6518.0;;56604.0
13;Total energy sources;2003;;;;;;;;;;;;;3640.0;3.31;;1336.0;6608.0;;53711.0
14;Total energy sources;2004;;;;;;;;;;;;;4946.0;4.31;;1547.0;6275.0;;63103.0
15;Total energy sources;2005;;;;;;;;;;;;;6996.0;6.11;;1358.0;5867.0;;81176.0
16;Total energy sources;2006;;;;;;;;;;;;;7566.0;6.52;;1331.0;6675.0;;84225.0
