ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;DirectLoon_7;BijzondereBeloningen_8;LoonVoorNietGewerkteTijd_9;LoonInNatura_10;PremieWIA_11;PremieZVW_12;PremieWW_13;Pensioenpremies_14;OverigePremies_15;LoonBijZiekte_16;Ontslagvergoedingen_17;Opleidingskosten_18;OverigeUitgaven_19;Subsidies_20;PotentieleArbeidsduur_21;VerlofurenEnUrenVanFeestdagen_22;ZiekteUrenVerleturenEnKortVerzuim_23;ZwangerschapsEnBevallingsverlof_24;GewerkteUrenExclOverwerkuren_25;BetaaldeEnOnbetaaldeOverwerkuren_26;GewerkteUren_27
0;A-U Alle economische activiteiten;348.5;59.1;34.72;29.36;1701;100;55.9;10.8;8.4;1.5;3.6;4.1;2.5;6.8;0.4;3.2;0.2;1.1;2.1;-0.6;100;12.3;4.1;0.5;83.1;2.5;85.6
1;A-F Landbouw en nijverheid;65.9;61.5;34.81;29.61;1767;100;57.2;10.2;8.2;1.6;3.8;4.2;2.6;6.8;0.5;3.4;0.1;1.0;1.4;-1.2;100;12.1;4.7;0.2;83.1;3.6;86.8
2;A Landbouw, bosbouw en visserij;3.0;41.9;22.94;19.88;1826;100;58.5;6.7;11.8;1.6;4.0;4.4;3.1;6.4;0.8;2.1;0.1;0.6;1.9;-1.8;100;11.8;2.9;0.2;85.1;3.9;89.0
3;B Delfstoffenwinning;1.2;122.9;64.37;55.63;1909;100;51.3;19.4;4.2;0.5;2.4;2.5;1.6;11.7;0.5;2.3;0.2;2.1;1.6;-0.6;100;11.3;3.5;0.2;85.0;2.6;87.6
4;B-E Nijverheid (geen bouw) en energie;46.1;63.3;36.19;30.71;1748;100;56.7;11.9;7.8;1.3;3.8;4.2;2.5;6.7;0.3;3.6;0.1;1.0;1.4;-1.4;100;12.1;4.9;0.2;82.8;3.7;86.5
5;B-F Nijverheid en energie;62.9;62.9;35.69;30.32;1763;100;57.1;10.4;8.0;1.6;3.8;4.2;2.6;6.8;0.5;3.5;0.1;1.0;1.4;-1.1;100;12.1;4.8;0.2;83.0;3.6;86.6
6;C Industrie;40.9;61.7;35.4;30.02;1742;100;56.9;11.7;8.0;1.3;3.8;4.2;2.6;6.5;0.3;3.7;0.1;0.9;1.4;-1.5;100;12.1;4.9;0.2;82.8;3.5;86.4
7;D Energievoorziening;2.0;82.7;48.51;40.47;1705;100;56.5;13.9;6.4;1.8;3.4;4.0;1.1;6.6;0.1;3.4;0.0;1.7;1.3;-0.2;100;12.4;4.2;0.8;82.6;1.5;84.0
8;E Waterbedrijven en afvalbeheer;1.9;63.0;33.7;29.35;1869;100;56.1;10.1;8.5;1.4;4.2;4.5;2.0;7.0;0.6;3.7;0.2;1.3;1.3;-1.0;100;12.5;5.2;0.2;82.2;9.1;91.2
9;F Bouwnijverheid;16.8;62.0;34.39;29.31;1802;100;58.3;6.3;8.6;2.4;3.9;4.2;2.8;7.0;1.1;3.2;0.1;1.1;1.4;-0.5;100;12.0;4.5;0.1;83.3;3.5;86.8
10;G-I Handel, vervoer en horeca;69.1;50.0;28.03;24.08;1782;100;55.2;10.1;10.0;2.0;3.9;4.3;2.9;6.2;0.2;2.7;0.1;0.9;2.2;-0.6;100;12.0;3.6;0.3;84.1;3.8;87.8
11;G-N Commerciële dienstverlening;169.3;57.2;32.26;27.77;1772;100;56.6;10.8;8.5;2.1;3.5;3.9;2.8;6.6;0.2;2.4;0.1;1.0;2.1;-0.7;100;11.9;3.4;0.3;84.4;3.0;87.4
12;G Handel;44.8;50.6;28.61;24.67;1767;100;54.9;10.9;9.8;2.1;3.7;4.2;2.8;5.9;0.2;2.5;0.1;0.9;2.4;-0.5;100;11.8;3.4;0.4;84.4;2.9;87.3
13;H Vervoer en opslag;17.8;60.5;32.27;27.59;1876;100;55.8;9.6;8.7;1.6;4.0;4.2;2.9;8.1;0.2;3.6;0.1;0.7;1.4;-0.7;100;12.2;4.8;0.2;82.8;8.4;91.2
14;I Horeca;6.5;32.0;18.68;15.93;1713;100;56.0;6.3;15.0;1.7;4.5;4.8;3.8;2.7;0.2;1.8;0.1;0.8;2.8;-0.4;100;12.3;2.6;0.3;84.8;0.7;85.5
15;J Informatie en communicatie;16.2;72.9;41.24;35.41;1768;100;58.2;12.5;7.0;2.8;3.4;3.8;2.6;5.7;0.1;2.2;0.2;1.1;1.6;-1.3;100;11.7;3.0;0.3;85.0;1.2;86.1
16;K Financiële dienstverlening;22.4;92.0;54.13;46.1;1700;100;55.9;12.5;6.0;2.7;2.2;2.7;1.8;10.7;0.1;2.1;0.1;1.2;2.2;-0.2;100;11.9;3.2;0.5;84.4;0.8;85.2
17;L Verhuur en handel van onroerend goed;3.5;67.9;40.41;34.52;1681;100;55.4;10.1;7.5;1.8;3.3;3.7;2.7;9.0;0.1;2.5;0.3;1.7;2.1;-0.1;100;11.9;3.4;0.5;84.2;1.3;85.6
18;M-N Zakelijke dienstverlening;58.1;54.7;30.73;26.64;1780;100;58.1;10.7;8.3;1.9;3.7;3.9;3.1;5.7;0.3;2.1;0.1;1.0;2.1;-1.0;100;11.9;3.2;0.3;84.6;3.1;87.7
19;M Specialistische zakelijke diensten;31.1;76.5;43.16;37.22;1772;100;57.8;12.3;7.0;2.3;2.8;3.3;2.0;7.8;0.2;2.1;0.1;1.2;2.2;-1.0;100;12.0;2.9;0.5;84.5;2.0;86.6
20;N Verhuur en overige zakelijke diensten;27.1;41.2;23.09;20.08;1785;100;58.5;8.8;9.7;1.4;4.9;4.7;4.3;3.3;0.4;2.1;0.1;0.8;2.0;-1.0;100;11.9;3.3;0.2;84.6;3.8;88.4
