ID;Perioden;SaldoLopRekBbpDriejarengem_1;NettoExternVermogenAlsBbp_2;ReeleWisselkoers3Jaarsmutatie_3;ReeleWisselkoersIndex_4;AandeelWereldhandel5Jaarsmutatie_5;AandeelWereldhandel_6;ArbeidskostPerEenhPr3Jaarsmut_7;ArbeidskostenPerEenheidProductIndex_8;ReeleHuizenprijsindex_9;KredietstroomPrivateSectorAlsBbp_10;KredietstroomHuishoudensAlsBbp_11;KredietstroomNietFinVennootschBbp_12;SchuldPrivateSectorAlsBbp_13;SchuldHuishoudensAlsBbp_14;SchuldNietFinVennootschappenAlsBbp_15;OverheidsschuldEMUSchuldAlsBbp_16;Werkloosheid3JaarsGemiddelde_17;TotalePassivaFinancieleSector_18;BrArbeidspart1564Jr3JaarsMut_19;BrutoArbeidsparticipatie1564Jaar_20;LangdurigeWerkloosheid3JaarsmutPunt_21;Jeugdwerkloosheid3JaarsmutInPunt_22;JeugdwerkloosheidBeroepsbevolking_23
0;2006 1e kwartaal;;-8.9;1.2;101.5;;3.4;1.4;90.7;;12.5;6.9;5.6;230.1;107.8;122.3;49.2;6.6;15.0;;75.3;;;11.6
1;2006 2e kwartaal;;-6.2;-0.4;101.2;;3.4;0.4;90.6;;9.4;7.6;1.8;228.8;108.4;120.4;48.5;6.7;13.2;;75.3;;;11.0
2;2006 3e kwartaal;;-9.9;-1.2;101.2;;3.4;-0.3;90.5;;10.9;7.1;3.8;230.4;108.7;121.7;47.4;6.6;13.4;;75.4;;;10.5
3;2006 4e kwartaal;7.9;-1.9;-2.0;101.4;;3.4;-0.2;91.1;1.5;11.3;7.5;3.8;228.2;109.4;118.8;45.2;6.6;11.6;1.2;75.5;;0.2;10.0
4;2006;7.9;-1.9;-2.0;101.4;;3.4;-0.2;91.1;1.5;11.3;7.5;3.8;228.2;109.4;118.8;45.2;6.6;11.6;1.2;75.5;;0.2;10.0
5;2007 1e kwartaal;8.1;-7.7;-2.4;101.5;;3.4;0.3;91.6;1.9;14.4;8.4;6.0;229.7;110.0;119.7;45.4;6.5;12.6;1.4;75.8;;-0.7;9.7
6;2007 2e kwartaal;8.1;-19.7;-2.1;101.6;;3.4;0.6;92.0;2.1;14.9;7.7;7.2;229.4;110.0;119.4;45.6;6.4;13.6;1.7;76.1;;-1.2;9.6
7;2007 3e kwartaal;7.9;-15.4;-2.1;101.5;;3.4;1.1;92.3;2.6;13.6;7.8;5.7;229.2;110.3;118.9;44.5;6.3;12.1;2.0;76.5;;-1.5;9.5
8;2007 4e kwartaal;7.7;-14.9;-2.0;101.5;;3.4;1.8;92.9;2.7;14.2;6.4;7.8;227.8;109.6;118.2;43.0;6.1;14.4;2.2;76.8;;-2.1;9.4
9;2007;7.7;-14.9;-2.0;101.5;;3.4;1.8;92.9;2.7;14.2;6.4;7.8;227.8;109.6;118.2;43.0;6.1;14.4;2.2;76.8;;-2.1;9.4
10;2008 1e kwartaal;7.6;-14.6;-1.7;101.7;;3.5;2.6;93.6;2.4;14.0;5.2;8.8;229.7;109.3;120.4;43.9;5.9;11.1;2.4;77.2;;-2.6;9.1
11;2008 2e kwartaal;7.4;-12.3;-1.3;102.0;;3.5;3.5;94.3;2.0;15.1;5.2;9.9;231.0;109.4;121.6;43.8;5.7;8.9;2.6;77.5;;-2.9;8.9
12;2008 3e kwartaal;7.4;-9.8;-0.7;102.1;;3.4;4.3;95.0;1.1;13.7;4.8;8.9;230.8;109.5;121.3;44.1;5.6;8.5;2.7;77.7;;-3.2;8.7
13;2008 4e kwartaal;7.0;-8.0;0.0;102.1;;3.4;5.6;96.1;0.1;11.9;5.2;6.8;230.5;110.4;120.1;54.7;5.4;4.4;2.8;77.9;;-3.3;8.6
14;2008;7.0;-8.0;0.0;102.1;;3.4;5.6;96.1;0.1;11.9;5.2;6.8;230.5;110.4;120.1;54.7;5.4;4.4;2.8;77.9;;-3.3;8.6
15;2009 1e kwartaal;6.4;-10.3;1.2;102.6;;3.5;7.5;97.5;-0.5;10.4;5.2;5.2;235.3;112.0;123.3;57.5;5.3;3.1;2.9;78.2;;-2.8;8.7
16;2009 2e kwartaal;6.1;-5.8;1.8;103.1;;3.5;9.8;99.5;-1.3;8.6;4.7;4.0;240.1;114.1;125.9;56.6;5.2;2.1;2.9;78.2;;-2.0;9.1
17;2009 3e kwartaal;5.9;-4.0;2.2;103.5;;3.6;11.2;100.6;-2.4;8.6;4.2;4.4;244.5;116.3;128.2;57.2;5.2;2.1;2.9;78.3;;-0.9;9.6
18;2009 4e kwartaal;5.8;1.3;2.6;104.0;;3.6;11.3;101.4;-3.0;9.6;4.0;5.6;245.3;118.2;127.1;56.8;5.2;7.2;2.7;78.2;;0.2;10.2
19;2009;5.8;1.3;2.6;104.0;;3.6;11.3;101.4;-3.0;9.6;4.0;5.6;245.3;118.2;127.1;56.8;5.2;7.2;2.7;78.2;;0.2;10.2
20;2010 1e kwartaal;5.6;3.6;1.9;103.4;;3.5;10.4;101.1;-4.1;7.0;3.5;3.5;247.3;119.0;128.3;57.6;5.2;10.5;2.3;78.1;;1.1;10.8
21;2010 2e kwartaal;5.5;1.3;0.6;102.2;;3.3;9.1;100.4;-4.2;6.1;3.6;2.6;248.4;119.1;129.2;59.2;5.3;13.3;1.8;78.0;;1.5;11.1
22;2010 3e kwartaal;5.7;10.5;-0.5;101.1;;3.2;8.3;100.0;-3.6;4.0;3.6;0.4;245.8;119.2;126.6;59.0;5.3;13.3;1.4;77.9;;1.7;11.2
23;2010 4e kwartaal;5.8;10.7;-1.5;100.0;-9.9;3.2;7.7;100.0;-3.3;2.3;3.1;-0.8;243.6;118.6;124.9;59.3;5.4;5.4;1.1;77.9;;1.7;11.1
24;2010;5.8;10.7;-1.5;100.0;-9.9;3.2;7.7;100.0;-3.3;2.3;3.1;-0.8;243.6;118.6;124.9;59.3;5.4;5.4;1.1;77.9;;1.7;11.1
25;2011 1e kwartaal;5.9;12.5;-2.3;99.3;-9.0;3.1;7.0;100.1;-2.5;3.2;2.9;0.3;242.8;118.0;124.8;59.4;5.5;3.8;0.8;77.9;;1.6;10.7
26;2011 2e kwartaal;6.1;14.3;-2.5;99.5;-7.4;3.1;6.2;100.2;-2.7;3.6;2.2;1.3;243.7;117.9;125.8;60.4;5.6;2.6;0.4;77.8;;1.3;10.2
27;2011 3e kwartaal;6.3;19.2;-2.3;99.8;-6.7;3.1;5.8;100.5;-3.3;4.9;1.8;3.1;243.8;117.9;125.9;61.1;5.7;6.8;0.2;77.9;;1.3;10.0
28;2011 4e kwartaal;7.0;19.8;-2.4;99.6;-7.7;3.1;5.3;101.1;-4.0;7.9;1.5;6.4;246.1;118.0;128.2;61.7;5.8;10.2;0.1;78.1;;1.4;10.0
29;2011;7.0;19.8;-2.4;99.6;-7.7;3.1;5.3;101.1;-4.0;7.9;1.5;6.4;246.1;118.0;128.2;61.7;5.8;10.2;0.1;78.1;;1.4;10.0
30;2012 1e kwartaal;7.4;20.0;-3.2;99.4;-8.9;3.1;4.4;101.8;-5.2;8.4;1.2;7.2;247.9;117.7;130.2;62.5;6.0;11.7;0.2;78.3;;1.7;10.4
31;2012 2e kwartaal;7.7;20.3;-4.1;98.8;-10.4;3.0;3.2;102.6;-5.8;9.5;1.0;8.5;251.2;117.8;133.5;64.0;6.1;11.8;0.4;78.7;;1.8;10.9
32;2012 3e kwartaal;8.1;24.6;-5.2;98.1;-11.7;3.0;2.7;103.3;-7.1;9.0;0.9;8.1;252.1;118.2;133.8;64.9;6.2;7.2;0.7;78.9;;1.8;11.3
33;2012 4e kwartaal;8.6;26.1;-6.0;97.8;-11.8;3.0;2.6;104.0;-7.9;6.1;0.6;5.4;250.9;117.9;133.0;66.2;6.3;6.0;0.8;79.0;;1.5;11.7
34;2012;8.6;26.1;-6.0;97.8;-11.8;3.0;2.6;104.0;-7.9;6.1;0.6;5.4;250.9;117.9;133.0;66.2;6.3;6.0;0.8;79.0;;1.5;11.7
35;2013 1e kwartaal;9.0;31.4;-5.0;98.2;-12.3;3.0;3.6;104.8;-8.7;5.8;0.2;5.5;252.8;117.4;135.4;66.6;6.4;3.1;1.0;79.1;;1.2;12.0
36;2013 2e kwartaal;9.2;29.4;-3.3;98.8;-12.2;3.0;4.7;105.1;-9.6;5.7;-0.6;6.4;254.9;116.5;138.4;68.3;6.6;1.0;1.3;79.2;;1.2;12.3
