ID;Achtergrondkenmerken;Perioden;Fietsbezitters_1;Veiligheidsslot_2;GegraveerdePostcode_3;Registratiekaart_4;Diefstalpreventiechip_5;Autogebruikers18_6;StartonderbrekerAlarminstallatie_7
0;10;1997;88.8;82.5;35.7;25.7;;55.1;17.5
1;10;1998;86.9;82.6;33.9;24.7;;56.5;23.0
2;10;1999;86.5;84.3;32.3;24.4;;57.2;32.7
3;10;2000;88.0;85.0;31.1;24.3;;57.8;40.2
4;10;2001;87.1;85.7;30.6;22.1;;59.0;41.3
5;10;2002;87.4;86.7;29.0;23.4;;59.7;44.5
6;10;2003;88.1;85.5;25.7;20.8;;61.3;45.9
7;10;2004;87.7;86.6;24.3;;5.9;61.0;52.2
8;11;1997;89.2;82.4;32.1;22.5;;69.4;21.4
9;11;1998;87.9;83.2;30.5;22.6;;71.1;27.4
10;11;1999;86.6;83.0;29.5;21.0;;72.1;36.2
11;11;2000;89.3;85.4;28.1;22.0;;70.6;45.2
12;11;2001;88.1;85.7;29.0;20.1;;71.0;47.2
13;11;2002;87.9;86.4;24.1;21.0;;70.8;51.3
14;11;2003;90.5;86.0;22.8;18.2;;72.0;52.3
15;11;2004;89.0;85.9;21.8;;5.1;71.8;60.0
16;12;1997;88.5;82.7;39.3;28.9;;41.2;11.1
17;12;1998;85.9;82.0;37.2;26.9;;42.5;16.0
18;12;1999;86.4;85.6;35.1;27.8;;42.7;26.9
19;12;2000;86.8;84.5;34.1;26.6;;45.2;32.5
20;12;2001;86.2;85.7;32.1;24.1;;47.4;32.7
21;12;2002;86.8;87.0;33.8;25.7;;49.0;34.9
22;12;2003;85.6;84.9;28.7;23.5;;50.9;37.2
23;12;2004;86.3;87.3;26.9;;6.8;50.5;41.4
24;14;1997;94.9;89.7;39.7;22.2;;;
25;14;1998;95.1;92.3;31.2;22.0;;;
26;14;1999;94.8;91.6;30.1;24.5;;;
27;14;2000;94.6;93.0;26.0;25.0;;;
28;14;2001;95.3;93.0;24.8;21.9;;;
29;14;2002;96.5;92.9;24.1;21.6;;;
30;14;2003;96.8;92.0;18.7;22.2;;;
31;14;2004;96.0;92.5;17.9;;4.8;;
32;15;1997;89.8;86.1;34.0;16.9;;33.1;10.5
33;15;1998;86.3;87.9;28.5;15.7;;27.9;12.3
34;15;1999;84.3;90.9;32.9;12.9;;31.5;22.1
35;15;2000;82.7;87.9;24.5;13.7;;32.0;40.5
36;15;2001;85.8;92.5;28.8;12.4;;35.6;32.4
37;15;2002;84.2;92.5;18.9;14.0;;31.7;24.7
38;15;2003;83.8;88.4;18.8;8.6;;37.3;28.3
